Date,Open,High,Low,Close,Volume
2011-12-19,35,35,35,35,1000
2012-1-9,36,37,36,37,30
2012-1-12,36,37,36,37,8
2012-1-13,36,36,36,36,2
2012-1-18,36,36,36,36,26
2012-1-19,36,37,36,37,5
2012-1-25,23.01,36.9,23.01,36.9,200
2012-1-26,26.501,35.999,26.501,35.999,30
2012-1-30,23.041,23.041,23.041,23.041,1
2012-1-31,21.21,32.25,21.21,32.25,25
2012-2-8,31.001,37,31.001,32.079,8
2012-2-10,36.949,36.949,35,35,4
2012-2-13,31.001,31.001,31.001,31.001,3
2012-2-15,31,34.8,31,33.997,40
2012-2-17,34.745,34.745,34.745,34.745,2
2012-2-20,32.32,36.95,32.32,33.5,240
2012-2-28,35,35,33.25,34.995,387
2012-2-29,35,35,31,32,158
2012-3-2,34.999,34.999,30.222,30.222,9
2012-3-5,27.011,27.011,27.01,27.01,3
2012-3-12,29.88,29.88,29.88,29.88,2
2012-3-13,29.881,29.881,29.881,29.881,7
2012-3-14,29.99,37,28.012,30,198
2012-3-15,32.957,32.957,32.547,32.547,7
2012-3-19,32.993,35.494,32.993,35.494,10
2012-3-20,35.497,36,30.064,34.5,50
2012-3-21,29.805,29.805,29.58,29.58,2
2012-3-26,34.689,34.69,33.999,34,8
2012-4-10,33.999,33.999,33.999,33.999,1
2012-4-16,32.9,32.92,32.9,32.92,22
2012-4-20,29.01,31,29.01,31,20
2012-4-28,29,29,29,29,25
2012-5-16,30,30,30,30,2
2012-5-31,30,30,30,30,1000
2012-6-13,32,32,32,32,1
2012-6-27,23,24.999,22.999,24,54
2012-6-28,24.001,24.001,24.001,24.001,1
2012-6-29,26,27,25.5,27,24
2012-7-2,30.996,31,27,27,11
2012-7-5,27,27,27,27,1
2012-7-6,26.999,27,26.999,27,31
2012-7-9,31,31,31,31,1
2012-7-10,31,31,31,31,1
2012-7-13,31,31,31,31,1
2012-7-16,30.5,30.5,30.5,30.5,39
2012-7-17,30.55,30.55,30.55,30.55,29
2012-7-18,30.6,30.6,30,30,11
2012-8-23,27,27,22.01,22.01,700
2012-8-28,28,30,24.598,24.598,51
2012-8-29,29.299,29.299,29.299,29.299,1
2012-9-28,27,28.5,25,25,40
2012-10-15,24.25,24.25,23.018,23.018,55
2012-10-22,23,23,23,23,1
2012-10-23,22.999,22.999,22.999,22.999,3
2012-10-26,23.899,23.899,23.899,23.899,12
2012-10-29,18.055,20,18.002,20,6
2012-10-31,20.7,20.7,20.7,20.7,1
2012-11-13,18.001,23.898,18.001,18.001,426
2012-11-14,18.08,18.08,18.08,18.08,3
2012-11-30,17.778,17.778,17.778,17.778,3
2012-12-3,17.777,17.777,17.777,17.777,3
2012-12-12,15.15,16,14.777,16,50
2012-12-13,16.751,18,16.751,17.8,30
2012-12-18,18,18,17.8,17.8,15
2012-12-19,17.8,17.8,17.8,17.8,5
2012-12-26,17.7,17.7,17,17,29
2013-1-15,16,16,15.9,15.9,37
2013-1-16,16,16,15.5,15.5,16
2013-1-17,15.216,15.5,15.1,15.5,3
2013-1-18,15,15,14.2,15,16
2013-1-21,14.602,15.176,13,15.176,34
2013-1-23,14.88,15.05,14.88,15.05,3
2013-1-24,14.584,14.584,14.584,14.584,1
2013-1-28,15,15.1,15,15.1,50
2013-1-29,14.874,14.874,14.874,14.874,1
2013-1-30,15,15,15,15,10
2013-2-5,15.099,15.1,15.099,15.1,6
2013-2-6,15,15.5,15,15.5,44
2013-2-7,15,15,14.9,14.9,120
2013-2-14,15.472,15.472,15.472,15.472,1
2013-2-15,15.5,15.5,15.5,15.5,1
2013-2-18,15.5,16,15.5,16,3
2013-2-19,16,16.094,16,16.094,3
2013-2-21,17.5,22.443,16.301,22.442,128
2013-2-22,22.4,22.4,19,19,43
2013-2-27,16.414,19.998,16.414,19,21
2013-3-11,18,18,18,18,1
2013-3-14,17,17,17,17,5
2013-3-15,17,18,17,18,3
2013-3-26,18,18,18,18,2
2013-4-1,17.999,18,17.999,18,3
2013-4-30,15.4,15.4,15.4,15.4,8
2013-5-13,13,13,13,13,5
2013-5-31,13.016,13.016,13.016,13.016,2
2013-6-25,12.07,12.07,12.07,12.07,2
2013-6-27,15.999,15.999,13.016,13.016,4
2013-6-28,15.498,17.997,15.498,17.997,145
2013-7-2,16.999,17,13.016,14.8,9
2013-7-5,14.001,15,14.001,14.1,3
2013-7-9,15.44,15.44,13.505,13.505,5
2013-7-11,13.8,13.8,13.5,13.5,10
2013-7-12,14,14,13.506,13.506,7
2013-7-16,13.792,13.792,13.5,13.5,3
2013-7-22,14.099,14.1,14.099,14.1,5
2013-7-26,14.4,14.4,14.4,14.4,1
2013-8-2,14.35,14.35,14.35,14.35,1
2013-8-7,14.5,20.09,14.5,20.09,339
2013-8-8,22.99,22.99,22.99,22.99,7
2013-8-9,15.551,23.99,14.2,14.312,767
2013-8-12,14.97,15.17,13.055,13.975,109
2013-8-13,13.276,14.069,13.276,14.069,5
2013-8-14,13.273,14,13.273,14,11
2013-8-15,13.351,14.25,13.351,14.25,54
2013-8-16,14.25,14.5,13.805,14.5,6
2013-8-19,14.891,14.895,13.805,14.819,13
2013-8-20,13.807,13.807,13.807,13.807,1
2013-8-22,14,14.5,14,14.5,5
2013-8-23,14,14,13.8,14,56
2013-8-26,13.9,13.9,13.9,13.9,1
2013-8-27,13.9,13.9,13.8,13.8,22
2013-8-28,13.8,13.8,13.8,13.8,5
2013-8-29,13.8,13.8,13.8,13.8,1
2013-8-30,13.8,13.8,13.8,13.8,10
2013-9-5,14.79,14.79,14.79,14.79,20
2013-9-6,12.3,17.997,11.793,15.717,43
2013-9-9,15.9,16.299,15.893,16.299,40
2013-9-12,16.43,16.43,16.43,16.43,1
2013-9-17,13.818,15.888,13.818,15.888,5
2013-9-18,13.913,15.814,13.913,15.814,2
2013-9-19,15.805,15.805,15.805,15.805,1
2013-9-20,13.901,15.439,13.901,15.439,3
2013-9-23,13.923,15.4,13.923,15.4,3
2013-9-24,15.495,15.97,13.973,15.852,5
2013-9-30,13.915,16.468,13.507,15.399,152
2013-10-1,15.38,15.38,13.956,15.284,4
2013-10-2,15.399,15.447,15.399,15.447,2
2013-10-3,13.91,15.375,13.91,15.375,3
2013-10-4,13.956,14.969,13.8,14.969,14
2013-10-10,13.811,14.845,13.81,14.845,18
2013-10-14,14.539,15.987,14.539,15.987,15
2013-10-15,14.015,15.95,13.4,14.973,288
2013-10-16,13.901,14.449,13.657,13.657,95
2013-10-17,14.78,14.997,13.287,13.999,98
2013-10-18,14.498,14.498,13.6,14.478,41
2013-10-21,13.801,14.494,13.8,14.494,31
2013-10-22,14.5,15,14.5,15,4
2013-10-23,14.99,16.47,14.99,16.47,6
2013-10-25,14.989,14.989,13.8,14.989,43
2013-10-28,14.8,15.999,14.8,15.999,5
2013-10-31,13.94,15.799,13.801,15.799,101
2013-11-5,14,14.949,13.8,14.639,181
2013-11-7,13.81,14.967,13.5,14.24,203
