Date,Open,High,Low,Close,Volume
2006-6-27,54.7,65,52.2,53.5,12770
2006-6-28,53.9,54,51.8,52.7,6760
2006-6-29,53.7,56.3,53.7,56,1020
2006-6-30,56.6,60.4,56.5,59.8,5880
2006-7-3,60,61.9,58,58,1110
2006-7-4,62,62,58.1,59.5,2680
2006-7-5,59,59.6,58.5,59.6,5720
2006-7-6,59,59.3,58.8,59,9950
2006-7-7,61.5,61.5,59,59.1,11270
2006-7-10,62,62,60,62,710
2006-7-11,63.4,64.9,62.9,63,4730
2006-7-12,63,64,61.3,62.2,990
2006-7-13,60.5,63,55.1,58,3330
2006-7-14,58,59.5,58,58.4,500
2006-7-17,55.1,56,53.2,55,4500
2006-7-18,54,55.2,54,55,3950
2006-7-19,55,57,55,57,5280
2006-7-20,58,59.3,57,59.3,1130
2006-7-21,58,58.7,57.7,58.7,1050
2006-7-24,57.2,58.1,57.2,58.1,2430
2006-7-25,58.2,58.2,57.2,57.2,230
2006-7-26,57.2,59,57.2,58.5,940
2006-7-27,59.5,59.6,57.4,59.6,680
2006-7-28,59.8,59.8,59,59,660
2006-7-31,61.5,62,58.2,58.2,3560
2006-8-1,57.2,59.4,57.2,58.1,2080
2006-8-2,59.3,61.1,59,59.6,54340
2006-8-3,60,61.9,59.1,59.1,5040
2006-8-4,59.9,60.3,59.1,59.1,8570
2006-8-7,60.2,60.2,57.5,57.9,12790
2006-8-8,57.6,59,57.3,58,5610
2006-8-9,59.8,59.8,57.5,58,1050
2006-8-10,57.7,57.9,57.2,57.2,5190
2006-8-11,57.5,59.5,57.5,58.2,18300
2006-8-14,58,58.3,57.6,57.6,2820
2006-8-15,58,58,56.8,57,1350
2006-8-16,57.1,58,55.8,56.3,26220
2006-8-17,56.3,57,56.1,56.2,6740
2006-8-18,56.5,57.3,55.5,55.7,4460
2006-8-21,55.5,57,55.5,56,170
2006-8-22,57.4,57.4,56.5,56.8,660
2006-8-23,57,57,56,56.8,4210
2006-8-24,56.9,56.9,55.8,55.8,130
2006-8-25,56.7,56.9,56.4,56.8,270
2006-8-28,56.6,57.9,56,57.9,630
2006-8-29,57.8,58,57,57,34400
2006-8-30,56.6,57,54.2,54.2,27430
2006-8-31,54.5,55.5,53,53.3,22490
2006-9-1,53.9,54,53,53.9,3960
2006-9-4,51.9,54.3,51.9,53.9,3100
2006-9-5,53.2,53.8,52.7,53,8160
2006-9-6,53,54.8,53,53.3,7460
2006-9-7,52,53.4,50.1,53,4830
2006-9-8,53,53,52.5,52.5,3930
2006-9-11,52.1,52.3,51.5,51.8,1310
2006-9-12,52.9,52.9,51,51.6,10530
2006-9-13,52.5,52.5,50,50.8,9100
2006-9-14,51.6,52.5,50.7,50.8,26450
2006-9-15,51.5,52,49.9,50.2,24930
2006-9-18,50.8,51.5,50.5,51.4,3990
2006-9-19,51.5,51.8,50.9,51,35700
2006-9-20,50.4,51.1,50.4,51,7700
2006-9-21,52,52.6,50.5,52,6880
2006-9-22,52,52.6,50.3,50.8,3830
2006-9-25,50,50,48.7,49.9,9750
2006-9-26,49.86,50.6,49.42,50.08,2110
2006-9-27,50.49,52.45,50.49,52.45,17520
2006-9-28,52.02,52.8,50,52.5,15970
2006-9-29,52,53.5,51.5,51.5,6580
2006-10-2,51.61,53.5,51,51.07,19840
2006-10-3,51.45,51.45,49.9,50,11430
2006-10-4,50,50.1,49.41,50,16140
2006-10-5,50.5,51.68,50.12,51,15670
2006-10-6,51.5,51.5,50.9,51.23,13480
2006-10-9,51.7,52.45,51.7,52.44,7350
2006-10-10,52.69,52.69,52,52.42,3890
2006-10-11,52.42,52.55,50.7,52.55,2450
2006-10-12,52.55,53.5,52,52.1,17030
2006-10-13,53.3,53.4,52.3,52.9,12760
2006-10-16,52.65,53.5,52.62,53.25,20650
2006-10-17,53.5,56,53.25,54.22,42860
2006-10-18,55,56.7,54.5,56.5,18620
2006-10-19,56.5,57.5,56.5,57.05,52920
2006-10-20,57.49,57.5,56,56.39,21590
2006-10-23,57.33,57.33,55.62,56.5,5700
2006-10-24,56.98,57,55.65,56.47,3440
2006-10-25,56.45,57.5,55.73,57.5,6330
2006-10-26,57.8,57.8,57,57.4,10590
2006-10-27,57.2,57.69,56.95,57.6,5930
2006-10-30,57,57.5,56.4,56.9,8420
2006-10-31,57,57.24,56.8,56.8,3240
2006-11-1,56.8,56.8,55.5,55.66,13070
2006-11-2,55.71,56.5,55.71,55.94,7320
2006-11-3,56,56.49,54.35,55.2,12810
2006-11-7,55,56.51,55,56.51,8470
