Date,Open,High,Low,Close,Volume
2008-8-1,4.4,4.8,4.01,4.155,1689
2008-8-4,4.269,4.269,4.034,4.065,6
2008-8-5,4.168,4.393,3.751,3.995,573
2008-8-6,4.012,4.189,3.94,3.995,252
2008-8-7,4.07,4.28,3.93,3.981,375
2008-8-8,3.981,4.095,3.75,3.95,537
2008-8-11,4,4,3.607,3.8,425
2008-8-12,3.8,3.9,3.613,3.726,427
2008-8-13,3.726,3.75,3.605,3.74,195
2008-8-14,3.778,3.84,3.719,3.825,223
2008-8-15,3.567,3.912,3.567,3.875,109
2008-8-18,3.787,3.864,3.707,3.849,197
2008-8-19,3.712,3.848,3.684,3.76,340
2008-8-20,3.72,3.76,3.7,3.74,53
2008-8-21,3.796,3.848,3.655,3.68,401
2008-8-22,3.7,3.749,3.52,3.64,243
2008-8-25,3.676,3.68,3.505,3.546,81
2008-8-26,3.746,3.82,3.433,3.59,104
2008-8-27,3.469,3.65,3.425,3.568,64
2008-8-28,3.568,3.694,3.355,3.41,1719
2008-8-29,3.4,3.424,3.343,3.42,77
2008-9-1,3.468,3.468,3.154,3.194,221
2008-9-2,3.171,3.286,3.17,3.223,14
2008-9-3,3.163,3.276,3.107,3.22,64
2008-9-4,3.164,3.292,3.151,3.166,23
2008-9-5,3.103,3.224,2.9,3.193,258
2008-9-8,2.95,3.293,2.95,3.114,162
2008-9-9,3.165,3.165,2.8,2.99,7
2008-9-10,2.689,3.089,2.689,2.958,27
2008-9-11,2.6,2.999,2.6,2.9,132
2008-9-12,2.999,3.52,2.741,3.52,4963
2008-9-15,3.055,3.549,3.055,3.549,3
2008-9-16,3.061,3.1,2.541,2.541,13
2008-9-17,2.603,2.603,2.5,2.5,30
2008-9-19,2.801,3.45,2.801,3.45,4
2008-9-22,3.37,3.379,2.76,2.95,79
2008-9-23,2.781,2.89,2.7,2.8,120
2008-9-24,2.77,2.79,2.5,2.56,1058
2008-9-25,2.6,2.69,2.57,2.6,86
2008-9-26,2.6,2.64,2.407,2.5,106
2008-9-29,2.41,2.45,2.2,2.45,136
2008-9-30,2.459,2.55,2.323,2.4,38
2008-10-1,2.589,2.599,2.43,2.599,206
2008-10-2,2.65,2.877,2.407,2.45,131
2008-10-3,2.587,2.587,2.4,2.4,9
2008-10-6,2.15,2.25,2.15,2.15,7
2008-10-7,2.415,2.75,2.002,2.409,390
2008-10-8,2.215,2.215,2,2,21
2008-10-9,2.178,2.789,2.178,2.779,67
2008-10-13,2.621,2.999,1.99,1.99,410
2008-10-14,2,2.002,2,2.002,3
2008-10-15,2.005,2.306,1.755,1.81,600
2008-10-16,1.819,1.819,1.51,1.51,119
2008-10-17,1.45,1.734,1.45,1.539,63
2008-10-20,1.692,1.88,1.499,1.499,328
2008-10-21,1.8,1.8,1.5,1.57,298
2008-10-22,1.649,1.781,1.421,1.421,100
2008-10-23,1.42,1.42,1.3,1.3,33
2008-10-24,1.545,1.545,1.544,1.544,1
2008-10-28,1.4,1.65,1.4,1.54,37
2008-10-29,1.52,1.778,1.508,1.72,201
2008-10-30,1.601,1.777,1.6,1.777,187
2008-10-31,1.735,1.939,1.621,1.733,122
2008-11-1,1.711,1.85,1.711,1.759,46
2008-11-5,1.985,1.991,1.7,1.962,328
2008-11-6,1.804,1.85,1.65,1.697,50
2008-11-7,1.539,1.772,1.539,1.611,323
2008-11-10,1.521,1.84,1.521,1.603,510
2008-11-11,1.489,1.6,1.475,1.522,70
2008-11-13,1.267,1.489,1.267,1.436,482
2008-11-14,1.527,1.698,1.194,1.2,1055
2008-11-17,1.138,1.247,1.1,1.168,138
2008-11-18,1.1,1.35,1.041,1.3,320
2008-11-19,1.31,1.348,1.196,1.21,333
2008-11-20,1.244,1.244,1.128,1.178,432
2008-11-21,1.128,1.339,1.12,1.192,398
2008-11-24,1.287,1.289,1.15,1.27,70
2008-11-25,1.202,1.7,1.202,1.65,575
2008-11-27,1.35,1.85,1.35,1.748,1068
2008-11-28,1.652,1.799,1.632,1.799,231
2008-12-1,1.7,1.7,1.354,1.364,146
2008-12-3,1.211,1.8,1.211,1.799,1173
2008-12-5,1.5,1.98,1.48,1.75,417
2008-12-8,1.62,2.05,1.6,2,499
2008-12-9,1.816,2.287,1.815,2,760
2008-12-10,1.909,2.166,1.9,2.148,146
2008-12-11,2.179,2.333,2.071,2.285,327
2008-12-12,2.399,2.399,2.052,2.2,155
2008-12-15,2.35,2.35,2.1,2.239,108
2008-12-16,2.245,2.5,2.08,2.22,238
2008-12-17,2.006,2.467,2.006,2.325,332
2008-12-18,2.594,2.594,2.18,2.29,151
2008-12-19,2.449,2.449,2.2,2.395,128
2008-12-22,2.393,2.5,2.101,2.45,565
2008-12-23,2.397,2.499,2.31,2.439,73
2008-12-24,2.488,2.497,2.215,2.315,221
2008-12-25,2.488,2.557,2.277,2.455,153
2008-12-26,2.5,2.55,2.31,2.352,187
2008-12-29,2.44,3.231,2.44,3,877
2008-12-30,3.738,3.738,2.655,2.91,436
2008-12-31,3.49,3.78,2.913,3.3,8011
2009-1-11,3.026,3.68,3,3.1,519
2009-1-12,2.911,3.5,2.8,2.838,154
2009-1-13,3,3,2.607,2.95,72
2009-1-14,3.3,3.3,2.511,2.65,1591
2009-1-15,2.7,2.87,2.56,2.686,2797
2009-1-16,2.335,2.835,2.335,2.63,272
2009-1-19,2.65,2.782,2.602,2.62,395
2009-1-20,2.55,2.734,2.406,2.55,353
2009-1-21,2.624,2.7,2.31,2.619,750
2009-1-22,2.721,2.85,2.422,2.422,439
2009-1-23,2.469,2.619,2.3,2.465,126
2009-1-26,2.587,2.648,2.323,2.476,219
2009-1-27,2.391,2.639,2.151,2.37,200
2009-1-28,2.7,2.7,2.225,2.4,328
