Date,Open,High,Low,Close,Volume
2006-10-31,65,65,65,65,100
2006-11-1,125,125,125,125,300
2006-11-7,530,530,530,530,100
2006-11-16,200,200,170,170,200
2006-12-8,110,222,110,222,200
2006-12-15,155,155,155,155,100
2007-4-5,210,250,210,250,400
2007-4-6,320,320,320,320,100
2007-4-19,400,400,400,400,100
2007-4-20,300,308,300,300,300
2007-4-23,315,325,315,325,500
2007-4-25,360,360,360,360,400
2007-4-28,360,360,360,360,400
2007-5-22,450,454,450,454,300
2007-5-23,492.24,492.24,492.24,492.24,200
2007-5-24,455.357,534.55,455.357,534.55,600
2007-5-25,520,607.411,520,607.411,300
2007-5-28,630,635,630,635,400
2007-5-30,745,745,745,745,100
2007-6-4,555,555,555,555,100
2007-6-8,635,637,635,637,400
2007-6-13,635,645,635,645,300
2007-6-14,650,650,650,650,100
2007-7-10,650,650,650,650,100
2007-7-16,664,664,664,664,100
2007-7-20,630,630,630,630,200
2007-8-6,650,650,650,650,1900
2007-8-7,650,650,650,650,1900
2007-8-9,650,750,650,750,3200
2007-8-15,640,640,600,600,5100
2007-8-16,600,700,600,700,22500
2007-8-17,700,700,700,700,2500
2007-8-24,600,699,600,699,9300
2007-8-28,650,650,650,650,100
2007-8-29,670,670,670,670,7600
2007-8-30,675,675,675,675,6000
2007-9-3,750,765,750,765,13700
2007-9-10,850,880,712,715,17900
2007-9-14,730,730,730,730,200
2007-9-17,740,740,740,740,200
2007-9-19,800,800,800,800,100
2007-9-26,745,769,745,769,800
2007-10-2,750,750,750,750,500
2007-10-3,750,750,750,750,800
2007-10-5,800,800,800,800,1300
2007-10-18,730,730,730,730,100
2007-10-24,760,765,760,765,1600
2007-10-25,795,795,795,795,1600
2007-11-2,790,825,789,825,3500
2007-12-19,1000,1000,1000,1000,100
2007-12-21,850,850,850,850,100
2007-12-25,722.5,722.5,722.5,722.5,200
2007-12-26,660,660,645,660,600
2008-1-10,639,700,639,700,900
2008-1-17,595,595,595,595,100
2008-1-24,500,500,450,450,400
2008-2-4,500,500,500,500,100
2008-2-27,450,450,450,450,100
2008-3-5,390,390,390,390,200
2008-3-11,369.1,369.1,369.1,369.1,100
2008-3-13,349,349,348.2,348.2,200
2008-3-18,350,350,350,350,700
2008-3-20,300,300,300,300,100
2008-3-27,350,350,340,340,300
2008-3-28,350,392,235,392,10100
2008-3-31,390,410,253,380,9100
2008-4-2,273,430,273,351,10200
2008-4-4,320,410,320,410,6300
2008-4-11,300,301,280,301,1200
2008-4-14,300,340,287,340,6500
2008-4-15,292,292,285,285,300
2008-4-17,280,280,280,280,100
2008-4-25,237,237,237,237,100
2008-4-29,262,262,262,262,100
2008-4-30,261,326,261,326,8600
2008-5-4,261,372.5,261,372,16200
2008-5-6,378.7,378.7,378.7,378.7,100
2008-5-7,400,400,400,400,1000
2008-5-8,378,474,315,474,34100
2008-5-12,371,478,371,425,1500
2008-5-13,425,474,368,399,49700
2008-5-14,350,460,350,424.5,10700
2008-5-15,444,444,425,425,200
2008-5-19,393,393,391,391,200
2008-5-20,400,400,400,400,100
2008-5-23,365.001,417.999,365.001,367,10100
2008-5-26,402,413.998,365,397.999,16400
2008-5-27,399.999,399.999,399.999,399.999,500
2008-5-30,300.001,399,300.001,370,7500
2008-6-3,410.998,410.998,378,378,200
2008-6-5,321.001,399.999,321.001,340,6300
2008-6-9,332,332,332,332,100
2008-6-10,301.01,314,300,314,700
2008-6-18,308,308,308,308,100
2008-6-20,300.1,345,271.002,300,1700
2008-6-24,300,300,300,300,100
2008-6-27,300,320,300,320,1200
2008-7-2,325,345,305,305,500
2008-7-3,290,427,290,350,1700
2008-7-7,321,325,321,325,200
2008-7-8,302,325,302,325,200
2008-7-10,305.157,305.157,303.158,305,300
2008-7-11,305,305,299,299,200
2008-7-17,301,301,301,301,100
2008-7-29,210,210,210,210,100
2008-8-19,220,220,220,220,2000
2008-8-20,275,275,275,275,400
2008-8-26,211,211,211,211,100
2008-8-28,200,200,190,197.5,1200
2008-9-2,202,210,202,210,500
2008-9-5,219.997,219.997,219.997,219.997,100
2008-9-12,220.001,235,220.001,235,400
2008-9-15,225.001,225.001,225.001,225.001,200
2008-9-17,190,190,190,190,200
2008-9-19,191.258,191.258,191.258,191.258,200
2008-9-22,230,230,230,230,300
2008-9-23,230,230,230,230,100
2008-9-25,240,297,240,265,800
2008-9-29,285,285,285,285,200
2008-9-30,260,260,260,260,300
2008-10-1,290,290,285,285,400
2008-10-3,239.999,239.999,211,211,1200
2008-10-7,200,200,200,200,100
2008-10-8,191,191,191,191,500
2008-10-9,235,260,235,260,400
2008-10-13,286,286,286,286,900
2008-10-14,295,295,295,295,100
2008-10-16,300,300,230,250,2800
2008-10-20,221,221,200,200,1000
2008-10-21,261,290,211,280,1100
2008-10-22,271,271,250,250,1100
2008-10-23,211,211,202,202,700
2008-10-28,200,200,200,200,100
2008-10-29,200,233,200,233,1400
2008-10-30,200,200,200,200,200
2008-10-31,200,200,200,200,1400
2008-11-6,200,200,200,200,600
2008-11-7,205,205,205,205,200
2008-11-10,192,205,191,200,2200
2008-11-11,200,200,200,200,500
2008-11-13,130,170,130,170,7700
2008-11-14,220,232,220,232,800
2008-11-17,190,190,190,190,12600
2008-11-18,246,246,246,246,1100
2008-11-19,210,210,180,180,1800
2008-11-24,155,155,150,150,200
2008-11-25,139,139,130.08,130.08,900
2008-11-26,116,116,110,110,900
2008-11-28,145,150,145,150,200
2008-12-8,150,179.99,149,175,6600
2008-12-16,130,130,130,130,800
2008-12-19,150,170,150,170,400
2008-12-29,168,168,168,168,13000
2009-1-15,170,170,170,170,100
2009-2-9,106,106,106,106,100
2009-2-10,140,140,120,125,300
2009-2-11,127,127,127,127,100
2009-2-12,130,130,130,130,100
2009-2-13,150,150,150,150,200
2009-2-16,132,132,131,131,200
2009-2-27,150,150,150,150,100
2009-3-4,155,155,155,155,100
2009-4-10,150,150,131,131,13200
2009-4-15,140,179.777,130,179.777,700
2009-4-16,189,189,189,189,100
2009-4-23,160,160,160,160,100
2009-4-24,177,177,177,177,100
2009-4-27,185,185,185,185,100
2009-4-29,190.51,190.51,190.51,190.51,100
2009-5-13,195,196,195,196,26200
2009-5-26,230,230,230,230,200
2009-5-28,241,241,241,241,100
2009-6-1,300,300,280,280,200
2009-6-4,170,170,170,170,100
