Date,Open,High,Low,Close,Volume
2006-3-2,35,35,35,35,1100
2006-10-30,43.75,43.75,43.75,43.75,100
2006-11-1,110,110,110,110,1100
2006-11-9,120,125,120,125,200
2006-11-17,135,135,131,131,300
2006-11-20,128,128,128,128,100
2006-11-24,150,150,150,150,100
2006-11-27,150,150,150,150,200
2006-12-26,175,175,175,175,100
2006-12-27,175,185,175,185,400
2006-12-28,185,185,185,185,100
2007-1-9,185,185,185,185,100
2007-1-10,185,185,185,185,200
2007-1-11,230,230,230,230,100
2007-1-26,270,270,43.101,160,400
2007-2-2,230,230,230,230,100
2007-2-9,270,270,270,270,200
2007-2-15,570,670,150,151,1200
2007-2-22,355.999,356,355.999,356,400
2007-2-26,350,355,350,355,200
2007-2-27,299.625,299.625,299.625,299.625,200
2007-3-1,270,299.625,270,299.625,600
2007-3-6,245,245,245,245,100
2007-3-9,255,255,255,255,100
2007-3-14,230,250,230,250,200
2007-3-28,220,220,220,220,2500
2007-3-30,220.007,265,220.006,220.006,800
2007-4-3,230,253,227.7,250,400
2007-4-5,221.002,249,221.001,235,600
2007-4-6,275,284,250,284,2300
2007-4-9,255.6,373,240,345,2800
2007-4-10,325,325,260.971,260.971,1400
2007-4-11,315,315,272,273,2100
2007-4-13,297.95,297.95,297.95,297.95,300
2007-4-17,345,345,345,345,100
2007-4-18,305,305,255,255,3000
2007-4-19,230,230,220,221,7700
2007-4-20,222,222,220,222,2100
2007-4-23,220,225,220,225,10800
2007-4-24,224.725,224.725,224.725,224.725,200
2007-4-25,217,235,217,235,5100
2007-4-26,235.01,235.01,235,235,500
2007-4-27,230,230,230,230,100
2007-4-28,230,230,230,230,400
2007-5-4,230,230,230,230,100
2007-5-10,242,242,242,242,200
2007-5-16,255,255,210.01,210.01,1300
2007-5-18,223.2,232.22,210,230,600
2007-5-21,210.05,210.05,210,210,300
2007-5-22,234,270,234,270,1200
2007-5-23,270,289,270,285,2800
2007-5-24,276,307,276,290,2100
2007-5-25,300,310,300,300,1200
2007-5-28,232,300,232,300,1300
2007-5-30,285,300,285,300,1000
2007-5-31,300,300,281.01,282,800
2007-6-1,294,294.01,275,275,1300
2007-6-6,280,297,260,270,1300
2007-6-7,290,290,270,270,1000
2007-6-8,270,270,270,270,100
2007-6-9,265,295,265,270,1100
2007-6-13,299,299,270,270,400
2007-6-14,262.1,290,262.1,290,1300
2007-6-15,263,289,255,280,1100
2007-6-19,245,270,245,270,400
2007-6-21,255,255,255,255,100
2007-6-28,270,270,270,270,100
2007-7-2,297,297,297,297,200
2007-8-8,250,250,250,250,100
2007-8-10,299,300.345,297,300.345,1400
2007-8-14,295,300,295,300,300
2007-8-15,300,300,300,300,100
2007-8-16,270,270,270,270,100
2007-8-28,250,250,231,250,1200
2007-8-30,297.54,300,297,300,1400
2007-8-31,300,300,300,300,1000
2007-9-3,300,330,300,330,4400
2007-9-4,315,315,315,315,200
2007-10-3,277,277,272,272,600
2007-10-5,261,261,255,255,600
2007-10-10,241,250,220,250,1400
2007-11-6,260,260,234,257,300
2007-11-7,232,232,232,232,100
2007-11-9,255,255,255,255,100
2007-11-20,230,230,229.5,230,1800
2007-11-21,243,243,243,243,100
2007-11-22,251,251,251,251,100
2007-11-23,220,225,220,225,4600
2007-11-29,244,244,244,244,100
2007-11-30,248,249,248,249,300
2007-12-4,245,245,245,245,100
2007-12-12,240,250,240,250,3400
2007-12-13,250,250,250,250,100
2007-12-28,225,225,225,225,100
2008-1-9,270,270,270,270,200
2008-1-14,250,250,250,250,100
2008-1-15,200,255,200,254,2200
2008-1-23,220,220,220,220,800
2008-1-24,250,251,211,211,1000
2008-2-4,200,200,190,190,200
2008-2-7,190,190,190,190,400
2008-2-18,190,190,190,190,300
2008-2-22,190,190,180,180,500
2008-2-26,190,190,190,190,100
2008-2-27,190,190,190,190,200
2008-3-6,192,192,192,192,1100
2008-3-7,193,193,193,193,1600
2008-3-28,199,210,199,210,300
2008-4-7,200,200,200,200,100
2008-4-14,190,190,190,190,100
2008-4-21,200,200,200,200,100
2008-4-23,200,200,200,200,100
2008-4-28,202.2,202.2,202.2,202.2,500
2008-5-4,222,230,222,230,300
2008-5-5,241,250,241,250,200
2008-5-6,250,250,245,245,600
2008-5-7,255,289.999,255,289.999,1500
2008-5-8,285,285,280,280,600
2008-5-12,255,255,255,255,200
2008-5-13,250,250,250,250,200
2008-6-23,220,220,220,220,100
2008-7-16,200,200,200,200,100
2008-7-17,200,200,200,200,100
2008-8-6,175,175,175,175,100
2008-8-26,190,190,185,185,200
2008-9-11,190,190,190,190,200
2008-9-12,190,190,190,190,100
2008-9-16,166,166,166,166,500
2008-9-19,167,167,167,167,100
2008-9-25,211,215,211,215,700
2008-9-26,180,180,180,180,100
2008-10-6,180,180,180,180,100
2008-10-9,168,168,167,167,500
2008-10-20,167,167,167,167,100
2008-10-28,231,233,231,233,400
