Date,Open,High,Low,Close,Volume
2011-12-14,515,550,501.5,525,109
2011-12-15,535,535,520,530,204
2011-12-16,525.01,590,522.01,550.01,504
2011-12-19,560,579.99,560,575,436
2011-12-20,577,580,555,570.01,298
2011-12-21,569.99,575,569.99,575,93
2011-12-22,571,699,571,573,278
2011-12-23,573,600,570,600,182
2011-12-28,600,600,600,600,1
2012-1-11,567.43,567.43,567.43,567.43,1
2012-1-17,467.01,467.01,467.01,467.01,1
2012-1-25,570.02,570.02,570.02,570.02,1
2012-3-28,350.01,350.01,350,350,2
2012-3-30,350,350,213.02,213.02,4
2012-4-2,279.41,283,279.41,283,12
2012-4-25,394.34,394.34,394.34,394.34,1
2012-4-26,552.08,552.08,515,552.07,629
2012-5-12,447,772,447,772,3
2012-5-18,777,777,776.99,776.99,2
2012-5-22,740,742,740,742,2
2012-5-25,999,1026,999,1026,5
2012-5-28,700,1425.5,611.1,700,61
2012-5-29,701.01,840,476.91,799.9,27
2012-5-30,767.91,846,767.91,846,16
2012-5-31,950,950,850,850,43
2012-6-4,800,800,800,800,1
2012-6-5,845,845,833,833,2
2012-6-6,850,1000,850,980,3
2012-6-9,615,1280,615,1249,10
2012-6-13,1480,1480,956,1300,3
2012-6-14,1333,1333,760,760,12
2012-6-18,655,830,655,701,3
2012-6-19,640,640,500.37,640,8
2012-6-20,580,669.99,580,669.99,8
2012-6-21,870,870,870,870,2
2012-6-22,650,650,550,580,16
2012-6-25,540.01,649.99,540.01,649.99,3
2012-6-26,650,650,545,574.99,27
2012-6-27,470.03,490,400,490,8
2012-6-28,410,549,410,548.99,9
2012-6-29,467.48,559.22,467.47,559.22,7
2012-7-3,412.01,440,412.01,420,8
2012-7-4,420,519.89,420,500,10
2012-7-5,468.01,513,420.23,500,11
2012-7-6,460.01,460.01,460,460,5
2012-7-16,518,518,518,518,1
2012-7-17,382.79,449.99,382.78,403.13,5
2012-7-25,365.17,459.25,360,459.25,10
2012-7-30,335.01,419.98,275.5,419.98,7
2012-8-3,390.98,390.98,390.98,390.98,1
2012-8-6,300,399.86,300,389.84,31
2012-8-7,320.01,388.93,320.01,388.93,2
2012-8-9,350.07,369.87,350.07,369.87,4
2012-8-14,349.99,349.99,349.99,349.99,1
2012-8-20,300.01,362.83,300.01,362.83,2
2012-8-22,349.99,350,349.99,350,11
2012-8-23,349.99,349.99,349.99,349.99,4
2012-8-27,300.04,459.99,300.04,459.99,2
2012-9-3,295.03,295.03,295.03,295.03,1
2012-9-4,409.99,410,360,360,3
2012-9-7,310.11,449.98,310.11,360,7
2012-9-11,360,360,360,360,2
2012-9-12,330.46,350,330.46,350,2
2012-9-14,330.05,420,325,420,5
2012-9-17,321,359.99,321,359.88,7
2012-9-18,409.87,409.87,330.03,330.03,3
2012-9-19,320,320,312,312,8
2012-9-21,329.95,329.95,329.95,329.95,1
2012-9-24,265.01,310,265.01,310,4
2012-9-25,299.88,309.99,299.88,309.99,3
2012-9-26,276.07,299.99,276.07,299.99,3
2012-9-27,309.93,309.93,309.93,309.93,1
2012-9-28,309.84,309.84,245.74,269.47,42
2012-10-1,230.5,350,185.03,239.92,213
2012-10-2,250,279.89,239.08,279,15
2012-10-3,298,350,298,329,47
2012-10-4,295.01,319.99,256.16,256.16,59
2012-10-5,257,265.97,210,224.68,157
2012-10-8,220,223.17,191.08,196.1,362
2012-10-9,199.95,199.95,165,175.01,326
2012-10-10,175.01,204.98,162,174,157
2012-10-11,165.15,187.7,165.15,185,21
2012-10-12,170.41,180,150,155.03,228
2012-10-15,151.01,162.91,145,150.01,89
2012-10-16,159.88,159.88,130.12,134.99,106
2012-10-17,141.98,141.98,80,117,672
2012-10-18,114,134.68,101.03,120,219
2012-10-19,128.9,128.9,105.15,112.28,101
2012-10-22,113,129.9,111,119,182
2012-10-23,114.01,121.98,107,113,103
2012-10-24,116.93,120.9,108.05,112.5,76
2012-10-25,111.11,115,109,109,70
2012-10-26,112,112,95.05,104.36,268
2012-10-29,111,115,100.42,100.42,9
2012-10-30,105,114,97,97,105
2012-10-31,101,109.85,97,107.75,24
2012-11-1,108,108,95,100.01,26
2012-11-2,108.19,108.19,103.1,103.1,3
2012-11-6,98.01,101.93,90,99,190
2012-11-7,96.99,100,93,95.5,35
2012-11-8,95,95,93,95,11
2012-11-9,91.01,100,91,100,23
2012-11-12,105,106,104.82,106,8
2012-11-13,99.2,109,99.2,106,33
2012-11-14,105,130.85,105,120,222
2012-11-15,126,128,117,124.9,38
2012-11-16,118,124.99,113.01,121,59
2012-11-19,113,119.06,105,119.06,83
2012-11-20,121.99,121.99,113.01,113.01,16
2012-11-21,117,130,117,130,163
2012-11-22,132,136.89,125.1,128.01,62
2012-11-23,128.45,143,125,135.7,72
2012-11-26,132.72,189.91,125.01,188.5,197
2012-11-27,194,265.31,181,265.31,535
2012-11-28,278.31,322.99,268.22,290,1433
2012-11-29,250,309.97,212.01,227.59,236
2012-11-30,229.97,239.97,205,239.97,86
2012-12-3,211.02,262.77,211.02,262.77,124
2012-12-4,268,333.33,267,299,283
2012-12-5,300,310,292.92,310,86
2012-12-6,300,300,261.01,290,75
2012-12-7,298.87,310,270,307.99,36
2012-12-10,300,315,265.01,315,120
2012-12-11,319.99,390,316.99,350.55,226
2012-12-12,348.66,348.66,315,343.97,171
2012-12-13,330.01,330.01,265.01,300,221
2012-12-14,270.86,293,240,263,249
2012-12-17,263.01,273,240.03,255,122
2012-12-18,240.4,254.59,220,223,491
2012-12-19,220,228.99,200.01,200.01,346
2012-12-20,204.12,209.9,166,181.02,234
2012-12-21,182.1,219.9,181.69,185.06,379
2012-12-24,194.99,198,188.59,195,36
2012-12-25,204.98,233,190,212.35,257
2012-12-26,219.96,244.85,219.96,224,186
2012-12-27,215.01,230,211,215.99,72
2012-12-28,211,222.99,201.11,209,109
2013-1-8,200.02,209,200.02,205,36
2013-1-9,205,210,201.17,208.08,9
2013-1-10,224.99,243.99,205,214.45,55
2013-1-11,219.99,236.98,219.99,235,200
2013-1-14,236.7,242.99,231,231,73
2013-1-15,226,227.99,220,221.2,183
2013-1-16,214,238.91,210.12,237.88,37
2013-1-17,239.05,239.05,217.6,236.91,15
2013-1-18,225.03,225.03,222.23,222.23,5
2013-1-21,220.1,225,220.1,220.1,28
2013-1-22,215.08,225,215.08,224.48,40
2013-1-23,229.76,229.76,215,215,21
2013-1-24,215,220,206.02,209,48
2013-1-25,208.88,214,204.08,214,73
2013-1-28,219.03,219.03,209.25,213.99,37
2013-1-29,210,213,208.5,211.5,74
2013-1-30,215,215,206.5,210.99,19
2013-1-31,204,205,196,200,91
2013-2-1,200,208.88,196.28,206.33,75
2013-2-4,201.01,208.88,201.01,208.85,12
