Date,Open,High,Low,Close,Volume
2006-8-18,133.35,133.35,127.01,127.11,2829
2006-8-21,132,132.13,125.01,130,23713
2006-8-22,127.7,133,127.7,131.5,8718
2006-8-23,131.5,139,129.01,135,18382
2006-8-24,134.01,139,133.5,137.5,10738
2006-8-25,140,140,136.01,137,21897
2006-8-28,136.98,138.68,134.1,136.99,6263
2006-8-29,136,137.5,133,135.48,10201
2006-8-30,135.98,136,131.06,131.9,9609
2006-8-31,131.9,132.79,129,129.39,7064
2006-9-1,130,130.01,127,128,10401
2006-9-4,130.98,130.98,127.25,129,5301
2006-9-5,129.99,129.99,128.87,129.6,3080
2006-9-6,130,130,128.5,129,2158
2006-9-7,129,129,124,127,7369
2006-9-8,125,130.2,125,129.67,870
2006-9-11,128.99,128.99,125,126.49,4114
2006-9-12,125.5,131.96,123.5,123.65,10364
2006-9-13,124.5,129,120.67,124.36,1920
2006-9-14,125,127.49,125,125.5,7609
2006-9-15,121.1,126.99,121.1,123.5,6244
2006-9-18,126.99,126.99,122.22,124,1530
2006-9-19,125.79,125.92,123.08,123.88,7258
2006-9-20,123.73,123.8,118.02,120.78,5050
2006-9-21,122.03,122.03,118.6,121.5,3075
2006-9-22,118.62,121.49,114.05,120.89,3697
2006-9-25,117,120.99,115.8,116.41,2257
2006-9-26,116.2,124.99,116.2,123.15,4205
2006-9-27,124.99,127,122.95,123.1,877
2006-9-28,126.99,136.33,123.01,134.99,21942
2006-9-29,133,139,130.5,133.5,7807
2006-10-2,134.99,142,133,138,9608
2006-10-3,138.05,138.05,132,133.97,2936
2006-10-4,131.11,139,130.01,135.02,7465
2006-10-5,137,142,137,139.5,11846
2006-10-6,136.04,140,136.04,139.99,4645
2006-10-9,138.04,157.5,136.03,156.9,6662
2006-10-10,159.98,170,147.15,149,6386
2006-10-11,145.01,152.95,145.01,148,2685
2006-10-12,148.98,149.9,145.81,147.89,5940
2006-10-13,149.25,160,149,158.86,12775
2006-10-16,159.51,162,157,158.25,2365
2006-10-17,164.08,164.08,157,158.37,11045
2006-10-18,158.99,159.88,157,158.97,15264
2006-10-19,159,160.4,156,158.69,5126
2006-10-20,160.02,160.03,147.99,149.5,19527
2006-10-23,150,150,140,143.99,17783
2006-10-24,143.5,143.5,140,141.47,7525
2006-10-25,141.5,144.9,139.8,144.77,22577
2006-10-26,147.77,149,145,146.5,27291
2006-10-27,147,150.94,144.01,148.61,12459
2006-10-30,147.51,150.5,146,148,15022
2006-10-31,148,159,146.1,154.84,15353
2006-11-1,157.98,161,153.48,158,9761
2006-11-2,158,162,151.21,154.95,15318
2006-11-3,155.06,158.87,154,156.8,30976
2006-11-7,159,161.98,156.9,160.25,19365
2006-11-8,159.99,161.99,158,158.12,12660
2006-11-9,161.11,163.79,158.32,160.02,30437
2006-11-10,160.06,160.06,158.11,159.09,6095
2006-11-13,159,161.68,156.24,158.59,19263
2006-11-14,160.3,160.5,156.02,159.7,8685
2006-11-15,160,161.4,157.85,158,6933
2006-11-16,158.01,159,156.5,157.49,10704
2006-11-17,153.21,157.9,150.9,153.19,13298
2006-11-20,153.96,155.01,150.1,151.1,13031
2006-11-21,153,155.26,152,154,17573
2006-11-22,155,157.69,149.75,155.88,40339
2006-11-23,155.79,160.99,155.2,160,14509
2006-11-24,160,160.99,157.8,160.9,4755
2006-11-27,160.9,164.9,159.1,161.33,23783
2006-11-28,161.35,162.4,158.92,160.74,4654
2006-11-29,165.55,168.98,160.03,168.82,11466
2006-11-30,168.5,172,167.5,170,26290
2006-12-1,170,173,169.01,169.5,5060
2006-12-4,168.88,174,168.5,171.5,8548
2006-12-5,171.1,173.98,170.85,172.5,15583
2006-12-6,173.97,174.53,172,173.95,7420
2006-12-7,173.01,175.4,172.2,173,8972
2006-12-8,174,174,171.7,172,5622
2006-12-11,171.7,173.58,169.52,170.6,6257
2006-12-12,170.6,172.23,170,172.22,3938
2006-12-13,169.85,172.5,165.1,167.38,8972
2006-12-14,162.55,170.01,162.55,167.95,14998
2006-12-15,169.99,171.2,168,169.4,7119
2006-12-18,170.1,171.1,169.25,171,10476
2006-12-19,170.55,171,165,167.9,14573
2006-12-20,168.04,170,167.1,168.29,3597
2006-12-21,170.5,170.5,165.51,167.32,6630
2006-12-22,166.25,168,165.03,167.5,5733
2006-12-25,167.35,167.49,163.41,163.91,3376
2006-12-26,165.7,166,163.5,165.79,3089
2006-12-27,165.7,165.84,163.47,164.3,7345
