Date,Open,High,Low,Close,Volume
2017-10-20,180,180,140.5,143.93,4202
2017-10-23,141.01,143,141,141.05,1973
2017-10-24,142,142,139,139,1798
2017-10-25,139.1,139.1,138,139,10748
2017-10-26,138,138,135.7,137,41002
2017-10-27,140,140,134,135,24434
2017-10-30,135.01,135.7,135,135,446
2017-10-31,139.49,140,137.2,139,14267
2017-11-1,142.42,142.42,139,140,6029
2017-11-2,141,141,140,140,3004
2017-11-3,140,140.25,140,140,640
2017-11-7,139,140.01,139,140,30006
2017-11-8,138.01,140,137,139.5,4316
2017-11-9,138.5,139.98,137,137,38203
2017-11-10,138,138.01,136.9,136.9,1920
2017-11-13,139.97,139.97,138.8,139,15
2017-11-14,139.74,139.74,136,136.5,20105
2017-11-15,137.01,138.54,135.5,135.5,30076
2017-11-16,137.01,137.01,134.79,135.1,311
2017-11-17,135,136.5,135,135,196
2017-11-20,135,135.02,134,134.99,72
2017-11-21,135,135.01,133.75,134.88,49
2017-11-22,131.51,134.87,129,129,376
2017-11-23,125.03,129.99,82.01,125,308
2017-11-24,127.49,130,127.49,129.4,425
2017-11-27,128.01,130.16,128.01,129.89,414
2017-11-28,128.99,129,127.01,128.99,30
2017-11-29,128.99,129.01,128,128,6
2017-11-30,134.98,139,128,133,3857
2017-12-1,136,136,131,134,300
2017-12-4,138,138,127.01,128.15,141
2017-12-5,131.6,134.64,126,132,202
2017-12-6,132,135,126,127.97,918
2017-12-7,128.02,128.02,126.5,126.5,131
2017-12-8,125.01,126.63,123,123,96
2017-12-11,121.61,127.46,117.03,126,778
2017-12-12,126,126,126,126,2
2017-12-13,126.95,127,120.02,120.02,222
2017-12-14,125.94,126,115.01,121,554
2017-12-15,122.01,125.9,122,125.9,539
2017-12-18,125.27,125.27,119,120.2,2601
2017-12-19,120.2,120.96,119.8,120,37985
2017-12-20,120.48,122.1,119,120,49951
2017-12-21,120,123.9,119.46,122.01,12141
2017-12-22,121.5,122.5,119,119.6,16280
2017-12-25,119,119.98,119,119.78,857
2017-12-26,119.97,119.98,119.01,119.3,123
2017-12-27,119.89,119.89,118.77,118.77,1014
2017-12-28,118.99,122.01,118.62,122,17054
2017-12-29,121.41,122.6,120.02,120.94,11560
2018-1-3,121.54,121.54,121,121.01,25
2018-1-4,121.6,121.6,121.02,121.02,2
2018-1-5,121.6,123,121.6,123,187
2018-1-9,123.5,124.2,123.5,124.2,920
2018-1-10,128,128,125,125.01,298
2018-1-11,125.5,125.5,125,125,927
2018-1-12,124.51,125.49,124.1,125.49,316
2018-1-15,125,125,122,122.6,557
2018-1-16,122.31,122.99,122.1,122.99,60
2018-1-17,120.03,120.92,120.03,120.65,340
2018-1-18,120.65,121.94,120.65,121.5,509
2018-1-19,121.5,122.08,121.5,121.5,238
2018-1-22,121.51,124.93,120.98,124.93,58775
2018-1-23,124.31,128.59,124.31,127.62,18267
2018-1-24,127.52,127.62,127.52,127.54,34
2018-1-25,128.09,128.09,127,127,408
2018-1-26,127.01,127.63,126.9,127.01,753
2018-1-29,127.63,127.64,124.99,125,792
2018-1-30,124.39,125.25,124.38,124.39,190
2018-1-31,124.03,124.03,124,124,240
2018-2-1,124.55,125.25,123.6,123.6,102
2018-2-2,118.15,123.75,118,123.15,1871
2018-2-5,118.05,124,118.05,124,3151
2018-2-6,123.4,123.4,121,121.4,9296
2018-2-7,121.4,121.9,121.25,121.9,429
2018-2-8,122.45,122.45,121,121.5,91
2018-2-9,121.1,121.7,121,121.25,15
2018-2-12,121.75,121.85,121.2,121.2,262
2018-2-13,121,121.7,120.1,120.1,211
2018-2-14,120.7,121.1,120.05,120.05,1599
2018-2-15,121.05,121.6,121,121.15,327
2018-2-16,121.15,124.95,121.15,122.95,195
2018-2-19,122.95,123.6,122.5,123.15,70
