Date,Open,High,Low,Close,Volume
2010-3-9,700,720,700,720,83
2010-3-10,790,1008,790,1008,116
2010-3-11,1005.03,1411.2,1000,1285.98,520
2010-3-12,1248.1,1499,1164.13,1345,253
2010-3-15,1445,1445,1121.01,1150,427
2010-3-16,1203,1203,1087.02,1118.99,262
2010-3-17,1196.97,1196.98,1087,1116.98,275
2010-3-18,1117.11,1128.98,1060,1070,150
2010-3-19,1079.99,1296,1050,1189.98,584
2010-3-22,1173.58,1195.57,1129.55,1163,123
2010-3-23,1145.02,1189.83,1080,1120.02,286
2010-3-24,1160,1160,1080,1104.88,151
2010-3-25,1157.5,1157.5,1050,1069.25,146
2010-3-26,1047,1078.87,1031,1059.99,83
2010-3-29,1035,1063.96,900,1013,369
2010-3-30,995.29,1010.99,966,1000,58
2010-3-31,990,1034.86,975,1011.98,360
2010-4-1,1000,1013.27,980,1000,108
2010-4-2,1066.85,1066.85,952.1,990.83,216
2010-4-5,1101.4,1101.4,980,1015,469
2010-4-6,1005.18,1019.8,995,1005.16,67
2010-4-7,985,1008,952.55,975,94
2010-4-8,965,987.31,955,974.31,27
2010-4-9,974.88,996.99,942.75,956.8,181
2010-4-12,988.5,988.5,923.35,949.97,44
2010-4-13,950,950,905,910.01,81
2010-4-14,915.05,967,915,962.68,95
2010-4-15,963.44,963.47,928,952.46,31
2010-4-16,938.32,952.99,890,919,135
2010-4-19,910,910,817.01,839.87,265
2010-4-20,849.02,868,824,840,60
2010-4-21,845.66,869.98,835,842.1,58
2010-4-22,834.99,842.51,811,830,41
2010-4-23,805.09,838.9,800,823.62,20
2010-4-26,827.55,834.99,798.41,798.41,31
2010-4-27,805.6,805.6,768,788,31
2010-4-28,750,777.76,725,763.98,78
2010-4-29,749.95,757.43,730,749.93,60
2010-4-30,727.55,754.98,725,726.99,28
2010-5-4,735.17,748.99,700,713.55,26
2010-5-5,706.49,711,662,696.99,31
2010-5-6,662,690,649.99,685,39
2010-5-7,668,668,610,610.3,68
2010-5-11,616.3,683,610.3,634.99,2
2010-5-12,607.01,672,607.01,664.99,7
2010-5-13,674.57,674.57,628.16,660.9,17
2010-5-14,630.01,659.95,630.01,659.95,1
2010-5-17,621,649.98,590,639.87,6
2010-5-18,663.99,663.99,623,634,2
2010-5-19,607.81,607.81,580.21,580.21,19
2010-5-20,600,607,570,590,14
2010-5-21,567.19,570,555,570,14
2010-5-24,580,588,555,555,11
2010-5-25,551.78,574.99,535.01,574.74,6
2010-5-26,563,590,563,579.99,7
2010-5-27,562.01,590,562,569.07,4
2010-5-28,567,592,502,555,46
2010-5-31,550,557,536,551,10
2010-6-1,530,555,530,553.92,4
2010-6-2,530,555,530,554.99,10
2010-6-3,555,688,555,669.99,59
2010-6-4,627,659,581,649.44,24
2010-6-7,615,620,610,620,11
2010-6-8,600.61,619.96,583.56,609.98,11
2010-6-9,630,670,617,644.99,89
2010-6-10,658.97,658.97,604,619.97,61
2010-6-11,603,618.66,603,618.66,2
2010-6-15,618,627.97,616.98,627.97,19
2010-6-16,628,628,595,612.98,9
2010-6-17,612.99,612.99,556,583.25,26
2010-6-18,589.08,635,580.1,590.11,6
2010-6-21,595.89,648.99,595.89,611,16
2010-6-22,602.79,602.79,579,596.82,2
2010-6-23,591,608.99,590.91,608.99,0
2010-6-25,525,596.82,525,579,2
2010-6-28,585.06,619.98,585.06,597.05,1
2010-6-29,592,592,555.55,584,2
2010-6-30,565,616,565,616,41
2010-7-1,558.89,596.99,544.99,550.1,23
2010-7-2,555,573,537,563,19
2010-7-6,562.47,608.8,545,608.8,10
2010-7-7,545.02,559.99,534,543.5,45
2010-7-8,555,555.55,526,545.51,29
2010-7-9,558,558,535.11,535.11,7
2010-7-12,548.22,555.19,540.05,550,9
2010-7-13,559.95,562,559.95,562,4
2010-7-14,563,565,563,565,0
2010-7-16,550,565,547.1,547.1,0
2010-7-20,538.99,538.99,517,538,2
2010-7-21,520.21,558,520,558,3
2010-7-22,559.98,565,559.98,565,5
2010-7-23,568,597.99,557.21,557.21,9
2010-7-26,550,551.81,550,550,6
2010-7-27,537.8,552.99,535,552.99,9
2010-7-28,550,550,500,520,109
2010-7-29,515.01,535,515,525,13
2010-7-30,525.01,530.68,516.38,525,10
2010-8-2,529.69,549.99,520,549.23,126
2010-8-3,540.94,540.94,521,528.99,29
2010-8-4,530.28,530.28,520,521.11,5
2010-8-5,521.01,522.13,510,522.13,27
2010-8-6,515.01,529.43,515,520.01,45
2010-8-9,519.84,537.98,519.84,530,27
