Date,Open,High,Low,Close,Volume
2006-6-19,50,50,50,50,5
2006-6-20,65,219.5,65,190,309
2006-6-21,170,177,115,135,113
2006-6-23,136,155,136,155,67
2006-6-26,110,140,110,140,5
2006-6-27,120,140,106,140,84
2006-6-28,117,120,104,104,1055
2006-6-29,100.01,109.99,100,109.99,7
2006-6-30,100.01,109.34,100,100,55
2006-7-5,109.99,114,100,100,620
2006-7-10,119.99,120,119.99,120,22
2006-7-12,95.62,95.62,95.6,95.6,22
2006-7-13,105,105,105,105,1
2006-7-18,110.99,119,110.99,119,7
2006-7-28,105,105,100,100,8
2006-8-1,120,120,120,120,100
2006-8-2,110,110,110,110,2
2006-8-9,100,105,100,105,21
2006-8-10,100.01,100.01,100,100,99
2006-8-17,100.01,100.01,100,100,52
2006-8-21,100.02,100.02,100.02,100.02,210
2006-8-22,119.95,135,100.01,110,553
2006-8-28,100.01,100.01,1.54,1.54,17
2006-8-29,90,110,90,104.5,67
2006-8-30,104,104,104,104,20
2006-8-31,120,120,120,120,2
2006-9-4,120,120,120,120,28
2006-9-8,110,120,110,120,212
2006-9-14,100,100,100,100,201
2006-9-18,90,90,90,90,2
2006-9-19,110,120.5,105,120.5,348
2006-9-22,124.99,124.99,124.99,124.99,1
2006-9-28,115,115,115,115,7
2006-10-2,90.55,90.55,90.55,90.55,1
2006-10-5,100,124.5,100,124.5,70
2006-10-6,112,112,112,112,2
2006-10-13,112.5,112.5,112.5,112.5,5
2006-10-18,123.5,124.5,123.5,124.5,133
2006-10-19,110.02,125,110.02,125,63
2006-10-20,125,150,125,131,266
2006-10-23,120.1,140,114,140,299
2006-10-24,150,155,150,150,303
2006-10-25,140,140,135.01,135.01,2
2006-10-26,125,140.01,125,140,560
2006-10-27,154,189.9,120.01,173,56186
2006-10-30,125,210,125,164,6855
2006-10-31,165,167.9,150.3,167.9,134
2006-11-1,156.7,156.7,152.2,153.72,106
2006-11-2,158.26,158.26,158.26,158.26,10
2006-11-3,155.06,155.06,110,151,1273
2006-11-7,160,169.99,160,160,21
2006-11-8,165.01,165.01,165,165,20
2006-11-9,156.61,161.61,155,160.99,71
2006-11-13,210,210,140,165.01,7842
2006-11-14,166.66,209.9,146,165.66,10634
2006-11-16,175.01,175.01,175.01,175.01,3
2006-11-17,176.76,209,140,190,2693
2006-11-21,190,190.99,185.01,190.99,4
2006-11-24,204,205,204,205,24
2006-11-27,210,224.9,204.01,204.01,1365
2006-11-28,151,220.9,151,220.9,2730
2006-11-29,151,222.9,151,222.9,2730
2006-11-30,165,199.91,151,199.91,1366
2006-12-1,219.98,219.98,219.98,219.98,1
2006-12-8,205,205,205,205,1
2006-12-20,205,219.96,205,219.96,53
2006-12-25,150.01,220,150.01,209,2310
2006-12-26,245,245,200,200,65
2006-12-27,210,320,210,221.01,47
2006-12-28,281.5,281.5,180,180,66
2006-12-29,230,264,195,195,560
2007-1-10,180.02,180.02,180,180,33
2007-1-12,181.81,183.31,181.81,183.31,7
2007-1-15,185.14,185.14,185.14,185.14,1
2007-1-18,210.01,211,210.01,211,2
2007-1-19,211,211,211,211,5
2007-1-22,224,224,211.01,211.01,3
2007-1-24,213.12,220,213.12,220,9
2007-1-29,280.54,280.55,249,268,26
2007-2-2,268,268,268,268,2
2007-2-5,232.01,232.01,230,230,13
2007-2-6,250,250,250,250,1
2007-2-9,212.5,270,212.5,270,16
2007-3-9,165.01,240,165,220,28
2007-3-12,220,220,220,220,5
2007-3-13,220,281,220,281,8
2007-3-14,260,260,231,231,4
2007-3-15,265,265,240,240,19
2007-3-16,230,230,225,225,13
2007-3-19,265,281,175,281,6125
2007-3-20,193.02,193.02,193,193,16
2007-3-21,201,310,165,165,97
2007-3-23,180,253,180,253,5
2007-3-27,250,250,250,250,40
2007-3-30,210,234.99,203,203,4
2007-4-3,240,355,240,355,1622
2007-4-4,273,390,273,277,2831
2007-4-5,280,280,280,280,1
2007-4-6,280,280,280,280,2
2007-4-9,267,438,267,438,2224
2007-4-10,302,302,302,302,1
2007-4-11,350,360,350,360,24
2007-4-12,304.71,453,286.71,350,94
2007-4-13,311,311,309.9,309.9,8
2007-4-17,328.1,429,327.91,419,16
2007-4-18,350,550,350,550,27
2007-4-19,500,500,400,400,12
2007-4-23,400,400,389.11,389.11,3
2007-4-27,311,324,302,302,15
