Date,Open,High,Low,Close,Volume
2008-9-23,5100,5100,5100,5100,12
2008-11-28,1100,1200,1100,1150,8
2008-12-2,1149.99,1149.99,1149.99,1149.99,1
2008-12-3,870,1140,870,1140,736
2008-12-4,1150,1225,1150,1225,105
2008-12-5,1250,1260,1250,1260,409
2008-12-8,1250,1255,1250,1255,420
2008-12-11,1550,1600,1550,1600,55
2008-12-12,1600,1600,1600,1600,1
2008-12-16,1700.01,2110,1700,2099,256
2008-12-18,1900,1950,1900,1950,2
2009-1-13,2000,2000,2000,2000,10
2009-1-19,1400,1400,1395,1396,410
2009-1-22,1270,1272,1270,1272,400
2009-1-23,1145,1146.5,945,1050,4150
2009-1-26,1050,1100,1050,1100,500
2009-1-27,1000,1000,1000,1000,100
2009-1-30,1000,1100,900,900,111
2009-2-2,950,950,950,950,10
2009-2-3,900,900,900,900,10
2009-2-4,949,1100,800,1100,638
2009-2-5,1100,1199,1100,1199,1102
2009-2-6,1100,1200,955.01,1200,139
2009-2-12,1100,1200,1050,1200,500
2009-2-16,1050,1300,1050,1300,18
2009-2-17,951,1250,950,1250,75
2009-2-26,1100,1100,1075,1075,42
2009-2-27,1075,1075,1075,1075,5
2009-3-4,1025,1150,950,1075,506
2009-3-6,1025,1025,1025,1025,1
2009-3-13,950,950,950,950,200
2009-3-19,1150,1150,1000,1000,3
2009-3-20,1100,1100,1100,1100,284
2009-3-24,1100,1100,1100,1100,28
2009-3-27,1150,1250,1120,1150,1062
2009-3-30,1150,1200,1000,1075,50
2009-3-31,1149.98,1150,1000,1125,4
2009-4-1,1100,1100,1100,1100,1
2009-4-2,1125,1125,1125,1125,1
2009-4-6,1125,1125,1105,1105,2
2009-4-9,1105,1150,1105,1125,66
2009-4-10,1150,1150.01,1150,1150,63
2009-4-14,1149.99,1200,1149.99,1200,418
2009-4-15,1200,1225,1200,1225,425
2009-4-16,1250,1400,1250,1400,254
2009-4-17,1450,1500,1400,1500,122
2009-4-21,1300.01,1300.01,1300,1300,12
2009-4-22,1499.99,1500,1499.99,1500,5
2009-4-24,1475,1550,1335,1500,203
2009-4-27,1315.01,1315.01,1315,1315,308
2009-4-29,1449.99,1450,1449.99,1450,100
2009-4-30,1430,1430,1425,1425,90
2009-5-4,1400,1475,1400,1400,162
2009-5-5,1410,1500,1410,1500,110
2009-5-6,1500,1550,1500,1550,354
2009-5-7,1700,1700,1700,1700,1
2009-5-12,1800,1800,1650.01,1800,53
2009-5-13,1989.99,1989.99,1500,1500,182
2009-5-14,1599.99,1950,1400.02,1600,145
2009-5-15,1425.01,1700.01,1425.01,1700,103
2009-5-18,1410,1779.99,1410,1700,6
2009-5-19,1950,1950,1450,1500,344
2009-5-20,1450,1480,1389,1480,670
2009-5-21,1383.33,1650,1383.33,1499.99,726
2009-5-22,1499,1499,1440.01,1440.01,6
2009-5-25,1500,1570.01,1500,1570,194
2009-5-26,1450.01,1550,1450,1550,29
2009-5-27,1400.02,1540,1400.02,1400.04,5
2009-5-28,1479.99,1479.99,1401.15,1401.15,2
2009-5-29,1449,1570,1449,1570,1057
2009-6-1,1520,1520,1520,1520,1
2009-6-2,1539.99,1570,1430,1530,570
2009-6-3,1530,1670,1500.01,1600,3686
2009-6-4,1669.99,1740,1605,1740,343
2009-6-5,1739,1990,1739,1840,1128
2009-6-8,1960,1960,1861,1959,45
2009-6-9,1960,2100,1950,2050,715
2009-6-10,2050,2050,2000,2000,130
2009-6-11,2050,2050,1925,2000,178
2009-6-15,2025,2050,1950,1950,451
2009-6-16,1950,1950,1950,1950,25
2009-6-17,1860.01,1860.01,1790,1849,225
2009-6-18,1849.98,1849.98,1750,1750,129
2009-6-19,1850,1850,1800,1800,214
2009-6-23,1450,1791,1450,1791,10
2009-6-24,1819.94,1819.94,1819.94,1819.94,5
2009-6-25,1690,1690,1680,1680,250
2009-6-26,1680,1700,1640,1700,301
2009-6-29,1699,1700,1699,1700,5
2009-6-30,1690,1690,1640,1640,186
2009-7-1,1670,1675,1625,1625,120
2009-7-2,1650,1650,1620,1620,394
2009-7-3,1639,1640,1639,1640,115
2009-7-6,1639.99,1639.99,1639.99,1639.99,2
2009-7-7,1579.99,1579.99,1579.99,1579.99,8
2009-7-8,1570.01,1600,1570,1600,122
2009-7-10,1560.01,1560.01,1560.01,1560.01,10
2009-7-15,1250.01,1575,1250,1575,329
2009-7-22,1265.01,1464.32,1265,1464.32,347
2009-7-23,1270,1299,1001.11,1078,144
2009-7-24,1270,1299,1259.99,1259.99,21
2009-7-27,1258.99,1258.99,1258.99,1258.99,1
2009-7-31,1180,1180,1180,1180,10
2009-8-3,1200,1200,1180,1200,1436
2009-8-4,1199.99,1200,1199.99,1200,1164
2009-8-5,1199.99,1250,1199.99,1250,64
