Date,Open,High,Low,Close,Volume
2011-12-8,624,624,618.2,624,21
2011-12-9,374.4,374.4,374.4,374.4,41
2011-12-12,225,225.4,224.6,224.6,56
2011-12-13,224.6,224.6,170.2,204.7,47
2011-12-14,150.3,203.7,150,165,370
2011-12-15,165,219.9,165,209.9,69
2011-12-16,201.9,214.4,185.2,214.4,30
2011-12-19,161,211.9,161,211.9,3
2011-12-20,162.4,208,162.1,208,8
2011-12-22,199,199,199,199,2
2011-12-23,210.2,215.3,204.8,213.8,35
2011-12-26,220,220,220,220,1
2011-12-29,210,225,200,200,6
2012-1-3,210,240,210,240,8
2012-1-4,288,288,288,288,2
2012-1-6,231.1,231.4,230.4,230.4,8
2012-1-9,250,250,250,250,1
2012-1-10,247.6,247.6,247.6,247.6,1
2012-1-11,237,237,237,237,1
2012-1-13,200.1,210.2,180,210.2,14
2012-1-17,244.8,244.8,244.8,244.8,1
2012-1-19,230,230,230,230,1
2012-1-25,200.5,200.5,200,200,36
2012-1-27,220.2,220.2,220,220,2
2012-2-1,237.9,238,237.9,238,9
2012-2-3,239.8,244.9,239.8,244.9,7
2012-2-7,200,248,200,221.9,44
2012-2-8,220,240,190.6,203.2,26
2012-2-14,201.7,201.7,201.5,201.5,5
2012-2-16,221.7,221.9,220.9,220.9,7
2012-2-20,217.9,248,217.9,220,83
2012-2-21,210,211,180,211,69
2012-2-22,207,212.1,187,210,36
2012-2-24,218.4,220,218.4,220,3
2012-2-27,227.9,227.9,227.9,227.9,2
2012-3-1,241,241,241,241,1
2012-3-6,217.1,217.1,217,217,2
2012-3-11,275,275,275,275,10
2012-3-13,220.1,220.1,209.9,210,66
2012-3-16,198.3,200,198.3,199.9,5
2012-3-19,200,200,198,198,7
2012-3-26,203.9,203.9,203.9,203.9,2
2012-3-28,191.1,191.1,187,187,5
2012-3-29,185.5,185.5,183,183,3
2012-3-30,188,192,188,192,4
2012-4-2,190,190,190,190,7
2012-4-3,197.9,198,197.9,198,2
2012-4-19,209.9,209.9,209.9,209.9,1
2012-4-27,178.3,178.4,178.2,178.2,8
2012-5-2,180.2,180.2,180.2,180.2,1
2012-5-24,180,180,180,180,1
2012-6-7,199.7,199.7,199.7,199.7,4
2012-6-15,199.9,199.9,199.9,199.9,29
2012-6-18,180,180,170,170,12
2012-6-28,174.2,174.6,174.2,174.6,8
2012-7-3,174.5,175,151.5,160,15
2012-7-5,179.7,179.7,179.7,179.7,3
2012-7-19,176.7,176.7,176.7,176.7,1
2012-8-1,177.6,177.6,177.6,177.6,1
2012-8-6,145.1,145.1,145.1,145.1,3
2012-8-9,148,148,148,148,2
2012-8-10,150.1,150.1,150,150,5
2012-8-30,159.9,159.9,159.9,159.9,1
2012-8-31,164.9,164.9,164.9,164.9,10
2012-9-3,160,160,160,160,1
2012-9-11,179.9,179.9,179.9,179.9,1
2012-9-18,160.3,160.3,146,146,10
2012-9-28,155,155,155,155,1
2012-10-23,150,155,150,155,2
2012-10-24,150,150,150,150,1
2012-10-25,149.9,150,149.9,150,3
2012-10-26,155,155,155,155,1
2012-11-1,155,155,155,155,11
2012-11-9,145,150,145,150,4
2012-11-14,140,140,130,130,5
2012-11-15,142.4,142.4,142.4,142.4,2
2012-12-10,162.5,162.5,162.5,162.5,24
2012-12-11,159.7,159.7,150.8,150.8,6
2012-12-12,150.7,150.8,150.7,150.8,8
2013-1-23,117.6,117.6,117.5,117.5,65
2013-1-24,132.7,163.8,119.4,163.8,177
2013-1-29,159.9,159.9,159.9,159.9,1
2013-2-13,159.8,223.9,159.8,223.9,124
2013-2-14,212.5,313.5,180.1,313.5,61
2013-2-15,321.1,438.9,253.2,288,119
2013-2-18,299,320,243.1,250,85
2013-2-19,240,299.9,230,250,8
2013-2-20,257.9,283.5,257.9,260.4,6
2013-2-21,226,247.8,210.1,221,17
2013-2-25,211.8,232.6,211.8,232.6,7
2013-2-26,235.2,244,235.2,244,9
2013-2-27,285,285,285,285,1
2013-3-1,234.8,250,230,250,4
2013-3-4,235.1,239.9,225,225,15
2013-3-5,289.9,289.9,225.2,225.2,4
2013-3-6,225.1,225.1,225,225,31
2013-3-7,249.1,249.1,249.1,249.1,21
2013-3-11,235.7,235.7,235.6,235.6,34
2013-3-12,239.5,239.5,239.5,239.5,2
2013-3-21,249.9,260,249.9,251.4,13
2013-3-25,186.4,195.1,186.4,195.1,6
2013-3-28,177,234.1,177,210,16
2013-3-29,219.9,241.9,219.9,241.9,9
2013-4-1,243.8,243.8,243.8,243.8,1
2013-4-3,202.4,205,202.4,205,2
2013-4-4,177,202.2,177,195.1,11
2013-4-5,200,200,200,200,1
2013-4-8,200,200,200,200,1
2013-4-9,260,260,260,260,4
2013-4-10,254.8,254.8,254.8,254.8,1
2013-4-15,158.2,158.2,158.1,158.1,4
2013-4-16,160,170,160,170,5
2013-4-17,167,238,167,200,11
2013-4-24,181.1,181.1,181.1,181.1,2
2013-5-6,253.1,253.4,253.1,253.4,2
2013-5-15,161.7,161.7,161.7,161.7,1
2013-5-20,225,225,225,225,1
