Date,Open,High,Low,Close,Volume
2011-7-18,13469,13469,11350,13400,104
2011-7-19,12201,12202,12102,12202,12
2011-7-20,12100,12500,11975,11975,72
2011-7-21,11975,12700,11975,12050,426
2011-7-22,12499,12499,12010,12400,338
2011-7-25,12750,12750,12500,12500,49
2011-7-26,12600,12600,12201,12201,14
2011-7-27,12250,12250,11950,11950,340
2011-7-28,12000,12000,11950,12000,39
2011-7-29,12000,12000,11921,11921,8
2011-8-1,12000,12000,11752,11800,131
2011-8-2,11949,11950,11949,11950,25
2011-8-3,11700,11700,11580,11580,41
2011-8-4,11600,11600,11600,11600,3
2011-8-5,11302,11600,11201,11400,71
2011-8-8,11400,11400,11075,11075,4
2011-8-9,10879,10888,10000,10555,46
2011-8-10,10755,10755,10350,10350,41
2011-8-11,10600,10600,9500,10500,261
2011-8-12,10300,10557,10300,10557,99
2011-8-15,10300,10600,10300,10400,60
2011-8-16,10225,10300,10200,10200,13
2011-8-17,10150,10300,10150,10300,334
2011-8-18,10300,10450,10200,10200,45
2011-8-19,10500,10500,10400,10400,22
2011-8-22,10399,10699,9900,9950,43
2011-8-23,10689,10690,10058,10071,66
2011-8-24,10001,10392,9995,10197,47
2011-8-25,9901,10200,9901,10001,435
2011-8-26,9801,11000,9750,10496,1018
2011-8-29,10500,11490,10100,10937,2061
2011-8-30,10998,11187,10321,10547,581
2011-8-31,10697,11200,10549,11000,212
2011-9-1,11148,11150,10803,10950,93
2011-9-2,11480,11500,10954,10954,60
2011-9-5,10555,11480,10555,11111,170
2011-9-6,11475,11475,11100,11200,183
2011-9-7,11312,12350,11309,12350,225
2011-9-8,12298,12300,11810,12300,62
2011-9-9,11774,12300,11701,12000,331
2011-9-12,11509,11651,11500,11500,42
2011-9-13,11511,11901,11501,11600,30
2011-9-14,11700,11800,11699,11800,29
2011-9-15,11750,12000,11750,12000,346
2011-9-16,12199,12300,11845,12300,692
2011-9-19,12200,12250,12001,12006,68
2011-9-20,12003,12350,12003,12350,366
2011-9-21,12350,12500,12200,12450,266
2011-9-22,11700,12195,10350,11325,359
2011-9-23,11887,11887,10510,10899,240
2011-9-26,10886,11550,10400,11500,188
2011-9-27,11890,12246,11500,11500,76
2011-9-28,11240,11535,11145,11145,137
2011-9-29,10806,11895,10806,11895,123
2011-9-30,11894,11895,10876,11683,69
2011-10-3,10601,11499,10600,11300,83
2011-10-4,11075,11075,10250,10250,57
2011-10-5,11249,12246,9791,10000,168
2011-10-6,11000,12500,10350,10699,254
2011-10-7,10700,11071,10400,11000,253
2011-10-10,11100,11225,10402,11124,241
2011-10-11,10851,11002,10700,10700,76
2011-10-12,11000,11100,10402,11000,788
2011-10-13,10827,11100,10730,11000,192
2011-10-14,10999,11021,10791,11021,126
2011-10-17,10951,11024,10824,10824,122
2011-10-18,10989,11383,10550,11383,134
2011-10-19,11401,11401,10961,11000,457
2011-10-20,11000,11001,10950,10950,403
2011-10-21,11000,11200,10990,11075,1387
2011-10-24,11347,11379,10931,11094,409
2011-10-25,11295,11295,10990,11000,1029
2011-10-26,10700,11199,10700,11140,511
2011-10-27,10900,11300,10815,11189,1926
2011-10-28,10952,11299,10952,11299,314
2011-10-31,11101,11344,11000,11256,127
2011-11-1,11387,11494,11182,11252,257
2011-11-2,11250,11477,11250,11300,36
2011-11-3,11049,11496,11048,11114,161
2011-11-7,11148,11252,11125,11150,9
2011-11-8,11151,11200,11028,11029,91
2011-11-9,11101,11150,10816,10816,252
2011-11-10,10954,11100,10800,11000,221
2011-11-11,11000,11061,10830,10900,251
2011-11-14,11197,11199,10730,10898,104
2011-11-15,10980,11099,10928,10928,70
2011-11-16,10990,11000,10720,10888,263
2011-11-17,10017,10900,10017,10773,119
2011-11-18,10501,10688,10400,10595,89
2011-11-21,10501,10501,10200,10300,209
2011-11-22,10251,10716,10101,10377,298
2011-11-23,10188,10236,10100,10100,43
2011-11-24,10194,10195,10000,10000,141
2011-11-25,9999,10000,9448,9724,274
2011-11-28,9800,9915,9600,9850,302
2011-11-29,9914,9915,9589,9784,154
2011-11-30,9709,9890,9671,9750,668
2011-12-1,9849,10000,9635,9635,177
2011-12-2,9767,9767,9200,9450,467
2011-12-5,9302,9667,9301,9500,149
2011-12-6,9352,9400,9139,9201,95
2011-12-7,9070,9200,8900,9000,519
2011-12-8,9109,9563,9050,9198,334
2011-12-9,9000,9532,8999,9500,800
2011-12-12,9136,9200,8997,8997,249
2011-12-13,8815,9049,8700,9000,91
2011-12-14,8861,8861,8415,8570,402
2011-12-15,8601,8929,8222,8400,886
2011-12-16,8400,8498,8201,8390,224
2011-12-19,8250,8260,8125,8201,44
2011-12-20,8121,8299,8120,8200,63
2011-12-21,8449,8538,8250,8250,40
2011-12-22,8449,8449,8150,8250,69
2011-12-23,8149,8161,7999,8000,147
2011-12-26,8199,8299,8001,8100,70
2011-12-27,8080,8100,8050,8050,41
2011-12-28,8002,8002,7797,7803,104
2011-12-29,7851,7894,7700,7894,53
2011-12-30,7758,8197,7750,8197,84
2012-1-3,8300,8500,8150,8500,75
2012-1-4,8350,8350,8203,8203,38
2012-1-5,8300,8300,8100,8100,55
2012-1-6,8100,8400,8100,8400,43
2012-1-9,8500,8500,8102,8102,18
2012-1-10,8123,8450,8123,8385,117
2012-1-11,8400,8410,8290,8290,58
2012-1-12,8101,8398,8101,8200,70
2012-1-13,8120,8201,8120,8120,90
2012-1-16,8200,8398,8170,8251,56
2012-1-17,8459,8459,8220,8300,137
2012-1-18,8180,8200,8155,8166,24
2012-1-19,8185,8225,8122,8200,35
2012-1-20,8350,8570,8350,8500,175
2012-1-23,8499,8600,8310,8350,670
2012-1-24,8420,8450,8320,8390,686
2012-1-25,8598,8698,8450,8698,360
2012-1-26,8698,8900,8551,8702,401
2012-1-27,8839,8839,8500,8650,331
2012-1-30,8515,8642,8420,8420,52
2012-1-31,8402,8692,8352,8601,107
2012-2-1,8600,8880,8600,8680,196
2012-2-2,8745,8999,8730,8800,229
2012-2-3,8650,8988,8650,8800,204
2012-2-6,8800,9137,8721,8926,490
2012-2-7,8926,9748,8926,9200,499
2012-2-8,9208,9398,9208,9300,531
2012-2-9,9251,9525,9250,9350,271
2012-2-10,9250,9251,9111,9250,407
2012-2-13,9200,9700,9150,9657,249
2012-2-14,9650,10099,9650,9900,638
2012-2-15,10000,10250,9952,10013,336
2012-3-26,992,992,900,922,13597
2012-3-27,925,970,905.9,954,3302
2012-3-28,968.9,1190,925.1,946.1,11787
2012-3-29,948.9,954,924,946.9,1652
2012-3-30,947,959.8,930.1,959,1974
2012-4-2,965,1080,965,975,3871
2012-4-3,975,1010,970,989.7,2550
2012-4-4,961.3,980,940,958,4622
2012-4-5,958,961.7,933,935,3087
2012-4-6,945,947.8,840,924.3,4032
2012-4-9,905,927.4,890.2,927.4,964
