Date,Open,High,Low,Close,Volume
2007-6-29,657,657,657,657,5
2007-7-2,669,669,669,669,0
2007-7-3,662,662,662,662,0
2007-7-4,645,645,639,639,3
2007-7-5,666,745.17,652,657,1054
2007-7-6,600.01,657.4,600.01,657.4,52
2007-7-9,650,675,650,675,5
2007-7-10,699.99,699.99,678.2,678.2,0
2007-7-11,661,710,661,697,15
2007-7-12,671.6,720,671.6,714,14
2007-7-13,740,1010.3,730,940,24
2007-7-16,819.94,819.94,819.94,819.94,9
2007-7-17,819.94,819.94,715.08,770,107
2007-7-18,800,800,721.01,721.01,28
2007-7-19,755,790,725.06,753,19
2007-7-20,766,766,750,766,9
2007-7-23,759,759,740,758.89,33
2007-7-24,769.88,769.88,769.88,769.88,0
2007-7-25,730,750,730,750,1
2007-7-26,745,745,734,734,12
2007-7-27,700,744.99,700,744.99,4
2007-7-30,749.99,800,749.99,800,16
2007-7-31,737,800,737,800,0
2007-8-1,760,760,760,760,2
2007-8-7,755,755,755,755,0
2007-8-8,730,730,730,730,0
2007-8-9,736,736,736,736,0
2007-8-10,725,725,725,725,0
2007-8-13,710,710,633,660,197
2007-8-14,655.01,663.6,650,663.6,132
2007-8-15,658,659,658,659,8
2007-8-16,660,660,605.1,625,9
2007-8-17,636,636,635,636,9
2007-8-20,635,635,635,635,5
2007-8-21,650,650,645,648.2,10
2007-8-22,645,661.5,645,661.5,100
2007-8-23,672.54,672.54,650,650,5
2007-8-24,640,680,640,680,31
2007-8-27,680,730,670,730,21
2007-8-28,725,725,719,719,11
2007-8-29,700,700,700,700,2
2007-8-30,620,720,620,710,1
2007-8-31,710,717,681,714,54
2007-9-3,709,709,709,709,1
2007-9-4,720,720,720,720,0
2007-9-5,715,720,715,720,0
2007-9-6,724,724,724,724,0
2007-9-7,715,725,715,725,1
2007-9-11,700,700,662.07,673.32,4
2007-9-12,699,706.64,660.01,706.64,41
2007-9-14,703,703,703,703,0
2007-9-17,660,660,660,660,0
2007-9-18,699,700,699,700,0
2007-9-19,685,690,685,690,2
2007-9-20,690,702.5,690,692.5,14022
2007-9-21,700,700,700,700,1
2007-9-24,696.5,700,696.5,700,732
2007-9-25,667.04,679.99,630,679.99,6
2007-9-26,694.99,694.99,694,694,0
2007-9-27,680.99,680.99,680.99,680.99,0
2007-9-28,660,710,660,710,54
2007-10-1,705,705,699.5,700,33
2007-10-2,700,700,680.01,680.01,0
2007-10-3,690,709.9,680,699.98,7
2007-10-4,698,750,698,714,1029
2007-10-5,730,784.2,706,750,48
2007-10-8,775,775,730.02,745.01,43
2007-10-9,740.02,774,720,772,9
2007-10-10,750,998,750,851.24,226
2007-10-11,855,897,770,770,292
2007-10-12,800,829,750,750,193
2007-10-15,760,775,709.01,716.79,247
2007-10-16,716.79,720.01,708,712.52,8
2007-10-17,740,740,707,710,119
2007-10-18,705,715,690,714.93,52
2007-10-19,727.95,775,712.18,720,17
2007-10-22,715,731,715,728.99,9
2007-10-23,715,737.99,711,728.06,25
2007-10-24,720,720,700,711,23
2007-10-25,711,733,710,711,503
2007-10-26,751,751,701,716.98,291
2007-10-29,705,713,695,701,229
2007-10-30,702,702,683,699.9,247
2007-10-31,706.99,706.99,693.2,699.97,10
2007-11-1,711.99,711.99,660,665,1080
2007-11-2,670,681,660,666.59,593
2007-11-6,687.5,730,665,720,607
2007-11-7,726.5,766.99,717,720,759
2007-11-8,715,728.49,710.06,720,122
2007-11-9,719,722.99,705.01,717,57
2007-11-12,721.16,721.16,705.11,712.9,22
2007-11-13,708,729.88,705.17,720,122
2007-11-14,720.02,720.02,690,705,197
2007-11-15,705,716.99,705,710.25,35
2007-11-16,692.02,717.5,692.02,717.5,21
2007-11-19,716,716,706.01,710.1,4
2007-11-20,706.6,711,700,700,54
2007-11-21,702,710.9,691.01,700.45,29
2007-11-22,703,703,690,700.5,31
2007-11-23,703.5,706.73,696,706.7,52
2007-11-26,715,716.77,710,710,18
2007-11-27,717,717,700.12,700.5,26
