Date,Open,High,Low,Close,Volume
2011-8-31,7.2,7.2,7.1,7.2,497
2011-9-1,7.2,8,6.5,7.255,240
2011-9-2,7.256,7.3,7.091,7.28,240
2011-9-5,7.14,7.211,7.01,7.211,207
2011-9-6,7.178,7.199,6.501,7.19,211
2011-9-7,7.2,7.2,7.178,7.193,150
2011-9-8,7.12,7.16,6.99,7.15,177
2011-9-9,7.188,7.188,6.95,7.152,151
2011-9-12,7.129,7.129,6.956,7.09,147
2011-9-13,6.98,7.178,6.88,7.04,82
2011-9-14,7.22,7.22,6.951,7.155,178
2011-9-15,7.227,7.227,7.17,7.18,247
2011-9-16,7.2,7.4,7.2,7.339,160
2011-9-19,7.111,7.16,7.111,7.153,72
2011-9-20,7.18,7.42,7.18,7.42,143
2011-9-21,7.37,7.37,7.25,7.32,132
2011-9-22,7.17,7.31,6.95,6.95,123
2011-9-23,6.9,7.18,6.15,6.86,93
2011-9-26,6.7,6.97,6.7,6.935,145
2011-9-27,7.18,7.185,6.841,7.156,125
2011-9-28,7.111,7.19,7.01,7.06,156
2011-9-29,7.109,7.109,6.24,6.96,138
2011-9-30,7.37,7.37,6.379,6.87,103
2011-10-3,6.93,6.93,6,6.76,286
2011-10-4,6.79,6.82,6.1,6.729,216
2011-10-5,6.98,6.98,6.44,6.77,117
2011-10-6,6.77,6.78,6.4,6.71,103
2011-10-7,6.7,6.839,6.2,6.829,134
2011-10-10,6.8,6.8,6,6.64,596
2011-10-11,6.79,6.796,6.197,6.745,197
2011-10-12,6.649,7.2,6.649,7.11,81
2011-10-13,7.19,7.19,6.28,7.03,91
2011-10-14,8,8.25,7.65,7.65,82
2011-10-17,8.2,8.44,7.45,7.635,82
2011-10-18,8.4,8.4,7,7.347,173
2011-10-19,6.7,7.69,6.7,7.299,226
2011-10-20,7.09,7.28,6.65,7.17,1285
2011-10-21,7.15,7.49,7.15,7.4,259
2011-10-24,7.399,8.39,7.399,7.94,363
2011-10-25,7.99,7.99,7.44,7.49,137
2011-10-26,7.99,7.99,7.291,7.291,127
2011-10-27,7.43,7.66,7.291,7.66,82
2011-10-28,7.5,7.592,7.348,7.58,171
2011-10-31,7.77,7.77,6.56,7.49,60
2011-11-1,7.5,7.5,6.62,7,117
2011-11-2,6.992,7.3,6.93,7.3,293
2011-11-3,7.365,7.365,7.34,7.34,42
2011-11-7,6.635,7.341,6.604,7.128,78
2011-11-8,7.248,7.248,6.93,7.1,92
2011-11-9,7.4,7.4,7.31,7.34,86
2011-11-10,7.38,7.38,6.812,7.326,92
2011-11-11,7.38,7.38,6.89,7.34,77
2011-11-14,8,8,7.393,7.395,101
2011-11-15,7.399,7.399,7.349,7.349,120
2011-11-16,7.399,7.399,7.397,7.397,64
2011-11-17,6.613,7.396,6.613,7.395,81
2011-11-18,7.393,7.393,7.393,7.393,80
2011-11-21,7.22,7.44,7,7.43,125
2011-11-22,6.98,7.3,6.602,7.099,99
2011-11-23,6.999,6.999,6.999,6.999,80
2011-11-24,6.99,6.999,6.92,6.98,122
2011-11-25,7,7.09,6.87,7.056,123
2011-11-28,7.029,7.098,6.89,7.049,74
2011-11-29,7.018,7.096,6.98,7.048,48
2011-11-30,6.85,7.039,6.3,7.038,104
2011-12-1,7.01,7.093,7.01,7.093,59
2011-12-2,7,7.394,7,7.394,82
2011-12-5,7.38,7.74,7.38,7.638,139
2011-12-6,7.56,7.625,7.01,7.625,149
2011-12-7,7.333,7.39,7.31,7.39,142
2011-12-8,7.399,7.399,7.28,7.389,281
2011-12-9,7.398,7.398,7.2,7.336,206
2011-12-12,7.399,7.399,7.17,7.22,204
2011-12-13,7.221,7.24,7.218,7.23,54
2011-12-14,7.32,7.375,7.28,7.31,87
2011-12-15,7.33,7.34,6.37,7.265,216
2011-12-16,7.2,7.249,7,7.18,173
2011-12-19,7.391,7.391,7.23,7.24,175
2011-12-20,7.2,7.75,7.2,7.55,181
2011-12-21,7.9,7.9,7.29,7.4,346
2011-12-22,7.4,7.8,7.28,7.317,266
2011-12-23,7.21,7.357,7.21,7.295,248
2011-12-26,7.3,7.5,7.3,7.39,89
2011-12-27,7.4,7.4,7.24,7.28,254
2011-12-28,7.22,7.29,7.2,7.2,197
2011-12-29,7.18,7.26,7.11,7.24,71
2011-12-30,7.18,7.38,7.18,7.38,53
2012-1-3,7.38,7.47,7.33,7.466,56
