Date,Open,High,Low,Close,Volume
2006-6-28,1040,1059.96,1035,1057.81,20141
2006-6-29,1059.9,1089,1050.13,1082,33289
2006-6-30,1111.18,1240,1100.1,1196.62,229692
2006-7-3,1195,1315,1195,1302.36,219200
2006-7-4,1313.5,1354,1292,1350,136885
2006-7-5,1367.51,1367.51,1270,1293.17,103946
2006-7-6,1295.5,1349.95,1290,1349.95,43506
2006-7-7,1349.99,1388,1320.01,1369,116756
2006-7-10,1349,1384,1331,1372.7,52242
2006-7-11,1370,1372.5,1310,1320,82313
2006-7-12,1360,1360,1318.6,1322.58,88458
2006-7-13,1321,1330,1226,1240,80412
2006-7-14,1225.5,1230,1189,1202,126722
2006-7-17,1238.55,1238.55,1160,1178.42,58900
2006-7-18,1161.01,1179.98,1149,1174,50979
2006-7-19,1179.75,1182,1136.5,1167.3,93821
2006-7-20,1180.48,1220,1175.5,1175.5,73499
2006-7-21,1159,1174.98,1150.02,1155,41981
2006-7-24,1152,1166.98,1148.01,1156.76,58256
2006-7-25,1164.85,1173,1146.95,1146.95,56287
2006-7-26,1147,1159.98,1145.11,1152.8,44876
2006-7-27,1159.75,1204.8,1154.07,1204.79,161744
2006-7-28,1199.5,1203,1175.1,1197,103900
2006-7-31,1202.5,1237,1192,1206,129337
2006-8-1,1210,1235,1194.02,1229.99,167022
2006-8-2,1250,1291,1241.03,1283.92,102768
2006-8-3,1283,1307.77,1261.01,1291.15,217925
2006-8-4,1300,1319,1282,1307,79696
2006-8-7,1308,1312.46,1290,1304,34224
2006-8-8,1305,1311,1270,1278,82586
2006-8-9,1277.5,1289.99,1270,1280.42,119317
2006-8-10,1269.01,1295,1256.2,1267.18,52355
2006-8-11,1269.99,1288,1266.5,1288,80569
2006-8-14,1282,1296.3,1265,1266,51721
2006-8-15,1267,1278.88,1222.22,1233,97308
2006-8-16,1239,1250.7,1228.5,1232.35,162633
2006-8-17,1234.47,1235.01,1210.02,1220,59825
2006-8-18,1215.45,1220,1155,1160,71460
2006-8-21,1184.75,1189,1155,1157,94491
2006-8-22,1169.98,1217.5,1158.21,1204.02,169619
2006-8-23,1201,1238.78,1185,1234.99,168267
2006-8-24,1219.9,1232,1195,1200.41,76543
2006-8-25,1234.01,1234.01,1195.01,1202,40908
2006-8-28,1170.95,1213.74,1170.95,1198.6,23565
2006-8-29,1200,1228,1192,1195,95209
2006-8-30,1165.13,1200.01,1165.13,1185.82,72204
2006-8-31,1191,1198,1154,1161,136996
2006-9-1,1166.99,1182.07,1150,1155.9,88462
2006-9-4,1165,1168.97,1155.03,1161.32,27574
2006-9-5,1164.75,1183,1156.65,1178.26,123211
2006-9-6,1180,1192.99,1160,1169.44,79880
2006-9-7,1160,1164,1140.09,1154.99,74847
2006-9-8,1121.77,1157.77,1121.77,1134,113991
2006-9-11,1126,1126,1080,1084.99,114793
2006-9-12,1098,1098,1072,1085.76,71903
2006-9-13,1084.6,1095.37,1072,1085.02,81355
2006-9-14,1097.89,1109,1085.2,1088,236807
2006-9-15,1085,1178,1074.12,1166.57,723249
2006-9-18,1184.72,1249,1182,1209.99,426687
2006-9-19,1223.5,1223.5,1200.01,1204,122871
2006-9-20,1190.01,1199.6,1167,1195.39,97645
2006-9-21,1201.96,1201.96,1148,1170.98,132022
2006-9-22,1170.98,1184,1140,1146.85,114685
2006-9-25,1150,1150,1115,1124.99,103642
2006-9-26,1165.37,1165.37,1130,1138.85,105765
2006-9-27,1149.55,1179,1140,1171.5,177961
2006-9-28,1200,1200,1162.22,1177,127831
2006-9-29,1179,1179.8,1163.15,1167.06,81909
2006-10-2,1126.5,1191.98,1126.5,1174.92,150686
2006-10-3,1187.25,1187.25,1146.92,1157,45930
2006-10-4,1200,1233,1181,1202.14,510952
2006-10-5,1212.5,1224.59,1183,1191.8,232913
2006-10-6,1203.75,1203.75,1178,1187,56207
2006-10-9,1190.2,1195.02,1180,1184,86596
2006-10-10,1185,1215,1182.15,1197.55,186985
2006-10-11,1161.6,1196,1161.6,1179.88,129910
2006-10-12,1180,1186.8,1163,1181,96450
2006-10-13,1184.93,1213,1184.86,1199.75,185317
2006-10-16,1210,1220,1200,1208,112960
2006-10-17,1211,1225,1194.09,1200.35,129628
2006-10-18,1200,1230,1195,1223.02,170306
2006-10-19,1220,1268.9,1218,1257.14,283596
2006-10-20,1270.01,1278,1241,1244,204847
2006-10-23,1241,1251,1225.01,1240.2,131521
2006-10-24,1239.5,1248.42,1218,1245.01,92578
2006-10-25,1241.01,1285,1240.34,1272.99,311948
2006-10-26,1282.6,1300,1275.01,1287,276912
2006-10-27,1276,1289.98,1255.51,1286.9,96123
2006-10-30,1294.75,1294.75,1252.22,1264.45,74529
2006-10-31,1260.06,1280,1255,1275.5,139526
2006-11-1,1276,1288,1275.7,1279,164011
2006-11-2,1278,1280,1266.36,1275,142293
2006-11-3,1270,1285,1266.05,1279.85,134393
2006-11-7,1285,1298.99,1262.01,1269.91,148265
2006-11-8,1268.61,1270.1,1237,1248.86,170355
2006-11-9,1252,1278,1249.01,1270,196315
2006-11-10,1269.75,1279.97,1266.03,1276.71,216834
2006-11-13,1310.43,1310.43,1268.8,1271,153790
2006-11-14,1275.25,1287,1267.99,1274,126761
2006-11-15,1275.5,1280,1269.1,1279.08,43337
2006-11-16,1282.98,1286,1270.01,1285,96383
2006-11-17,1268,1303,1265,1281.99,299580
2006-11-20,1282.5,1289,1274,1280.63,104866
2006-11-21,1275.05,1286,1275.05,1280.5,97883
2006-11-22,1286.1,1292,1276.01,1284.05,101047
2006-11-23,1280.75,1300.95,1280.75,1290.1,246216
2006-11-24,1293,1300,1290,1294.39,67278
2006-11-27,1294.99,1324,1294.02,1313.39,298348
2006-11-28,1314,1323.24,1298.3,1312.88,115694
2006-11-29,1338.5,1338.5,1312.1,1320,77693
2006-11-30,1320,1323,1304.58,1320.28,142206
2006-12-1,1322,1337.8,1319.51,1329.85,187824
2006-12-4,1332.5,1336,1324,1330,86940
2006-12-5,1330.01,1344.99,1325,1338.68,193345
2006-12-6,1337.5,1342.42,1322,1325.08,95245
2006-12-7,1284.38,1325,1284.38,1305,206124
2006-12-8,1305,1313.9,1302,1306,108875
2006-12-11,1305.5,1310,1280.06,1298.5,87060
2006-12-12,1298.2,1310,1295,1297.5,58511
2006-12-13,1295.51,1303.55,1265,1290,211084
2006-12-14,1290,1303,1290,1294.26,34417
2006-12-15,1300.5,1309.99,1290,1295.25,87703
2006-12-18,1296,1305.05,1289.01,1294.5,59261
2006-12-19,1295,1295,1247.01,1274.4,166083
2006-12-20,1279.95,1289,1274,1274,179146
2006-12-21,1264.5,1278,1258.12,1268.99,142377
2006-12-22,1274,1288,1255,1268.99,115867
2006-12-25,1217.54,1280,1217.54,1263.01,41150
2006-12-26,1272.97,1292.95,1260,1275,119073
2006-12-27,1283,1294.95,1270.03,1286,221202
2006-12-28,1297,1297,1277.01,1287.02,244297
2006-12-29,1285.5,1297.99,1283.01,1293.43,497984
2007-1-9,1282,1282,1194,1200,174714
2007-1-10,1200,1214.15,1160,1187.52,172896
2007-1-11,1188.22,1205,1181.27,1202,108039
2007-1-12,1186.47,1211,1173,1186,234951
2007-1-15,1199.5,1237,1196.1,1237,218979
2007-1-16,1236,1239,1207.01,1210.82,164833
2007-1-17,1209,1223.99,1189,1192,121937
2007-1-18,1208.99,1218,1190,1193.83,125944
2007-1-19,1190.99,1199.97,1180,1185.97,126882
2007-1-22,1200,1261,1195,1251.11,380318
2007-1-23,1248,1320,1242,1312.94,629664
2007-1-24,1328.5,1328.5,1287,1295.02,269755
2007-1-25,1312.07,1326,1299,1303.27,246309
2007-1-26,1290,1301.99,1286,1292.33,100254
2007-1-29,1302.5,1306,1258.61,1261.34,140956
2007-1-30,1253,1296.97,1253,1293.3,251278
2007-1-31,1300,1318.32,1290,1318,394944
2007-2-1,1320,1370,1320,1368.08,791855
2007-2-2,1370,1400,1335.01,1379.89,393413
2007-2-5,1380,1400,1355.02,1399.87,150150
