Date,Open,High,Low,Close,Volume
2013-6-20,292.6,300,244.55,278.23,4180
2013-6-21,277.6,279.9,260.5,262.38,4930
2013-6-24,265.86,265.86,254,254.5,6658
2013-6-25,251.19,255.94,244.95,252.17,5569
2013-6-26,247.32,248.51,236.43,237.07,11800
2013-6-27,238,238,222.22,228.6,13385
2013-6-28,228.08,231.26,220,225,19739
2013-7-1,227.02,242.84,227.02,240.47,20694
2013-7-2,240.61,256.93,240.61,249.34,17474
2013-7-3,248.17,250,235.06,244.71,21090
2013-7-4,235.3,252.93,235.3,251.58,5430
2013-7-5,251,253.16,237.5,242.35,8635
2013-7-8,238,241.8,230.09,237,36135
2013-7-9,237.01,242.39,234.73,238.38,48878
2013-7-10,238.86,244.1,234.22,235,17799
2013-7-11,237.76,260,236.73,256,63084
2013-7-12,257.81,258.2,250.26,251.62,6996
2013-7-15,250.01,254.76,249.37,253.85,5710
2013-7-16,254.11,265.98,253.83,265.04,5143
2013-7-17,270.48,284.09,258.02,283.81,15210
2013-7-18,281.31,289.96,272.09,283.89,24336
2013-7-19,287.5,303.45,281.64,303.45,8319
2013-7-22,300.89,313.62,297,313.62,7676
2013-7-23,311.66,325,310,325,28964
2013-7-24,322.06,322.06,314.04,315.3,14513
2013-7-25,311,313.46,300.99,311.91,2866
2013-7-26,311.92,323.85,311.92,317.15,12575
2013-7-29,317.93,321.89,312.16,320.15,87491
2013-7-30,318.81,322,314.92,321.2,16464
2013-7-31,325.03,325.03,320.68,322.55,7930
2013-8-1,320.73,345.66,320.73,339.93,8391
2013-8-2,333,338.9,321.65,336.09,2121
2013-8-5,335.17,335.32,329.89,333.5,2595
2013-8-6,335,335,321.2,325,1228
2013-8-7,322,332.39,317.02,329.89,6014
2013-8-8,333,359.99,333,355.75,4853
2013-8-9,355.55,367.99,352.27,367.06,3861
2013-8-12,476,476,365.98,375,4041
2013-8-13,379.99,387.92,373.2,383.05,3805
2013-8-14,387.52,387.52,377.46,382.19,2806
2013-8-15,296.94,383,285,370,2791
2013-8-16,380,401.99,371.78,397.89,14294
2013-8-19,401.3,402.91,394,399.41,12192
2013-8-20,404.76,410.37,391,408.89,4880
2013-8-21,405,411.99,349,409.88,6528
2013-8-22,407,417.85,406.33,414.16,4971
2013-8-23,413.01,419.76,406.5,419.76,1912
2013-8-26,413.76,415.16,410.8,413.23,1562
2013-8-27,415.28,418.16,380,382.45,13128
2013-8-28,381.41,390,347.02,359.27,28340
2013-8-29,360.76,389.29,350.4,384.11,17176
2013-8-30,380,397.6,365.46,392.5,15990
2013-9-2,389.49,395.2,382.08,389.95,6574
2013-9-3,385.6,385.6,376.79,381.9,6430
2013-9-4,384.9,394.88,382.11,392.8,7588
2013-9-5,387.87,394.6,387.87,391.4,4125
2013-9-6,389,402,380.01,394.46,17584
2013-9-9,398.49,406.94,396.55,399.93,302
2013-9-10,397,401.1,388,394.2,2732
2013-9-11,391.34,394,380,387.5,3321
2013-9-12,385,386.99,377.73,383.45,5496
2013-9-13,381.6,383,362.83,362.83,9337
2013-9-16,365,368.2,335.17,350,34934
2013-9-17,344.06,346.97,335.06,341.25,44616
2013-9-18,337.92,352,336.18,344.18,43826
2013-9-19,346.85,395,337.5,369.34,45666
2013-9-20,370.66,374,345.37,348.16,25231
2013-9-23,345.7,345.7,332,332,16536
2013-9-24,336.92,357.34,332.6,347.81,33691
2013-9-25,346.89,347.51,336.15,344.55,23765
2013-9-26,342.98,354.75,342.98,354.39,27037
2013-9-27,354.99,357.51,345.3,350.99,12086
2013-9-30,352,354,339.94,345,21464
2013-10-1,298,344.83,298,343.5,29210
2013-10-2,340.8,340.8,330,331,34976
2013-10-3,334.6,362.37,323.5,324.8,32215
2013-10-4,326.69,326.81,317.56,326,19056
2013-10-7,321.45,327,317.59,319.97,13414
2013-10-8,318,321,311,320,26577
2013-10-9,316.78,319.97,311,318,27082
2013-10-10,316,317.01,308.3,316.6,30211
2013-10-11,317.2,317.2,300,300,47926
2013-10-14,299.8,309.99,287.46,309,27610
2013-10-15,310,321.4,284.6,285.01,134778
2013-10-16,262,287.99,262,274.94,121448
2013-10-17,274,293.7,269.38,288.99,92131
2013-10-18,285.15,312.4,285.15,308.52,99914
2013-10-21,309,319.89,307.01,307.77,48162
2013-10-22,309.9,314,301.6,313.89,33580
2013-10-23,314,316.73,307.59,309.01,21472
2013-10-24,307.5,312,305.79,309.47,7229
2013-10-25,324.79,324.79,307.1,312.92,24245
2013-10-28,313.1,321.7,310.01,315.2,13390
2013-10-29,316.17,321.2,313,318.4,21327
2013-10-30,318,318.23,312.63,317.2,13137
2013-10-31,316.93,318,308,308.74,25930
2013-11-1,309.02,310.9,293.8,295.1,34399
2013-11-5,295.8,309,293.75,306.3,64700
2013-11-6,305.01,312.49,298.1,299.72,32984
2013-11-7,300,316,298.15,307.94,19762
2013-11-8,304,309.09,291.52,294.51,36662
2013-11-11,253.05,301.45,253.05,295.36,17187
2013-11-12,296.36,297,276.81,282.83,57009
2013-11-13,284,287,271.14,286.58,88017
2013-11-14,285,293.5,277.06,287.35,39805
2013-11-15,290.3,299.5,289.5,296.52,33259
2013-11-18,294.9,297.02,286.2,289.75,16724
2013-11-19,292.46,298.75,283.39,293.21,16365
2013-11-20,296.2,296.2,288,290.62,19725
2013-11-21,288.2,288.53,275.01,278.18,40776
2013-11-22,279.08,281.59,265.99,280.77,63929
2013-11-25,227.25,282.9,227.25,274,34254
2013-11-26,292.8,292.8,267.49,271.6,37379
2013-11-27,270.08,285,269.27,282.17,33573
2013-11-28,283.17,294.33,282.84,293,37486
2013-11-29,294.5,296.4,276.13,291.03,34817
2013-12-2,291.03,295.17,282.5,282.5,28440
2013-12-3,280,282,257.52,269.8,189702
2013-12-4,271.99,279.4,264.09,268.86,37864
2013-12-5,270.79,281.24,263.01,265.99,35039
2013-12-6,268.2,269.4,257.51,267,48047
2013-12-9,267.14,268.3,258.3,267.49,23841
2013-12-10,266.92,279.88,263.7,278.59,51144
2013-12-11,275.47,284.5,267,272.56,22748
2013-12-12,269.98,269.99,259.1,262.5,72490
2013-12-13,262.6,267.4,261.43,263.61,19085
2013-12-16,263.61,276.46,263.61,275.31,92681
2013-12-17,274.5,275.47,266.3,268.79,17983
2013-12-18,270.92,280.11,270.54,279.69,36635
2013-12-19,279,286,272,272,64916
2013-12-20,276.5,276.8,255.21,261,293499
2013-12-23,266.49,273.5,258,265.22,127301
2013-12-24,268.7,283.6,266.75,279.67,108866
2013-12-25,278.33,280.33,275,276.42,8515
2013-12-26,274.87,278,274.02,277,8674
2013-12-27,288.7,309.4,278.49,306,106725
2013-12-30,339.73,339.73,294.89,309.26,65188
2014-1-6,341.13,341.13,299.21,308.25,65195
2014-1-8,307.79,315.52,300.12,308.03,26250
2014-1-9,310.03,310.03,297.73,298.5,32201
2014-1-10,301,301,288.5,294.96,43897
2014-1-13,295,296,287,295.39,47265
2014-1-14,274.5,295.26,274.5,293.9,69797
2014-1-15,292.21,296,279.67,282.49,82933
2014-1-16,281.51,300,281.51,295,112873
2014-1-17,294.4,305,288.01,298.1,39065
2014-1-20,298.46,315.45,298.46,314,38957
2014-1-21,316.52,328.09,315.99,316.56,85330
2014-1-22,317,321.93,311.13,313.09,42389
2014-1-23,313.32,323.97,310.2,316,81982
2014-1-24,320.11,339.15,320.11,339.15,50997
2014-1-27,339.08,349.8,333.15,343.93,48138
2014-1-28,345.2,346,336,341.82,43769
2014-1-29,341.8,360.8,332.74,352.4,121224
2014-1-30,351.64,355.1,337.5,341.73,41332
2014-1-31,338.11,342.45,330.47,333.21,56554
2014-2-3,335.25,345.07,330.22,334.61,32139
2014-2-4,336.51,342,317.4,332.44,16974
2014-2-5,331.62,362.6,321,336.97,35386
2014-2-6,334.7,338.93,330.09,336.35,24699
2014-2-7,334.01,338.46,331.05,338.22,29316
2014-2-10,337.04,344.23,336.3,342.88,11807
2014-2-11,342.88,359.98,342.01,351.51,32834
2014-2-12,356,372.33,356,368.8,39177
2014-2-13,370.4,370.4,359,365,43972
2014-2-14,368.53,386.78,368.06,385.99,41895
2014-2-17,385,407,385,401.49,42824
2014-2-18,399,413.65,377.92,392.89,73980
2014-2-19,392,401,390.36,392.05,40404
2014-2-20,390.11,391.83,377.77,378.96,31817
2014-2-21,390,392.14,381,388.13,10642
2014-2-24,389.99,391.99,382.53,387.69,12351
2014-2-25,389.98,389.98,382.3,384.44,17747
2014-2-26,387.98,392,385.5,387.07,10522
2014-2-27,386.94,389.35,378.49,386.59,10700
2014-2-28,389.39,392.13,380.06,381.23,10834
2014-3-3,385,385,340,340,99914
2014-3-4,341,360,332.51,343.91,116671
2014-3-5,350,350,331.11,344.8,34322
2014-3-6,347.98,365.01,341.11,365.01,22051
2014-3-7,371.25,371.25,347.55,347.72,16232
2014-3-11,347.5,347.5,330.65,339.99,20649
2014-3-12,336.63,348.5,328.67,331.03,30071
2014-3-13,346.18,346.18,331.08,339.32,50781
2014-3-14,341,348.99,330.01,339.19,17785
2014-3-17,344.85,484.34,335.2,360.3,193781
2014-3-18,369.99,379.98,350.05,379,28902
2014-3-19,379.14,382.9,360.83,362.34,28222
2014-3-20,365.2,367.92,355.02,365.01,15325
2014-3-21,355.05,380,354,375.55,23694
2014-3-24,381.49,382.99,366.75,366.75,8845
2014-3-25,365.02,365.42,345.12,348.36,51875
2014-3-26,346.01,359.9,336.13,356.92,27897
2014-3-27,353.12,357.04,344.73,354.65,13035
2014-3-28,357.98,365.01,355.87,360,23114
2014-3-31,362.81,372.04,354.39,366.71,13629
2014-4-1,361.18,372,359.51,369.74,13007
2014-4-2,372.46,379,359.12,375.75,21294
2014-4-3,377.48,379.89,356.6,358.37,26207
2014-4-4,358.11,368.89,354.98,366.6,16272
2014-4-7,366,369.98,361.15,366.17,28027
2014-4-8,368.1,379,368,372.03,18606
2014-4-9,374.28,381,360.97,366.35,14464
2014-4-10,366.04,369.94,364.87,366.5,16590
2014-4-11,364,370.5,363.3,369.85,12086
2014-4-14,369,374,365.03,374,6296
2014-4-15,374.1,381,366.26,366.41,11391
2014-4-16,371.79,376.56,365,372.98,10305
2014-4-17,374.92,375,361.03,365.35,17421
2014-4-18,370.99,389.95,370.99,377.11,12908
2014-4-21,376.88,378.37,370,370.2,3084
2014-4-22,369,377.49,364.37,368,6430
2014-4-23,369.94,370.21,362.71,365,13201
2014-4-24,365,371.97,351.03,354.97,22707
2014-4-25,351.99,371,350.98,350.98,28865
2014-4-28,352.06,356.99,351,355,10095
2014-4-29,357.96,368,342,352.49,9892
2014-4-30,355.86,355.86,335.06,335.06,13996
2014-5-2,337.76,338.99,328.79,334.96,14554
2014-5-5,302.5,337.98,302.5,329.08,6423
2014-5-6,332.38,334.98,330,334,4977
2014-5-7,333.99,355,329.8,350,13500
2014-5-8,348,356.99,337.12,346.12,10620
2014-5-12,346.57,347,335.56,342.06,8955
2014-5-13,341.21,348,330.03,333,37132
2014-5-14,335.56,335.99,330.03,334,15361
2014-5-15,331.03,340.38,331,331.68,15815
2014-5-16,330.65,334.96,321.47,327.99,13352
2014-5-19,285.55,339.9,285.55,328,25813
2014-5-20,326,335.74,326,327.01,38289
2014-5-21,330.5,330.5,320.8,329.85,32665
2014-5-22,326.81,329.8,299.52,302.82,101809
2014-5-23,301.5,309.72,289.46,295.99,99054
2014-5-26,299.5,303.4,293.75,301,18315
2014-5-27,300.04,307.18,290.1,301.28,94047
2014-5-28,299.99,306.07,297.91,302.93,22722
2014-5-29,305.09,307,301.21,306.25,14244
2014-5-30,307.02,311,305.25,309.02,29351
2014-6-2,309.02,314.68,308.41,312.95,29990
2014-6-3,310.57,311.01,305.55,309,14983
2014-6-4,311.59,311.88,306.2,309.03,10843
2014-6-5,310.87,312.16,302.61,306.78,36353
2014-6-6,305.23,316.27,303.2,315.33,34473
2014-6-9,316.4,318.5,310.52,314.79,31130
2014-6-10,314.79,317,310.53,316.49,25635
2014-6-11,316.49,319.44,310.91,314.59,22918
2014-6-16,313.71,334.77,303.06,324,254583
2014-6-17,277.5,334.75,277.5,311.5,44980
2014-6-18,311.5,313,307,308,18296
2014-6-19,311.2,329,309.8,323.5,64959
2014-6-20,327.89,336.21,325.01,327.91,30169
2014-6-23,328.5,338.5,328,330.51,10461
2014-6-24,330.49,334.77,326.44,327.9,30466
2014-6-25,327.01,328.59,316.97,317.99,23531
