Date,Open,High,Low,Close,Volume
2012-10-25,1,1.15,1,1.072,641
2012-10-26,1.1235,1.1235,1.071,1.101,72
2012-10-30,1.0711,1.1,1,1.1,365
2012-10-31,1.0301,1.0301,1.03,1.03,2
2012-11-2,1.035,1.049,1.03,1.049,98
2012-11-6,1.03,1.049,1.03,1.045,17
2012-11-8,0.627,1.0301,0.627,1.0301,2
2012-11-9,1,1.031,0.6181,1.031,3
2012-11-12,1.0301,1.048,1.03,1.048,9
2012-11-21,1.03,1.048,1.03,1.048,10
2012-11-27,1.05,1.05,1.05,1.05,10
2012-12-25,1.0451,1.1,1.0451,1.085,113
2012-12-26,1.0953,1.0953,1.0953,1.0953,36
2012-12-27,1.0975,1.114,1.0839,1.112,184
2012-12-28,1.112,1.134,1.112,1.1247,447
2013-1-9,1.1229,1.123,1.097,1.1097,171
2013-1-10,1.0917,1.1136,1.075,1.1136,181
2013-1-11,1.11,1.11,1.11,1.11,11
2013-1-15,1.0958,1.0965,1.0958,1.0965,51
2013-1-16,1.1173,1.12,1.1173,1.12,58
2013-1-17,1.1265,1.1265,1.1265,1.1265,38
2013-1-18,1.1199,1.1367,1.1199,1.1355,268
2013-1-21,1.1325,1.1325,1.116,1.131,105
2013-1-22,1.1325,1.1325,1.1325,1.1325,5
2013-1-23,1.1175,1.1195,1.075,1.1195,100
2013-1-25,1.124,1.124,1.124,1.124,20
2013-1-28,1.12,1.129,1.12,1.129,110
2013-1-29,1.1277,1.1277,1.1277,1.1277,25
2013-1-31,1.1258,1.1258,1.1258,1.1258,65
2013-2-4,1.1235,1.1298,1.1235,1.1298,35
2013-2-5,1.1125,1.1125,1.1125,1.1125,13
2013-2-6,1.1235,1.1235,1.1235,1.1235,23
2013-2-8,1.1189,1.13,1.1189,1.13,202
2013-3-22,1.09,1.119,1.09,1.119,55
2013-3-25,1.121,1.124,1.121,1.124,90
2013-4-22,1.1101,1.114,1.0988,1.114,144
2013-4-25,1.0731,1.0731,1.0731,1.0731,70
2013-4-29,1.1025,1.1025,1.0854,1.0854,76
2013-5-15,1,1,1,1,75
2013-5-16,1,1,1,1,75
2013-5-21,0.9627,0.9627,0.9627,0.9627,78
2013-5-23,0.84,0.879,0.84,0.87,78
2013-5-30,0.75,0.75,0.7,0.7,9
2013-6-26,0.431,0.6498,0.43,0.6498,5
2013-7-4,0.4001,0.501,0.4001,0.501,5
