Date,Open,High,Low,Close,Volume
2011-5-16,3300,3300,3300,3300,31
2011-5-17,3405,4500,3100,4500,259
2011-5-18,6300,6300,6300,6300,1
2011-5-19,8820,8820,8820,8820,1
2011-5-30,8820,8820,8820,8820,1
2011-6-7,9088,12348,9088,12348,2
2011-6-8,15000,15000,15000,15000,2
2011-6-9,17500,21000,17500,21000,2
2011-6-10,23500,26950,23500,26950,2
2011-6-14,31800,35315,31800,35315,2
2011-7-4,42335,46980.5,42335,46980.5,5
2011-7-5,48555,48555,48500,48500,2
2011-7-7,50000,50000,50000,50000,1
2011-8-29,30000,30000,30000,30000,2
2011-8-30,21000,22000,18000,18000,19
2011-8-31,14000,19500,11570,19500,20
2011-9-1,12003,12999.9,11700,11700,50
2011-9-2,8555,12500,8501.1,12500,29
2011-9-5,10500,12500,9499,9500,121
2011-9-6,8010,10400,8010,10250,15
2011-9-7,11800,11800,8100,8999.9,58
2011-9-8,9520.4,9900,9500,9700,40
2011-9-9,9100,9600,8340,8500.8,43
2011-9-12,7800,8000,7500,7995,13
2011-9-13,8500,11099,8500,8900,90
2011-9-14,9999.9,9999.9,8812,9000,85
2011-9-15,9500,9500,8211,8799.9,43
2011-9-16,8700,8700,7950.1,8299.9,40
2011-9-19,8010,8199.9,7700,7900,37
2011-9-20,7880,7880,7880,7880,2
2011-9-21,7555.9,8292.5,7520.2,8292.5,20
2011-9-22,7277,7800,6999,6999,37
2011-9-23,6333,6799.9,6111,6499.9,44
2011-9-26,5255,6400,5255,6375,11
2011-9-28,5520,8200,5520,6355,71
2011-9-30,6300,6699.9,6300,6300,8
2011-10-3,5900,5905.2,5900,5905.2,3
2011-10-4,6250,6250,5755,5755,2
2011-10-5,6300,6380,5760,6380,11
2011-10-6,6998,6999,6998,6999,4
2011-10-10,6111,6555,6008.2,6555,6
2011-10-12,5555.5,7199.9,5555.5,7199.9,2
2011-10-13,6200,7300.1,6200,7300.1,3
2011-10-14,7792,9999,7792,9999,7
2011-10-17,9500,9800,7405,9480,13
2011-10-18,7688,7688,7600,7600,2
2011-10-20,8455,8455,8455,8455,1
2011-10-21,8455,8455,7125.2,8135,3
2011-10-24,8633.2,8633.2,8633.2,8633.2,1
2011-10-26,7778,7778,7778,7778,1
2011-10-27,7778,8599.3,7000.6,8599.3,6
2011-10-28,7600.5,7600.5,7600,7600,4
2011-10-31,6705.2,7998.6,6705.2,7998.6,10
2011-11-1,7303.9,7499.9,6580,7499.9,8
2011-11-2,7274.9,7738.3,7100,7738.3,6
