Date,Open,High,Low,Close,Volume
2010-4-29,184.8,184.8,119,120,313
2010-4-30,127,130,110.01,114.49,458
2010-5-4,116.16,119.4,110.21,116.3,157
2010-5-5,115.92,118.5,112,116.99,95
2010-5-6,117,119.97,114,116,164
2010-5-7,129.5,129.5,100,110.99,42
2010-5-11,120.78,120.78,100,105.21,26
2010-5-12,107,111.41,103.5,107.98,249
2010-5-13,108,108.65,103.31,108.5,60
2010-5-14,109.73,120,108,120,171
2010-5-17,112.01,130,108.5,118,186
2010-5-18,117.29,123,114.98,117.47,60
2010-5-19,117,118.9,110.02,114.52,35
2010-5-20,113.99,115,111.25,114.99,21
2010-5-21,115,115,107,111.96,77
2010-5-24,113.03,113.03,107.02,112.21,12
2010-5-25,111,111,105.03,106,66
2010-5-26,106,111,106,110.85,3
2010-5-27,111,111,105,105.48,226
2010-5-28,105.5,105.5,103,105,128
2010-5-31,104.97,107,104.95,107,62
2010-6-1,105.01,107,105,107,74
2010-6-2,106.75,114.99,106,107.5,844
2010-6-3,106.01,129.99,106.01,108.94,287
2010-6-4,105.3,108,105,107.79,93
2010-6-7,104,108.73,101.01,108.06,65
2010-6-8,107.5,108,101.9,105.29,69
2010-6-9,105.88,107.2,104,106.98,24
2010-6-10,109,109,103,104.5,203
2010-6-11,104.5,104.5,99.62,101,233
2010-6-15,101.61,102.25,100,100,301
2010-6-16,99.6,100.75,98,99.5,466
2010-6-17,98.02,98.89,97,98.89,153
2010-6-18,99.18,99.9,95,98.5,194
2010-6-21,99.04,99.25,98,98.75,325
2010-6-22,98.12,98.95,95,97.35,160
2010-6-23,97.35,97.35,95,97.1,77
2010-6-24,97.05,97.25,94.1,95.99,1
2010-6-25,96,103,94.72,102.23,2279
2010-6-28,101.25,102.97,100,101.5,55
2010-6-29,101.5,102,101.5,101.5,485
2010-6-30,101.5,102.5,99,101,1875
2010-7-1,101,101,91,101,1
2010-7-2,101.29,103.32,99.2,102.48,41
2010-7-5,105.44,105.44,100,100.99,5
2010-7-6,99.19,105,99,104.5,202
2010-7-7,101.17,107,101.17,104.69,1
2010-7-8,104.99,110,104.99,107.25,10
2010-7-9,109.41,115,109.41,111.99,15
2010-7-12,109.27,115,105.25,112.7,12
2010-7-13,112.98,114.94,110.94,114,32
2010-7-14,115,115,110.14,113.23,2
2010-7-15,113.26,114.8,107.53,114.21,156
2010-7-16,114.44,114.44,112.87,114.17,2
2010-7-19,117,117,110.02,113,58
2010-7-20,113.02,113.02,113,113,0
2010-7-21,114.45,116.29,113,116.29,3
2010-7-22,114,116.29,111.47,115,0
2010-7-23,113.71,115.96,113.7,115,273
2010-7-26,115,118,113,113.04,202
2010-7-27,116,118,113.2,117.99,207
2010-7-28,116.01,117.95,116,117.95,2
2010-7-29,117.99,133.55,115.14,116.67,64
2010-7-30,118.06,119.48,116.13,118.7,27
2010-8-2,116.4,120.5,116.4,118.66,363
2010-8-3,117.54,120.5,117.54,119.99,50
2010-8-4,119.99,120,115.21,117.98,288
2010-8-5,117.13,117.98,115.97,117.37,0
2010-8-6,117.5,118,115.97,118,65
2010-8-9,118,118.97,116.04,118.5,75
2010-8-10,118.75,118.75,105.28,116,184
2010-8-11,114.82,115.5,114.8,115.5,46
2010-8-12,115.97,117,114.8,114.8,50
2010-8-13,113.71,114.49,113,113,69
2010-8-16,114.78,114.8,112.7,112.7,0
2010-8-17,113,114.8,112,113,1110
2010-8-18,113.69,114.95,111,113,46
2010-8-19,113.02,113.02,112,112.99,27
2010-8-20,111.45,111.45,102,111,196
