Date,Open,High,Low,Close,Volume
2013-10-8,1290,1340,1265.2,1340,630
2013-10-9,1200.1,1400,1200,1350,127
2013-10-10,1273,1330,1200.7,1310,49
2013-10-11,1300,1304.8,1300,1304.8,2
2013-10-14,1265,1310,1265,1310,4
2013-10-15,1336.9,1370,1336.9,1350,75
2013-10-16,1270,1304.4,1270,1304.4,51
2013-10-18,1350,1350,1350,1350,1
2013-10-21,1365,1365,1363.5,1363.5,2
2013-10-24,1363.5,1372,1363.5,1372,38
2013-10-25,1374,1920,1374,1920,7
2013-10-28,1900,1900,1350,1450,420
2013-10-29,1450,1450,1450,1450,3
2013-10-30,1234.2,1600,1234.2,1499.6,1150
2013-10-31,1500,1500,1341.7,1400,1057
2013-11-1,1468.5,1498,1353,1384.4,1206
2013-11-5,1471.5,1471.5,1357.9,1450,1009
2013-11-6,1470,1500,1422.8,1500,1423
2013-11-7,1465,1470,1433,1455.9,1207
2013-11-8,1454.5,1499.8,1354,1489.9,1033
2013-11-11,1495,1495,1405.2,1435,1259
2013-11-12,1460.9,1460.9,1409.8,1414.1,1200
2013-11-13,1315,1381,1315,1381,1595
2013-11-14,1349,1375,1349,1375,64
2013-11-15,1377,1377,1370,1377,208
2013-11-18,1340,1395.4,1340,1351,1011
2013-11-19,1300,1400,1300,1400,1045
2013-11-20,1400,1550,1400,1550,1113
2013-11-21,1500,1551,1500,1550,1088
2013-11-22,1551,1551,1500,1500,1125
2013-11-25,1510,1530,1505,1505,1053
2013-11-26,1510,1525,1510,1525,1021
2013-11-27,1500,1676.7,1500,1581,1011
2013-11-28,1799.7,1900,1602,1670,1159
2013-11-29,1699,1790,1651,1790,1063
2013-12-2,1611,2100,1550,1800,2015
2013-12-3,1900,2330,1700,2000,1763
2013-12-4,1900,1900,1655,1799,1402
2013-12-5,1700,1850,1600,1650,341
2013-12-6,1600,1699.9,1581,1698,1057
2013-12-9,1600,1848,1600,1634,1090
2013-12-10,1635,1897.9,1635,1695,1153
2013-12-11,1750,1807,1710,1710,1501
2013-12-12,1738,1740,1738,1738,1023
2013-12-13,1740,1740,1640,1640,1065
2013-12-16,1602,1770,1602,1750,1640
2013-12-17,1750,1765,1645,1738.6,1036
2013-12-18,1735,1752,1700,1752,1366
2013-12-19,1700,1785,1700,1702,1110
2013-12-20,1780,1780,1651,1690,1046
2013-12-23,1701,1756.2,1701,1756.2,1059
2013-12-24,1661,1750,1661,1749.9,1371
2013-12-25,1775,1775,1690.1,1690.1,1042
2013-12-26,1729,1750,1716,1748,111
2013-12-27,1749,1790,1749,1790,1212
2013-12-30,1800,1800,1785,1786,1021
2014-1-6,1800,1999,1791.5,1821,1104
2014-1-8,1800,1998.9,1750,1998.9,1189
2014-1-9,1997,1998,1801.8,1903.2,1208
2014-1-10,1840,1989.9,1837,1950,1300
2014-1-13,1871,1900,1730.1,1797.2,2076
2014-1-14,1774.8,1774.8,1613.4,1750,1736
2014-1-15,1815.9,1820.1,1627.2,1630,2630
2014-1-16,1630,1630,1511.3,1570,3030
2014-1-17,1628.9,1629,1530.2,1570,1578
2014-1-20,1495.5,1551,1405,1450,2227
2014-1-21,1470,1475,1406.3,1425,2372
2014-1-22,1425,1484,1359.8,1420.1,2720
2014-1-23,1467.6,1467.6,1420,1420,1348
2014-1-24,1350,1410,1330.1,1350,2494
2014-1-27,1350,1350,1286.9,1299.9,1552
