Date,Open,High,Low,Close,Volume
2006-11-14,57.9,68.8,57.9,63.98,4720
2006-11-15,63,63,62.99,62.99,310
2006-11-16,62.75,62.75,60.03,60.03,90
2006-11-17,60.04,62.74,60.04,62.74,30
2006-11-20,62.74,62.74,60.07,60.07,60
2006-11-23,62,62,62,62,30
2006-11-24,61,61.12,60.1,60.1,5050
2006-11-27,60.07,62,60.03,62,300
2006-11-29,62,62,62,62,30
2006-11-30,62,62,62,62,10
2006-12-1,60.1,60.1,50,55.13,8310
2006-12-4,55.05,57.6,55,55,1290
2006-12-5,54,55.5,51.2,51.2,1240
2006-12-6,55.18,55.18,51,51,4600
2006-12-7,50.31,52.38,50.31,51,1180
2006-12-8,52.3,52.49,51.65,51.65,280
2006-12-11,52.48,52.5,51.25,51.25,2170
2006-12-12,51.7,51.7,51,51.3,170
2006-12-13,51.8,51.8,50.26,50.26,340
2006-12-14,50.31,51.8,50.3,51.8,1000
2006-12-15,52,52,50.5,51.78,170
2006-12-18,51.78,51.78,50.25,51.2,1990
2006-12-19,50.8,51.45,50,50,1590
2006-12-20,51.28,51.5,51.28,51.5,1950
2006-12-21,50.48,50.48,49.5,50,5470
2006-12-22,50,50.4,49.72,49.72,130
2006-12-25,50.39,50.95,48.5,50,270
2006-12-26,49,49.4,47.01,49,420
2006-12-27,49.98,55,49.98,52,10980
2006-12-28,50.6,52.89,47.1,50.15,5230
2006-12-29,50,50.3,50,50.3,2240
2007-1-9,50,50,48,48,150
2007-1-10,48.5,48.8,48.2,48.2,570
2007-1-11,47.59,47.59,47.58,47.58,60
2007-1-12,47.9,48.6,47.51,48.6,460
2007-1-15,48.97,49.4,48.1,48.7,160
2007-1-16,49.5,50.21,48.01,50,740
2007-1-17,49.1,52.7,49.05,50.2,1660
2007-1-18,52.5,52.5,50.2,51.4,530
2007-1-19,51.5,52.5,50.82,51.4,1640
2007-1-22,51.99,52,51.5,51.5,520
2007-1-23,51.5,52.9,51.5,52.3,1000
2007-1-24,52.3,52.3,52,52.2,710
2007-1-25,52.2,52.2,52,52,450
2007-1-26,52,52,51.5,51.6,110
2007-1-29,51.75,52.3,51.75,52.3,850
2007-1-30,51.51,51.51,51.5,51.5,100
2007-1-31,52.3,52.3,51.7,51.7,150
2007-2-1,52.1,52.2,51.8,51.8,450
2007-2-2,50.55,51.4,50.5,51.03,4150
2007-2-5,51.03,51.3,51,51,40
2007-2-6,51.5,52.3,51,52.3,1510
2007-2-7,52.4,53.99,50.5,52.7,57110
2007-2-8,52.78,52.78,51,52.5,1570
2007-2-9,50.8,55.99,50.8,55,28960
2007-2-12,53,55.5,53,54.89,4510
2007-2-13,53,58,53,57,2990
2007-2-14,58,61.95,58,59.5,20480
2007-2-15,59.99,61.2,58.5,61,22870
2007-2-16,61.4,63,59.21,61,8080
2007-2-19,61,61,59.78,60.79,2090
2007-2-20,61,61,56.3,57.5,7820
2007-2-21,57.5,58.5,57,58.1,10260
2007-2-22,57.32,58.71,56.1,58.32,5890
2007-2-26,58.71,59.97,57.51,58.8,5730
2007-2-27,58.73,58.73,57.5,58.5,6280
2007-2-28,54,57.6,54,56.9,2530
2007-3-1,57.9,57.9,56.1,57,4130
2007-3-2,56.55,57.39,55,57.39,3780
2007-3-5,50.02,55.85,50.01,53.59,15820
2007-3-6,54.46,58.8,54.05,55,14450
2007-3-7,55.5,57,53.23,54,15410
2007-3-9,56.31,56.4,53.5,54.1,3410
2007-3-12,53.52,54.49,53.5,54,3430
2007-3-13,54.55,55,54,54.1,1470
2007-3-14,53.1,53.5,51.02,53.5,5030
2007-3-15,52.05,54.3,52.05,52.98,1860
2007-3-16,53.06,54.39,53.06,54.25,2490
2007-3-19,54.3,55,53.71,55,6190
2007-3-20,55.6,57,55,56.99,7100
2007-3-21,57,57.2,56.02,57,4600
2007-3-22,58.5,58.98,57,58.4,12950
2007-3-23,58.45,58.45,57.6,57.7,4240
2007-3-26,57,59,57,58.51,6800
2007-3-27,58.51,58.51,58,58,930
2007-3-28,57.51,58.88,57.5,58.14,1860
2007-3-29,57.55,59.15,57.55,58.5,5210
2007-3-30,58.8,58.8,58,58.3,7440
2007-4-2,55.72,58.88,55.71,58.88,2000
2007-4-3,58.3,59.21,58.3,59.03,11570
2007-4-4,59.1,60.89,58.76,60.89,60450
2007-4-5,61,63,59,61,15870
2007-4-6,60,60.4,59.5,60.31,6000
2007-4-9,60.98,60.98,59.56,60.95,1140
2007-4-10,60.94,61,60.8,61,390
2007-4-11,62,62.95,62,62.9,1540
2007-4-12,62,62.47,61,62.47,1390
2007-4-13,63,63,61.8,62,2250
