Date,Open,High,Low,Close,Volume
2011-12-2,15.9,15.975,15.42,15.677,68837
2011-12-5,15.541,16.669,15.51,16.55,83069
2011-12-6,16.5,16.5,15.5,15.995,40725
2011-12-7,15.99,15.99,15.503,15.775,53432
2011-12-8,15.8,15.93,15.5,15.695,36369
2011-12-9,15.495,15.495,14.811,15.1,21884
2011-12-12,15.18,15.738,14.28,14.975,17299
2011-12-13,14.944,15.485,14.7,15.183,29770
2011-12-14,14.989,15.348,14.952,15.186,5829
2011-12-15,15,15.456,14.863,15.456,7569
2011-12-16,15.475,15.475,14.953,15.1,11468
2011-12-19,15.01,15.423,14.863,15.423,16438
2011-12-20,15.29,15.423,14.882,15.146,22094
2011-12-21,15.339,15.339,14.801,14.99,6637
2011-12-22,14.998,15,14.4,14.564,14778
2011-12-23,14.566,14.632,14.105,14.169,5843
2011-12-26,14.2,14.349,13.747,13.92,15595
2011-12-27,13.756,13.8,13.434,13.572,12509
2011-12-28,13.532,14.32,13.2,13.975,25289
2011-12-29,13.777,13.979,13.24,13.548,10828
2011-12-30,13.605,13.728,13.412,13.66,7420
2012-1-3,13.75,13.91,13.703,13.849,4606
2012-1-4,13.896,14.099,13.606,13.95,4775
2012-1-5,13.9,14.048,13.62,13.848,9964
2012-1-6,13.799,13.999,13.545,13.8,7605
2012-1-9,13.85,15.689,13.818,15.1,28012
2012-1-10,15.3,15.443,14.951,15.29,17637
2012-1-11,15.377,15.377,14.82,14.9,4545
2012-1-12,15.276,15.276,14.575,14.743,8183
2012-1-13,14.7,14.797,14.45,14.649,4349
2012-1-16,14.404,14.74,14.222,14.5,8425
2012-1-17,14.567,15.207,14.567,14.9,15368
2012-1-18,15,15.085,14.753,14.9,4660
2012-1-19,15.029,15.185,14.849,14.882,8544
2012-1-20,14.999,15.151,14.81,14.95,4794
2012-1-23,14.996,15.137,14.832,15.119,4921
2012-1-24,16.977,16.977,15.127,15.547,27734
2012-1-25,15.654,15.85,15.341,15.547,8473
2012-1-26,15.567,15.648,15.327,15.45,5790
2012-1-27,15.334,15.344,14.998,15.18,5695
2012-1-30,15,15.332,14.904,15.205,8742
2012-1-31,15.311,15.433,15.227,15.41,5333
2012-2-1,15.404,15.627,15.3,15.6,11077
2012-2-2,15.458,15.799,15.132,15.28,11530
2012-2-3,15.258,15.735,15.222,15.735,11111
2012-2-6,15.505,16.078,15.505,15.709,11954
2012-2-7,15.782,15.8,15.398,15.44,7580
2012-2-8,15.553,15.697,15.29,15.36,6263
2012-2-9,15.155,15.55,15.155,15.35,5560
2012-2-10,15.287,15.46,15.05,15.15,5182
2012-2-13,14.485,15.546,14.485,15.379,6680
2012-2-14,15.437,15.936,15.255,15.456,8834
2012-2-15,15.596,15.677,15.353,15.466,8160
2012-2-16,15.351,15.351,15.15,15.248,4636
2012-2-17,15.396,19.3,15.373,18.626,109777
2012-2-20,19.5,22.425,18.5,22,157677
2012-2-21,22.221,22.8,20.6,21.522,67714
2012-2-22,21.285,21.739,20.6,21.242,24283
2012-2-24,21.5,22.3,21.5,21.8,27737
2012-2-27,22.01,22.01,21.3,21.56,10692
2012-2-28,21.621,21.962,20.41,20.5,14492
2012-2-29,20.95,21.99,20.291,21.739,42721
2012-3-1,21.3,21.89,21.112,21.741,14277
2012-3-2,21.889,21.95,21.4,21.699,7738
2012-3-5,21.705,21.9,21.425,21.639,4253
2012-3-6,21.434,21.699,20.55,21.542,23741
2012-3-7,21.2,24.9,21.2,24.051,47556
2012-3-11,23.775,24.89,23.45,24.384,16192
2012-3-12,23.942,24.438,23.901,24.15,5207
2012-3-13,24.25,24.4,23.23,23.504,10881
2012-3-14,23.747,24.28,23.016,23.5,16413
2012-3-15,23.775,23.95,22.882,23.027,9995
2012-3-16,23.399,23.497,22.203,22.5,14123
2012-3-19,22.8,23.2,21.77,22.738,13149
2012-3-20,22.749,23.2,22.52,22.64,6741
2012-3-21,22.879,22.95,22.513,22.65,6904
2012-3-22,22.567,23.74,21.8,22.189,56972
2012-3-23,22.206,22.6,21.3,22.401,8197
2012-3-26,22.598,23.003,22.459,22.707,6155
2012-3-27,22.75,22.839,22.423,22.65,4734
2012-3-28,22.5,22.626,21.993,21.997,3707
2012-3-29,21.9,21.979,21.154,21.76,9165
2012-3-30,21.695,22.3,21.626,21.89,6438
2012-4-2,21.899,21.947,21.16,21.523,2936
2012-4-3,21.624,21.701,21.221,21.3,4343
2012-4-4,21.1,21.289,20.98,21.055,5871
2012-4-5,21.1,21.749,20.85,21.253,8388
2012-4-6,21.4,21.48,21.015,21.387,11339
2012-4-9,21.399,21.4,20.499,20.858,11016
2012-4-10,21.05,21.301,20.023,20.5,11605
2012-4-11,20.24,21.948,20.116,21.38,15990
2012-4-12,21.595,22.311,21.595,22.079,11361
2012-4-13,21.8,22.34,21.8,22.058,3956
2012-4-16,21.75,22.098,21.72,21.888,4159
2012-4-17,21.721,21.998,21.31,21.498,6469
2012-4-18,21.674,21.9,21.003,21.349,6161
2012-4-19,21.9,21.9,21.142,21.398,5470
2012-4-20,21.345,21.44,21.171,21.436,821
2012-4-23,21.49,21.49,21.03,21.3,4471
2012-4-24,21.323,21.789,21.209,21.739,2128
2012-4-25,21.9,21.9,21.25,21.257,3881
2012-4-26,21.453,21.479,20.6,21.049,4024
2012-4-27,21.099,21.28,20.988,21.044,2209
