Date,Open,High,Low,Close,Volume
2008-6-11,16500,16500,16500,16500,1
2008-6-17,16499.99,16499.99,16499.99,16499.99,1
2008-7-8,15500,15500,15500,15500,2
2008-8-1,15250,15250,15250,15250,1
2008-8-28,13600,13600,13600,13600,1
2008-8-29,13600,13600,13600,13600,1
2008-12-3,8160,8160,8160,8160,1
2008-12-4,4896,4896,4896,4896,2
2008-12-5,4410,4410,2937.6,2937.6,2
2008-12-9,3000,3000,2050,2150,82
2008-12-10,1851,2100,1450.1,2100,59
2008-12-11,2100,2399,2050,2100,29
2008-12-12,2000,2000,1950,1990,17
2008-12-18,1800,1800,1700.01,1700.01,26
2008-12-19,1850,1850,1540,1540,27
2008-12-22,1450,1480,1440,1480,45
2008-12-23,1450,1450,1430,1430,14
2008-12-24,1550,1700,1400.01,1450,29
2008-12-25,1500,1500,1435,1435,9
2008-12-26,1200,1200,1200,1200,31
2008-12-29,1440,1510,1440,1440,56
2008-12-30,1490,1490,1490,1490,19
2008-12-31,1500,1500,1500,1500,50
2009-1-11,1500,1500,1450,1500,21
2009-1-12,1510,1550,1510,1550,26
2009-1-13,1550,1550,1550,1550,2
2009-1-14,1500,1620,1500,1615,36
2009-1-15,1610,1615,1610,1615,15
2009-1-16,1620,1630,1600,1600,13
2009-1-19,1640,1650,1112.12,1550,50
2009-1-20,1550,1575,1500,1500,10
2009-1-22,1575,1650,1480,1650,59
2009-1-23,1575,1575,1575,1575,6
2009-1-27,1525,1525,1500,1500,19
2009-1-28,1515,1525,1500,1525,17
2009-1-29,1520,1520,1510,1510,14
2009-1-30,1530,1575,1250,1250,31
2009-2-3,1400,1400,1400,1400,11
2009-2-4,1400,1400,1002,1400,54
2009-2-6,1240,1240,1200,1200,14
2009-2-9,1400,1400,1400,1400,12
2009-2-10,1400,1400,1360,1390,37
2009-2-11,1350,1370,1340,1350,19
2009-2-12,1350,1400,1200,1350,45
2009-2-13,1420,1675,1420,1650,361
2009-2-16,1650,1740,1650,1700,71
2009-2-17,1650,1700,1550,1550,21
2009-2-18,1400,1400,1350,1350,2
2009-2-19,1700,1770,1700,1770,178
2009-2-20,1551,1800,1551,1800,50
2009-2-24,1580,1690,1580,1690,10
2009-2-25,1700,1870,1700,1870,93
2009-2-26,1800,1800,1800,1800,1
2009-2-27,1730,2010,1730,2010,332
2009-3-2,1850,1850,1850,1850,5
2009-3-3,1850,1850,1850,1850,5
2009-3-4,1960,2020,1900,2000,61
2009-3-5,2090,2290,2090,2100,10
2009-3-6,2100,2448,2100,2448,21
2009-3-10,2895,2895,2455,2700,28
2009-3-11,2401,2739.48,2401,2739.48,15
2009-3-12,2793.98,2796,2699.99,2699.99,15
2009-3-13,2429.99,2699,2400,2500,42
2009-3-16,2300,2400,2300,2400,19
2009-3-17,2299.99,2300,2299.99,2300,24
2009-3-18,2250,2300,2250,2300,6
2009-3-19,2200,2200,2150,2150,7
2009-3-20,2392,2400,2392,2400,8
2009-3-23,2400,2500,2400,2450,19
2009-3-24,2400,2400,2400,2400,2
2009-3-25,2499.99,2700,2499.99,2699.99,150
2009-3-26,2799.99,2900,2650,2890,2218
2009-3-27,2830,2890,2650,2830,244
2009-3-30,2500,2600,2500,2600,18
2009-3-31,2800,3100,2600,3100,335
2009-4-1,3000,3200,3000,3200,20
2009-4-2,3000,3600,3000,3600,26
2009-4-3,4000,4100,3000,3000,316
2009-4-6,3299.99,3500,3299.99,3449.99,12
2009-4-7,3300,3400,3010,3010.01,43
2009-4-8,3100,3100,3000,3000,222
2009-4-9,3000,3000,2900,3000,1601
2009-4-10,2900,3118,2851,3020,1018
2009-4-13,3130,3170,3030,3032,82
2009-4-14,3130,3180,3100,3100,82
2009-4-15,3099.01,3099.01,3032,3032,19
2009-4-16,3030,3100,3000,3090,12
2009-4-17,3110,3900,3110,3750,138
2009-4-20,3380,3500,3360,3500,26
2009-4-21,3499.99,3500,3160,3160,31
2009-4-22,3500,3775,3500,3500.01,90
2009-4-23,3774,3825,3774,3825,90
2009-4-24,3790,4025,3700,4000,1317
2009-4-27,3999.99,4300,3999.99,4300,1177
2009-4-28,4290,4290,4290,4290,5
2009-4-29,4290,4800,4285,4724,460
2009-4-30,4730,4800,3700,4500.01,142
2009-5-4,4730,4950,3950,4402,29
2009-5-5,4500,4690,4500,4650,25
2009-5-6,4650,4650,4300,4300,136
2009-5-7,4300,4300,4050,4100,130
2009-5-8,4100,4100,3999,4000,91
2009-5-12,4000,4100,3700,4000,251
2009-5-13,4000,4200,3900,4200,1488
2009-5-14,4205,4299.99,3950,4100,229
2009-5-15,4000.01,4199.99,3810,3870,84
2009-5-18,4000,4200,4000,4100,1525
2009-5-19,4300,4300,4120,4120,27
2009-5-20,4250,4500,4220,4450,2249
2009-5-21,4500,4500,4300,4325,106
2009-5-22,4350,4499.88,4350,4499.88,5
2009-5-25,4350,4401,4350,4400,131
2009-5-26,4300,4525,4300,4500,2070
2009-5-27,4525,4730,4524.99,4550.01,241
2009-5-28,4450,4770,4400,4750,1717
2009-5-29,4675,4900,4675,4900,653
2009-6-1,4675,5500,4675,5500,4091
2009-6-2,6050,6050,5300,5720,298
2009-6-3,5625,5799.99,5300,5799.99,876
2009-6-4,5800,6400,5800,6400,2171
2009-6-5,6800,6800,6350,6666.66,3282
2009-6-8,6649.99,8000,6000,7399.98,11739
2009-6-9,7399.98,7900,7000,7900,439
2009-6-10,7900,8798.99,7255.01,7255.01,198
2009-6-11,7500.01,8299.95,7500,8000,18
2009-6-15,7500.01,7700,7500,7500,114
2009-6-16,7100,7590,7000,7500,34
2009-6-17,7449,7500,7449,7500,500
2009-6-18,7430,7499,7000,7400,53
2009-6-19,7400,7500,7200,7200,44
2009-6-22,7300,7300,6500,6500,68
2009-6-23,5002,6250,5000,5900,90
2009-6-24,5500,6599.99,5500,6599.99,15
2009-6-25,6149.98,6150,6050,6050,10
2009-6-26,6399.99,6500,6399.99,6500,10
2009-6-29,5800.01,6149.99,5800,5909.99,108
2009-6-30,5984,6300,5984,6300,235
2009-7-1,6199.99,6300,6199.99,6300,13
2009-7-2,5922.01,5922.01,5100,5900,22
2009-7-3,5900.01,6200,5900,6150,14
2009-7-6,5900,5900,5900,5900,14
2009-7-7,5900,5900,5900,5900,1
2009-7-9,6000,6000,6000,6000,1
2009-7-14,6250,6250,5700,6200,7
2009-7-16,5900,5900,5900,5900,1
2009-7-17,5900,5900,5900,5900,4
2009-7-20,5900,6000,5900,6000,23
2009-7-21,5700,5700,5700,5700,1
2009-7-22,5990,5990,5990,5990,1
2009-7-23,5011,5700,5011,5700,21
2009-7-24,5900,5900,5550.01,5550.01,7
2009-7-27,5950,5950,5550,5800,7
2009-7-28,5600,5700,5500,5700,10
2009-7-29,5700,5700,5700,5700,1
2009-7-30,5400,5600,5400,5600,24
2009-7-31,5500,5600,5200,5600,16
2009-8-3,5500,5670,5410,5670,15
2009-8-4,5400,5650,5400,5650,17
2009-8-5,5450,5850,5400,5850,94
2009-8-6,5600,5600,5600,5600,2
2009-8-7,5580,5750,5565,5750,21
2009-8-10,5750,5760,5750,5760,4
2009-8-12,5350,5700,5350,5700,43
2009-8-13,5830,5900,5800,5800,52
2009-8-17,5400.02,5400.02,5400,5400,10
2009-8-18,5849.99,5849.99,5849.99,5849.99,1
2009-8-19,5689.99,5760,5689.99,5760,32
2009-8-20,5850,6050,5850,6050,147
2009-8-21,6050,6050,6000,6050,80
2009-8-24,6000,6050,6000,6048,88
2009-8-25,6100,6100,5900,6000,105
2009-8-26,6000,6025.01,5950,6000,445
2009-8-27,6000,6000,6000,6000,21
2009-8-28,5875,5975,5875,5975,4
2009-8-31,5921,6025,5880.03,6025,92
2009-9-1,6037,6037,6000,6000,54
2009-9-2,6025,6025,6000,6000,62
2009-9-3,6000,6000,6000,6000,4
2009-9-4,5705.5,6050,5705.5,6000,79
2009-9-7,6040,6050,6040,6050,26
2009-9-8,6050,6350,6050,6350,202
2009-9-9,6100.02,6339.9,6100.02,6300,114
2009-9-10,6330,6375,6250,6250,54
2009-9-11,6400,6800,6350,6800,191
2009-9-14,6800,6900,6500,6850,5
2009-9-15,6500.03,7045,6500.02,7000,248
2009-9-16,7000,7199.99,6900,7000,65
2009-9-17,7000,7199.57,6900,7000,948
2009-9-18,7300,7999.92,7300,7750,187
2009-9-21,7900,8000,7800,7900,32
2009-9-22,7805,7805,7805,7805,7
2009-9-23,7800,8000,7785,7850,119
2009-9-24,7850,8499.99,7700,7850,127
2009-9-25,8000,8300,8000,8300,35
2009-9-28,8300,8300,8050,8050,23
2009-9-29,8150,8500,8000,8050,124
2009-9-30,8050,8150,7850,7850,141
2009-10-1,8050,8050,7000.19,7700,43
2009-10-2,7022.49,7699.98,7022.49,7699.98,8
2009-10-5,7300,7300,7300,7300,3
2009-10-6,7300,7900,7300,7900,18
2009-10-7,7900,8045,7700,8000,558
2009-10-8,8050,8400,8000,8400,2945
2009-10-9,8399.99,8500,8200,8305,1823
2009-10-12,8300,8500,8150,8490,2504
2009-10-13,8490,8490,8200,8300,1630
2009-10-14,8200,8206,8200,8200,14
2009-10-15,8300,9000,8250,8500,1194
2009-10-16,8600,8600,8500,8600,12
2009-10-19,8800,8990,8700,8990,8
2009-10-20,8600.01,9100,8600.01,9100,20531
2009-10-21,9100,9100,8900,8900,4
2009-10-22,9150,9150,8753,8753,21827
2009-10-23,8953,8953,8953,8953,21560
2009-10-26,9000,9150,8950,9150,23
2009-10-27,8800,8900,8700,8900,161
2009-10-28,8900,8900,8500,8500,131
2009-10-29,8700,8700,8450,8600,357
2009-10-30,8600,8700,8550,8550,20
2009-11-2,8600,8700,8600,8600,65
2009-11-3,8600,8600,8600,8600,13
2009-11-5,8600,8700,8600,8700,26
2009-11-6,8700,8700,8600,8600,12
2009-11-9,8450,9000,8325,9000,937
2009-11-10,8990,9150,8990,9150,127
2009-11-11,9000,9000,8900,9000,27
2009-11-12,9000,9100,9000,9100,232
2009-11-13,8900,9000,8900,9000,10
2009-11-16,9150,9150,9000,9100,174
2009-11-23,9199.99,9200,9199.99,9200,50
2009-11-24,9200,9200,9200,9200,10
2009-11-25,9075,9075,9075,9075,10
2009-11-26,9075,9075,9000,9030,63
2009-11-27,9075,9175,8501,9075,1418
2009-11-30,9299.99,9299.99,9075,9175,5
2009-12-1,9080,9175,9050,9175,32
2009-12-2,9200,9200,9200,9200,20
2009-12-3,9250,9250,9250,9250,2
2009-12-4,9060,9200,9060,9200,2
2009-12-8,9050,9050,9050,9050,3
2009-12-10,9100,9150,9080,9150,42
2009-12-11,9200,9200,9090,9090,50
2009-12-14,9100,9190,9000,9190,97
2009-12-15,9200,9200,9100,9100,102
2009-12-17,9199.99,9250,9199.99,9250,9
2009-12-18,9300,9400,9300,9400,11
2009-12-21,9300,9300,9300,9300,10
2009-12-22,9400,9444,9300,9300,40
2009-12-23,9250,9250,9250,9250,3
2009-12-25,9250,9250,9250,9250,2
2009-12-28,9300,9300,9300,9300,4
2009-12-30,9400,9550,9000,9550,3036
2009-12-31,9600,9600,9600,9600,5
2010-1-11,9600,10100,9600,10000,164
2010-1-12,10000,10099.99,9500,9700,221
2010-1-13,9700,9700,9700,9700,6
2010-1-14,9700,9750,9500,9750,777
2010-1-15,9750,9850,9700,9850,9
2010-1-18,9800,9800,9700,9770,11
2010-1-19,9700,9700,9700,9700,9
2010-1-20,9900,9900,9600,9850,10310
2010-1-22,9700,9700,9000,9300,81
2010-1-25,9600,9600,9100,9100,63
2010-2-1,9449.96,9449.96,9449.96,9449.96,1
2010-2-3,9123.3,9200,9000,9200,299
2010-2-4,9300,9300,9299,9300,101
2010-2-5,9000,9500,8000,9500,732
2010-2-8,9549.99,9550,9499.99,9550,273
2010-2-9,9500,9580,9500,9580,805
2010-2-10,9010,9010,9000,9000,6
2010-2-11,9100,9100,9001.31,9001.31,8
2010-2-12,9002,9300,8600,9300,56
2010-2-15,9010,9010,9010,9010,2
2010-2-16,9199,9500,9199,9201,189
2010-2-17,9205.01,9700,9200,9700,420
2010-2-18,9675,9700,9675,9700,100
2010-2-24,9900,10000,9900,10000,2
2010-2-25,9111,9111,9000,9000,61
2010-2-26,9299.99,9500,9299.99,9490,115
2010-3-1,9250.01,9250.01,9250,9250,50
2010-3-2,9989.99,9989.99,9989.99,9989.99,3
2010-3-4,9350,9350,9350,9350,5
2010-3-5,9600,9700,9600,9700,2
2010-3-9,9450.02,9450.02,9450,9450,2
2010-3-10,9749.99,9800,9749.99,9800,20
2010-3-11,9799,10100,9699.99,10000,104
2010-3-12,9500.02,10100,9500.01,10100,15
2010-3-17,9750,9750,9500.01,9500.01,5
2010-3-18,9550,10000,9550,10000,45
2010-3-19,9700,9700,9700,9700,1
2010-3-22,9450.02,10000,9450.02,10000,13
2010-3-24,9990,10000,9990,10000,5
2010-3-25,9999.1,9999.1,9700,9700,4
2010-3-26,10000,10050,10000,10050,274
2010-3-29,10000,10000,10000,10000,39
2010-3-30,10049,10100,9850,10100,81
2010-4-1,10200,10200,10200,10200,4
2010-4-2,10200,10200,10200,10200,57
2010-4-5,10200,10500,9900,10500,288
2010-4-6,10900,10975,10900,10975,27
2010-4-7,10711,11500,10700,10900,286
2010-4-8,10900,11500,10900,11500,94
2010-4-9,11200,11200,11200,11200,1
2010-4-12,11200,11400,11200,11400,31
2010-4-14,11500,11501,11500,11500,13
2010-4-15,11450,11500,11450,11500,21
2010-4-16,11550,11600,11400,11599,14
2010-4-19,11100,11400,10800,11200,62
2010-4-20,11300,11499.99,11300,11499.99,58
2010-4-21,11400,11600,11350,11450,112
2010-4-22,11699.99,11699.99,11699.99,11699.99,23
2010-4-23,11600,11700,11400,11500,16
2010-4-26,11500,11650,11500,11650,62
2010-4-27,11620.5,11620.5,11500,11500,2
2010-4-28,11450,11700,11450,11600,308
2010-4-29,11799,11800,11500,11500,17
2010-4-30,11600,11700,11600,11700,41
2010-5-4,11600,11600,11600,11600,41
2010-5-5,11600,11650,11500,11500,74
2010-5-6,11555,11600,11555,11600,35
2010-5-7,11200,11849.99,11200,11400,132
2010-5-11,11848.98,11885,11500,11500,45
2010-5-12,11700,11735,11650,11735,98
2010-5-13,11700,12000,11700,12000,67
2010-5-14,12000,12000,11680,11680,8
2010-5-17,11601,11700,11601,11700,2
2010-5-18,11750,12300,11520,11850,1791
2010-5-19,11701,12300,11701,12000,1427
2010-5-20,12000,12000,11890,11890,19
2010-5-21,11900,11900,11500,11750,71
2010-5-24,11799.99,11799.99,11600,11600,61
2010-5-25,11600,11799.99,11570,11799.99,11
2010-5-26,11500,11700,11500,11699.99,116
2010-5-27,11700,11700,11400,11400,160
2010-5-28,11699.99,11699.99,11300,11300,113
2010-5-31,11697.97,11697.97,11599.9,11599.9,152
2010-6-1,11650,11650,11000,11200,195
2010-6-2,11200,11200,11200,11200,7
2010-6-3,11300,11300,11200,11200,11
2010-6-4,11485,11485,11050,11100,90
2010-6-7,11092.5,11400,11050,11400,89
2010-6-8,11400,11497,11400,11497,99
2010-6-9,11000,11000,10500.01,10700,39
2010-6-10,10600,10700,10550,10700,81
2010-6-11,10600,10700,10600,10600,51
2010-6-15,10800,10800,10700,10750,73
2010-6-16,10750,10800,10750,10800,4
2010-6-17,10700,10800,10700,10800,46
2010-6-18,11000,11000,10700.01,11000,215
2010-6-22,11000,11000,11000,11000,19
2010-6-23,11000,11200,11000,11200,258
2010-6-25,11101,11300,11100,11300,144
2010-6-29,11200,11200,11200,11200,109
2010-6-30,11400,11650,11400,11650,46
2010-7-5,10900.02,11300,10900.02,11300,102
2010-7-6,11250,11400,11200,11200,216
2010-7-7,11200,11250,11100,11100,210
2010-7-8,10950,10950,10900,10900,6
2010-7-12,10900.01,10900.01,10800,10800,9
2010-7-13,10900,11089.99,10900,11089.99,6
2010-7-14,10900.01,11000,10500,10850,33
2010-7-15,10900,11199.99,10800,11199.99,37
2010-7-16,10850,11100,10840,11100,62
2010-7-19,10860,10950,10750,10950,145
2010-7-20,11000,11000,10750,10800,321
2010-7-21,10800,10850,10800,10850,62
2010-7-22,11000,11000,10750,10900,272
2010-7-23,10850,11100,10850,11000,662
2010-7-26,11000,11000,11000,11000,22
2010-7-27,11200,11250,11000.01,11250,82
2010-7-30,11200,11200,10900,10900,15
2010-8-2,10900,11150,10800,10800,245
2010-8-3,10950,11150,10920,11150,470
2010-8-4,11000.01,11000.01,11000,11000,2
2010-8-5,11198.99,11200,11198.99,11200,113
2010-8-6,11200,11200,10600,10600,110
2010-8-9,10600.05,10999.99,10600.04,10999.99,20
2010-8-10,11200,11200,10750,10800,130
2010-8-11,10799.99,10850,10750,10800,89
2010-8-12,10800,11000,10800,10850,131
2010-8-13,10900,10900,10900,10900,1
2010-8-16,10800,10800,10750,10750,7
2010-8-17,10350.01,10500,10300,10500,10
2010-8-18,10855.09,10900,10000,10100,125
2010-8-19,9900,9999.99,9300.01,9999.99,29
2010-8-20,9800.01,9810,9800,9800,24
2010-8-23,9870,9999.89,9400,9998.75,33
2010-8-24,9800,9800,9800,9800,7
2010-8-25,9005.49,9300,9005.49,9300,4
2010-8-26,9300,9300,9300,9300,5
2010-8-27,9500,9500,9500,9500,1
2010-8-30,9300,9300,9300,9300,1
2010-9-6,9795,9800,9500,9600,126
2010-9-7,9600,9600,9500,9500,31
2010-9-8,9599.9,9800,9530.37,9800,14
2010-9-9,9550.08,9599.95,9450,9450,19
2010-9-10,9250.02,9250.02,9139.99,9200,81
2010-9-13,9220,9349.99,9220,9349.99,10
2010-9-14,9200,9200,9180,9180,3
2010-9-15,9100,9100,9100,9100,1
2010-9-16,9100,9100,9000,9000,17
2010-9-17,8900,8977.46,8880.01,8890,6
2010-9-20,8898.88,8898.88,8549.98,8800.01,29
2010-9-21,8999.98,8999.98,8999.98,8999.98,1
2010-9-22,9150,9150,9150,9150,2
2010-9-24,9224.99,9600,9224.99,9600,200
2010-9-27,9350,10999.99,9350,10500,451
2010-9-28,10300,10690,10250,10300,135
2010-9-29,10200.01,10200.01,10200,10200,6
2010-10-1,10000,10500,10000,10500,6
