Date,Open,High,Low,Close,Volume
2012-12-19,317,317.7,315,317.5,23
2012-12-20,318,318,318,318,1
2012-12-21,317,318.75,316.8,318.75,11
2012-12-24,310,317,310,317,47
2012-12-25,317,317,317,317,55
2012-12-28,316.99,316.99,316.99,316.99,55
2013-1-9,316.99,317,316.99,317,36
2013-1-11,317,317,317,317,3
2013-1-14,317,317,317,317,4
2013-1-15,317,317,317,317,4
2013-1-16,317,317,316.99,316.99,4
2013-1-18,317,317,316.99,316.99,17
2013-1-21,317,317,317,317,53
2013-1-22,317,317,317,317,1
2013-1-24,367.64,367.64,317.6,319,106
2013-1-25,317.01,320,317,319,195
2013-1-28,431.2,431.2,317.27,318.2,234
2013-1-29,317.07,319.59,315,318.8,214
2013-1-30,317.56,318.9,317.48,318.9,136
2013-1-31,318.77,319.16,315,319.16,319
2013-2-1,319.8,320.62,315,320.62,359
2013-2-4,316.5,316.5,310,316.49,320
2013-2-5,317,324,317,323,182
2013-2-6,327,328.92,326.49,328.86,175
2013-2-7,326,341.11,326,341.11,334
2013-2-8,336,345.13,336,345,101
2013-2-11,330.21,350.46,330.21,350.46,293
2013-2-12,345,353.27,345,353.27,308
2013-2-13,349,352.2,345.28,347.25,190
2013-2-14,349,354.86,345.1,353,279
2013-2-15,349,365.45,349,365.45,404
2013-2-18,349,373,349,373,518
2013-2-19,372.05,376.47,372.05,376.47,506
2013-2-20,374,385.56,374,385.56,617
2013-2-21,388,402.07,388,398,533
2013-2-22,393,401.97,385.02,390.75,538
2013-2-25,393,405,393,405,418
2013-2-26,402.04,408.93,400,408.93,403
2013-2-27,415,450,401,411.61,529
2013-2-28,410.99,412.93,400,412.93,488
2013-3-1,407.22,417.12,396.82,401,407
2013-3-4,407,407,390.71,394.85,593
2013-3-5,396.8,396.8,372.59,378.62,531
2013-3-6,375,379.96,368.26,369.62,518
2013-3-7,372.35,375.65,372.35,375.65,1010
2013-3-11,377,387,374.79,387,718
2013-3-12,381,387.16,381,383.69,801
2013-3-13,385.6,388,380.18,387,786
2013-3-14,388.88,402.7,385,402.7,881
2013-3-15,408.26,416.25,402,416.25,699
2013-3-18,422,423,396.81,412.5,597
2013-3-19,415,435.99,406.14,435.99,1101
2013-3-20,433,440,424,440,404
2013-3-21,440.44,440.44,436.04,440.22,281
2013-3-22,440.66,441.15,438.95,440.66,348
2013-3-25,441.1,450.8,441.1,450.8,356
2013-3-26,451.25,451.25,448.55,448.55,214
2013-3-27,448.1,476.03,448.1,476.03,1109
2013-3-28,475.55,479.82,472.22,476.01,367
2013-3-29,476.49,482.58,467.44,475,187
2013-4-1,474.52,474.52,459.43,459.43,152
2013-4-2,459.89,461.27,449.78,455.98,190
2013-4-3,455.52,455.76,448.68,448.84,207
2013-4-4,448.39,448.39,435.47,435.47,194
2013-4-5,435.03,435.03,429.81,429.81,78
2013-4-8,429.38,434.11,426.8,433,168
2013-4-9,433.43,438.63,430.85,438.63,157
2013-4-10,439.07,439.95,438.5,439.28,288
2013-4-11,438.84,439.06,437.96,437.96,278
2013-4-12,438.4,438.4,434.89,434.94,203
2013-4-15,434.51,435.81,432.77,432.77,64
2013-4-16,433.2,433.2,431.9,431.9,117
2013-4-17,432.33,434.92,427.58,428.29,169
2013-4-18,428.72,440.28,428.72,428.84,185
2013-4-19,429.27,434.84,429.27,431.67,57
2013-4-22,432.1,440.7,432.1,440.7,340
2013-4-23,441.14,442.9,441.14,441.8,172
2013-4-24,442.24,442.24,442.06,442.06,205
2013-4-25,441.62,442.5,441.43,441.84,150
2013-4-26,441.5,442.28,441.4,441.4,148
2013-4-29,440.97,441.4,440.97,441.4,227
2013-4-30,441.84,441.84,440.98,440.98,261
2013-5-2,441.42,441.42,441.2,441.2,229
2013-5-3,441.64,441.64,441.2,441.2,199
2013-5-6,440.77,441.2,409.99,410.01,691
2013-5-7,405.01,417,399,415.3,157
2013-5-8,414.98,418.99,414.98,418.99,83
2013-5-10,419.8,421,419.5,421,58
2013-5-13,420,422.8,420,422.8,81
2013-5-14,423,423.99,423,423.99,57
2013-5-15,424,424.99,290.01,316,11006
2013-5-16,316.05,326.97,315.5,315.51,22178
2013-5-17,316.12,319.59,315.5,316,1188
2013-5-20,316.19,316.7,316,316,168
2013-5-21,316,316.09,316,316,54
2013-5-22,316,334.64,316,328.08,241
2013-5-23,316.01,327,316,316,79
2013-5-24,316.02,319.8,316,318.79,290
2013-5-27,316,316.19,315.5,316.19,134
2013-5-28,316.48,316.48,315.51,316.09,164
2013-5-29,316,316.19,315.45,316.01,47
2013-5-30,316,322.47,316,321,131
2013-5-31,326.38,326.38,315,315,208
2013-6-3,316.99,316.99,315.01,315.01,115
2013-6-4,315.5,324.99,315,315.05,121
2013-6-5,315.89,315.89,310,315.38,83
2013-6-7,315,315.8,313.34,313.34,27
2013-6-10,300.03,314.5,300,309,28
2013-6-11,305,314,305,305,12
2013-6-13,314,314,314,314,2
2013-6-14,313.98,313.99,313.98,313.99,3
2013-6-17,313.9,313.9,300.01,311.86,22
2013-6-18,302.21,323,300.05,302,95
2013-6-19,304,304.98,300.03,302,73
2013-6-20,302,303.5,300.2,300.2,12
2013-6-21,307,307.8,300,300,16
2013-6-24,300,300,300,300,2
2013-6-25,300.01,305,295,299.99,26
2013-6-26,300,300,300,300,3
2013-6-28,289.99,303.95,289.99,300,32
2013-7-1,310,310,285,298.95,35
2013-7-2,299.95,299.95,280.01,289,77
2013-7-3,289.95,317.99,285,310,30
2013-7-4,315,315,290,290,32
2013-7-5,300,302,293,300,26
2013-7-8,295,302,290.34,302,27
2013-7-9,308,310,295,300,42
2013-7-10,308,310,295,303,32
2013-7-11,305,307,292.2,292.2,21
2013-7-12,290,304.99,287.6,300,20
2013-7-15,300,300,300,300,8
2013-7-16,302,302,288,288,10
2013-7-17,300,301.57,288,288,14
2013-7-18,290,295.9,288.01,292,12
2013-7-19,295,295.03,285,294.99,22
2013-7-22,296,297,285.01,293,23
2013-7-23,290,290,289,289,6
2013-7-24,290,291,290,290,5
2013-7-25,290,292,286,292,3
2013-7-30,280,290,280,289,3
2013-7-31,290,290,290,290,1
2013-8-1,240.05,287.58,240.04,270,33
2013-8-2,251.01,285,251,260.01,18
2013-8-5,270,279,251,270,4
2013-8-6,289.33,289.34,289.33,289.34,2
2013-8-8,289,290,280,280,15
2013-8-12,252.05,290.35,252.05,290.35,3
2013-8-13,269,269,212.05,247.64,37
2013-8-14,217.01,225.25,193.06,209.51,52
2013-8-15,225,225,220,220.1,23
2013-8-16,207.09,207.09,207.09,207.09,2
2013-8-19,221.74,289.3,221.71,289.3,30
2013-8-20,268.97,268.99,250,250,8
2013-8-21,230,315.5,230,300,77
2013-8-22,315.99,316,307,309,109
2013-8-23,300,318,300,315,34
2013-8-26,310,316,310,315.9,33
2013-8-27,315.99,323,312.61,312.61,42
2013-8-28,320.99,320.99,319.9,319.9,33
2013-8-29,319.9,319.9,317.5,319.77,30
2013-8-30,316.5,317,315,315,28
2013-9-2,315.99,315.99,315.99,315.99,4
2013-9-3,316.3,316.3,316.3,316.3,1
2013-9-4,316.5,319.99,316.5,319.99,3
2013-9-5,320,320,317,317,5
2013-9-6,319.98,319.98,316,316,4
2013-9-9,316,317.84,316,317,14
2013-9-10,318.37,318.39,316,316,11
2013-9-11,316,316.7,316,316.3,20
2013-9-12,317.39,317.39,315.95,316.3,42
2013-9-13,316,316.99,315.69,316.3,4
2013-9-16,316.99,316.99,315.07,315.07,25
2013-9-17,316,316.9,316,316.9,2
2013-9-18,315.79,319.49,315.79,319.49,39
2013-9-19,317.55,319,317.55,318.98,33
2013-9-20,317.78,319,317.78,319,52
2013-9-23,318.62,319.13,318.62,319,51
2013-9-24,318.65,320.88,318.65,320.88,35
2013-9-25,319.68,323,319.64,322.99,83
2013-9-26,320.62,324.52,320.48,324.47,76
2013-9-27,323.76,324.47,323.71,324.47,52
2013-9-30,326.73,329.65,324.99,324.99,74
2013-10-1,327.28,327.32,325.55,327.29,90
2013-10-2,328.47,329,327.88,328.21,98
2013-10-3,329.65,329.68,328.29,328.58,105
2013-10-4,330,330,328.98,328.98,69
2013-10-7,330.27,330.27,328.99,329.03,111
2013-10-8,329.08,330.75,328.8,330.21,214
2013-10-9,330.78,330.99,330,330.92,224
2013-10-10,331.5,333.33,330.79,333.14,136
2013-10-11,334.25,336.07,334.2,335.91,199
2013-10-14,336.92,336.95,336.78,336.86,102
2013-10-15,337.74,337.74,335.69,335.73,206
2013-10-16,327.42,330.42,327.28,329.07,511
2013-10-17,330.08,333.09,329.88,332.84,435
2013-10-18,330.42,332.99,330.34,332.93,338
2013-10-21,333.74,337.31,332.73,337.31,426
2013-10-22,339.1,339.1,338.84,338.94,348
2013-10-23,339.62,339.66,339.26,339.28,528
2013-10-24,341,341.03,339.29,340.05,346
2013-10-25,341.68,341.68,340.06,341.32,351
2013-10-28,341.72,341.73,341.33,341.71,345
2013-10-29,341.99,342.98,341.94,342.79,434
2013-10-30,343.28,344.84,341.68,341.94,521
2013-10-31,343.2,344.01,318,344,492
2013-11-1,350.81,350.81,345.38,345.39,353
2013-11-5,347.04,347.04,346.83,346.94,462
2013-11-6,347.52,347.52,346.95,347.38,500
