Date,Open,High,Low,Close,Volume
2014-5-5,100,100,100,100,46
2014-5-6,99.9,100,99.9,100,53
2014-5-7,99.95,100.05,99.95,100,64
2014-5-8,100,100.07,100,100.07,50
2014-5-12,100,100.01,99,100.01,59
2014-5-13,100,100.09,99.7,100.09,44
2014-5-14,100,100,100,100,61
2014-5-15,100,100,99.99,100,195
2014-5-16,99.8,100.2,99.8,100,88
2014-5-19,100,100.09,100,100.09,104
2014-5-20,100,100.08,100,100.08,85
2014-5-21,100,100.13,100,100,200
2014-5-22,100,100,99.97,100,534
2014-5-23,100,100,99.99,100,212
2014-5-26,100,100.5,99.97,100,952
2014-5-27,100,100,99.99,100,1562
2014-5-28,100,100,99.99,100,696
2014-5-29,99.73,99.73,91,93,96
2014-5-30,96,98,95.01,96,105
2014-6-2,96.96,97.7,96.96,97.7,13
2014-6-3,96.9,96.9,94.01,94.01,40
2014-6-5,96.64,97.99,95,95.02,55
2014-6-6,95.9,96.5,94.13,96,57
2014-6-9,96,96,94.25,94.41,30
2014-6-10,94.31,97.5,94.31,97.04,29
2014-6-11,95.26,99.5,95.25,98.98,157
2014-6-16,94.25,94.27,94.23,94.25,6
2014-6-17,95.05,95.45,95.05,95.45,4
2014-6-18,95.12,98,95.12,95.45,27
2014-6-19,95.49,95.49,95.49,95.49,4
2014-6-20,98,98.88,96.12,96.12,183
2014-6-23,98.89,98.89,98.79,98.79,2
2014-6-24,98,99,97.12,99,58
2014-6-25,98,98.5,97.05,97.08,48
2014-6-26,96.09,97,96.09,97,8
2014-6-27,96.53,98,95.09,95.11,60
2014-6-30,97.5,97.5,95,97.18,34
2014-7-1,97.49,100,97.49,100,94
2014-7-2,98.73,98.8,96.3,97.53,47
2014-7-3,97.53,98.25,96.72,97.1,32
2014-7-4,96.62,98,96.62,97.23,55
2014-7-7,97.35,98.8,97.35,97.41,196
2014-7-8,97.44,97.44,97.4,97.4,20
2014-7-10,97.1,97.1,96,96,30
2014-7-11,96.05,97.95,95.27,95.27,67
2014-7-15,95.45,95.45,95.45,95.45,2
2014-7-16,95.64,95.84,95.64,95.84,3
2014-7-17,95.95,96.5,95.64,95.64,52
2014-7-18,95.5,97.96,95.5,95.59,15
2014-7-21,95.5,95.5,94.59,94.95,88
2014-7-22,95.01,97.59,94.79,95.04,85
2014-7-23,94.8,95.07,94.8,95,36
2014-7-24,95.03,95.05,94.8,94.87,160
2014-7-25,96,96,94.77,94.77,2
2014-7-28,95.01,95.01,94.28,94.35,12
2014-7-29,94.28,94.4,94.28,94.4,7
2014-7-30,94.53,96.98,94.53,96.98,9
2014-7-31,94.61,97.4,94.61,97.4,13
2014-8-1,97.47,97.47,97.47,97.47,1
2014-8-4,95.11,96.3,95.11,96.3,5
2014-8-6,96.99,97,96.22,96.98,25
2014-8-7,96.95,96.95,95.14,95.14,4
2014-8-8,96.94,97,95.33,95.52,9
2014-8-12,95.21,97.1,95.21,95.64,38
2014-8-13,96.5,96.5,96,96,50
2014-8-20,97.45,97.45,97.45,97.45,13
2014-8-21,97.45,97.45,97.45,97.45,1
2014-8-22,97.45,97.45,97.45,97.45,1
2014-8-25,97.46,97.46,97.1,97.1,15
2014-8-26,97.45,97.45,97.45,97.45,1
2014-8-27,97.45,97.45,97.45,97.45,45
2014-8-28,97.5,97.5,97.5,97.5,1
2014-8-29,97.5,97.5,97.48,97.48,16
2014-9-1,97.55,97.55,97.5,97.5,4
2014-9-3,96,97.55,96,97.49,89
2014-9-4,96.01,97.55,96.01,97.55,25
2014-9-5,95.5,97.99,95,97,176
2014-9-8,97.98,97.99,96,96.8,374
2014-9-9,96.8,97.97,95.25,96.1,305
2014-9-10,96.9,97.86,96.01,96.02,794
2014-9-11,96.01,96.64,96.01,96.36,755
2014-9-12,96.04,96.9,96.01,96.1,5074
2014-9-15,96.8,96.97,95.16,96,14042
2014-9-16,96.19,96.27,95.5,95.5,160
2014-9-17,96,96.29,95.17,95.5,4725
2014-9-18,95.69,95.89,95.1,95.12,1241
2014-9-19,95.46,95.65,95.1,95.17,63
2014-9-22,95.53,96.37,95.11,95.29,2239
2014-9-23,95.49,95.93,95.02,95.2,3504
2014-9-24,95.4,95.48,95.19,95.36,1055
2014-9-25,95.36,95.4,95.01,95.01,1001
2014-9-26,95.3,95.3,95,95.01,273
2014-9-29,94.14,95.5,94.14,95.46,70
2014-9-30,95.34,95.36,95,95.36,68
2014-10-1,95.2,95.4,95,95.2,17
2014-10-2,95.3,95.5,95,95.2,47
2014-10-3,95.3,95.4,94.6,94.6,46
2014-10-6,95.4,95.5,95.1,95.5,705
2014-10-7,95.4,96.4,95.1,95.5,213
2014-10-8,96,96.4,95,95.3,203
2014-10-9,96.2,96.2,95,95.3,93
2014-10-10,95.5,95.6,95,95,769
2014-10-13,95.5,95.5,95.1,95.5,258
2014-10-14,95.1,95.5,95,95.5,308
2014-10-15,94.7,95.5,94.7,95.4,237
2014-10-16,95.1,96,95,95.5,745
