Date,Open,High,Low,Close,Volume
2016-11-25,605,605,550.1,558,31394
2016-11-28,550,559.8,547.1,551.9,31113
2016-11-29,550,553.6,549.2,550.2,26708
2016-11-30,550.7,556,550.4,556,36222
2016-12-1,555.7,557.5,555,557.3,11613
2016-12-2,556,558,551,558,40807
2016-12-5,558,559.5,552,559.5,29074
2016-12-6,558.6,559.5,553.6,555.1,11696
2016-12-7,559.9,559.9,551,554.5,19093
2016-12-8,553.7,556.2,550,552,28042
2016-12-9,550.5,552.7,550.4,551,20905
2016-12-12,552,554.5,551.9,553,18069
2016-12-13,553.9,554.8,552.4,552.4,16810
2016-12-14,554.6,555,554,555,33772
2016-12-15,554.8,555.6,554.4,555,38211
2016-12-16,556.2,557,554.9,555.2,32730
2016-12-19,559.7,559.7,555.5,556.8,31808
2016-12-20,557.7,559.7,556.7,559.7,38388
2016-12-21,556,560.3,556,559.8,41957
2016-12-22,555.1,560.3,555.1,559.9,41377
2016-12-23,555,559.5,555,558.8,39713
2016-12-26,557,559.8,557,559.4,37733
2016-12-27,559.6,560.8,557.7,559.5,39964
2016-12-28,559,560.8,559,559.6,28147
2016-12-29,559.7,560,559.2,559.6,24045
2016-12-30,558.8,559.6,558.2,558.6,24936
2017-1-3,561,561,559,559.2,6557
2017-1-4,559.5,560,559,559.9,18855
2017-1-5,560,560,559.4,559.9,15488
2017-1-6,559.5,559.7,559.1,559.1,16940
2017-1-9,559.3,559.5,558.8,559.3,37448
2017-1-10,559.3,559.9,558.5,559.3,36056
2017-1-11,559.3,559.5,558.9,559.3,40027
2017-1-12,559.8,559.8,559.3,559.6,44018
2017-1-13,559.4,559.9,559.3,559.4,38190
2017-1-16,559.3,559.6,559.2,559.4,45042
2017-1-17,559.2,560,555.8,559.6,36113
2017-1-18,559.3,559.6,559.3,559.3,37764
2017-1-19,559.4,559.6,559.3,559.6,37207
2017-1-20,559.3,559.7,559.3,559.5,36332
2017-1-23,559.9,559.9,559.1,559.4,36099
2017-1-24,559.1,560.1,559,559.5,36553
