Date,Open,High,Low,Close,Volume
2013-8-13,1,1,1,1,750
2013-8-15,0.99,0.99,0.99,0.99,510
2013-8-20,1,1,1,1,60500
2013-9-4,1.4,1.5,1.4,1.5,5
2013-9-5,1.28,1.28,1.0013,1.0013,4
2013-9-6,1.2102,1.298,1.1,1.22,53
2013-9-9,1.015,1.1499,0.9051,1.0855,31
2013-9-10,1.1555,1.1555,1.1555,1.1555,1
2013-9-11,1.0967,1.1683,1.0967,1.1683,26
2013-9-12,1.1,1.1,1.1,1.1,1
2013-9-13,1.11,1.11,1.11,1.11,10
2013-9-16,1.2399,1.27,1.2399,1.27,17
2013-9-24,1,1,1,1,1206
2013-9-26,1.05,1.4021,1.05,1.25,273
2013-9-27,1.5,2,1.4,1.85,179
2013-9-30,2.39,2.39,1.78,1.78,65
2013-10-1,1.9,2.0001,1.8,1.85,263
2013-10-2,1.88,1.88,1.88,1.88,3
2013-10-3,2.1,2.1,2.1,2.1,989
2013-10-4,2.1,2.2,2.1,2.1,82
2013-10-8,2.4,2.45,2.15,2.15,532
2013-10-9,2.7,2.7,2.1,2.4,73
2013-10-10,2.3,2.4,1.79,1.9998,440
2013-10-11,2.3798,2.3999,1.24,1.2412,869
2013-10-14,1.3599,1.36,1.2002,1.33,109
2013-10-15,1.3846,1.4885,1.18,1.18,181
2013-10-16,1.12,1.2,1.0653,1.2,16
2013-10-17,1.212,1.2699,0.95,0.9995,1453
2013-10-18,1.0084,1.0894,0.9801,1,99
2013-10-21,1.1303,1.1305,1,1.08,318
2013-10-22,1.1,1.1,0.99,1,538
2013-10-23,0.98,0.9999,0.9675,0.9675,11
2013-10-24,1.0497,1.0497,0.97,0.9999,21
2013-10-25,0.97,1.02,0.91,0.97,18
2013-10-28,0.9603,0.97,0.9002,0.9308,71
2013-10-29,0.91,0.93,0.87,0.871,34
2013-10-30,0.867,0.92,0.8402,0.89,17
2013-10-31,0.8919,0.8919,0.8919,0.8919,2
2013-11-1,0.8919,0.8919,0.8919,0.8919,5
2013-11-5,0.83,0.895,0.8,0.8006,18
2013-11-6,0.8999,0.8999,0.6551,0.7777,214
2013-11-7,0.8985,0.8985,0.66,0.737,77
2013-11-8,0.88,0.88,0.7435,0.7987,54
2013-11-11,0.6803,0.7777,0.6803,0.769,24
2013-11-12,0.849,0.849,0.72,0.723,19
2013-11-13,0.7199,0.7199,0.613,0.6555,145
2013-11-14,0.6555,0.6555,0.65,0.65,24
2013-11-15,0.7,0.7,0.526,0.6,19
2013-11-18,0.75,0.75,0.65,0.65,63
2013-11-19,0.61,0.615,0.61,0.615,9
2013-11-20,0.6,0.6,0.6,0.6,2
2013-11-21,0.6,0.6498,0.6,0.63,16
2013-11-22,0.67,0.67,0.6558,0.658,10
2013-11-25,0.63,0.63,0.63,0.63,10
2013-11-26,0.6001,0.6001,0.6,0.6,107
2013-11-27,0.5371,0.605,0.5371,0.605,24
2013-11-28,0.6,0.653,0.6,0.64,4195
2013-11-29,0.665,0.665,0.665,0.665,1
2013-12-2,0.675,0.75,0.675,0.729,52
2013-12-3,0.7497,0.8,0.46,0.67,21
2013-12-4,0.69,0.75,0.69,0.75,46
2013-12-5,0.785,0.79,0.75,0.79,22
2013-12-10,0.7001,0.71,0.7,0.71,9
2013-12-11,0.7,0.7,0.6,0.6999,47
2013-12-13,0.63,0.7149,0.63,0.6301,16
2013-12-16,0.7097,0.715,0.68,0.715,31
2013-12-17,0.821,0.96,0.7012,0.96,18
2013-12-18,0.938,0.938,0.85,0.88,4
2013-12-19,0.8111,0.8822,0.8,0.8499,21
2013-12-20,0.85,1,0.75,0.947,111
2013-12-23,0.9763,1,0.9763,1,10
2013-12-24,0.855,1.098,0.855,1,42
2013-12-25,1,1,0.8717,0.999,4
2013-12-26,0.95,1,0.8808,1,1370
2013-12-27,0.905,1.05,0.905,1,24
2013-12-30,1.0388,1.0388,0.811,1.019,1156
2014-1-6,0.9,0.9,0.852,0.852,5
2014-1-8,1.0789,1.08,0.9,1.033,73
