Date,Open,High,Low,Close,Volume
2006-5-26,133.9,138.98,130,135,4892
2006-5-29,138.44,138.44,125.22,127.12,1224
2006-5-30,129.99,134.33,125.58,129.01,902
2006-5-31,130.4,130.4,125.02,129.98,486
2006-6-1,126.08,135,126.08,130,1268
2006-6-2,136.5,136.5,129.41,131.99,1573
2006-6-5,134.4,134.4,128.24,128.8,1371
2006-6-6,130.97,149.89,126.42,145,11578
2006-6-7,150,155,137.7,139.1,7951
2006-6-8,135.11,149,127.1,131.23,2089
2006-6-9,135,136,129,132,1419
2006-6-13,129.02,129.02,105.55,112.99,2684
2006-6-14,110,115,102.25,114.9,736
2006-6-15,119.9,120,111.31,115,1991
2006-6-16,119,123,110,114.99,602
2006-6-19,115,116.5,111.14,115.99,1198
2006-6-20,110.02,115,110.01,114,779
2006-6-21,114,115,111,113.99,2015
2006-6-22,112.02,114.98,107,107.99,3348
2006-6-23,109.38,109.38,105.45,108.46,1262
2006-6-26,103.12,111.8,103.12,110.23,3112
2006-6-27,105.15,110,105.15,110,1491
2006-6-28,108.11,113.8,106.52,111,532
2006-6-29,108.41,109.98,103.5,109.4,2113
2006-6-30,109.8,112,105.15,111.1,1475
2006-7-3,113,118.98,107.78,111,1987
2006-7-4,107.26,114.5,107.26,113.98,1558
2006-7-5,114.01,114.01,109.01,109.01,792
2006-7-6,109.09,112.5,107,112,485
2006-7-7,109.42,112.39,108.02,109.53,1462
2006-7-10,113,113,106.15,110.87,822
2006-7-11,111.99,113,108.5,108.7,1008
2006-7-12,109.99,110.9,108.01,109.99,786
2006-7-13,109.99,109.99,105,106.91,1343
2006-7-14,105,108.95,104.49,107.96,107
2006-7-17,105.61,107.35,102.01,105.23,625
2006-7-18,104.99,104.99,100.2,103.9,663
2006-7-19,105.05,107,103.1,104.99,879
2006-7-20,106.51,109,104.11,107.97,1999
2006-7-21,107.39,107.4,104.04,105.16,1238
2006-7-24,103.58,106.38,102.05,106,1267
2006-7-25,106.1,112.98,105.5,108,2582
2006-7-26,109.74,114,109.74,112.95,3083
2006-7-27,116.8,122.97,115,117,4158
2006-7-28,118.97,119.49,115.53,116.8,1778
2006-7-31,117.5,119.5,117.5,119,3087
2006-8-1,117.3,120.88,117,117.02,607
2006-8-2,117.09,118.9,116.51,117.65,573
2006-8-3,119,119.99,116.02,118.38,1181
2006-8-4,118.25,119.3,114,118.98,2712
2006-8-7,119.11,122.99,114.07,118.9,936
2006-8-8,117,118.95,115.4,117.49,1012
2006-8-9,117,118.5,116.01,117.95,1984
2006-8-10,118.65,118.65,116.51,116.61,491
2006-8-11,117.29,118.5,116,117.49,1181
2006-8-14,116.02,119.15,116.02,117.5,1815
2006-8-15,118.49,118.49,116.99,117.5,604
2006-8-16,117.02,118.49,117,117.77,562
2006-8-17,116.87,118.46,115.15,117.9,330
2006-8-18,120.9,120.9,112.05,115.84,660
2006-8-21,115.9,116.74,113.5,115.94,959
2006-8-22,116.69,118.1,114.55,117.7,1077
2006-8-23,121.25,121.25,117.5,117.5,889
2006-8-24,117,118.48,116.31,117.8,565
2006-8-25,116.55,118.91,110,117,1316
2006-8-28,117.8,117.9,115.06,117.5,443
2006-8-29,117,118,116.48,117.8,1060
2006-8-30,116.2,118.5,116.2,118.5,751
2006-8-31,118.61,118.83,117.13,117.99,638
2006-9-1,117.9,118.9,117,118.34,516
2006-9-4,118.34,118.34,116.95,117.98,1397
2006-9-5,117.5,122,117.5,121.5,2800
2006-9-6,121.5,123,118.14,120,1617
2006-9-7,119.5,121,118.9,119.5,1674
2006-9-8,120,120,116.06,119.7,198
2006-9-11,120,120,117.01,118,3348
2006-9-12,117.55,119.9,117.55,119,5889
2006-9-13,118,121,118,120.88,808
2006-9-14,121,121.88,119,120,924
2006-9-15,119.5,122,119,121.74,1325
2006-9-18,121.5,126,121.5,125,1727
2006-9-19,120.81,126.97,115.02,125,1503
2006-9-20,125.99,125.99,122.01,123.46,248
2006-9-21,121.34,124.5,118.3,120,663
2006-9-22,122.11,122.11,118,121.6,1970
2006-9-25,120,120,116.8,117.66,679
2006-9-26,117.01,120.92,117.01,119.8,700
2006-9-27,120,120.8,119.5,119.97,203
2006-9-28,120,140,120,134.95,17473
2006-9-29,138.2,139,133,135.36,5459
2006-10-2,135.38,144,133,143.3,5172
2006-10-3,143,154,141,153,11687
2006-10-4,153.64,164,151,161.58,22873
2006-10-5,164,168.99,155.2,159.85,16646
2006-10-6,160.42,162,150.31,157.38,13348
2006-10-9,157.38,159.35,150.06,153.1,6295
2006-10-10,156.01,160,153.1,157.22,14078
2006-10-11,157,157,154,155.97,3657
2006-10-12,155.24,155.8,147,151,6575
2006-10-13,151.18,153,147,150.69,4125
2006-10-16,158.04,158.04,151.2,153.49,3523
2006-10-17,159.08,159.08,151.8,151.9,3189
2006-10-18,151.9,154.3,150.9,154.29,3302
2006-10-19,154.1,154.1,147.54,148.99,6151
2006-10-20,150.06,153.5,149.52,149.99,7164
2006-10-23,154.58,154.58,151.66,153.6,4592
2006-10-24,154,154,152.1,153.88,6123
2006-10-25,154.24,155.35,152.78,154.04,4439
2006-10-26,151.88,155,151.88,153.95,6840
2006-10-27,152.51,153.98,150.5,151.79,1859
2006-10-30,152.99,153.6,148.1,148.99,1932
2006-10-31,149.5,149.51,147.1,148.1,959
2006-11-1,148.99,150.65,147.5,150.65,3119
2006-11-2,150.65,150.86,149,149.9,515
2006-11-3,149.01,150,149,149.97,580
2006-11-7,150,151.74,149.53,150.9,6612
2006-11-8,150.14,150.14,149.5,149.5,1163
2006-11-9,149.51,151.94,148.78,149.1,6732
2006-11-10,150,150,145.25,148.9,5037
2006-11-13,149.49,150,148,148.6,2232
2006-11-14,149.99,150,147,148.1,3035
2006-11-15,149.47,149.5,148.1,148.53,594
2006-11-16,148.53,149.9,148.13,149.69,301
2006-11-17,149.77,150,148.25,149,5054
2006-11-20,148.16,150.3,147.99,149.73,1054
2006-11-21,149,149.97,148.5,149.48,1228
2006-11-22,150,150,148,149,1072
2006-11-23,148.58,152,148.04,150,16318
2006-11-24,151.83,151.83,149,149.02,905
2006-11-27,150,150,149,149.91,3054
2006-11-28,149.21,149.9,149,149.2,930
2006-11-29,149.11,151,149.1,149.99,3284
2006-11-30,149.8,149.97,148.52,149.97,4127
2006-12-1,149.89,150,147.5,149.69,2513
2006-12-4,149.8,149.8,147.72,148,1178
2006-12-5,150.41,150.41,148,149,1692
2006-12-6,149,149.74,148.51,149.41,1762
2006-12-7,149.7,149.99,148.5,148.58,3182
2006-12-8,149,149.3,148.05,148.98,1778
2006-12-11,149.4,149.49,148.01,148.7,1154
2006-12-12,149,166.5,149,153.19,66069
2006-12-13,153.45,154.97,145.68,150.34,9605
2006-12-14,150.01,154.4,150,153.99,4077
2006-12-15,153.51,156.99,150.01,155.01,12426
2006-12-18,155.9,158,155.9,156.77,4209
2006-12-19,156.8,172.99,152,168.9,40195
2006-12-20,169.02,178.8,168.9,178.5,29245
2006-12-21,178.59,181,174.21,177,13487
2006-12-22,177.2,181,174.88,177,8365
2006-12-25,177.99,177.99,173.06,175.5,4565
2006-12-26,175.97,177.3,173.52,175.86,6461
2006-12-27,173.71,176.4,173.71,176,6072
2006-12-28,176.09,191,175,186,20580
2006-12-29,187.5,191,186,191,42630
2007-1-9,190,197.9,178.6,186.98,14711
2007-1-10,186.96,190.23,174.5,175.86,16999
2007-1-11,175,182.99,174,182.99,15626
2007-1-12,183,187.98,180,184.52,8950
2007-1-15,176.45,197.87,176.45,197.86,22168
2007-1-16,197.9,216.5,197.9,200.7,136563
2007-1-17,202,206,191.01,192.81,50907
2007-1-18,197,199.9,185,189,22771
2007-1-19,188,190.6,181.21,190.6,8238
2007-1-22,190.8,197,189.98,195.1,17596
2007-1-23,195.1,195.1,189,190,23045
2007-1-24,192.4,192.4,186.5,189.99,27046
2007-1-25,189.15,191,186,187,34138
2007-1-26,187.04,187.8,184.1,184.98,14538
2007-1-29,185,185,177.77,178,11453
2007-1-30,178.01,178.01,172.07,177.2,10520
2007-1-31,180,180,173.35,174.76,7753
2007-2-1,175.21,178.5,174.76,177.31,8730
2007-2-2,178.3,178.76,174.05,176.02,6409
2007-2-5,177.87,178.65,176.03,177.3,3385
2007-2-6,176,178.5,175,178,8864
2007-2-7,177.63,184.7,174.5,183,34115
2007-2-8,188.53,188.53,178.02,180.78,8849
2007-2-9,180,182.29,178,179.02,6237
2007-2-12,179,179.75,171,171.71,2581
2007-2-13,172,183,168.2,182.9,8679
