Date,Open,High,Low,Close,Volume
2006-7-19,220.32,220.32,203.03,203.95,51774
2006-7-20,204.95,205.1,203.15,203.26,114129
2006-7-21,204.3,204.6,200,202,186411
2006-7-24,203.67,203.67,199.25,201.99,79415
2006-7-25,203,203.75,201.27,202.69,167483
2006-7-26,203,203.25,202.01,203.1,100920
2006-7-27,203.1,203.75,202.5,203.5,219874
2006-7-28,203.01,203.5,202.6,202.8,52331
2006-7-31,204,204,202.55,202.6,17511
2006-8-1,202.5,203,202.11,202.75,38414
2006-8-2,204.05,204.05,201.5,201.99,17607
2006-8-3,201.95,202.4,200.1,200.75,188910
2006-8-4,200.73,201.5,200.5,200.99,137771
2006-8-7,200.93,201.5,199.7,200.3,118155
2006-8-8,200.8,200.99,195.9,196.85,197545
2006-8-9,196.78,198.5,196,198.24,98335
2006-8-10,198,200,195.96,200,182273
2006-8-11,201.5,202.3,199.12,201.22,137521
2006-8-14,200.2,202,197.77,198.18,143394
2006-8-15,199.35,199.7,197,199.51,109557
2006-8-16,198.75,201.9,198.12,201,100445
2006-8-17,201,201.34,199.3,199.89,55515
2006-8-18,199.9,199.9,198.5,199.4,113381
2006-8-21,199.87,199.87,197.98,198,54046
2006-8-22,203.05,203.05,198,199.9,85394
2006-8-23,199.31,199.9,198.85,199.75,29469
2006-8-24,199,200,198.3,200,77984
2006-8-25,200.34,202.87,199.01,202.29,87705
2006-8-28,202.2,202.2,201.3,201.3,53133
2006-8-29,201.29,202.2,200.8,200.8,96737
2006-8-30,200.8,201.39,199,199.5,52633
2006-8-31,199.8,201.69,197.5,197.63,87690
2006-9-1,194,200.4,194,200.3,50476
2006-9-4,200.95,202,199,199.51,10597
2006-9-5,199.8,201.9,198.8,201.9,83977
2006-9-6,201.3,201.9,200.33,201.15,50249
2006-9-7,200.3,201,199.8,200.8,124590
2006-9-8,200.3,202.4,200.3,201.35,67557
2006-9-11,201.26,201.89,199.8,199.8,145901
2006-9-12,200.5,200.9,199.8,200.5,37888
2006-9-13,200.3,201.4,199.3,201,48824
2006-9-14,195.63,201.35,195.63,201,231843
2006-9-15,200.31,205,200.21,204.2,118382
2006-9-18,203.48,205.8,203,205,88878
2006-9-19,205,207.7,204.3,207.2,120617
2006-9-20,206.53,217,205.5,215,426919
2006-9-21,214,215.88,206.01,209.96,154726
