Date,Open,High,Low,Close,Volume
2008-8-15,971,971,971,971,10
2008-8-22,999,1000,999,1000,8
2008-9-22,950,950,940,940,3
2008-9-23,950,950,950,950,0
2008-10-9,850,850,850,850,0
2008-10-31,850,850,850,850,0
2008-11-13,850,850,850,850,0
2008-11-25,850,850,850,850,0
2008-11-28,250,250,250,250,10
2008-12-1,349,349,349,349,1
2008-12-4,240,240,209.4,209.4,15
2008-12-8,209.4,209.4,209.4,209.4,0
2008-12-15,195.08,195.08,135.7,135.7,24
2008-12-16,110,150,87,150,657
2008-12-17,90,130,90,115,1105
2008-12-18,115,118.75,90,106.01,505
2008-12-19,91,118,75.13,115,854
2008-12-22,101,119.75,95,119.75,641
2008-12-23,101,115,92.05,110,839
2008-12-24,101.01,130,101.01,125,517
2008-12-25,132,136.92,118.1,136.92,183
2008-12-26,133,142,123,142,449
2008-12-29,144,144,140,144,3
2008-12-30,144,149,135,137,832
2009-1-11,144,144,144,144,15
2009-1-12,132,176,132,166,583
2009-1-13,133,156.5,133,155,766
2009-1-14,139,165,139,155,177
2009-1-15,122,136,122,136,1
2009-1-16,160,160,140,140,251
2009-1-19,164,180,145,153.9,283
2009-1-20,150,156,115,156,30
2009-1-21,155,169,154,169,18
2009-1-22,153,187,153,153,591
2009-1-23,155,169,155,160,6
2009-1-26,160.03,165.35,150.01,165.35,1070
2009-1-27,161.02,170,161.02,161.02,142
2009-1-28,152.01,160,151.01,160,12
2009-1-29,165,165,165,165,0
2009-2-2,136.01,150.01,136.01,150.01,1
2009-2-3,165,165,135.02,164.99,2
2009-2-4,159.99,160.2,158,158,535
2009-2-5,140.11,140.11,140,140,10
2009-2-6,141,141,141,141,0
2009-2-11,149.99,149.99,149.99,149.99,1
2009-2-12,149.9,149.99,149.9,149.99,180
2009-2-13,149.99,150,138,147.99,68
2009-2-16,139.13,149,139.13,149,13
2009-2-17,140,144.99,130.11,130.11,206
2009-2-18,144.97,144.97,144.97,144.97,107
2009-2-19,144.97,145.7,135,135,219
2009-2-20,140,140,135,137,89
2009-2-24,135,135,135,135,0
2009-2-25,134,134,134,134,3
2009-2-26,133,133,120,120,5
2009-2-27,125,133,125,133,1
2009-3-4,120,120,114,114,5
2009-3-5,114.01,114.01,102,105,16
2009-3-6,102.01,105.1,99,100,212
2009-3-10,94,105,94,105,47
2009-3-11,105,105,105,105,0
2009-3-12,110,110,96.01,106,99
2009-3-13,114.99,114.99,100,100,1
2009-3-17,114.89,114.89,101.01,101.01,0
2009-3-18,110,110,110,110,0
2009-3-20,94.45,136,94.45,122,195
2009-3-23,122,129,103,110,881
2009-3-24,110,111,105.51,109,211
2009-3-25,108,113,108,113,63
2009-3-26,113,115,111,112,78
2009-3-27,114,115,111.01,114.99,1075
2009-3-30,115.99,116,114,114,1048
2009-3-31,114,116,113,113,336
2009-4-1,98.6,116,98.6,115,347
2009-4-2,115.99,118,115.99,117,131
2009-4-3,117,120,117,120,59
2009-4-6,120,127,116,125,675
2009-4-7,124.99,127,124.99,127,351
2009-4-8,124.99,127,124.99,127,214
2009-4-9,127,129,127,128,42
2009-4-10,129,132,129,129.5,1560
2009-4-13,132,136,131.5,132.3,1185
2009-4-14,132.99,136,130.02,134,1112
2009-4-15,130.01,133,123.5,133,230
2009-4-16,125.21,135,125.21,134.01,172
