Date,Open,High,Low,Close,Volume
2008-12-9,0.56,0.96,0.56,0.96,608
2008-12-10,0.902,1.166,0.902,1.066,9892
2008-12-11,1.135,1.135,1.02,1.05,5129
2008-12-12,1,1.03,0.96,0.998,1290
2008-12-15,0.98,1.037,0.9,0.931,2888
2008-12-16,0.91,0.948,0.88,0.9,4184
2008-12-17,0.85,0.91,0.84,0.902,11520
2008-12-18,0.912,0.927,0.82,0.84,13074
2008-12-19,0.8,0.887,0.8,0.86,5119
2008-12-22,0.86,0.89,0.85,0.869,2539
2008-12-23,0.888,0.888,0.831,0.863,11943
2008-12-24,0.878,0.878,0.833,0.849,6232
2008-12-25,0.833,0.855,0.831,0.84,6706
2008-12-26,0.84,0.852,0.84,0.847,9996
2008-12-29,0.792,0.879,0.792,0.861,2114
2008-12-30,0.868,0.877,0.836,0.86,3601
2008-12-31,0.87,0.87,0.86,0.86,1290
2009-1-11,0.841,0.875,0.835,0.875,2452
2009-1-12,0.836,0.877,0.833,0.851,12075
2009-1-13,0.851,0.865,0.841,0.862,3628
2009-1-14,0.848,0.874,0.839,0.85,6194
2009-1-15,0.85,0.86,0.835,0.836,446
2009-1-16,0.797,0.854,0.797,0.85,1560
2009-1-19,0.836,0.865,0.835,0.836,1666
2009-1-20,0.82,0.84,0.816,0.838,8498
2009-1-21,0.835,0.838,0.8,0.802,3251
2009-1-22,0.807,0.807,0.756,0.797,1537
2009-1-23,0.799,0.8,0.607,0.729,1927
2009-1-26,0.72,0.721,0.606,0.692,4705
2009-1-27,0.68,0.71,0.675,0.695,2840
2009-1-28,0.67,0.7,0.67,0.693,272
2009-1-29,0.675,0.675,0.66,0.66,3032
2009-1-30,0.624,0.671,0.622,0.669,2518
2009-2-2,0.669,0.685,0.566,0.641,3666
2009-2-3,0.621,0.685,0.62,0.651,2560
2009-2-4,0.656,0.667,0.65,0.66,4838
2009-2-5,0.661,0.675,0.66,0.665,3489
2009-2-6,0.665,0.665,0.6,0.664,1238
2009-2-9,0.618,0.675,0.618,0.675,5892
2009-2-10,0.675,0.696,0.67,0.675,3974
2009-2-11,0.674,0.72,0.615,0.714,11061
2009-2-12,0.713,0.79,0.689,0.77,11246
2009-2-13,0.799,0.86,0.77,0.86,9948
2009-2-16,0.88,0.91,0.819,0.88,18627
2009-2-17,0.896,0.896,0.822,0.867,3065
2009-2-18,0.877,0.898,0.849,0.861,19215
2009-2-19,0.853,0.9,0.853,0.88,10765
2009-2-20,0.87,0.88,0.87,0.87,2902
2009-2-24,0.847,0.86,0.838,0.85,397
2009-2-25,0.851,0.924,0.851,0.89,6744
2009-2-26,0.919,0.919,0.88,0.88,684
2009-2-27,0.841,0.908,0.841,0.9,3096
2009-3-2,0.919,0.94,0.801,0.88,3219
2009-3-3,0.824,0.887,0.823,0.863,1182
2009-3-4,0.85,0.898,0.83,0.87,3578
2009-3-5,0.898,0.898,0.845,0.85,45256
2009-3-6,0.848,0.873,0.846,0.862,135
2009-3-10,0.871,0.925,0.845,0.92,6605
2009-3-11,0.92,0.95,0.803,0.911,626
2009-3-12,0.842,0.925,0.842,0.91,1163
2009-3-13,0.924,0.926,0.91,0.916,248
2009-3-16,0.928,0.928,0.91,0.91,1951
2009-3-17,0.91,0.929,0.91,0.914,1574
2009-3-18,0.911,0.93,0.887,0.93,9771
2009-3-19,0.92,0.94,0.902,0.93,11262
2009-3-20,0.907,0.967,0.907,0.965,14279
2009-3-23,0.97,1.031,0.97,1.02,22498
2009-3-24,1,1.04,0.909,0.996,8698
2009-3-25,1.05,1.063,0.979,0.99,2081
2009-3-26,0.96,1.01,0.96,1.008,6673
2009-3-27,1.014,1.026,0.98,1.01,7167
2009-3-30,0.999,1.01,0.945,0.981,3807
2009-3-31,1.014,1.049,1.014,1.028,7380
2009-4-1,1.038,1.125,1.03,1.124,9820
2009-4-2,1.13,1.175,1.13,1.137,19114
2009-4-3,1.185,1.185,1.115,1.14,5196
2009-4-6,1.145,1.15,1.1,1.1,9213
2009-4-7,1.145,1.145,1.057,1.075,5994
2009-4-8,1.064,1.125,1.025,1.125,26117
2009-4-9,1.13,1.14,1.1,1.129,22063
2009-4-10,1.141,1.149,1.095,1.12,5584
2009-4-13,1.141,1.145,1.07,1.09,9941
2009-4-14,1.093,1.185,1.093,1.16,28571
2009-4-15,1.169,1.169,1.13,1.15,7471
2009-4-16,1.172,1.345,1.133,1.332,39054
2009-4-17,1.339,1.544,1.332,1.44,94652
2009-4-20,1.43,1.45,1.32,1.33,6975
2009-4-21,1.296,1.331,1.25,1.32,19265
2009-4-22,1.3,1.445,1.282,1.389,10155
2009-4-23,1.468,1.468,1.345,1.385,6440
2009-4-24,1.452,1.452,1.3,1.31,7354
2009-4-27,1.3,1.3,1.238,1.259,2786
2009-4-28,1.246,1.25,1.18,1.24,3977
2009-4-29,1.256,1.31,1.25,1.306,1237
2009-4-30,1.398,1.398,1.253,1.29,3687
2009-5-4,1.309,1.31,1.258,1.29,3786
