Date,Open,High,Low,Close,Volume
2008-12-9,0.6,0.689,0.527,0.527,2632
2008-12-10,0.538,0.6,0.502,0.512,7864
2008-12-11,0.612,0.612,0.475,0.505,3348
2008-12-12,0.505,0.505,0.49,0.492,1171
2008-12-15,0.497,0.51,0.48,0.496,298
2008-12-16,0.482,0.482,0.42,0.453,5794
2008-12-17,0.469,0.469,0.4,0.408,2531
2008-12-18,0.411,0.417,0.375,0.381,2984
2008-12-19,0.38,0.429,0.352,0.397,4298
2008-12-22,0.378,0.406,0.36,0.374,1817
2008-12-23,0.36,0.38,0.345,0.362,2986
2008-12-24,0.369,0.369,0.353,0.36,276
2008-12-25,0.369,0.369,0.341,0.348,932
2008-12-26,0.335,0.337,0.325,0.326,1983
2008-12-29,0.32,0.336,0.32,0.333,711
2008-12-30,0.33,0.353,0.322,0.348,2217
2008-12-31,0.355,0.355,0.335,0.34,1729
2009-1-11,0.336,0.363,0.331,0.345,652
2009-1-12,0.363,0.4,0.328,0.349,733
2009-1-13,0.333,0.372,0.311,0.336,1065
2009-1-14,0.337,0.369,0.321,0.321,2570
2009-1-15,0.326,0.35,0.322,0.343,1190
2009-1-16,0.332,0.36,0.329,0.349,1488
2009-1-19,0.385,0.39,0.331,0.35,2002
2009-1-20,0.335,0.35,0.303,0.34,1513
2009-1-21,0.36,0.37,0.321,0.354,1490
2009-1-22,0.344,0.355,0.336,0.347,1003
2009-1-23,0.335,0.345,0.3,0.343,3521
2009-1-26,0.34,0.353,0.339,0.353,1447
2009-1-27,0.35,0.368,0.339,0.354,715
2009-1-28,0.367,0.367,0.338,0.347,255
2009-1-29,0.348,0.348,0.333,0.341,39
2009-1-30,0.341,0.348,0.317,0.347,673
2009-2-2,0.32,0.385,0.311,0.338,2231
2009-2-3,0.333,0.36,0.329,0.34,1535
2009-2-4,0.34,0.355,0.339,0.349,1444
2009-2-5,0.349,0.37,0.34,0.352,6510
2009-2-6,0.347,0.367,0.337,0.365,336
2009-2-9,0.398,0.399,0.341,0.37,1358
2009-2-10,0.378,0.378,0.365,0.376,167
2009-2-11,0.361,0.389,0.351,0.388,873
2009-2-12,0.393,0.42,0.35,0.401,3853
2009-2-13,0.425,0.429,0.403,0.429,846
2009-2-16,0.43,0.43,0.393,0.4,2694
2009-2-17,0.397,0.4,0.36,0.4,1295
2009-2-18,0.39,0.399,0.368,0.399,608
2009-2-19,0.389,0.41,0.379,0.388,989
2009-2-20,0.37,0.41,0.37,0.39,1887
2009-2-24,0.376,0.408,0.376,0.408,2357
2009-2-25,0.35,0.421,0.35,0.421,501
2009-2-26,0.42,0.444,0.417,0.43,1537
2009-2-27,0.445,0.448,0.417,0.428,1274
2009-3-2,0.42,0.447,0.39,0.412,3498
2009-3-3,0.412,0.42,0.403,0.419,1981
2009-3-4,0.408,0.418,0.391,0.409,51
2009-3-5,0.41,0.41,0.38,0.38,2080
2009-3-6,0.4,0.4,0.38,0.398,1275
2009-3-10,0.398,0.418,0.378,0.409,6175
2009-3-11,0.408,0.44,0.405,0.44,1536
2009-3-12,0.416,0.416,0.39,0.409,1316
2009-3-13,0.409,0.409,0.39,0.409,129
2009-3-16,0.391,0.409,0.39,0.409,124
2009-3-17,0.404,0.418,0.393,0.415,2138
2009-3-18,0.399,0.418,0.399,0.411,3097
2009-3-19,0.396,0.41,0.396,0.4,2216
2009-3-20,0.401,0.413,0.4,0.413,1500
2009-3-23,0.406,0.415,0.4,0.412,2554
2009-3-24,0.411,0.412,0.399,0.4,347
2009-3-25,0.397,0.45,0.39,0.418,4858
2009-3-26,0.403,0.45,0.403,0.444,1675
2009-3-27,0.45,0.45,0.415,0.421,725
2009-3-30,0.43,0.43,0.4,0.407,963
2009-3-31,0.4,0.419,0.4,0.41,1258
2009-4-1,0.41,0.424,0.402,0.423,785
2009-4-2,0.448,0.448,0.416,0.436,3644
2009-4-3,0.428,0.431,0.418,0.419,1193
2009-4-6,0.438,0.445,0.412,0.412,1791
2009-4-7,0.467,0.467,0.401,0.424,2690
2009-4-8,0.416,0.422,0.405,0.422,667
2009-4-9,0.421,0.429,0.408,0.42,1177
2009-4-10,0.425,0.43,0.406,0.43,2865
2009-4-13,0.42,0.49,0.42,0.433,6924
2009-4-14,0.445,0.464,0.434,0.464,4136
2009-4-15,0.46,0.46,0.43,0.448,2175
2009-4-16,0.445,0.514,0.445,0.514,12250
2009-4-17,0.54,0.58,0.513,0.546,15378
2009-4-20,0.551,0.551,0.492,0.501,5111
2009-4-21,0.488,0.527,0.48,0.503,416
2009-4-22,0.505,0.553,0.5,0.553,6545
2009-4-23,0.575,0.58,0.55,0.568,970
2009-4-24,0.573,0.573,0.543,0.565,9738
2009-4-27,0.541,0.545,0.527,0.545,3792
2009-4-28,0.52,0.548,0.501,0.519,5764
2009-4-29,0.5,0.559,0.5,0.559,3912
2009-4-30,0.556,0.65,0.555,0.613,8721
2009-5-4,0.64,0.64,0.6,0.638,1585
2009-5-5,0.631,0.631,0.6,0.613,4368
2009-5-6,0.649,0.661,0.583,0.661,3936
2009-5-7,0.683,0.801,0.67,0.72,26537
2009-5-8,0.701,0.735,0.615,0.718,3406
2009-5-12,0.705,0.725,0.632,0.705,2298
2009-5-13,0.7,0.713,0.661,0.7,2862
2009-5-14,0.668,0.69,0.651,0.69,485
2009-5-15,0.69,0.72,0.65,0.664,3415
2009-5-18,0.634,0.677,0.633,0.675,426
2009-5-19,0.675,0.7,0.667,0.69,1803
2009-5-20,0.69,0.73,0.669,0.718,2138
2009-5-21,0.71,0.71,0.66,0.67,733
2009-5-22,0.669,0.695,0.653,0.674,547
2009-5-25,0.676,0.695,0.657,0.679,2844
2009-5-26,0.65,0.69,0.644,0.69,1220
2009-5-27,0.669,0.721,0.669,0.721,1188
2009-5-28,0.722,0.762,0.701,0.762,3449
2009-5-29,0.729,0.84,0.729,0.819,6987
2009-6-1,0.889,0.927,0.811,0.9,5434
2009-6-2,0.861,0.89,0.83,0.88,1454
2009-6-3,0.88,0.925,0.831,0.909,3977
2009-6-4,0.85,0.92,0.835,0.87,2687
2009-6-5,0.904,0.905,0.822,0.888,1224
2009-6-8,0.889,0.915,0.832,0.909,2807
2009-6-9,0.909,0.97,0.881,0.916,4077
2009-6-10,0.97,0.97,0.882,0.937,6519
2009-6-11,0.971,0.975,0.915,0.942,1222
2009-6-15,0.921,0.981,0.872,0.896,4475
2009-6-16,0.919,0.919,0.81,0.91,1419
2009-6-17,0.872,0.938,0.85,0.885,2736
2009-6-18,0.89,0.89,0.791,0.88,2482
2009-6-19,0.83,0.856,0.816,0.84,2188
2009-6-22,0.781,0.849,0.751,0.774,1926
2009-6-23,0.714,0.795,0.67,0.795,3534
2009-6-24,0.8,0.8,0.773,0.8,3047
2009-6-25,0.8,0.81,0.761,0.8,1385
2009-6-26,0.8,0.8,0.77,0.77,282
2009-6-29,0.79,0.846,0.752,0.776,652
2009-6-30,0.748,0.78,0.748,0.78,10
2009-7-1,0.742,0.83,0.74,0.83,5248
2009-7-2,0.8,0.83,0.772,0.782,714
2009-7-3,0.839,0.839,0.763,0.83,4250
2009-7-6,0.848,0.848,0.775,0.8,984
2009-7-7,0.76,0.826,0.74,0.826,2472
2009-7-8,0.755,0.798,0.753,0.785,1037
2009-7-9,0.74,0.785,0.721,0.753,853
2009-7-10,0.752,0.789,0.724,0.789,2276
2009-7-13,0.729,0.755,0.711,0.755,951
2009-7-14,0.722,0.779,0.722,0.76,650
2009-7-15,0.741,0.755,0.741,0.755,166
2009-7-16,0.727,0.75,0.727,0.733,32
2009-7-17,0.763,0.774,0.731,0.731,60
2009-7-20,0.763,0.765,0.735,0.737,53
2009-7-21,0.79,0.79,0.722,0.783,206
2009-7-22,0.8,0.82,0.702,0.745,372
2009-7-23,0.71,0.805,0.71,0.778,735
2009-7-24,0.78,0.798,0.747,0.783,623
2009-7-27,0.798,0.86,0.771,0.83,1024
2009-7-28,0.86,0.86,0.754,0.79,149
2009-7-29,0.735,0.79,0.734,0.784,20
2009-7-30,0.848,0.848,0.744,0.824,2516
2009-7-31,0.824,0.86,0.777,0.816,193
2009-8-3,0.743,0.856,0.743,0.81,2763
2009-8-4,0.751,0.829,0.745,0.829,1478
2009-8-5,0.84,0.84,0.791,0.825,2665
2009-8-6,0.786,0.835,0.781,0.817,1772
2009-8-7,0.793,0.818,0.786,0.812,260
2009-8-10,0.753,0.83,0.744,0.819,449
2009-8-11,0.832,0.839,0.785,0.829,499
2009-8-12,0.764,0.816,0.764,0.816,134
2009-8-13,0.802,0.837,0.785,0.837,1007
2009-8-14,0.837,0.849,0.787,0.818,875
2009-8-17,0.785,0.824,0.753,0.82,3911
2009-8-18,0.807,0.839,0.801,0.83,2379
2009-8-19,0.802,0.838,0.776,0.818,108
2009-8-20,0.8,0.848,0.8,0.848,1623
2009-8-21,0.802,0.856,0.793,0.847,823
2009-8-24,0.863,0.928,0.83,0.862,5495
2009-8-25,0.846,0.888,0.83,0.878,768
2009-8-26,0.877,0.88,0.854,0.88,5990
2009-8-27,0.833,0.882,0.833,0.849,830
2009-8-28,0.802,0.958,0.802,0.948,20484
2009-8-31,0.871,0.949,0.87,0.925,4017
2009-9-1,0.926,0.954,0.882,0.912,2369
2009-9-2,0.912,0.921,0.87,0.89,498
2009-9-3,0.9,0.93,0.879,0.928,685
2009-9-4,0.891,0.938,0.889,0.9,368
2009-9-7,0.89,0.919,0.883,0.897,809
2009-9-8,0.911,0.929,0.895,0.91,1055
2009-9-9,0.9,0.985,0.892,0.966,4237
2009-9-10,0.984,1,0.905,0.969,2426
2009-9-11,0.995,1.099,0.922,1.092,7909
2009-9-14,1.079,1.19,1.031,1.19,8226
2009-9-15,1.198,1.484,1.19,1.365,7405
2009-9-16,1.429,1.45,1.252,1.252,1470
2009-9-17,1.309,1.31,1.139,1.19,680
2009-9-18,1.142,1.255,1.142,1.248,575
2009-9-21,1.048,1.3,1.048,1.227,2264
2009-9-22,1.277,1.277,1.233,1.27,1279
2009-9-23,1.283,1.325,1.248,1.295,1260
2009-9-24,1.251,1.297,1.153,1.26,471
2009-9-25,1.226,1.338,1.226,1.3,7604
2009-9-28,1.261,1.35,1.261,1.345,1250
2009-9-29,1.303,1.7,1.303,1.477,6220
2009-9-30,1.518,1.648,1.483,1.517,4795
2009-10-1,1.511,1.696,1.486,1.65,12197
2009-10-2,1.65,1.65,1.442,1.55,15166
2009-10-5,1.56,1.56,1.49,1.532,1076
2009-10-6,1.549,1.565,1.532,1.545,1863
2009-10-7,1.514,1.673,1.512,1.615,6713
2009-10-8,1.61,1.87,1.61,1.81,9255
2009-10-9,1.85,1.85,1.562,1.783,4085
2009-10-12,1.704,1.83,1.704,1.755,1333
2009-10-13,1.78,1.8,1.625,1.71,2873
2009-10-14,1.888,1.888,1.702,1.798,5339
2009-10-15,1.777,1.874,1.74,1.849,5886
2009-10-16,1.778,1.868,1.754,1.868,6474
2009-10-19,1.82,1.858,1.771,1.858,2834
2009-10-20,1.82,1.879,1.8,1.859,1890
2009-10-21,1.776,1.864,1.776,1.858,5366
2009-10-22,1.853,1.869,1.82,1.851,4157
2009-10-23,1.88,1.97,1.833,1.96,3664
2009-10-26,1.97,1.979,1.9,1.96,3184
2009-10-27,1.837,1.92,1.826,1.88,3773
2009-10-28,1.846,1.878,1.775,1.799,5379
2009-10-29,1.839,1.839,1.625,1.789,3228
2009-10-30,1.79,1.83,1.682,1.7,1810
2009-11-2,1.704,1.73,1.67,1.725,885
2009-11-3,1.725,1.725,1.64,1.662,1489
2009-11-5,1.636,1.712,1.619,1.699,580
2009-11-6,1.717,1.717,1.631,1.66,1169
2009-11-9,1.719,1.75,1.662,1.748,1961
2009-11-10,1.748,1.843,1.711,1.796,660
2009-11-11,1.81,1.933,1.791,1.91,4559
2009-11-12,1.95,1.95,1.85,1.92,2768
2009-11-13,1.92,1.944,1.877,1.939,922
