Date,Open,High,Low,Close,Volume
2012-11-7,15000,15000,14700,14780,3
2012-11-9,13200,13200,13200,13200,4
2012-11-12,13200,13300,13000,13000,25
2012-11-22,13250,13250,12500,12500,5
2012-11-26,12500,12500,12500,12500,1
2012-11-27,12500,13000,12500,12500,25
2012-11-28,12600,12700,11500,12000,33
2012-11-29,12400,12400,12200,12201,12
2012-11-30,12500,12500,12500,12500,3
2012-12-5,12500,12500,12500,12500,7
2012-12-11,12205,12205,12204,12204,2
2012-12-13,12005,12005,12005,12005,1
2012-12-14,12101,12101,12101,12101,1
2012-12-18,12490,12490,12490,12490,2
2012-12-20,12490,12490,12490,12490,1
2012-12-21,12490,12490,12490,12490,1
2012-12-25,12307,12307,12305,12305,3
2012-12-28,12300,12300,12300,12300,2
2013-1-15,12300,12300,12300,12300,6
2013-1-17,12488,12488,12488,12488,1
2013-1-21,12400,12400,12400,12400,2
2013-1-22,12290,12290,12200,12200,15
2013-1-25,12006,12448,12000,12448,13
2013-1-28,12449,12450,12449,12450,4
2013-2-1,12100,12100,12100,12100,2
2013-2-5,12002,12002,12000,12000,11
2013-2-8,12000,12100,12000,12000,13
2013-2-12,12100,12100,12100,12100,1
2013-2-13,11850,11850,11801,11801,2
2013-3-7,12450,16556,12440,16556,407
2013-3-11,14575,20000,14575,16000,187
2013-3-12,15806,15806,14584,15002,41
2013-3-13,15500,16500,15500,15600,6
2013-3-14,16000,17995,16000,17300,83
2013-3-15,14700,18899,14700,18000,62
2013-3-18,17001,18000,17000,17995,36
2013-3-19,17222,17555,15901,16000,32
2013-3-20,16015,16015,16015,16015,1
2013-3-21,15734,15951,15700,15700,10
2013-3-22,15502,15502,15501,15501,2
2013-3-25,15501,15501,15500,15500,3
2013-3-26,15300,15450,13950,13950,69
2013-3-27,14500,14500,14251,14251,2
2013-3-28,14250,14301,14000,14000,39
2013-3-29,14300,14599,14201,14300,6
2013-4-2,14200,14200,13601,13601,5
2013-4-3,14000,14299,14000,14000,62
2013-4-4,13650,13900,13551,13551,3
2013-4-5,13100,13100,13000,13000,3
2013-4-8,13500,13500,13062,13449,9
2013-4-9,13000,13321,12900,13321,5
2013-4-10,14300,14300,13504,13960,6
2013-4-11,13501,14190,13501,14000,6
2013-4-12,13999,14000,13999,14000,3
2013-4-15,13012,13896,13011,13016,38
2013-4-16,13001,13100,13000,13100,28
2013-4-17,13000,13000,12518,12518,10
2013-4-18,12501,12501,12500,12500,12
2013-4-24,12021,12640,12020,12640,3
2013-4-26,12500,12500,12500,12500,9
2013-4-30,12717,13240,12714,13240,4
2013-5-2,12808,12808,12808,12808,12
2013-5-7,12704,12704,12201,12201,2
2013-5-8,11005,12400,11003,12400,8
2013-5-13,13788,13788,13788,13788,1
2013-5-20,12401,12401,12401,12401,1
2013-5-21,12400,13000,12400,13000,34
2013-5-22,13000,13800,13000,13800,12
2013-5-24,13300,13300,13300,13300,1
2013-5-27,14396,14569,14136,14569,6
2013-5-28,13002,13002,11115,12000,157
2013-5-29,12000,12200,11901,11901,60
2013-5-30,11900,12049,11900,12049,16
2013-5-31,11925,12100,11925,12000,31
2013-6-3,12000,12200,12000,12200,17
2013-6-4,12000,12000,12000,12000,1
2013-6-5,12000,12000,12000,12000,7
2013-6-6,12000,12889,12000,12889,150
2013-6-7,12849,12849,12849,12849,1
2013-6-10,12252,12252,12100,12100,20
2013-6-11,12123,12200,12123,12200,3
2013-6-13,12150,12150,12000,12000,6
2013-6-20,12001,12100,12001,12099,7
2013-6-21,12002,12002,12001,12001,3
2013-6-25,12301,12301,12301,12301,4
2013-6-26,12301,12301,12000,12000,4
2013-6-27,12401,12401,12220,12220,40
2013-7-2,17095,17095,12208,12208,7
2013-7-4,17000,17000,12301,12301,20
2013-7-5,12201,12201,12000,12000,24
2013-7-8,12200,12200,12200,12200,14
2013-7-18,12001,12001,12001,12001,13
2013-7-23,12200,12200,12001,12001,4
2013-7-24,12200,12200,12001,12001,5
2013-7-25,12001,12001,12001,12001,18
2013-7-30,12001,12001,12001,12001,2
2013-8-5,12101,12101,12101,12101,10
2013-8-6,11200,11200,11200,11200,1
2013-8-13,11100,11100,11100,11100,26
2013-8-14,11000,11000,11000,11000,2
2013-8-19,11400,11997,11400,11997,59
2013-8-22,11995,11997,11995,11997,14
2013-8-27,12295,12295,12295,12295,1
2013-9-5,12100,12100,12100,12100,1
2013-9-9,12293,12293,11301,12000,3
2013-9-12,11150,11200,11150,11200,5
2013-9-13,11301,11301,11300,11300,4
2013-9-16,11500,11787,11500,11787,4
2013-9-19,11700,11700,11700,11700,2
2013-9-24,11003,11003,11000,11000,4
2013-9-25,11500,12000,11500,11500,7
2013-10-1,11007,11100,11001,11001,8
2013-10-4,11100,11100,11100,11100,4
2013-10-11,11330,11330,11330,11330,1
2013-10-18,11980,11990,11980,11990,2
2013-10-24,11100,11100,11100,11100,2
2013-11-13,11203,11203,11203,11203,1
2013-11-20,11800,11800,11800,11800,1
2013-11-22,11720,11720,11720,11720,2
2013-11-25,11001,11001,11001,11001,4
2013-11-26,11000,11000,11000,11000,1
2013-11-29,11400,11400,11400,11400,1
2013-12-10,11000,11290,11000,11290,11
2013-12-12,10050,10050,10050,10050,27
2013-12-24,10500,10500,10500,10500,1
2013-12-25,10600,10600,10500,10500,4
2013-12-26,10502,10602,10502,10602,6
2013-12-27,11000,11000,11000,11000,4
2014-1-14,10998,10998,10998,10998,1
2014-1-21,11200,11200,11200,11200,1
2014-1-23,11200,11500,11200,11200,6
2014-1-27,11700,11700,11700,11700,1
2014-1-31,11900,12294,11900,12294,4
2014-2-6,12900,13000,12900,13000,5
2014-2-7,12100,12100,12100,12100,2
2014-2-10,13499,13499,13450,13488,3
2014-2-21,11100,11100,11100,11100,2
2014-2-28,12999,13500,12999,13500,18
2014-3-11,12002,12002,12000,12000,8
2014-3-12,12000,12000,12000,12000,2
2014-3-13,12000,12000,12000,12000,3
2014-3-25,13996,13996,13996,13996,2
2014-4-4,13992,13992,13992,13992,2
2014-4-17,13992,13992,13992,13992,1
2014-5-22,10050,10500,10050,10500,4
2014-5-27,10118,10118,10000,10020,6
2014-5-28,10020,11200,10020,11200,5
2014-5-30,11200,11200,11200,11200,1
2014-7-2,11221,11221,11221,11221,1
2014-7-4,11230,11230,11200,11200,11
2014-8-5,12501,12501,12500,12500,11
2014-8-28,13989,13989,13989,13989,1
2014-8-29,13200,13200,13200,13200,19
2014-9-1,13200,13300,13200,13300,2
2014-9-4,12500,12500,12500,12500,1
2014-9-8,12500,12500,12500,12500,1
2014-9-26,12500,12500,12500,12500,10
2014-10-1,12500,12500,12500,12500,1
2014-11-5,12500,12500,12500,12500,2
2014-11-10,13750,13800,13750,13800,5
2014-11-11,13000,13650,12500,12500,12
2014-11-13,13000,13600,13000,13600,5
2014-12-4,10650,13600,10650,13600,4
2014-12-5,11250,13000,11250,13000,3
2014-12-8,11300,12900,11300,12900,2
2014-12-11,11400,11500,11400,11500,3
2014-12-12,12500,12500,12500,12500,1
2014-12-22,9400,11400,8850,9950,24
2014-12-23,8000,9500,7000,8100,38
2014-12-24,6050,8900,5000,8900,26
2014-12-30,11000,11000,11000,11000,1
2015-1-14,10900,10900,10900,10900,1
2015-1-26,10500,10500,10500,10500,10
2015-3-3,10050,10050,10000,10000,3
2015-3-5,10950,11000,10950,11000,10
2015-3-6,10000,10000,10000,10000,1
2015-3-20,10100,10100,10100,10100,1
2015-4-6,9500,9500,9500,9500,1
2015-4-10,8400,12800,8400,12800,2
2015-4-17,11000,11000,11000,11000,1
2015-4-22,12800,12950,12000,12000,67
2015-4-27,12000,12000,12000,12000,1
2015-5-5,12000,12000,12000,12000,2
2015-5-6,10250,12000,10250,12000,16
2015-5-8,10300,11950,10250,11000,10
2015-5-12,8950,11100,8950,11000,11
2015-5-13,10950,10950,9800,10850,48
2015-5-14,10250,10300,10250,10300,6
