Date,Open,High,Low,Close,Volume
2006-6-14,106.99,111.99,99,108.98,1594886
2006-6-15,113.24,113.24,105,106.15,694172
2006-6-16,108.37,109.5,104.12,107.19,958897
2006-6-19,105.88,119.7,105.88,118.29,710789
2006-6-20,115.8,121.72,115.8,117.37,938602
2006-6-21,118,118.49,112.5,114.43,788647
2006-6-22,114.95,116.4,112.5,113.01,424705
2006-6-23,114.69,118.53,113,116.55,459805
2006-6-26,117.5,119.89,116.11,117.55,257526
2006-6-27,118.52,121.4,117.01,119.94,420704
2006-6-28,118.38,125,117.56,122.97,590229
2006-6-29,126.51,126.51,121.82,124.27,309351
2006-6-30,126,131,125.11,128.6,867233
2006-7-3,128.69,129,124.01,126.23,278741
2006-7-4,126.4,128.98,123.6,126.34,279024
2006-7-5,127,128.5,125.25,125.36,240367
2006-7-6,126.05,133,125.5,132.26,581585
2006-7-7,133.54,135.4,129.01,131.2,498244
2006-7-10,128.05,131.98,127,131.7,322847
2006-7-11,132,132.4,128.25,128.3,312461
2006-7-12,128.65,130.9,127,128.28,262202
2006-7-13,127.51,129.49,122.3,122.84,360159
2006-7-14,122.53,126.9,116.69,125.41,244137
2006-7-17,125.31,127.85,122.01,125.8,257646
2006-7-18,125,128.7,124,127.9,227563
2006-7-19,128.45,140.19,127.55,137.25,719066
2006-7-20,139,142,132.75,135.33,854496
2006-7-21,134.06,137.33,130.33,132.2,305761
2006-7-24,132.37,135,131.26,134.36,171161
2006-7-25,135.01,135.75,130.99,131.97,314000
2006-7-26,131.39,134.1,131.15,132.29,125320
2006-7-27,132.84,136.19,132.84,135.02,369171
2006-7-28,135.99,135.99,131.9,133.21,266075
2006-7-31,134.75,135.34,132.5,133.27,202759
2006-8-1,133.73,138.8,130.5,131.81,809858
2006-8-2,132.06,133.46,129.43,130.25,464936
2006-8-3,130.7,130.7,124.02,125.85,626736
2006-8-4,126.02,128.25,125.2,126.04,458066
2006-8-7,126.2,126.85,125.21,126.65,301597
2006-8-8,127,127.9,125.75,126.76,224823
2006-8-9,126.84,129.87,126,126.85,241464
2006-8-10,125.71,127.28,124.3,126.77,268558
2006-8-11,127,131.49,126,127.5,372927
2006-8-14,127.99,129.8,127.1,129.19,211132
2006-8-15,132.58,132.58,124.82,127.03,258126
2006-8-16,127.11,130.67,125.35,130.12,198215
2006-8-17,130.5,131.96,128.68,131.61,244824
2006-8-18,131,137,127,127.62,832651
2006-8-21,127,132,127,130.01,161995
2006-8-22,131,134,128.88,129.98,474935
2006-8-23,130.81,131.5,129.21,130.12,225901
2006-8-24,130,131.9,128.35,130.45,162311
2006-8-25,131,131.97,130.3,131.2,113317
2006-8-28,131.8,132,129.7,130.64,73242
2006-8-29,131.51,131.7,129.7,130.15,227443
2006-8-30,130.17,131.22,129.7,130.7,80832
2006-8-31,131.63,131.65,125.51,127.3,523644
2006-9-1,127.01,129,125.5,128.89,159676
2006-9-4,129.5,129.51,126.06,129,113154
2006-9-5,128.95,130.5,128.36,129.45,128850
2006-9-6,129.48,130.49,127.2,129.76,156498
2006-9-7,129.5,129.7,128.25,128.56,133559
2006-9-8,125.13,129.75,125.13,129.41,125480
2006-9-11,128.7,130.13,126.4,126.8,279790
2006-9-12,127.11,129.5,127.05,129.3,150814
2006-9-13,128.41,129.92,128.01,129.5,78485
2006-9-14,130,130.51,128.81,129.25,124056
2006-9-15,129.25,129.99,128.11,128.9,117604
2006-9-18,129.92,130.2,128.9,129.39,46886
2006-9-19,129.5,130.3,129.01,129.55,106968
2006-9-20,127.9,129.2,127.55,128.87,233230
2006-9-21,129.9,133.16,129.2,129.48,507461
2006-9-22,130.06,130.88,128,129.04,587539
2006-9-25,128.87,130.29,125.5,129.52,316738
2006-9-26,129.75,131.98,129.1,130.98,410159
2006-9-27,132.84,133,130.25,131.61,244476
2006-9-28,133,133,131.14,131.93,161171
2006-9-29,138.89,138.89,131.7,134,504168
2006-10-2,134.44,136.65,134,135.99,318503
2006-10-3,135.06,136.46,131.8,134.67,370919
2006-10-4,134,136.95,134,136.3,281061
2006-10-5,137,137.5,136.12,136.84,177444
2006-10-6,137.96,139.48,136.82,138.15,300873
2006-10-9,138.23,138.48,129.27,136.35,338534
2006-10-10,134.76,137.07,134.76,136.85,222455
2006-10-11,136.9,136.9,134.04,136.27,139750
2006-10-12,135.97,137.4,134.62,135.43,168245
2006-10-13,136,136.9,133.32,136.4,279869
2006-10-16,138.92,138.92,134.57,135.53,87992
2006-10-17,136.07,136.4,133.79,134.12,126506
2006-10-18,133.3,135.84,133.3,134.41,83856
2006-10-19,134,135.23,133.52,134.6,93755
2006-10-20,135.6,135.69,131.31,132.68,193343
2006-10-23,133.37,133.45,131.52,132.99,54543
2006-10-24,133.5,134,132,133.35,68530
2006-10-25,133.49,134.4,132.51,134.29,81526
2006-10-26,134.5,134.71,133.05,134,106269
2006-10-27,134,134,132.2,132.9,189137
2006-10-30,126.76,132.51,126.76,132.22,142355
2006-10-31,132.29,136.39,131.8,135.82,266438
2006-11-1,135.85,137.98,135.53,137.24,235705
2006-11-2,137.34,137.85,135.55,137.4,169144
2006-11-3,137.07,138.9,136.42,138.55,129351
2006-11-7,140.59,140.59,138.55,140.3,194987
2006-11-8,142.21,144.24,140.46,143.63,466233
2006-11-9,144,145.25,143.25,144.97,131673
2006-11-10,144.96,145.4,142.32,144.84,169873
2006-11-13,144.84,146.34,143.3,145.71,257573
2006-11-14,145.49,146.9,145.25,146.33,156037
2006-11-15,146.3,153.97,146.05,153.51,619813
2006-11-16,153.5,154.5,151.5,153.34,217107
2006-11-17,152.51,155.12,152.02,154.62,300897
2006-11-20,154.15,154.89,152.3,154.15,237205
2006-11-21,161.3,161.3,153.3,155.4,120862
2006-11-22,155,156.5,155,156.14,183845
2006-11-23,156,159.89,155,158.68,374762
2006-11-24,158.4,162.71,158.3,162.31,488841
2006-11-27,161.89,164.2,161.61,162.96,359377
2006-11-28,162.01,164.25,162,163.94,205969
2006-11-29,164.43,165.49,163.56,165.16,173944
2006-11-30,167,167.42,164.68,166.78,251976
2006-12-1,171,171,166,166.42,302486
2006-12-4,166.92,168.39,165.02,168.2,272019
2006-12-5,169.01,170.45,168.56,169.26,287495
2006-12-6,169.55,170.6,169,170.47,175376
2006-12-7,170,170.77,169.26,170.21,279841
2006-12-8,170.22,171.85,170.08,171.3,179541
2006-12-11,171.5,172.25,170.25,171.34,225453
2006-12-12,169.96,175,169.96,174.11,268906
2006-12-13,173.15,175.49,171,173.78,239705
2006-12-14,174.54,179.49,174.54,178.8,319817
2006-12-15,184.41,186,175.15,184.33,544886
2006-12-18,183.9,186.5,181.1,185.88,549064
2006-12-19,186.01,187.48,184,186.6,434769
2006-12-20,186.98,187.1,185.56,186.63,118238
2006-12-21,186.52,191.69,186,190.1,327144
2006-12-22,190.05,194.3,182.1,189.73,503236
2006-12-25,185.51,195.76,174.13,194.58,1384741
2006-12-26,194.7,198.5,194.03,194.89,460979
2006-12-27,194.87,197.43,194.22,196.87,236388
2006-12-28,197.76,202.5,197.5,200.73,355878
2006-12-29,199.02,205.84,194.01,198.65,2003063
2007-1-9,196,205.5,194.55,198.68,372598
2007-1-10,198.61,199,185.5,192.26,526945
2007-1-11,190.13,198.35,186.07,194.75,312207
2007-1-12,195.13,196.49,192.5,194.1,180418
2007-1-15,196,199.75,194.6,199.07,200981
