Date,Open,High,Low,Close,Volume
2006-6-14,60.2,60.2,53.08,55.09,36335
2006-6-15,55.95,56.5,54.63,54.78,44690
2006-6-16,55.01,56.8,53.72,55,17557
2006-6-19,55.18,58.97,54.8,57.98,12341
2006-6-20,58,58.97,57.02,57.6,12744
2006-6-21,59.44,59.44,55.25,56.5,5131
2006-6-22,56.82,58.17,54.5,54.53,2782
2006-6-23,54.57,56.91,54.5,55.3,4089
2006-6-26,55.23,56,54.55,56,1965
2006-6-27,55.51,58.56,55.42,56.94,12750
2006-6-28,56.02,58.99,56.02,57.45,6430
2006-6-29,58.03,58.4,56.74,57.6,8675
2006-6-30,58,60.76,57.31,59.7,13588
2006-7-3,59.65,59.65,57.8,58.76,7194
2006-7-4,60.53,60.53,57.5,57.58,11345
2006-7-5,57.7,58.08,55.55,55.81,17558
2006-7-6,55.36,61.2,55.36,60.69,32870
2006-7-7,60.08,64.32,59.3,59.95,43554
2006-7-10,59.58,59.7,58.11,59.22,18516
2006-7-11,59.39,60.5,58.51,58.75,26161
2006-7-12,58.84,62,58.84,59.5,18575
2006-7-13,59.48,59.99,56.51,56.85,7958
2006-7-14,57.01,57.4,55.01,57.2,8975
2006-7-17,57,57.1,55.1,55.83,12395
2006-7-18,55.26,57.1,55.26,57.09,2945
2006-7-19,57.08,59.97,56.6,59.8,16904
2006-7-20,60.5,61.89,58.5,58.9,26421
2006-7-21,58.71,59.6,57.85,58.12,10303
2006-7-24,58.1,59.6,57.99,59.36,8509
2006-7-25,60,60.45,58.6,58.79,14182
2006-7-26,58.1,59.6,58.1,59,11422
2006-7-27,59.75,60,59,59.9,28359
2006-7-28,59.71,59.75,58.29,58.55,29552
2006-7-31,58.99,59.38,58.4,58.61,15167
2006-8-1,58.95,60.69,58.6,59,39902
2006-8-2,59.19,59.55,58.52,59.1,38241
2006-8-3,59.15,59.15,57.07,57.89,20335
2006-8-4,57.75,58.44,57.41,58.19,12696
2006-8-7,59,59,57.61,58.25,11477
2006-8-8,58.46,58.46,57.5,57.84,12933
2006-8-9,58,58.35,57.7,57.94,39259
2006-8-10,57.5,57.8,57,57.51,15850
2006-8-11,57.31,58.64,57.31,57.72,44870
2006-8-14,57.73,58.1,57.6,57.7,15583
2006-8-15,57.78,57.79,56,56.6,53307
2006-8-16,56.7,57.26,56.36,57.2,14132
2006-8-17,57.33,57.33,56.25,56.38,28442
2006-8-18,56.5,57.2,55.4,55.51,25184
2006-8-21,54.14,56.35,54.14,55.79,9067
2006-8-22,58.5,58.5,55.6,55.97,18224
2006-8-23,55.8,57.23,55.75,56.38,12239
2006-8-24,56.69,56.69,55.94,56.15,7588
2006-8-25,56.4,56.64,56.11,56.49,6340
2006-8-28,56.49,57.15,56.17,56.7,6330
2006-8-29,56.34,56.95,55.07,55.9,8118
2006-8-30,57.92,57.92,55.21,55.84,51193
2006-8-31,56,56.18,55.5,55.6,11619
2006-9-1,55.81,56.25,55.52,55.76,9104
2006-9-4,56,56.27,55.55,56.13,5159
2006-9-5,56.21,57.13,55.95,56.87,7451
2006-9-6,56.91,56.91,56,56.11,5111
2006-9-7,56.01,56.1,55.5,55.53,6658
2006-9-8,55.5,55.99,55.5,55.74,1486
2006-9-11,55.51,57,55,55.28,22241
2006-9-12,55.28,55.7,55,55.27,21410
2006-9-13,55.25,55.8,54.52,55.63,10017
2006-9-14,55.76,55.78,55.11,55.22,1429
2006-9-15,55.21,55.58,55.1,55.26,1468
