Date,Open,High,Low,Close,Volume
2005-12-26,5,5,0.15,0.27,3
2005-12-27,0.68,0.68,0.2,0.2,23
2005-12-28,0.23,0.26,0.2,0.2,26
2005-12-29,0.22,0.22,0.19,0.21,1
2005-12-30,0.19,0.19,0.19,0.19,0
2006-1-10,0.2,0.22,0.17,0.19,45
2006-1-11,0.18,0.18,0.17,0.17,13
2006-1-12,0.17,0.17,0.16,0.17,15
2006-1-13,0.16,0.17,0.16,0.17,1
2006-1-16,0.18,0.18,0.16,0.17,5
2006-1-17,0.16,0.17,0.15,0.17,73
2006-1-18,0.16,0.17,0.15,0.16,8
2006-1-19,0.15,0.17,0.15,0.15,85
2006-1-20,0.15,0.16,0.14,0.16,103
2006-1-23,0.16,0.16,0.15,0.16,7
2006-1-24,0.16,0.16,0.14,0.15,172
2006-1-25,0.15,0.15,0.14,0.14,9
2006-1-26,0.13,0.15,0.12,0.15,93
2006-1-27,0.14,0.15,0.13,0.15,7
2006-1-30,0.14,0.14,0.12,0.14,17
2006-1-31,0.13,0.14,0.13,0.14,5
2006-2-1,0.13,0.13,0.13,0.13,0
2006-2-2,0.13,0.18,0.13,0.16,60
2006-2-3,0.15,0.16,0.14,0.14,14
2006-2-6,0.15,0.16,0.13,0.13,64
2006-2-7,0.14,0.15,0.13,0.13,23
2006-2-8,0.14,0.14,0.13,0.13,1
2006-2-9,0.14,0.14,0.13,0.14,3
2006-2-10,0.15,0.15,0.13,0.15,14
2006-2-13,0.15,0.15,0.14,0.15,25
2006-2-14,0.15,0.16,0.14,0.15,29
2006-2-15,0.15,0.15,0.15,0.15,0
2006-2-16,0.16,0.16,0.13,0.13,4
2006-2-17,0.14,0.17,0.14,0.17,170
2006-2-20,0.17,0.35,0.17,0.29,767
2006-2-21,0.29,0.29,0.22,0.26,169
2006-2-22,0.25,0.26,0.23,0.24,123
2006-2-26,0.21,0.24,0.2,0.22,181
2006-2-27,0.23,0.27,0.2,0.23,366
2006-2-28,0.23,0.24,0.21,0.22,134
2006-3-1,0.22,0.23,0.22,0.23,34
2006-3-2,0.23,0.24,0.22,0.23,60
2006-3-3,0.23,0.25,0.23,0.24,45
2006-3-6,0.25,0.25,0.23,0.24,18
2006-3-7,0.23,0.23,0.21,0.23,7
2006-3-9,0.22,0.22,0.19,0.22,24
2006-3-10,0.22,0.23,0.16,0.2,48
2006-3-13,0.19,0.21,0.19,0.21,10
2006-3-14,0.18,0.21,0.18,0.2,14
2006-3-15,0.2,0.21,0.18,0.19,75
2006-3-16,0.2,0.23,0.2,0.22,33
2006-3-17,0.2,0.2,0.2,0.2,45
2006-3-20,0.21,0.26,0.19,0.24,312
2006-3-21,0.23,0.23,0.21,0.23,37
2006-3-22,0.21,0.23,0.21,0.23,40
2006-3-23,0.21,0.26,0.21,0.23,296
2006-3-24,0.21,0.25,0.21,0.24,350
2006-3-27,0.25,0.25,0.22,0.23,4
2006-3-28,0.22,0.23,0.22,0.23,13
2006-3-29,0.22,0.22,0.21,0.22,1
2006-3-30,0.21,0.22,0.19,0.2,46
2006-3-31,0.23,0.23,0.2,0.2,17
2006-4-3,0.21,0.22,0.19,0.19,67
2006-4-4,0.21,0.22,0.19,0.19,56
2006-4-5,0.21,0.21,0.19,0.21,119
2006-4-6,0.21,0.21,0.19,0.2,69
2006-4-7,0.2,0.2,0.19,0.2,49
2006-4-10,0.2,0.23,0.2,0.22,389
2006-4-11,0.22,0.23,0.19,0.21,485
2006-4-12,0.2,0.21,0.19,0.2,44
2006-4-13,0.2,0.2,0.19,0.2,16
2006-4-14,0.2,0.2,0.19,0.2,14
2006-4-17,0.2,0.2,0.19,0.2,1
2006-4-18,0.19,0.19,0.18,0.19,64
2006-4-19,0.17,0.197,0.153,0.189,53
2006-4-20,0.188,0.189,0.188,0.189,0
2006-4-21,0.184,0.184,0.173,0.183,12
2006-4-24,0.173,0.178,0.17,0.178,4
2006-4-25,0.172,0.177,0.165,0.172,29
2006-4-26,0.168,0.175,0.168,0.17,24
2006-4-27,0.175,0.177,0.167,0.177,7
2006-4-28,0.167,0.172,0.165,0.172,12
2006-5-2,0.174,0.175,0.17,0.174,6
2006-5-4,0.18,0.189,0.18,0.189,1
2006-5-5,0.18,0.18,0.17,0.179,5
2006-5-6,0.172,0.179,0.17,0.177,40
2006-5-10,0.174,0.175,0.163,0.17,16
2006-5-11,0.143,0.169,0.143,0.161,55
2006-5-12,0.152,0.16,0.151,0.16,4
2006-5-15,0.153,0.16,0.153,0.16,0
2006-5-16,0.152,0.152,0.15,0.15,10
2006-5-17,0.146,0.154,0.145,0.151,10
2006-5-18,0.16,0.16,0.143,0.152,3
2006-5-19,0.143,0.143,0.143,0.143,0
2006-5-23,0.18,0.18,0.109,0.142,14
2006-5-24,0.143,0.143,0.143,0.143,18
2006-5-25,0.143,0.143,0.143,0.143,5
2006-5-26,0.17,0.17,0.143,0.146,4
2006-5-29,0.174,0.174,0.143,0.143,9
2006-5-30,0.185,0.185,0.143,0.143,3
2006-5-31,0.157,0.157,0.143,0.151,1
2006-6-1,0.194,0.194,0.15,0.158,1
2006-6-2,0.144,0.149,0.143,0.149,2
2006-6-5,0.143,0.15,0.141,0.143,27
2006-6-6,0.149,0.15,0.144,0.146,7
2006-6-7,0.143,0.149,0.136,0.147,4
2006-6-8,0.143,0.145,0.143,0.145,0
2006-6-15,0.143,0.143,0.143,0.143,75
2006-6-16,0.145,0.145,0.145,0.145,1
2006-6-19,0.143,0.143,0.142,0.143,2
2006-6-20,0.143,0.143,0.143,0.143,1
2006-6-21,0.143,0.143,0.143,0.143,1
2006-6-22,0.143,0.143,0.143,0.143,3
2006-6-23,0.143,0.143,0.143,0.143,0
2006-7-3,0.143,0.153,0.143,0.153,20
2006-7-4,0.143,0.148,0.143,0.148,4
2006-7-5,0.143,0.143,0.143,0.143,1
2006-7-6,0.145,0.15,0.145,0.15,16
2006-7-7,0.145,0.168,0.145,0.168,38
2006-7-10,0.16,0.181,0.16,0.18,6
2006-7-11,0.192,0.192,0.192,0.192,1
2006-7-12,0.192,0.192,0.192,0.192,0
2006-7-13,0.15,0.15,0.143,0.15,18
2006-7-14,0.177,0.214,0.177,0.2,3
2006-7-17,0.232,0.232,0.145,0.177,49
2006-7-18,0.15,0.184,0.131,0.131,62
2006-7-19,0.18,0.18,0.12,0.139,42
2006-7-20,0.187,0.187,0.129,0.15,72
2006-7-21,0.158,0.16,0.143,0.15,32
2006-7-24,0.143,0.149,0.143,0.149,1
2006-7-25,0.149,0.158,0.143,0.151,16
2006-7-26,0.157,0.157,0.145,0.153,12
2006-7-27,0.159,0.173,0.159,0.173,0
2006-7-28,0.174,0.174,0.174,0.174,2
