Date,Open,High,Low,Close,Volume
2005-12-26,1,1,1,1,0
2005-12-27,0.12,0.12,0.12,0.12,0
2005-12-28,0.93,1.03,0.93,1,0
2005-12-29,0.21,0.22,0.2,0.21,22
2006-1-10,0.17,0.21,0.16,0.21,10
2006-1-11,0.21,0.21,0.21,0.21,2
2006-1-12,0.21,0.24,0.21,0.24,4
2006-1-13,0.22,0.23,0.21,0.23,41
2006-1-16,0.21,0.3,0.2,0.23,47
2006-1-17,0.21,0.24,0.17,0.17,89
2006-1-18,0.18,0.18,0.16,0.18,54
2006-1-19,0.19,0.19,0.19,0.19,2
2006-1-20,0.19,0.19,0.19,0.19,0
2006-1-23,0.19,0.19,0.19,0.19,1
2006-1-24,0.17,0.19,0.17,0.19,7
2006-1-25,0.19,0.19,0.17,0.18,2
2006-1-26,0.17,0.18,0.17,0.18,0
2006-1-27,0.17,0.18,0.16,0.18,13
2006-1-30,0.16,0.18,0.16,0.18,3
2006-2-1,0.16,0.16,0.16,0.16,0
2006-2-2,0.17,0.17,0.17,0.17,0
2006-2-7,0.17,0.17,0.15,0.17,0
2006-2-8,0.16,0.16,0.16,0.16,1
2006-2-9,0.15,0.17,0.15,0.15,3
2006-2-10,0.15,0.15,0.15,0.15,2
2006-2-13,0.16,0.16,0.16,0.16,0
2006-2-14,0.16,0.16,0.15,0.15,7
2006-2-15,0.15,0.15,0.15,0.15,0
2006-2-16,0.16,0.16,0.14,0.16,1
2006-2-17,0.11,0.16,0.02,0.16,114
2006-2-20,0.17,0.26,0.15,0.25,355
2006-2-21,0.25,0.28,0.22,0.26,96
2006-2-22,0.25,0.25,0.22,0.25,8
2006-2-26,0.21,0.23,0.17,0.21,267
2006-2-27,0.2,0.22,0.2,0.22,18
2006-2-28,0.22,0.22,0.2,0.21,5
2006-3-1,0.2,0.22,0.19,0.22,19
2006-3-2,0.21,0.24,0.21,0.22,9
2006-3-3,0.2,0.21,0.19,0.21,6
2006-3-6,0.19,0.19,0.17,0.19,1023
2006-3-7,0.17,0.19,0.16,0.18,22
2006-3-9,0.18,0.18,0.17,0.17,9
2006-3-10,0.18,0.19,0.17,0.18,2
2006-3-13,0.17,0.18,0.16,0.17,939
2006-3-14,0.17,0.19,0.17,0.18,299
2006-3-15,0.2,0.2,0.16,0.17,110
2006-3-16,0.17,0.17,0.16,0.16,265
2006-3-17,0.16,0.18,0.15,0.18,255
2006-3-20,0.17,0.22,0.17,0.2,191
2006-3-21,0.18,0.19,0.18,0.19,10
2006-3-22,0.18,0.19,0.18,0.19,52
2006-3-23,0.19,0.19,0.18,0.19,114
2006-3-24,0.19,0.19,0.18,0.19,2
2006-3-27,0.18,0.19,0.18,0.19,21
2006-3-28,0.18,0.18,0.18,0.18,9
2006-3-29,0.19,0.19,0.19,0.19,0
