Date,Open,High,Low,Close,Volume
2015-3-30,37,37.34,37,37.34,5392
2015-3-31,36.85,37,36.35,36.79,4840
2015-4-1,36,36.45,35.805,35.825,3190
2015-4-2,36.005,36.56,35.8,36.45,2336
2015-4-3,36,36.72,35.95,36.72,2652
2015-4-6,36.4,36.81,36.1,36.8,4084
2015-4-7,36.29,36.66,35.9,36.66,4432
2015-4-8,36.7,37.49,36.7,37.49,4373
2015-4-9,36.9,36.9,35.39,36.55,4907
2015-4-10,35.9,36.2,34,35.38,5590
2015-4-13,34.5,34.79,34.25,34.79,4706
2015-4-14,33,34.49,33,34.49,5095
2015-4-15,33.15,34.7,33.1,34.7,4584
2015-4-16,33.1,34.6,33.1,34.6,4528
2015-4-17,33.6,34.66,33.4,34.54,3792
2015-4-20,34,34,31,32.845,6531
2015-4-21,31.2,32.5,30.8,31.98,6810
2015-4-22,31.5,32.195,31.5,31.99,3942
2015-4-23,31.205,31.205,30.41,31,4705
2015-4-24,31.985,31.985,29.8,30.2,8595
2015-4-27,30.795,30.8,30.15,30.325,6793
2015-4-28,30.75,31.9,30.7,31.77,4489
2015-4-29,31.595,31.8,31.13,31.13,3847
2015-4-30,31.1,31.41,31.005,31.41,4667
2015-5-5,31,31.94,30.41,31.21,9309
2015-5-6,31.68,31.69,31,31.3,2976
2015-5-7,31.2,31.2,30.52,30.72,3659
2015-5-8,30.51,31.59,30.5,31.59,4122
2015-5-12,31.57,31.57,30.7,31,3754
2015-5-13,31.99,32.94,30.73,30.8,6571
2015-5-14,31,31.3,30.8,31.3,7895
2015-5-15,32.18,32.18,30.9,31.03,5056
2015-5-18,30.82,30.85,30.55,30.74,3457
2015-5-19,30.78,30.78,30.07,30.4,4837
2015-5-20,29.99,30.15,29.23,29.7,7611
2015-5-21,29.8,29.9,29.2,29.4,8783
2015-5-22,29.35,29.36,28.8,28.9,3706
2015-5-25,29.13,29.13,28.75,29,3621
2015-5-26,29.1,29.2,29.05,29.05,3676
2015-5-27,28.82,29.19,28.5,29,3678
2015-5-28,28.95,29.54,28.91,29.38,3983
2015-5-29,28.87,29.55,28.78,28.78,3679
2015-6-1,28.64,29,28.55,28.75,3817
2015-6-2,28.75,29.1,28.75,29,3715
2015-6-3,29.06,29.08,28.6,28.8,3883
2015-6-4,28.99,29.35,28.99,29.2,3777
2015-6-5,29.3,29.6,29.23,29.26,3523
2015-6-8,29.8,30.5,29.6,30.38,5459
2015-6-9,29.7,30.35,29.7,30.3,4582
2015-6-10,30.1,30.3,29.99,30,3702
2015-6-11,29.55,29.86,29.55,29.86,8490
2015-6-15,29.51,29.55,29.5,29.55,3565
2015-6-16,29.57,29.57,29.35,29.47,3593
2015-6-17,29.2,29.3,29.01,29.21,3674
2015-6-18,29.35,29.36,29.22,29.31,3534
2015-6-19,30.09,30.15,29.86,29.99,4271
2015-6-22,29.89,30.01,29.89,30,3647
2015-6-23,29.69,29.87,29.5,29.87,3424
2015-6-24,29.5,29.85,29.35,29.85,3503
2015-6-25,29.07,29.32,29,29.25,3536
2015-6-26,29.03,29.22,29,29.22,3486
2015-6-29,28.57,28.7,28.45,28.67,3508
2015-6-30,28.67,28.73,28.67,28.73,3503
2015-7-1,28.64,28.78,28.55,28.55,3500
2015-7-2,27.51,28.01,26.73,27.18,10702
2015-7-3,26.8,27.45,26.8,27.3,3821
2015-7-6,27.02,27.02,26,26.49,5397
2015-7-7,25.79,26.5,25.3,25.5,7880
2015-7-8,24.98,24.98,23.55,24.2,10409
2015-7-9,24.6,24.61,23.5,24.44,11835
2015-7-10,24.76,25.6,24.75,25.42,7357
2015-7-13,25.5,25.99,25.5,25.98,7002
2015-7-14,26.75,27.75,26.44,27.75,8076
2015-7-15,28.3,29.35,28.3,29.2,14667
2015-7-16,29.1,29.1,28.5,28.79,8083
2015-7-17,28.8,28.98,28.45,28.5,4002
2015-7-20,28.41,28.5,28.2,28.44,3913
2015-7-21,28.96,29.2,28.78,28.78,5289
2015-7-22,29,29.6,28.71,29,5110
2015-7-23,28.71,28.77,28.6,28.75,3565
2015-7-24,28.85,29.6,28.85,29.3,5475
2015-7-27,28.35,28.35,27.75,28,7841
2015-7-28,28,28.4,28,28.39,3839
2015-7-29,28.5,28.75,28.29,28.47,3756
2015-7-30,28.47,28.47,28.02,28.15,3562
2015-7-31,28.15,28.5,28.15,28.5,3601
2015-8-3,28.7,28.94,28.6,28.88,3726
2015-8-4,30,30,29,29.26,3961
2015-8-5,29.27,29.51,28.58,29.45,3508
2015-8-6,29.05,29.44,29.05,29.44,3508
2015-8-7,29.41,30.1,29.4,30.09,3480
2015-8-10,30.25,30.27,29.9,30.19,3861
2015-8-11,30.49,30.99,29.85,29.95,4425
2015-8-12,30.65,30.65,29.21,29.8,6277
2015-8-13,29.64,29.64,29,29.3,4195
2015-8-14,29.7,31,29.27,30.75,17529
2015-8-17,31.2,33,31.2,32.85,17339
2015-8-18,33.05,35.4,31.5,31.77,14721
2015-8-19,33.1,33.1,30.5,31,13336
2015-8-20,31.3,32.5,29.6,31.85,14831
2015-8-21,31,31.19,30.31,30.9,18833
2015-8-24,27.97,32,27.97,30,14571
2015-8-25,30.17,31,30.02,30.9,13811
2015-8-26,30.75,31.28,29.95,30.8,12030
2015-8-27,32,32.33,30.14,30.54,9756
