Date,Open,High,Low,Close,Volume
2010-8-16,12000,12000,12000,12000,5
2010-8-17,16800,16800,10000,10499,45
2010-8-18,10000.01,10000.01,9501.01,10000,7
2010-8-19,9555,9555,9555,9555,1
2010-8-20,10000,10000,10000,10000,1
2010-8-26,9800,9800,9800,9800,1
2010-8-30,9900,9900,9900,9900,3
2010-8-31,10005,10005,9900,9900,20
2010-9-2,7000.01,13777,7000.01,13777,5
2010-9-3,14999,14999,14999,14999,1
2010-9-6,20997,20997,14000,14000,5
2010-9-7,10000,12000,10000,12000,9
2010-9-9,12000,12000,12000,12000,5
2010-9-22,10751,10751,10751,10751,1
2010-9-23,10555.01,10555.01,10555.01,10555.01,5
2010-9-27,11000,11000,10498,10498,6
2010-9-28,10750,10800,10750,10800,23
2010-9-29,10900,10900,10900,10900,1
2010-9-30,10750,10750,10750,10750,1
2010-10-1,10999.99,10999.99,10900,10900,8
2010-10-6,10755,10755,10755,10755,3
2010-10-14,10600,10600,10600,10600,1
2010-10-18,10900,10950,10900,10950,26
2010-10-20,10950,10950,10950,10950,27
2010-10-25,11000,11000,10999.99,10999.99,20
2010-10-27,11009,11009,11009,11009,20
2010-10-28,10999.99,11050,10999.99,11050,44
2010-10-29,11055,11100,11000,11000,31
2010-11-1,9505.01,10500,9505.01,10500,12
2010-11-12,10800,10900,10800,10900,26
2010-11-29,10499.99,10999.99,10499.99,10999.99,2
2010-12-1,11999.99,11999.99,11000,11000,6
2010-12-3,11500,11600,11500,11600,20
2010-12-17,11500,11500,11500,11500,1
2010-12-24,11500,11500,11500,11500,8
2010-12-27,11500,11500,11500,11500,16
2010-12-30,11250,11500,11250,11500,43
2011-1-13,11000,11000,11000,11000,35
2011-1-17,11500,12500,11500,12000,42
2011-1-18,11500,11900,11500,11900,31
2011-1-19,11500,11500,11500,11500,3
2011-1-20,11250,11250,11250,11250,2
2011-1-21,11250,11250,11250,11250,3
2011-1-25,11250,11500,11250,11500,12
2011-1-26,11490,11490,11490,11490,1
2011-1-28,10500.01,10500.01,10500.01,10500.01,1
2011-1-31,11479.99,11479.99,11479.99,11479.99,1
2011-2-1,11000,11000,11000,11000,30
2011-2-4,11000,11000,11000,11000,137
2011-2-7,11000,12000,11000,11800,209
2011-2-8,11800,11800,11346.03,11600,15
2011-2-9,11315.15,11550,11315.15,11550,80
2011-2-10,10600.04,11000,10511.11,11000,23
2011-2-15,10705.46,10705.46,10101.01,10101.01,104
2011-2-16,10348.99,10525,10348.99,10525,6
2011-2-17,10800,11000,10500,10500,19
2011-2-18,10500,10500,10500,10500,5
2011-2-21,10111.12,10400,10000,10400,29
2011-2-22,10400,10950,10400,10950,525
2011-2-25,10200,10200,9999,10000,55
2011-2-28,10000,10000,9999,10000,9
2011-3-1,10001,10001,9999,10000,56
2011-3-2,9502,9502,9502,9502,2
2011-3-3,9556,9556,9555,9555,16
2011-3-15,8161,8301,7999,8300,81
2011-3-16,8500,8500,8500,8500,4
2011-3-21,8505,8505,8505,8505,10
2011-3-22,8600,8600,8600,8600,1
2011-3-25,8999,10400,8999,10400,40
2011-3-29,8786,8786,8500,8500,34
2011-3-30,8501,8993,8200,8993,80
2011-4-5,8326,8326,7707,7800,38
2011-4-6,7800,7900,7000,7000,207
2011-4-7,7499,8000,7300,7800,78
2011-4-8,7700,8000,7000,7783,96
2011-4-11,7024,7500,7023,7499,7
2011-4-13,7004,7500,7004,7400,10
2011-4-14,7400,7400,7101,7101,16
2011-4-15,7399,7500,7090,7499,24
2011-4-18,7400,7400,6852,7400,20
2011-4-19,7300,7300,7300,7300,1
2011-4-20,7300,7300,7300,7300,1
2011-4-21,7300,7500,7300,7400,20
2011-4-25,7300,7600,7150,7300,16
2011-4-26,7086,7200,7065,7200,15
2011-4-27,7200,7200,7198,7198,4
2011-4-28,6801,6801,6800,6800,3
2011-4-29,7196,7196,7196,7196,1
2011-5-5,7299,7335,7299,7335,11
2011-5-6,7300,7500,7300,7300,11
2011-5-10,7400,7400,7400,7400,3
2011-5-11,7300,7300,7300,7300,5
2011-5-13,7300,7300,7300,7300,1
2011-5-16,7349,8500,7349,8500,14
2011-5-17,7900,8000,7900,7900,12
2011-5-19,7799,8000,7799,7900,8
2011-5-20,7899,7899,7899,7899,2
2011-5-23,7899,7900,7899,7900,8
2011-5-24,7899,7899,7899,7899,1
2011-5-25,7900,7900,7900,7900,1
2011-5-26,8000,8000,8000,8000,4
2011-5-27,6555,7899,6555,7899,2
2011-5-30,7900,7900,7900,7900,1
2011-6-1,8000,8200,8000,8000,5
2011-6-2,8000,8000,8000,8000,3
2011-6-6,8000,8200,8000,8000,6
2011-6-14,7900,8000,7301,8000,16
2011-6-15,7300,7900,7300,7900,13
2011-6-16,7510,7510,7375,7375,9
2011-6-17,7699,7699,7699,7699,1
2011-6-21,7589,7800,7177,7800,28
2011-6-22,7700,7999,7700,7999,3
2011-6-23,7550,7800,7550,7800,3
2011-6-28,7438,7695,7437,7695,7
2011-6-30,7697,8750,7697,8750,43
2011-7-1,8300,8300,8000,8000,5
2011-7-5,8199,8199,8000,8000,3
2011-7-7,8001,8011,8001,8011,3
2011-7-8,8000,8000,7509,7509,5
2011-7-11,7899,7899,7899,7899,1
2011-7-14,7280,7400,7280,7306,3
2011-7-20,6369,7098,6369,7098,11
2011-7-21,7199,7205,7199,7199,22
2011-7-22,7186,7186,7186,7186,2
2011-7-25,7015,7015,7015,7015,9
2011-7-26,7015,7415,7015,7415,10
2011-7-27,7013,7085,7002,7085,32
2011-7-28,7006,7006,6905,7000,49
2011-7-29,7094,7094,7000,7000,5
2011-8-2,7286,7286,7286,7286,1
2011-8-4,7029,7029,7029,7029,1
2011-8-11,6216,6216,6208,6208,8
2011-8-16,6744,6744,6744,6744,1
2011-8-18,6500,6500,6500,6500,5
2011-8-19,6001,6001,6001,6001,1
2011-8-22,6211,6211,6211,6211,2
2011-8-25,6636,7183,6636,7183,10
2011-8-29,6403,6403,6064,6064,7
2011-8-30,6699,7450,6699,7450,41
2011-9-8,7000,8200,7000,7000,560
2011-9-12,6705,6705,6705,6705,10
2011-9-13,7295,7895,6555,6555,260
2011-9-15,7300,8100,7000,7001,374
2011-9-21,7199,7885,7000,7000,762
2011-9-22,6801,6801,6800,6800,9
2011-11-29,74.4,74.4,74.4,74.4,85
2011-11-30,70,70,61.03,62,299
2011-12-1,62.01,64.94,62,62,355
2011-12-2,62,62,51,60,341
2011-12-5,60,60,59.97,59.99,15
2011-12-6,62,62,55.56,55.67,189
2011-12-7,61.99,61.99,55.55,56,502
2011-12-8,56.02,58.5,56,56,191
2011-12-9,58.58,58.58,56.9,56.9,13
2011-12-12,62,62,57.51,60,136
2011-12-13,62,62,62,62,1
2011-12-14,61.99,61.99,51,56.6,581
2011-12-15,58.3,58.3,52.51,56.49,14
2011-12-16,57.87,57.87,49.8,50,355
2011-12-19,58.15,58.15,48.92,54.73,21
2011-12-20,59.33,59.33,50.57,58.31,45
2011-12-21,50.03,59.19,50.03,58.19,118
2011-12-22,55,55,55,55,1
2011-12-23,53,53.71,53,53.71,8
2011-12-26,53,57.48,53,57.48,29
2011-12-27,54.96,54.96,54.96,54.96,1
2011-12-28,51.83,51.83,51.8,51.82,340
2011-12-30,55,55,55,55,103
2012-1-3,50.02,50.02,50.02,50.02,3
2012-1-4,53.99,60,53.99,60,43
2012-1-5,60,61.99,60,61.99,27
2012-1-6,50.05,60.93,50.04,60.93,33
2012-1-9,51.15,60.39,51.15,60.39,12
2012-1-10,52.51,56.99,52.5,53.08,400
2012-1-11,54.98,54.98,54.98,54.98,1
2012-1-12,52.01,54.96,52.01,54.94,4
2012-1-13,60.49,60.49,60.45,60.45,5
2012-1-16,54.82,54.83,53.97,53.97,6
2012-1-17,54.09,58.68,50.44,54.96,31
2012-1-19,52.01,52.01,50.04,50.04,10
2012-1-23,54.86,54.86,54.82,54.82,3
2012-1-24,51.6,53.52,51.6,53.52,449
2012-1-25,52.5,54.9,52.02,52.69,252
2012-1-26,54.95,54.95,52.54,53.29,351
2012-1-27,52.3,52.69,52.3,52.69,642
2012-1-30,52.35,52.64,52.35,52.57,794
2012-1-31,51.3,51.31,50,50,22
2012-2-1,53.97,53.97,50.05,50.05,11
2012-2-2,51.06,51.06,50.02,50.02,8
2012-2-3,48.52,48.52,47.03,47.03,18
2012-2-6,49.6,50,49.6,50,13
2012-2-7,50.3,50.3,50,50,9
2012-2-9,54.99,55.45,54.95,55.45,116
2012-2-13,53.99,53.99,47,47.49,520
2012-2-14,47.2,49,45.5,46,298
2012-2-15,43.55,48.9,43.51,48.9,11
2012-2-16,48.98,48.98,43.57,43.7,134
2012-2-17,46.99,48.67,46.99,48.5,71
2012-2-20,45.09,53,45.09,47.11,246
2012-2-21,48.99,49,48.99,49,8
2012-2-22,49.09,52,49.09,49.8,76
2012-2-24,49.8,50,46.94,49.96,1525
2012-2-28,46.15,46.15,40.6,44,348
2012-2-29,45,53.99,45,53.89,899
2012-3-1,53,58.85,46.01,47.02,157
2012-3-2,52.5,52.5,47.08,49.49,98
2012-3-5,51.99,52.3,45.24,48,618
2012-3-6,45.11,49.18,45.02,49.18,202
2012-3-7,51.46,51.46,51.46,51.46,1
2012-3-12,49.99,50,49.02,49.08,112
2012-3-13,50.5,50.5,49.98,50,55
2012-3-15,47.13,49.99,47.12,49.99,50
2012-3-16,45.11,49.98,45.11,49.98,2
2012-3-20,49.99,49.99,49.28,49.28,2
2012-3-21,48.5,48.5,48.5,48.5,1
2012-3-22,50,50,49.98,49.99,10
2012-3-23,49.9,52,49.9,52,245
2012-3-26,50.01,50.01,50.01,50.01,1
2012-3-27,49.01,49.01,49.01,49.01,27
2012-3-28,49.35,49.35,49.34,49.34,12
2012-3-29,49,49,49,49,1
2012-3-30,49.5,49.5,49.5,49.5,10
2012-4-2,50.98,50.98,44.07,50.9,6
2012-4-3,49.99,49.99,49.99,49.99,4
2012-4-5,44.05,48.5,40.02,48.27,164
2012-4-6,49,49,48.5,48.99,1028
2012-4-11,42.55,42.55,42.55,42.55,599
2012-4-12,45.5,45.5,45.5,45.5,1
2012-4-16,42,42,41.52,41.52,3
2012-4-17,40.59,41,38,41,136
2012-4-18,38.16,39.01,38.16,39,75
2012-4-19,38.17,41.99,38.17,38.51,11
2012-4-20,38.16,38.5,36.1,38.5,417
2012-4-24,36.21,37.89,32,36.87,63
2012-4-27,39.99,39.99,39.99,39.99,3
2012-4-28,43,43,41,41,11
2012-5-2,41.79,41.79,37.04,37.04,2
2012-5-3,37.51,37.51,37.51,37.51,2
2012-5-4,39,39,39,39,1
2012-5-5,33.21,49,33.21,49,239
2012-5-8,40,43,40,43,2
2012-5-10,36.56,37.56,36.56,37.56,2
2012-5-12,37.51,37.51,37.51,37.51,1
2012-5-14,33.01,35,31,34.99,394
2012-5-15,31.06,34.29,30,32.29,155
2012-5-16,36.15,36.15,28.5,30,113
2012-5-18,27.5,29.99,27.17,27.6,35
2012-5-21,27.28,27.96,26,27.96,804
2012-5-22,27.96,27.96,27.96,27.96,1
2012-5-23,27,27.49,27,27.49,3
2012-5-24,26,26,26,26,4
2012-5-28,26,35,26,32.5,370
2012-5-29,33.99,38,27.01,28.9,245
2012-5-30,28.9,28.9,28.9,28.9,7
2012-5-31,27.62,28.49,26.01,26.01,77
2012-6-1,26,26.02,24.89,24.89,36
2012-6-4,25,25.01,25,25,21
2012-6-5,25.01,25.01,25.01,25.01,1
2012-6-6,26.79,26.79,25.02,25.02,88
2012-6-7,26.2,26.2,26.2,26.2,3
2012-6-8,25.98,28,25.98,28,93
2012-6-13,25.21,25.21,25.2,25.2,40
2012-6-14,25.21,26,25.21,26,9
2012-6-15,26,26.99,26,26.99,21
2012-6-18,26.99,26.99,26.99,26.99,13
2012-6-20,27,27,27,27,3
2012-6-21,25.11,27,25.06,27,108
2012-6-27,25.1,26.99,25.1,26.7,13
