Date,Open,High,Low,Close,Volume
2012-8-31,45,45,45,45,5
2012-9-3,45,45,45,45,5
2012-12-26,36.3,36.3,36.3,36.3,5
2012-12-28,36.3,36.3,36.3,36.3,10
2013-3-1,35.5,35.5,35.5,35.5,40
2013-3-15,35.85,35.85,35.75,35.75,17
2013-3-19,35.7,35.7,35.7,35.7,15
2013-3-21,36,36,36,36,40
2013-3-25,36.2,36.3,36.2,36.3,10
2013-3-27,36.3,36.3,36,36,15
2013-4-1,35.85,35.85,35.85,35.85,1
2013-4-2,35.85,35.85,35.85,35.85,23
2013-4-3,35.75,35.75,35.75,35.75,30
2013-4-11,35.75,35.75,35.75,35.75,40
2013-4-12,35.75,35.75,35.75,35.75,10
2013-4-16,35.7,35.7,35.7,35.7,40
2013-4-17,35.7,35.7,35.65,35.65,75
2013-4-18,35.65,35.65,35.65,35.65,80
2013-4-19,35.65,35.65,35.6,35.6,95
2013-4-22,35.6,35.6,35.6,35.6,79
2013-4-23,35.6,35.6,35.6,35.6,40
2013-4-25,35.5,35.5,35.5,35.5,40
2013-5-8,34.8,34.8,34.8,34.8,20
2013-5-15,35.6,35.6,35.5,35.5,15
2013-5-16,35.7,35.7,35.7,35.7,25
2013-5-17,35.8,35.8,35.8,35.8,20
2013-5-21,36.8,36.8,36.8,36.8,10
2013-5-22,36.8,36.8,36.8,36.8,34
2013-5-23,36.6,36.6,36.5,36.5,29
2013-5-24,36.8,36.8,36.8,36.8,16
2013-5-28,36.8,36.8,36.8,36.8,37
2013-5-29,36.7,36.7,36.7,36.7,28
2013-5-30,36.9,36.9,36.9,36.9,27
2013-5-31,36.9,36.9,36.9,36.9,22
2013-6-3,36.7,36.7,36.5,36.5,26
2013-6-5,36.5,36.5,36.5,36.5,17
2013-6-7,36.3,36.3,36.25,36.25,23
2013-6-13,36,36,35.95,35.95,29
2013-6-14,36,36,36,36,25
2013-6-18,35.8,35.8,35.8,35.8,17
2013-6-19,35.7,35.7,35.65,35.65,33
2013-6-20,35.5,35.5,35.5,35.5,35
2013-6-21,35.5,35.5,35.5,35.5,40
2013-6-25,35.3,35.3,35.3,35.3,59
2013-6-26,35.32,35.32,35.3,35.3,70
2013-6-27,35.3,35.3,35.29,35.29,40
2013-6-28,34.8,34.8,34.8,34.8,17
2013-7-2,34.85,34.85,34.82,34.82,29
2013-7-3,34.8,34.8,34.8,34.8,25
2013-7-4,34.82,34.82,34.82,34.82,27
2013-7-5,34.8,34.8,34.8,34.8,21
2013-7-9,34.82,34.82,34.82,34.82,20
2013-7-11,34.82,34.82,34.82,34.82,26
2013-7-12,35.05,35.05,35.05,35.05,31
2013-7-15,35.05,35.05,35.05,35.05,30
2013-7-17,35.07,35.07,35.07,35.07,29
2013-7-18,35.19,35.19,35.19,35.19,32
2013-7-22,35.46,35.46,35.41,35.41,23
2013-7-23,35.45,35.45,35.45,35.45,20
2013-7-24,35.45,35.45,35.45,35.45,25
2013-7-26,35.51,35.51,35.51,35.51,40
2013-7-29,35.51,35.51,35.51,35.51,19
2013-7-30,35.62,35.62,35.55,35.55,30
2013-7-31,35.5,35.5,35.46,35.46,30
2013-8-1,35.5,35.5,35.5,35.5,20
2013-8-2,35.62,35.62,35.62,35.62,15
2013-8-6,35.46,35.46,35.42,35.42,21
2013-8-7,35.03,35.03,35.03,35.03,25
2013-8-8,35.22,35.22,35.22,35.22,22
2013-8-9,35.25,35.25,35.25,35.25,20
2013-8-12,35.27,35.27,35.27,35.27,19
2013-8-13,35.29,35.29,35.29,35.29,26
2013-8-14,35.49,35.52,35.49,35.52,25
2013-8-15,35.36,35.36,35.36,35.36,16
2013-8-21,35.22,35.22,35.22,35.22,33
2013-8-22,35.14,35.14,35.14,35.14,29
2013-8-23,34.99,34.99,34.99,34.99,31
2013-8-27,34.8,34.8,34.8,34.8,26
2013-8-28,34.8,34.8,34.8,34.8,35
2013-8-29,34.8,34.87,34.8,34.87,36
2013-8-30,34.89,34.89,34.89,34.89,28
2013-9-3,35.1,35.1,35.1,35.1,19
2013-9-4,34.93,34.93,34.93,34.93,20
2013-9-5,35.45,35.45,35.45,35.45,21
2013-9-9,35.58,35.58,35.58,35.58,24
2013-9-10,35.69,35.69,35.69,35.69,7
2013-9-11,35.64,35.64,35.64,35.64,14
2013-9-12,35.8,35.8,35.8,35.8,10
2013-9-13,35.92,35.96,35.92,35.96,27
2013-9-16,36.04,36.07,36.04,36.07,29
2013-9-17,36.12,36.12,36.12,36.12,25
2013-9-18,36.25,36.25,36.25,36.25,13
2013-9-19,36.63,36.63,36.63,36.63,22
2013-9-20,36.65,36.65,36.65,36.65,21
2013-9-23,36.47,36.47,36.45,36.45,40
2013-9-24,36.55,36.55,36.55,36.55,27
2013-9-25,36.57,36.57,36.57,36.57,20
2013-9-26,36.93,36.93,36.93,36.93,31
2013-9-27,37.38,37.38,37.38,37.38,24
2013-9-30,37.45,37.45,37.41,37.41,41
2013-10-1,37.53,37.53,37.53,37.53,10
2013-10-2,37.59,37.59,37.59,37.59,7
2013-10-3,37.65,37.65,37.65,37.65,5
