Date,Open,High,Low,Close,Volume
2008-8-28,0.8,0.947,0.8,0.85,59
2008-8-29,0.95,0.95,0.85,0.85,9
2008-9-1,0.945,0.945,0.73,0.73,5
2008-9-2,0.9548,0.9552,0.745,0.745,38
2008-9-3,0.78,0.81,0.76,0.8,9
2008-9-4,0.7501,0.7999,0.685,0.7999,31
2008-9-5,0.66,0.66,0.66,0.66,5
2008-9-8,0.725,0.795,0.63,0.7849,2
2008-9-9,0.78,0.812,0.68,0.812,10
2008-9-11,0.64,0.769,0.64,0.769,0
2008-9-12,0.64,0.775,0.64,0.775,1
2008-9-16,0.775,0.775,0.775,0.775,1
2008-9-19,0.79,0.79,0.62,0.79,0
2008-9-22,0.68,0.781,0.66,0.781,0
2008-9-26,0.8,0.8,0.8,0.8,0
2008-9-29,0.67,0.775,0.5235,0.775,9
2008-10-1,0.7749,0.7749,0.7749,0.7749,0
2008-10-2,0.7749,0.7749,0.7749,0.7749,0
2008-10-3,0.7699,0.795,0.5557,0.7749,69
2008-10-7,0.78,0.78,0.78,0.78,0
2008-10-17,0.7199,0.7398,0.5831,0.7398,27
2008-10-20,0.7699,0.7699,0.5787,0.76,0
2008-10-21,0.584,0.729,0.5725,0.5725,1
2008-10-22,0.5725,0.59,0.5,0.5,10
2008-10-23,0.4777,0.5739,0.47,0.5739,20
2008-10-24,0.4641,0.4641,0.4641,0.4641,0
2008-10-28,0.4641,0.4641,0.4641,0.4641,0
2008-10-30,0.5888,0.6,0.4641,0.6,10
2008-10-31,0.5999,0.6,0.4641,0.51,44
2008-11-1,0.4641,0.5105,0.4641,0.5105,0
2008-11-5,0.56,0.56,0.466,0.559,10
2008-11-6,0.4641,0.5659,0.4641,0.5659,9
2008-11-7,0.4641,0.5349,0.4641,0.5349,0
2008-11-10,0.4641,0.53,0.4611,0.4611,28
2008-11-11,0.465,0.465,0.4641,0.4641,4
2008-11-13,0.5105,0.5105,0.4641,0.5,0
2008-11-14,0.4641,0.499,0.4641,0.499,0
2008-11-17,0.4641,0.499,0.4641,0.4641,2
2008-11-18,0.51,0.5749,0.4641,0.51,11
2008-11-19,0.52,0.52,0.4641,0.47,0
2008-11-20,0.4641,0.4641,0.4641,0.4641,1
2008-11-21,0.4641,0.4641,0.4641,0.4641,1
2008-11-24,0.4641,0.4641,0.4641,0.4641,0
2008-11-25,0.4642,0.4642,0.4641,0.4641,1
2008-11-26,0.4641,0.4641,0.4641,0.4641,10
2008-11-28,0.499,0.499,0.4641,0.4641,2
2008-12-1,0.4645,0.4645,0.4645,0.4645,0
2008-12-2,0.4641,0.4641,0.4641,0.4641,0
2008-12-3,0.464,0.464,0.464,0.464,0
2008-12-4,0.4639,0.4639,0.45,0.45,1
