Date,Open,High,Low,Close,Volume
2006-2-8,0.55,0.55,0.55,0.55,87
2006-3-9,0.49,0.49,0.49,0.49,0
2006-3-10,0.3,0.85,0.3,0.85,16
2006-3-13,1,2.5,0.8,2.5,12
2006-3-14,3.5,3.95,2,3,2
2006-3-15,2.5,2.9,1,2.9,16
2006-3-16,3,3,1.33,1.4,30
2006-3-17,1.8,2.5,1.6,2.04,24
2006-3-20,2,2,1.3,1.73,11
2006-3-21,1.75,1.87,1.35,1.5,32
2006-3-22,1.52,1.52,1.31,1.47,2
2006-3-23,1.38,1.38,1.08,1.2,21
2006-3-24,1.18,1.2,0.99,1.05,94
2006-3-27,1.05,1.09,1.05,1.05,13
2006-3-28,1.02,1.29,1,1.12,71
2006-3-29,1.12,1.16,1,1,13
2006-3-30,1,1.22,0.3,0.96,7
2006-3-31,1.02,1.23,1.02,1.16,24
2006-4-3,1.16,1.2,1.05,1.17,50
2006-4-4,1.05,1.2,1.05,1.2,2
2006-4-5,1.14,1.16,1.14,1.16,0
2006-4-6,1.12,1.18,1.05,1.06,3
2006-4-7,1.12,1.12,1.1,1.1,1
2006-4-10,1.07,1.15,1.05,1.15,188
2006-4-11,1.1,1.1,1.04,1.08,11
2006-4-12,1.12,1.12,1.09,1.1,0
2006-4-13,1.12,1.14,1.12,1.14,6
2006-4-14,1.1,1.13,1.03,1.05,91
2006-4-17,1,1,1,1,100
2006-4-20,1,1,0.95,0.951,16
2006-4-21,0.952,0.952,0.95,0.95,8
2006-4-24,0.991,0.999,0.952,0.998,1
2006-4-26,0.982,1,0.925,1,87
2006-4-27,0.851,0.851,0.8,0.8,37
2006-4-28,0.83,0.94,0.8,0.9,15
2006-5-3,0.89,0.89,0.8,0.8,4
2006-5-6,0.702,0.82,0.702,0.82,2
2006-5-11,0.8,0.8,0.8,0.8,0
2006-5-12,0.557,0.876,0.556,0.62,2
2006-5-16,0.899,0.9,0.899,0.9,2
2006-5-17,0.88,0.88,0.855,0.88,1
2006-5-18,0.87,0.87,0.83,0.83,1
2006-5-19,0.83,0.83,0.83,0.83,0
2006-5-23,0.75,0.75,0.563,0.62,8
2006-5-24,0.62,0.62,0.62,0.62,190
2006-5-25,0.65,0.65,0.65,0.65,0
2006-5-26,0.701,0.701,0.701,0.701,0
2006-5-31,0.69,0.69,0.69,0.69,0
2006-6-1,0.641,0.641,0.64,0.64,0
2006-6-6,0.572,0.573,0.57,0.573,1
2006-6-7,0.599,0.6,0.599,0.6,2
2006-6-15,0.611,0.612,0.61,0.611,4
2006-6-16,0.6,0.6,0.6,0.6,0
2006-6-19,0.69,0.69,0.69,0.69,9
2006-6-20,0.6,0.6,0.6,0.6,1
2006-6-21,0.61,0.61,0.61,0.61,0
2006-7-3,0.643,0.643,0.643,0.643,0
2006-7-4,0.5,0.52,0.5,0.5,3
2006-7-5,0.67,0.689,0.67,0.689,3
2006-7-7,0.68,0.68,0.68,0.68,58
2006-7-11,0.68,0.68,0.68,0.68,10
2006-7-14,0.68,0.8,0.68,0.8,30
