Date,Open,High,Low,Close,Volume
2011-10-24,0.6,0.67,0.59,0.645,82
2011-10-25,0.6375,0.65,0.61,0.64,43
2011-10-26,0.62,0.64,0.59,0.59,13
2011-10-27,0.6299,0.7777,0.6299,0.68,627
2011-10-28,0.7,0.7,0.662,0.68,597
2011-10-31,0.6036,0.6899,0.6035,0.6899,5
2011-11-1,0.6899,0.6899,0.6326,0.6326,2
2011-11-2,0.6001,0.6555,0.6001,0.6425,112
2011-11-3,0.64,0.64,0.64,0.64,1
2011-11-7,0.688,0.688,0.67,0.67,4
2011-11-8,0.6744,0.6744,0.6099,0.61,32
2011-11-9,0.63,0.65,0.605,0.605,24
2011-11-10,0.63,0.6398,0.5935,0.5935,10
2011-11-11,0.6199,0.6199,0.6199,0.6199,7
2011-11-14,0.6199,0.6199,0.595,0.595,39
2011-11-15,0.5951,0.5951,0.5655,0.59,36
2011-11-18,0.5611,0.5875,0.56,0.5875,19
2011-11-23,0.6187,0.6398,0.6187,0.6398,17
2011-11-25,0.5661,0.58,0.5661,0.58,9
2011-11-28,0.5999,0.6332,0.5851,0.6332,47
2011-11-29,0.63,0.63,0.615,0.62,31
2011-11-30,0.606,0.606,0.606,0.606,1
2011-12-1,0.62,0.639,0.62,0.62,289
2011-12-2,0.62,0.6203,0.62,0.6202,8
2011-12-5,0.63,0.6359,0.63,0.633,3
2011-12-6,0.6393,0.6393,0.5001,0.6148,279
2011-12-7,0.585,0.585,0.56,0.56,10
2011-12-8,0.6,0.6299,0.6,0.6,44
2011-12-9,0.6095,0.6095,0.559,0.559,254
2011-12-12,0.5594,0.6431,0.5511,0.58,3304
2011-12-13,0.5556,0.608,0.5451,0.6,255
2011-12-14,0.599,0.6425,0.599,0.6425,244
2011-12-15,0.5559,0.59,0.55,0.57,221
2011-12-16,0.58,0.6393,0.545,0.5649,219
2011-12-19,0.5423,0.5423,0.5151,0.5309,295
2011-12-20,0.5299,0.53,0.5299,0.53,4
2011-12-21,0.52,0.52,0.49,0.5,198
2011-12-22,0.4999,0.5,0.4999,0.5,51
2011-12-23,0.5,0.5,0.47,0.4725,67
2011-12-26,0.4795,0.4798,0.4795,0.4798,307
2011-12-27,0.4799,0.492,0.4799,0.492,107
2011-12-28,0.449,0.4785,0.4101,0.44,490
2011-12-29,0.4779,0.4779,0.4505,0.46,181
2011-12-30,0.465,0.4777,0.465,0.4777,340
2012-1-3,0.4521,0.4797,0.4521,0.4796,16
2012-1-4,0.4601,0.4785,0.4601,0.4785,4
2012-1-5,0.4699,0.479,0.4699,0.479,15
2012-1-6,0.4799,0.48,0.4701,0.4701,127
2012-1-9,0.488,0.4995,0.488,0.497,177
2012-1-10,0.4999,0.4999,0.4901,0.4989,96
2012-1-11,0.5,0.5348,0.4996,0.5348,258
2012-1-12,0.55,0.555,0.525,0.525,50
2012-1-13,0.5499,0.5499,0.5,0.502,445
2012-1-16,0.502,0.511,0.502,0.51,146
2012-1-17,0.5184,0.5184,0.5071,0.5071,4
2012-1-18,0.55,0.55,0.5099,0.515,325
2012-1-19,0.5104,0.52,0.5102,0.52,25
2012-1-20,0.52,0.5396,0.52,0.53,110
2012-1-23,0.5494,0.55,0.5127,0.5488,20
2012-1-24,0.5112,0.5301,0.5112,0.53,44
2012-1-25,0.522,0.5499,0.521,0.5499,26
2012-1-26,0.5565,0.56,0.53,0.54,130
2012-1-27,0.5351,0.55,0.5317,0.533,38
2012-1-30,0.5495,0.5495,0.5495,0.5495,21
2012-1-31,0.5411,0.555,0.5411,0.555,35
2012-2-1,0.55,0.55,0.5499,0.55,34
2012-2-2,0.5599,0.56,0.5,0.5498,33
2012-2-3,0.5304,0.5495,0.5302,0.54,40
2012-2-6,0.5498,0.6,0.5498,0.5602,189
2012-2-7,0.5698,0.5834,0.556,0.5633,35
2012-2-8,0.5516,0.5699,0.5516,0.5699,9
2012-2-9,0.579,0.6,0.5783,0.587,104
2012-2-10,0.595,0.61,0.5678,0.5994,128
2012-2-13,0.5998,0.5998,0.51,0.5636,194
2012-2-14,0.5702,0.58,0.5702,0.5707,50
2012-2-16,0.5984,0.5984,0.5729,0.573,45
2012-2-17,0.5731,0.5896,0.573,0.5887,5
2012-2-20,0.5896,0.5897,0.5525,0.5699,31
2012-2-21,0.5534,0.5732,0.5534,0.5732,10
2012-2-22,0.5565,0.5749,0.555,0.5749,13
2012-2-24,0.58,0.58,0.57,0.58,76
2012-2-28,0.57,0.57,0.57,0.57,1
2012-2-29,0.57,0.5701,0.57,0.57,18
2012-3-1,0.5701,0.575,0.57,0.57,57
2012-3-2,0.57,0.574,0.57,0.574,151
2012-3-5,0.58,0.58,0.57,0.57,65
2012-3-6,0.5658,0.5658,0.5657,0.5657,6
2012-3-7,0.5738,0.574,0.5738,0.574,50
2012-3-11,0.58,0.58,0.58,0.58,2
2012-3-12,0.5602,0.58,0.5599,0.56,75
2012-3-13,0.56,0.57,0.56,0.57,10
2012-3-14,0.5752,0.58,0.5752,0.5799,55
2012-3-15,0.591,0.591,0.59,0.59,12
2012-3-16,0.58,0.6,0.58,0.58,62
2012-3-20,0.571,0.571,0.5705,0.5705,33
2012-3-21,0.5789,0.5794,0.56,0.5791,76
2012-3-22,0.57,0.5782,0.57,0.5782,2
2012-3-26,0.5528,0.5787,0.5527,0.556,7
2012-3-27,0.5551,0.576,0.5551,0.571,3
2012-3-28,0.5603,0.5693,0.56,0.5693,17
2012-3-29,0.5697,0.5698,0.5437,0.5697,5
2012-3-30,0.5699,0.57,0.5699,0.57,14
2012-4-2,0.5701,0.5701,0.57,0.57,5
2012-4-3,0.5892,0.5892,0.5656,0.57,169
2012-4-4,0.6299,0.64,0.58,0.6218,1018
2012-4-5,0.6272,0.6373,0.6,0.63,259
2012-4-6,0.6347,0.645,0.633,0.644,86
2012-4-9,0.69,0.69,0.64,0.65,88
2012-4-10,0.65,0.67,0.65,0.67,114
2012-4-11,0.67,0.68,0.66,0.66,32
2012-4-12,0.66,0.6798,0.6511,0.6606,59
2012-4-13,0.6701,0.7,0.6601,0.699,149
2012-4-16,0.6699,0.704,0.6699,0.6721,177
2012-4-17,0.6557,0.66,0.6551,0.66,12
2012-4-18,0.66,0.67,0.66,0.663,50
2012-4-19,0.66,0.6667,0.6501,0.6667,45
2012-4-20,0.6358,0.6577,0.6358,0.65,102
2012-4-23,0.6375,0.6391,0.556,0.58,373
2012-4-24,0.51,0.5574,0.51,0.5574,30
2012-4-25,0.521,0.5577,0.521,0.5562,12
2012-4-26,0.5255,0.5395,0.49,0.5052,218
2012-4-27,0.4901,0.53,0.49,0.53,11
2012-5-2,0.5301,0.5301,0.491,0.491,48
2012-5-3,0.5199,0.525,0.5041,0.5199,89
2012-5-4,0.491,0.52,0.4797,0.486,163
2012-5-5,0.46,0.4896,0.4171,0.4885,50
2012-5-7,0.47,0.49,0.465,0.49,173
2012-5-8,0.49,0.522,0.49,0.522,210
2012-5-10,0.5395,0.5395,0.52,0.52,34
2012-5-11,0.545,0.5501,0.5221,0.5221,83
2012-5-12,0.5389,0.5389,0.5389,0.5389,6
2012-5-14,0.54,0.54,0.4891,0.5,208
2012-5-15,0.5347,0.5347,0.5006,0.519,11
2012-5-16,0.5176,0.5224,0.501,0.501,36
2012-5-17,0.4901,0.5131,0.485,0.5131,24
2012-5-18,0.4801,0.49,0.48,0.49,39
2012-5-21,0.5199,0.5199,0.4901,0.5184,56
2012-5-22,0.5102,0.521,0.5102,0.52,253
2012-5-23,0.4712,0.5151,0.47,0.47,35
2012-5-24,0.4997,0.4997,0.4898,0.4898,63
2012-5-25,0.515,0.515,0.5082,0.5082,51
2012-5-28,0.4739,0.5097,0.4739,0.4846,10
2012-5-29,0.4912,0.5,0.4911,0.5,19
2012-5-30,0.4702,0.4702,0.4702,0.4702,1
2012-5-31,0.4801,0.4805,0.48,0.48,85
2012-6-1,0.48,0.4801,0.48,0.48,6
2012-6-4,0.47,0.4899,0.47,0.4899,34
2012-6-5,0.4999,0.5,0.4999,0.5,8
2012-6-6,0.49,0.49,0.49,0.49,100
2012-6-7,0.49,0.49,0.4751,0.49,12
2012-6-8,0.4701,0.49,0.47,0.49,126
2012-6-9,0.4708,0.49,0.4707,0.49,14
2012-6-13,0.48,0.488,0.48,0.488,280
2012-6-14,0.4729,0.5,0.4726,0.5,111
2012-6-18,0.4999,0.4999,0.48,0.485,11
2012-6-19,0.4999,0.4999,0.4851,0.4851,50
2012-6-20,0.4851,0.4851,0.4851,0.4851,14
2012-6-21,0.48,0.484,0.48,0.48,29
2012-6-22,0.4702,0.4705,0.47,0.47,23
2012-6-26,0.4799,0.48,0.47,0.47,10
2012-6-28,0.4653,0.4899,0.4653,0.485,16
2012-6-29,0.4751,0.4849,0.475,0.4849,14
2012-7-2,0.4849,0.4895,0.47,0.4703,48
2012-7-3,0.484,0.49,0.484,0.49,100
2012-7-4,0.489,0.5,0.489,0.49,151
2012-7-5,0.4952,0.5,0.4952,0.5,20
2012-7-6,0.4891,0.5375,0.4888,0.535,129
2012-7-9,0.5382,0.5565,0.4938,0.5326,106
2012-7-10,0.5126,0.5498,0.5,0.52,203
2012-7-11,0.528,0.5495,0.5,0.51,219
2012-7-12,0.51,0.5479,0.51,0.5346,354
2012-7-13,0.5349,0.565,0.5349,0.565,141
2012-7-16,0.5599,0.5689,0.5256,0.5327,55
2012-7-17,0.5346,0.5914,0.5327,0.5914,104
2012-7-18,0.53,0.5598,0.52,0.53,25
2012-7-19,0.5349,0.535,0.527,0.535,162
2012-7-20,0.53,0.5498,0.52,0.5456,41
2012-7-23,0.5798,0.5798,0.5181,0.5349,9
2012-7-24,0.5231,0.53,0.5201,0.5251,142
2012-7-25,0.53,0.569,0.5202,0.5202,83
2012-7-26,0.5298,0.5397,0.5298,0.5397,27
2012-7-27,0.535,0.535,0.5202,0.535,513
2012-7-30,0.5694,0.5694,0.5404,0.5597,7
2012-7-31,0.5452,0.5596,0.545,0.545,13
2012-8-1,0.524,0.5498,0.5233,0.54,9
2012-8-2,0.5351,0.5351,0.5351,0.5351,1
2012-8-3,0.5398,0.5398,0.5398,0.5398,1
2012-8-6,0.5399,0.54,0.5355,0.54,47
2012-8-7,0.5398,0.54,0.5398,0.54,40
2012-8-8,0.5351,0.5351,0.5252,0.5349,5
2012-8-10,0.53,0.5398,0.5201,0.5201,52
2012-8-13,0.52,0.52,0.515,0.52,13
2012-8-14,0.5118,0.5118,0.4998,0.4999,82
2012-8-15,0.4951,0.4951,0.4803,0.4873,68
2012-8-16,0.4893,0.5049,0.4893,0.5,48
2012-8-17,0.4951,0.5195,0.4901,0.5195,11
2012-8-20,0.5006,0.5006,0.5005,0.5005,7
2012-8-21,0.4999,0.5,0.4965,0.4965,48
2012-8-22,0.4925,0.4974,0.4923,0.4932,57
2012-8-23,0.5049,0.5049,0.4951,0.4951,15
2012-8-24,0.4901,0.4987,0.4901,0.4987,4
2012-8-27,0.4853,0.4991,0.485,0.4899,103
2012-8-28,0.4989,0.4999,0.4907,0.4907,15
2012-8-29,0.4834,0.505,0.4834,0.505,68
2012-8-30,0.4901,0.5049,0.49,0.495,83
2012-9-3,0.491,0.507,0.491,0.507,101
2012-9-4,0.5025,0.51,0.4965,0.4965,107
2012-9-5,0.5001,0.502,0.5,0.502,63
2012-9-6,0.5,0.5083,0.5,0.5083,32
2012-9-7,0.5002,0.5129,0.5002,0.51,4
2012-9-10,0.51,0.5144,0.5,0.5144,14
2012-9-11,0.5008,0.5049,0.5,0.5,40
2012-9-12,0.5049,0.5049,0.49,0.5,325
2012-9-13,0.5,0.5,0.465,0.4899,310
2012-9-14,0.5,0.5089,0.5,0.5001,37
2012-9-17,0.496,0.5,0.495,0.498,102
2012-9-18,0.4999,0.5,0.4953,0.4953,36
2012-9-19,0.495,0.5,0.495,0.495,26
2012-9-20,0.4999,0.4999,0.4871,0.4901,31
2012-9-21,0.4948,0.4949,0.4948,0.4949,2
2012-9-24,0.495,0.495,0.488,0.49,52
2012-9-25,0.49,0.49,0.4852,0.49,248
2012-9-26,0.4946,0.496,0.485,0.485,187
2012-9-27,0.4721,0.4899,0.4721,0.4851,14
2012-9-28,0.4773,0.4797,0.47,0.475,192
2012-10-1,0.4749,0.475,0.4699,0.4701,99
2012-10-2,0.4734,0.4787,0.4734,0.4779,253
2012-10-3,0.4785,0.5,0.4785,0.485,542
2012-10-4,0.4951,0.51,0.4859,0.486,367
2012-10-5,0.4893,0.49,0.4893,0.49,7
2012-10-8,0.4811,0.4811,0.481,0.4811,23
2012-10-9,0.4801,0.4802,0.4801,0.4802,12
2012-10-10,0.4862,0.4862,0.4862,0.4862,2
2012-10-11,0.475,0.4829,0.475,0.4829,5
2012-10-15,0.4751,0.4751,0.4509,0.4581,517
2012-10-16,0.4599,0.4767,0.4599,0.4767,158
2012-10-17,0.4703,0.4792,0.47,0.4792,6
2012-10-18,0.4807,0.4808,0.4751,0.4751,10
2012-10-19,0.4712,0.4787,0.4712,0.4751,5
2012-10-22,0.4749,0.475,0.4589,0.4589,61
2012-10-23,0.4599,0.462,0.4521,0.4536,123
2012-10-24,0.4599,0.5057,0.4599,0.5057,279
2012-10-25,0.505,0.505,0.4797,0.4797,920
2012-10-26,0.4789,0.479,0.46,0.46,194
2012-10-29,0.4697,0.479,0.464,0.464,130
2012-10-30,0.4739,0.4739,0.4739,0.4739,1
2012-10-31,0.4797,0.4797,0.4701,0.4701,12
2012-11-1,0.4707,0.4707,0.4707,0.4707,1
2012-11-2,0.4706,0.4751,0.4706,0.4751,119
2012-11-6,0.4799,0.4799,0.475,0.475,11
2012-11-7,0.4701,0.473,0.4701,0.473,8
2012-11-8,0.48,0.48,0.48,0.48,2
2012-11-9,0.46,0.46,0.46,0.46,7
2012-11-12,0.4619,0.4705,0.4601,0.4601,10
2012-11-13,0.4633,0.4633,0.4504,0.4504,17
2012-11-14,0.46,0.4701,0.4301,0.45,123
2012-11-15,0.445,0.445,0.44,0.4422,44
2012-11-16,0.4434,0.4434,0.4402,0.4402,2
2012-11-19,0.4401,0.45,0.4401,0.45,18
2012-11-20,0.45,0.45,0.45,0.45,2
2012-11-21,0.4411,0.4463,0.425,0.44,401
2012-11-22,0.45,0.45,0.4401,0.4401,6
2012-11-23,0.4434,0.4492,0.4402,0.4492,16
2012-11-26,0.4553,0.4553,0.4392,0.4392,2
2012-11-28,0.4489,0.45,0.4445,0.4445,34
2012-11-30,0.4401,0.4498,0.4401,0.4498,3
2012-12-3,0.4401,0.445,0.4401,0.445,112
2012-12-4,0.4401,0.448,0.4401,0.448,39
2012-12-5,0.449,0.449,0.4485,0.4485,27
2012-12-6,0.45,0.4649,0.45,0.4649,6
2012-12-7,0.4601,0.4649,0.46,0.46,24
2012-12-10,0.4553,0.463,0.4549,0.4601,6
2012-12-11,0.46,0.46,0.455,0.4599,10
2012-12-12,0.4511,0.4598,0.4511,0.4598,2
2012-12-13,0.4516,0.4549,0.4505,0.4549,16
2012-12-14,0.4619,0.4647,0.4599,0.4617,55
2012-12-17,0.45,0.4551,0.45,0.45,6
2012-12-18,0.4549,0.455,0.4549,0.455,12
2012-12-19,0.455,0.455,0.4457,0.4499,108
2012-12-21,0.4265,0.4399,0.4255,0.4389,695
2012-12-24,0.444,0.444,0.425,0.437,67
2012-12-25,0.4301,0.4498,0.4301,0.4355,136
2012-12-26,0.5225,0.5225,0.4282,0.432,327
2012-12-27,0.441,0.443,0.435,0.4355,86
2012-12-28,0.4424,0.4424,0.4423,0.4424,4
2013-1-8,0.443,0.443,0.442,0.442,4
2013-1-9,0.4401,0.4429,0.44,0.4429,13
2013-1-10,0.444,0.4545,0.4402,0.4409,7
2013-1-11,0.4227,0.4546,0.4227,0.45,30
2013-1-14,0.4548,0.4548,0.4499,0.45,5
2013-1-15,0.45,0.451,0.45,0.451,39
2013-1-16,0.45,0.4699,0.45,0.469,138
2013-1-17,0.4677,0.469,0.4677,0.469,11
2013-1-18,0.469,0.469,0.469,0.469,4
