Date,Open,High,Low,Close,Volume
2011-10-21,0.57,0.66,0.57,0.66,30
2011-10-24,0.6,0.64,0.6,0.63,38
2011-10-25,0.6001,0.6001,0.58,0.58,51
2011-10-26,0.57,0.6,0.57,0.6,4
2011-10-27,0.62,0.72,0.61,0.68,526
2011-10-28,0.6799,0.721,0.6799,0.7,1001
2011-10-31,0.6015,0.6998,0.6015,0.6997,43
2011-11-1,0.6303,0.6303,0.6202,0.6202,3
2011-11-2,0.64,0.6898,0.64,0.6898,3
2011-11-3,0.64,0.68,0.64,0.67,34
2011-11-7,0.6334,0.65,0.6031,0.6037,46
2011-11-8,0.62,0.6368,0.6004,0.6368,11
2011-11-9,0.6399,0.6399,0.6099,0.615,136
2011-11-10,0.6002,0.61,0.6002,0.602,16
2011-11-11,0.6149,0.625,0.6149,0.625,29
2011-11-14,0.6246,0.6247,0.591,0.591,23
2011-11-15,0.5903,0.5903,0.5849,0.5849,18
2011-11-16,0.5899,0.5899,0.5899,0.5899,1
2011-11-17,0.59,0.59,0.59,0.59,2
2011-11-18,0.5606,0.5894,0.5605,0.5894,3
2011-11-21,0.5622,0.5876,0.5607,0.5876,3
2011-11-22,0.5997,0.6247,0.5997,0.6247,10
2011-11-23,0.6,0.6245,0.6,0.6245,14
2011-11-24,0.5305,0.5623,0.5301,0.5621,21
2011-11-28,0.5625,0.5625,0.5625,0.5625,1
2011-12-1,0.57,0.6236,0.57,0.58,44
2011-12-2,0.5999,0.6,0.5999,0.6,20
2011-12-5,0.571,0.6,0.57,0.6,31
2011-12-6,0.5746,0.6,0.5407,0.5515,29
2011-12-7,0.55,0.56,0.55,0.56,12
2011-12-8,0.5991,0.5995,0.5989,0.599,11
2011-12-9,0.542,0.579,0.54,0.56,22
2011-12-12,0.5515,0.5515,0.55,0.55,9
2011-12-14,0.552,0.56,0.5515,0.56,7
2011-12-15,0.56,0.56,0.56,0.56,4
2011-12-16,0.59,0.6,0.55,0.55,24
2011-12-19,0.54,0.55,0.517,0.525,28
2011-12-20,0.5201,0.5201,0.52,0.52,3
2011-12-21,0.52,0.52,0.5,0.519,34
2011-12-22,0.5199,0.5199,0.5,0.5001,17
2011-12-23,0.529,0.5291,0.4958,0.4999,19
2011-12-26,0.4999,0.4999,0.4999,0.4999,1
2011-12-27,0.49,0.52,0.48,0.48,25
2011-12-28,0.48,0.48,0.462,0.462,8
2011-12-29,0.4604,0.4604,0.46,0.4601,20
2011-12-30,0.4797,0.49,0.477,0.477,14
2012-1-3,0.4612,0.4612,0.4612,0.4612,3
