Date,Open,High,Low,Close,Volume
2003-12-1,0.678,0.678,0.62,0.639,467
2003-12-2,0.635,0.64,0.635,0.639,1220
2003-12-3,0.639,0.645,0.636,0.645,6751
2003-12-4,0.652,0.654,0.638,0.638,3735
2003-12-5,0.632,0.642,0.63,0.641,7672
2003-12-8,0.641,0.641,0.641,0.641,290
2003-12-9,0.61,0.635,0.602,0.633,2466
2003-12-10,0.625,0.625,0.62,0.62,1649
2003-12-11,0.613,0.615,0.612,0.613,1804
2003-12-15,0.623,0.623,0.608,0.612,1088
2003-12-16,0.617,0.62,0.611,0.611,3695
2003-12-17,0.602,0.622,0.602,0.62,1145
2003-12-18,0.624,0.625,0.611,0.62,3072
2003-12-19,0.624,0.629,0.618,0.626,22365
2003-12-22,0.616,0.645,0.616,0.64,14006
2003-12-23,0.64,0.669,0.64,0.669,13164
2003-12-24,0.65,0.661,0.65,0.66,6635
2003-12-25,0.654,0.658,0.651,0.651,6411
2003-12-26,0.675,0.675,0.639,0.65,1259
2003-12-29,0.69,0.69,0.65,0.669,11851
2003-12-30,0.648,0.677,0.648,0.677,10112
2004-1-5,0.694,0.694,0.663,0.663,601
2004-1-6,0.674,0.699,0.673,0.683,579
2004-1-8,0.695,0.695,0.68,0.68,1521
2004-1-9,0.691,0.695,0.687,0.695,2601
2004-1-12,0.685,0.695,0.681,0.682,4425
2004-1-13,0.694,0.695,0.662,0.683,10165
2004-1-14,0.693,0.729,0.693,0.714,17215
2004-1-15,0.721,0.721,0.695,0.709,2858
2004-1-16,0.701,0.713,0.701,0.707,6717
2004-1-19,0.71,0.716,0.707,0.714,7012
2004-1-20,0.714,0.719,0.71,0.719,15448
2004-1-21,0.719,0.759,0.719,0.759,28178
2004-1-22,0.783,0.783,0.75,0.78,23822
2004-1-23,0.78,0.78,0.76,0.775,9167
2004-1-26,0.78,0.78,0.75,0.75,11736
2004-1-27,0.755,0.77,0.74,0.76,14852
2004-1-28,0.742,0.765,0.74,0.76,1954
2004-1-29,0.76,0.76,0.723,0.749,5097
2004-1-30,0.75,0.75,0.71,0.716,6101
2004-2-2,0.71,0.725,0.705,0.724,2119
2004-2-3,0.705,0.737,0.705,0.732,1797
2004-2-4,0.72,0.747,0.72,0.739,4577
2004-2-5,0.748,0.748,0.723,0.726,3772
2004-2-6,0.74,0.745,0.704,0.744,12582
2004-2-9,0.749,0.751,0.737,0.746,3445
2004-2-10,0.722,0.74,0.72,0.737,11091
2004-2-11,0.74,0.75,0.735,0.75,8171
2004-2-12,0.727,0.761,0.727,0.761,8051
2004-2-13,0.761,0.787,0.741,0.787,24916
2004-2-16,0.79,0.849,0.785,0.834,23786
2004-2-17,0.89,0.89,0.75,0.831,29330
2004-2-18,0.817,0.87,0.817,0.841,45755
2004-2-19,0.821,0.85,0.8,0.815,33230
2004-2-20,0.8,0.825,0.8,0.82,16832
2004-2-24,0.82,0.824,0.785,0.813,14766
2004-2-25,0.798,0.819,0.798,0.818,16150
2004-2-26,0.824,0.828,0.808,0.828,10579
2004-2-27,0.823,0.84,0.815,0.84,11117
2004-3-1,0.846,0.86,0.835,0.849,4485
2004-3-2,0.855,0.855,0.83,0.842,41078
2004-3-3,0.85,0.85,0.77,0.815,4567
2004-3-4,0.83,0.83,0.81,0.816,19918
2004-3-5,0.835,0.838,0.806,0.83,8874
2004-3-9,0.83,0.836,0.823,0.835,3358
2004-3-10,0.838,0.838,0.73,0.805,13470
2004-3-11,0.802,0.802,0.753,0.769,11297
2004-3-12,0.79,0.799,0.74,0.78,9239
2004-3-15,0.78,0.8,0.77,0.798,5569
2004-3-16,0.781,0.798,0.781,0.795,1992
2004-3-17,0.784,0.805,0.742,0.794,15493
2004-3-18,0.795,0.849,0.786,0.81,82334
2004-3-19,0.828,0.832,0.806,0.82,12593
2004-3-22,0.811,0.827,0.806,0.81,15943
2004-3-23,0.801,0.827,0.777,0.817,5186
2004-3-24,0.825,0.826,0.817,0.824,5445
2004-3-25,0.82,0.823,0.801,0.816,11421
2004-3-26,0.816,0.824,0.808,0.815,7425
2004-3-29,0.81,0.855,0.81,0.855,36568
2004-3-30,0.859,0.872,0.853,0.857,35960
2004-3-31,0.864,0.88,0.855,0.872,15325
2004-4-1,0.849,0.88,0.849,0.86,13016
2004-4-2,0.865,0.89,0.865,0.887,26444
