Date,Open,High,Low,Close,Volume
2003-12-1,0.48,0.48,0.45,0.472,9287
2003-12-2,0.474,0.478,0.462,0.478,3174
2003-12-3,0.5,0.5,0.48,0.485,9068
2003-12-4,0.485,0.488,0.47,0.47,11477
2003-12-5,0.479,0.485,0.475,0.475,12045
2003-12-8,0.492,0.492,0.474,0.475,7092
2003-12-9,0.492,0.492,0.47,0.478,7716
2003-12-10,0.479,0.48,0.47,0.479,2581
2003-12-11,0.472,0.476,0.467,0.473,3034
2003-12-15,0.474,0.478,0.464,0.474,8710
2003-12-16,0.475,0.477,0.47,0.47,7013
2003-12-17,0.466,0.474,0.466,0.474,1719
2003-12-18,0.477,0.48,0.475,0.476,11259
2003-12-19,0.478,0.485,0.471,0.485,15528
2003-12-22,0.485,0.49,0.478,0.489,11316
2003-12-23,0.495,0.495,0.473,0.485,12016
2003-12-24,0.495,0.495,0.483,0.485,4951
2003-12-25,0.482,0.484,0.476,0.484,21717
2003-12-26,0.488,0.488,0.477,0.477,22404
2003-12-29,0.507,0.507,0.482,0.482,906
2003-12-30,0.497,0.497,0.471,0.471,11352
2004-1-5,0.489,0.495,0.486,0.495,2650
2004-1-6,0.494,0.51,0.494,0.51,5317
2004-1-8,0.501,0.508,0.49,0.493,56494
2004-1-9,0.5,0.506,0.5,0.5,5522
2004-1-12,0.508,0.508,0.495,0.495,10723
2004-1-13,0.487,0.5,0.487,0.498,3415
2004-1-14,0.499,0.525,0.495,0.525,48681
2004-1-15,0.539,0.539,0.513,0.516,27986
2004-1-16,0.52,0.527,0.518,0.527,33620
2004-1-19,0.533,0.533,0.523,0.528,12320
2004-1-20,0.528,0.557,0.528,0.545,44373
2004-1-21,0.555,0.577,0.55,0.577,62218
2004-1-22,0.594,0.599,0.585,0.589,37726
2004-1-23,0.612,0.612,0.582,0.589,16719
2004-1-26,0.59,0.594,0.567,0.57,15574
2004-1-27,0.575,0.579,0.534,0.562,20453
2004-1-28,0.57,0.576,0.545,0.55,7669
2004-1-29,0.55,0.55,0.543,0.55,15717
2004-1-30,0.542,0.549,0.52,0.532,15731
2004-2-2,0.533,0.533,0.525,0.533,1423
2004-2-3,0.535,0.54,0.53,0.537,36786
2004-2-4,0.545,0.55,0.533,0.535,47375
2004-2-5,0.54,0.542,0.53,0.536,36591
2004-2-6,0.537,0.542,0.526,0.542,37788
2004-2-9,0.554,0.558,0.546,0.553,65876
2004-2-10,0.553,0.559,0.536,0.545,20193
2004-2-11,0.545,0.55,0.538,0.547,20580
2004-2-12,0.547,0.561,0.547,0.56,55030
2004-2-13,0.56,0.576,0.555,0.574,148018
2004-2-16,0.575,0.627,0.575,0.615,160576
2004-2-17,0.62,0.639,0.615,0.635,141682
2004-2-18,0.649,0.651,0.607,0.635,138998
2004-2-19,0.615,0.641,0.6,0.612,54745
2004-2-20,0.611,0.617,0.609,0.616,41647
2004-2-24,0.618,0.62,0.592,0.599,46202
2004-2-25,0.647,0.647,0.592,0.61,26589
2004-2-26,0.61,0.618,0.6,0.618,42353
2004-2-27,0.62,0.622,0.606,0.622,42192
