Date,Open,High,Low,Close,Volume
2006-6-13,40.495,41,39.7,39.7801,3993400
2006-6-14,39.79755,40.89698,38,40.61134,5262000
2006-6-15,41.2945,42.495,41.09001,42.396,4184300
2006-6-16,43.4995,44.2,40.70102,41.39182,5464900
2006-6-19,40.75,42.79,40.75,42.199,2038200
2006-6-20,41.722,44.46,41.301,44.01632,2637100
2006-6-21,44.37,44.8,42.49,43.74999,3389600
2006-6-22,44.8925,44.9,42,42.76657,2528000
2006-6-23,42.99999,43.978,42.606,43.66401,1357500
2006-6-26,44.0055,44.488,42.7,43.303,1027700
2006-6-27,43.82,45.22,43.01605,44.52508,3565700
2006-6-28,44,46.15,43.72202,45.5,3731200
2006-6-29,45.578,45.975,44.60101,44.9,5425000
2006-6-30,46.005,46.745,45.6051,45.95,3055500
2006-7-3,46.825,46.825,45.83,46.10444,2149900
2006-7-4,45.83574,48.99,45.35,48.31456,2824800
2006-7-5,48.92,49.5,46.203,46.598,7043000
2006-7-6,46.8,48.288,46.40002,48.008,4549800
2006-7-7,48.0195,50.95,47.9,50.55226,6678100
2006-7-10,50.5995,52.65,50.1,52.1,3778800
2006-7-11,52.1,52.395,50.70212,50.8,2696600
2006-7-12,51,51.88,49.71305,49.83739,3344300
2006-7-13,49.6205,49.85,46.5022,46.81839,3782900
2006-7-14,46.3015,47.499,45.423,46.83485,3661800
2006-7-17,46.80055,47.045,45.204,45.24869,1628900
2006-7-18,45.10055,45.2,43.557,45.08999,3564100
2006-7-19,45.045,46.95,44.53,46.55,1819700
2006-7-20,52,52,46.3,46.4,1772500
2006-8-4,51.2,52.225,50.502,51.45,3269400
2006-8-7,51.2285,51.3,50.1,51.00102,1140100
2006-8-8,51.4775,51.489,50.65,50.88537,930100
2006-8-9,51.01202,52.194,50.81,51.92576,3010700
2006-8-10,51.5575,52.199,51.3,51.94286,1303300
2006-8-11,52.05,53.5,52,52.95,2580400
2006-8-14,52.975,54.49,52.85,53.6,3104800
2006-8-15,53.76381,53.76381,52.311,53.7,1794200
