Date,Open,High,Low,Close,Volume
2006-6-13,31.2195,31.5005,29.55,29.757,232916
2006-6-14,29.675,31.2295,29.5,31.044,153999
2006-6-15,32.022,32.245,31.32,32.089,106276
2006-6-16,32.75,33.75,30.575,31.5725,186310
2006-6-19,31.745,33.28,31.2505,32.3015,81146
2006-6-20,31.75,36.4,31.5115,35.9995,302860
2006-6-21,35.9975,37.0245,33.9055,36.2035,237803
2006-6-22,37.5,37.75,35.18,35.571,193104
2006-6-23,34.925,37.5,34.5525,37.1525,176057
2006-6-26,36.97,37.5,36.0645,36.326,97930
2006-6-27,36.5875,37.361,35.35,36.7945,234524
2006-6-28,36.3,37.2,35.8275,36.6835,105790
2006-6-29,37,37.125,36.3205,36.9925,145329
2006-6-30,37.9305,37.9305,36.561,36.798,157414
2006-7-3,37.2475,37.7855,36.8,37.2375,73171
2006-7-4,36.875,38.85,36.875,38.5515,158526
2006-7-5,38.7475,38.8995,36.5,36.628,262086
2006-7-6,36.979,37.75,36.5,37.6665,139887
2006-7-7,37.7505,39.8,37.425,39.591,369259
2006-7-10,39.05,40.5,38.91,40.075,304827
2006-7-11,40,40.24,38.471,39.004,163397
2006-7-12,39.425,39.606,38.4555,38.5375,112545
2006-7-13,38.45,38.574,36.105,37.155,197611
2006-7-14,36.263,37.8715,35.75,37.014,126997
2006-7-17,37.5225,37.5225,35.8015,36.13,72408
2006-7-18,35.553,35.95,33.61,35.036,259371
2006-7-19,35,35.3995,34.75,35.3295,78634
2006-7-20,43.75,43.75,34.715,35.2605,112871
2006-8-4,38.875,39.55,38.55,38.9375,185273
2006-8-7,39,39,38.25,38.5685,54872
2006-8-8,38.8445,39,38.15,38.5,43902
2006-8-9,38.9,40.4485,38.65,40.169,302285
2006-8-10,39.874,40.4425,39.5515,40.273,97439
2006-8-11,40.5,41.25,40.4,40.8955,147683
2006-8-14,40.9975,42.15,40.9005,41.409,156523
2006-8-15,41.361,41.361,40.276,41.1865,137444
2006-8-16,41.768,42,41.085,41.9,136191
2006-8-17,42,42.4995,41.5,42.182,184063
2006-8-18,41.933,42.24,40,40.615,479068
2006-8-21,40.75,41.35,40.6505,41.059,104200
2006-8-22,41.4,41.75,41.1505,41.5655,81372
2006-8-23,41.553,41.7815,41.217,41.602,71164
2006-8-24,41.4975,41.4995,40.695,40.7705,125825
2006-8-25,40.9995,41.3,40.875,41.136,39745
2006-8-28,41,41.45,41,41.1675,21422
2006-8-29,41.2495,43.5,41.2495,42.901,347813
2006-8-30,43.05,43.5,42.5005,42.813,137858
2006-8-31,43,43.2,42.25,42.346,71450
2006-9-1,42.5,42.675,41.1,41.21,85604
2006-9-4,42,42.5005,41.556,42.3535,79333
2006-9-5,42.5975,43.55,42.222,43.4135,171475
2006-9-6,43.349,43.4485,42.3,42.8035,132825
2006-9-7,42.5,42.6,41.164,41.4235,104556
2006-9-8,41.55,42.035,41.5,41.61,56208
2006-9-11,41.4,41.4,39.6165,39.8775,122593
2006-9-12,40.25,40.88,40.1,40.76,71620
2006-9-13,40.87,41.721,40.2505,41.05,96584
2006-9-14,41.544,42.95,41.3,41.6305,121703
2006-9-15,41.625,42.05,41.0925,41.7245,24908
2006-9-18,43.075,43.075,41.309,42.15,27092
2006-9-19,42.175,42.5,42.06,42.4685,28823
2006-9-20,42,42.4995,41.8,42.1855,73863
2006-9-21,42.375,42.375,41.055,41.5135,64428
2006-9-22,41.8,41.9445,40.2495,40.3495,83139
2006-9-25,40.3005,40.549,39.0005,39.473,82764
2006-9-26,40,40.625,39.4,40.3955,86790
2006-9-27,41.1575,41.4995,40.6,40.961,64495
2006-9-28,41.75,42.4895,41.56,41.9495,125873
2006-9-29,42.1,42.4885,41.605,41.9375,100807
2006-10-2,42,42.935,41.904,42.2335,114238
2006-10-3,42,42,41.0635,41.336,67756
2006-10-4,40.9975,41.82,40.75,41.6505,73908
2006-10-5,42.25,43.195,42,42.761,231679
2006-10-6,42.496,42.8595,42.251,42.537,60441
2006-10-9,42.7,43.1975,42.2,43.0855,57157
2006-10-10,42.9375,43.7,42.538,43.3945,223440
2006-10-11,43.525,43.525,42.75,43.1865,69743
2006-10-12,42.8,45.288,42.7605,45.1115,412538
2006-10-13,45.5,47.1915,45.2505,46.9885,353929
2006-10-16,47.5005,47.735,45.825,46.55,294641
2006-10-17,47.25,47.4995,45.375,45.729,172501
2006-10-18,45.745,46.75,45.6055,46.3465,100583
2006-10-19,46.1,46.56,45.9005,46.5,73963
2006-10-20,46.73,48.248,46.25,47.85,332427
2006-10-23,47.95,50.895,47.85,50.558,608600
2006-10-24,51.1,51.375,48.5,49.39,580852
2006-10-25,49.736,50.235,48.7505,49.948,248510
2006-10-26,50.1,50.35,49.0505,49.446,184079
2006-10-27,49.65,50.25,49.06,49.889,153588
2006-10-30,50.0245,50.0245,48.112,48.4485,136020
2006-10-31,48.5,49.6935,48.45,49.481,158560
2006-11-1,49.6,51.0965,49.35,50.61,308727
2006-11-2,49.95,50.92,49.9005,50.025,165853
2006-11-3,49.9925,50.825,49.9005,50.552,130118
2006-11-7,51.1,51.95,50.9,51.786,168393
2006-11-8,51.75,52.55,51.35,52.394,203495
2006-11-9,52.725,54.1,52.503,53.7285,355661
2006-11-10,53.9,54.9505,53.2505,54.8105,302463
2006-11-13,55,56.9875,54.552,56.8045,483213
2006-11-14,57,57.9245,55.55,56.21,513612
2006-11-15,56.725,56.995,55.9825,56.4075,183252
2006-11-16,56.641,58.754,56.306,58.3015,343354
2006-11-17,57.9,59.75,57.5,58.831,547457
2006-11-20,58.95,59.18,57.6,57.867,186641
2006-11-21,58.3325,58.84,58.1175,58.495,117519
2006-11-22,58.75,58.85,57.9505,58.113,86410
2006-11-23,58.3745,58.555,57.825,57.94,89899
2006-11-24,58.1675,58.1675,57.1555,57.6595,89929
2006-11-27,58.05,58.5,57.48,57.9595,135406
2006-11-28,57.75,58.1385,56.255,56.65,183802
2006-11-29,57,57.9485,56.7955,57.67,185211
2006-11-30,57.81,58,56.275,56.9805,162722
2006-12-1,57.075,57.35,56.76,56.973,64584
2006-12-4,57.0375,57.3,56.4045,56.803,87748
2006-12-5,56.9,56.9,55.7,55.768,221219
2006-12-6,55.9365,58.7,55.311,58.4045,610206
2006-12-7,58.975,59.69,57.6655,59.0695,756476
2006-12-8,59,59.4,58.3535,59.107,330097
2006-12-11,59.425,62.185,58.95,60.648,932812
2006-12-12,61.0635,61.83,60.4045,61,266502
2006-12-13,61.1,62.8,60.1015,62.518,522508
