Date,Open,High,Low,Close,Volume
2011-9-30,16.17,16.17,16.17,16.17,40000
2011-10-3,16.2,16.2,16.2,16.2,40000
2011-10-18,16.39,16.39,16.39,16.39,6100
2011-10-21,18.845,18.845,17.745,18,8
2011-10-24,18,25.081,17.77,17.77,91
2011-10-25,15.5,25.346,15.5,18.505,1226
2011-10-26,20.799,23.994,16.15,20.898,745
2011-10-27,21.499,26,18.8,19.3,648
2011-10-28,19.99,20,18.181,18.376,133
2011-10-31,18.999,19.995,17.3,17.3,1646
2011-11-1,17.002,17.957,16.501,16.983,72
2011-11-2,21.298,21.298,15.51,15.85,62
2011-11-3,16,17.394,15,16,46
2011-11-7,19.5,19.5,15.75,16,25
2011-11-8,16,16.999,14.999,15.05,169
2011-11-9,15,15.2,14.21,14.5,40
2011-11-10,14.5,15.19,13.1,14.9,139
2011-11-11,13.545,15,13.545,15,47
2011-11-14,15,15.7,14.001,14.001,32
2011-11-15,13.727,14.7,13.63,13.63,12
2011-11-16,13.997,14.94,13.997,14.3,14
2011-11-17,15,15,15,15,1
2011-11-18,14.999,14.999,13.43,14.89,25
2011-11-21,13.462,14.7,13.462,14.7,3
2011-11-22,13.478,15,12,13.998,335
2011-11-23,13,15,12.998,14,1276
2011-11-24,14.448,16.45,13.4,14.5,6549
2011-11-25,13.556,16.48,13.501,14.301,6449
2011-11-28,13.801,16.435,13.801,15,6498
2011-11-29,15.986,16.46,15.54,16.28,9760
2011-11-30,16.43,16.43,14.801,15.4,3327
2011-12-1,15.499,15.5,13.999,14.749,313
2011-12-2,15.348,15.348,12.832,13.683,311
2011-12-5,12.778,13.945,12.131,13.199,58
2011-12-6,12.6,13.31,12.59,13.31,5
2011-12-7,13.929,13.929,12.56,13.411,24
2011-12-8,12.277,13.403,12,12.499,147
2011-12-9,11.5,11.5,9.3,9.496,5276
2011-12-12,9.979,9.979,8.888,9.545,753
2011-12-13,9.47,11.499,9.15,11.44,4650
2011-12-14,11.5,12.501,10.3,11,850
2011-12-15,10.128,10.5,10,10.292,2205
2011-12-16,10.699,10.699,9.5,9.75,914
2011-12-19,10.175,12.67,9.411,12.65,2918
2011-12-20,11.103,15,10.55,14.9,1453
2011-12-21,12.9,14.43,12.5,14.299,264
2011-12-22,13.4,14.5,13.13,13.301,164
2011-12-23,13.999,14.98,11.996,12.261,947
2011-12-26,13.699,13.99,12.401,13.01,56
2011-12-27,13.01,14.2,13.01,14.2,715
2011-12-28,14,14,13.85,14,334
2011-12-29,14.249,14.99,12.011,12.201,8068
2011-12-30,11.333,11.333,10.209,10.256,2231
2012-1-3,10.75,11.039,10.302,10.499,190
2012-1-4,10.351,10.642,10.317,10.59,255
2012-1-5,10.319,10.479,9.85,10.477,50
2012-1-6,10.83,10.977,10.25,10.554,74
2012-1-9,10.12,10.3,10.12,10.3,49
2012-1-10,10.013,10.698,10.013,10.552,16
2012-1-11,10.846,10.846,9.504,9.676,71
2012-1-12,9.701,10.99,9.5,10,210
2012-1-13,9.854,11,9.853,11,174
2012-1-16,10.331,10.948,9.67,10.823,255
2012-1-17,10.699,10.699,10.15,10.3,145
2012-1-18,10.499,10.9,10.414,10.889,148
2012-1-19,11.249,11.249,10.432,10.8,51
2012-1-20,10.67,10.995,10.458,10.458,9
2012-1-23,10.875,10.875,10,10.35,32
2012-1-24,10.006,10.58,10.006,10.498,41
2012-1-25,10.497,10.497,10.05,10.05,45
2012-1-26,10.25,10.495,10,10.059,189
2012-1-27,10.005,10.005,9.67,9.901,62
2012-1-30,9.902,9.999,9.557,9.85,71
2012-1-31,9.98,9.999,9.9,9.947,90
2012-2-1,10.379,11.948,10.373,10.7,491
2012-2-2,10.323,11.293,10.323,10.5,152
2012-2-3,11.499,11.5,10.626,10.99,81
2012-2-6,10.323,13.5,10.323,11.483,529
2012-2-7,11.996,11.996,10.744,10.934,113
2012-2-8,10.766,11.411,10.049,11.2,500
2012-2-9,11.362,11.887,10.316,11.497,221
2012-2-10,10.331,11.461,10.33,11,69
2012-2-14,10.999,11.5,10.801,10.801,58
2012-2-17,10.997,11.4,10.997,11.4,61
2012-2-20,11.975,13.198,11.005,11.199,504
2012-2-21,11.015,11.015,11.014,11.014,9
2012-2-22,11.299,13,8.9,11.001,339
2012-2-24,11.39,12,11.203,12,208
2012-2-27,11.001,11.799,11,11.205,61
2012-2-28,11.31,11.31,10.56,10.85,215
2012-2-29,10.49,10.85,10.342,10.75,99
2012-3-1,10.9,10.9,10.9,10.9,1
2012-3-2,10.28,11.001,10.28,10.9,33
2012-3-5,11,11.009,11,11,30
2012-3-6,11,11.854,11,11.205,18
2012-3-7,11.001,11.248,11,11.248,12
2012-3-11,10.5,11.328,9.8,11.328,97
2012-3-12,11.001,14.5,11,11.664,468
2012-3-13,11.502,12.465,11.225,12.15,120
2012-3-14,12.301,12.301,12.001,12.059,21
2012-3-15,12,12,11.745,11.745,240
2012-3-16,11.87,11.927,11.87,11.927,10
2012-3-19,11.209,11.209,11.209,11.209,2
2012-3-20,11.204,11.5,11.204,11.5,6
2012-3-21,11.511,11.511,10.166,10.9,60
2012-3-22,10.403,10.403,10.403,10.403,1
2012-3-23,10.599,11.095,10.599,11.095,25
2012-3-26,11.142,11.183,10.848,10.848,9
2012-3-27,11.294,11.911,10.893,10.893,35
2012-3-28,11.39,13.9,11.228,11.23,1856
2012-3-29,11.501,11.794,10.97,11,394
2012-3-30,11.686,11.951,10.9,11.397,102
2012-4-2,11.361,11.361,10.59,11,269
2012-4-4,11.001,11.411,10.997,10.998,40
2012-4-5,11.001,11.001,11,11,209
2012-4-6,11.001,11.001,11.001,11.001,3
2012-4-9,11,11,10.545,11,33
2012-4-10,11.3,11.3,11.3,11.3,3
2012-4-11,11.32,11.32,11.32,11.32,1
2012-4-12,11,11,10.401,10.401,34
2012-4-13,10.799,10.799,10.799,10.799,9
2012-4-16,10.603,11.3,10.603,11.3,3
2012-4-17,11.3,11.3,10.51,10.51,235
2012-4-18,10.307,10.991,10.301,10.991,266
2012-4-19,10.9,10.9,10.9,10.9,2
2012-4-23,10.501,10.501,10.5,10.501,17
2012-4-24,10.55,11,9.999,10.1,91
2012-4-26,10.488,10.488,10.488,10.488,1
2012-4-28,10.85,10.85,10.551,10.551,11
2012-5-2,10.999,11.197,10.799,10.801,49
2012-5-3,10.998,11,10.499,10.998,55
2012-5-4,10.998,10.998,10,10,3
2012-5-5,10.501,10.857,10.501,10.857,13
2012-5-10,10.65,10.65,10.438,10.438,3
2012-5-11,10.1,10.1,10.1,10.1,5
2012-5-14,10.74,10.74,10.74,10.74,46
2012-5-15,10.65,10.65,10.65,10.65,15
2012-5-16,10.647,10.648,10.647,10.648,5
2012-5-17,10.9,10.9,10.85,10.851,54
2012-5-18,10.843,10.844,10.6,10.6,56
2012-5-21,10.751,11,10.751,11,15
2012-5-22,11.399,13.349,10.001,11.799,3768
2012-5-23,13.75,13.75,10.326,11.948,10
2012-5-24,11.999,11.999,10.81,11.45,24
2012-5-25,12.869,12.869,11.5,11.501,13
2012-5-28,12.299,12.299,11.7,12,78
2012-5-29,12,12,11.75,12,16
2012-5-30,13.75,13.75,12,12,117
2012-5-31,12,12,12,12,1
2012-6-1,11.999,11.999,10.608,11.85,44
2012-6-4,10.384,11.848,10.377,10.781,44
2012-6-5,11.999,12,11.711,11.711,49
2012-6-6,12,12,11.8,11.8,23
2012-6-13,12,12.799,12,12,1285
2012-6-14,11.001,11.2,11,11.2,11
2012-6-18,10.623,10.623,10.611,10.611,11
2012-6-20,10.627,10.627,10.627,10.627,16
2012-6-21,10.777,10.777,10.777,10.777,1
2012-6-25,10.35,11.45,10.299,11.45,138
2012-6-26,11.5,11.5,11.5,11.5,10
2012-6-27,11.998,11.998,11.998,11.998,1
2012-6-29,11.07,11.07,11,11,500
2012-7-2,11.443,11.444,11.442,11.443,199
2012-7-3,10.663,11.134,10.625,11.134,45
2012-7-5,10.78,10.78,10.78,10.78,2
2012-7-9,10.773,10.773,10.773,10.773,1
2012-7-12,11.772,11.772,11.772,11.772,1
2012-7-13,11.754,11.8,11.301,11.301,135
2012-7-17,11,11,11,11,8
2012-7-20,11,11,11,11,27
2012-7-30,11,11,11,11,1
2012-8-1,10.56,10.56,10.12,10.12,271500
2012-8-6,10.5,10.5,10.5,10.5,129
2012-8-7,10.5,10.5,10.5,10.5,3
2012-8-8,10.5,10.5,10.5,10.5,3
2012-8-10,10.5,10.5,10.5,10.5,1
2012-8-13,10.5,10.5,10.5,10.5,2
2012-8-15,10.499,10.499,10.499,10.499,1
2012-8-16,10.499,10.5,10.499,10.499,31
2012-8-21,9.802,9.802,9.802,9.802,9
2012-8-22,10.011,10.307,10.011,10.307,28
2012-8-23,10.2,10.2,10.094,10.094,3
2012-8-30,10,10,10,10,66
