Date,Open,High,Low,Close,Volume
2012-5-22,26.47,26.47,26.47,26.47,200
2012-5-31,26.6,26.6,26.6,26.6,5883
2012-6-26,26.47,26.6,26.47,26.6,2
2012-6-27,28.3,29,28.3,29,2
2012-6-28,27.8,28.7,26.4,26.4,4
2012-6-29,26.4,26.65,26.4,26.55,21960
2012-7-2,26.4,26.6,26.4,26.6,2
2012-7-3,26.48,26.48,26.48,26.48,5
2012-7-4,29,29,29,29,2
2012-7-12,26.5,28.5,26.5,28.5,2
2012-7-19,26.5,26.5,26.5,26.5,5
2012-7-26,23,23,22,22,609
2012-7-27,25,25,25,25,1
2012-7-30,26.61,26.61,26.61,26.61,50000
2012-8-1,26.47,26.47,26.47,26.47,173855
2012-8-3,26.5,26.5,26.5,26.5,3774
2012-8-9,24,24,24,24,10
2012-8-10,26.7,26.8,26.7,26.8,2
2012-8-23,25,25,25,25,10
2012-8-29,25,25,25,25,1
2012-8-30,26.5,26.5,25,25,11
2012-8-31,26.5,26.5,25,25,18706
2012-9-10,26.55,26.55,26.55,26.55,22759
2012-9-14,26.52,26.52,26.52,26.52,2000
2012-9-17,26.5,26.6,26.5,26.6,50001
2012-9-18,25.08,25.08,25.08,25.08,1
2012-9-20,25,25,24.8,24.8,110
2012-9-26,26.47,26.65,26.47,26.65,17
2012-9-28,26.5,26.7,26.5,26.7,66256
2012-10-1,26.6,26.6,26.6,26.6,190000
2012-10-3,26.62,26.62,26,26.42,91280
2012-10-4,25.8,25.8,25.8,25.8,3061
2012-10-9,26.5,26.5,26.5,26.5,1
2012-10-11,25.8,25.8,25.8,25.8,1
2012-10-12,26.8,26.8,26.8,26.8,11000
2012-10-16,27.2,27.2,27.2,27.2,188
2012-10-26,27.2,27.2,27.2,27.2,1
2012-10-30,27.2,27.21,27.2,27.21,50949
2012-11-2,27.2,27.2,27.2,27.2,1
2012-11-8,27.2,27.2,27.2,27.2,1
2012-11-9,27.2,27.2,27.2,27.2,1
2012-11-12,27.5,27.5,27.5,27.5,1
2012-11-13,27.25,27.25,27.25,27.25,1
2012-11-19,27.22,27.22,27.22,27.22,3061
2012-11-20,27.22,27.25,27.22,27.25,220002
2012-11-28,27.2,27.2,27.2,27.2,22059
2012-11-30,26.98,27.25,26.98,27.25,15825
2012-12-3,26.98,27.26,26.98,27.26,11814
2012-12-4,26.98,26.98,26.98,26.98,7412
2012-12-5,27.26,27.26,27.26,27.26,7412
2012-12-7,27.2,27.2,27.2,27.2,19715
2012-12-13,27,27.2,27,27.2,294198
2012-12-24,22.75,22.75,19.34,19.34,2
2012-12-25,14.86,23,14.86,23,2232
2012-12-26,27.14,27.14,27.14,27.14,10245
2012-12-27,27.145,27.145,27.145,27.145,10245
2012-12-28,27.25,27.25,27.25,27.25,186
2013-1-10,25,25,25,25,10
2013-1-11,23.05,23.05,23,23,15
2013-1-14,22.8,22.8,22.8,22.8,1
2013-1-15,25.2,25.2,25.2,25.2,10
2013-1-16,27.26,27.26,24.01,27.26,14
2013-1-17,27.26,27.26,27.26,27.26,9
2013-1-18,24.1,24.1,24.1,24.1,5
2013-1-23,27.2,27.26,27.2,27.2,18391
2013-1-24,27.25,27.26,27.25,27.26,43207
2013-1-28,27.27,27.3,27.27,27.3,61994
2013-2-1,27.2,27.2,27.2,27.2,25000
2013-2-5,27.25,27.25,27.25,27.25,18349
2013-2-8,27.2,27.3,27.2,27.3,14547
2013-2-20,27,27,27,27,1000
2013-2-22,27.27,27.27,27.27,27.27,36670
2013-2-25,27.27,28,27.27,28,22369
2013-2-26,27.3,27.32,27.3,27.32,59230
2013-3-13,24.4,24.4,24.4,24.4,17000
2013-3-15,27,27,27,27,16000
2013-3-18,27.3,27.3,27.3,27.3,72200
2013-3-21,24.5,27.67,24.5,27.67,40329
2013-3-22,27.67,27.67,27.67,27.67,4245
2013-3-29,27.78,27.78,27.78,27.78,26000
2013-4-2,27.7,27.78,27.65,27.65,70228
2013-4-8,27,27,27,27,1000
2013-4-9,27.8,27.8,27.8,27.8,580
2013-4-10,27.82,27.82,27.8,27.8,2280
2013-4-11,27.82,27.82,27.82,27.82,1700
2013-4-15,27.8,27.8,27.8,27.8,1965
2013-4-16,27.82,27.82,27.8,27.8,3930
2013-4-17,27.82,27.82,27.819,27.82,1967
2013-4-22,27.898,27.901,27.898,27.901,1965
2013-4-23,27.914,27.915,27.914,27.915,1965
2013-4-30,27.92,27.92,27.92,27.92,25000
2013-5-6,27.85,27.9,27.85,27.9,28870
2013-5-14,28.72,28.72,28.72,28.72,345056
2013-5-15,26.39,26.39,26.39,26.39,80030
2013-5-16,26.401,27,26.39,26.4,293522
2013-5-28,26.47,26.47,26.47,26.47,1100
2013-6-24,20.2,26.4,20.2,26.4,8
2013-6-27,26.2,26.2,26.2,26.2,5
2013-6-28,26.5,27,26.5,26.95,327
2013-7-2,27,27,22,26.995,5
2013-7-3,22.993,24.995,19.008,24.995,7
2013-7-4,26,26,26,26,1
2013-7-5,25.991,25.991,25.991,25.991,1
2013-7-8,26,26,26,26,1
2013-7-9,26,26,26,26,1
2013-7-10,25.999,25.999,25.999,25.999,1
2013-7-29,26,26,25.33,25.33,101
2013-7-30,26,26,25.33,25.33,200
2013-7-31,26,26,26,26,1
2013-8-5,26,26,26,26,1
2013-8-9,25.33,25.33,25.33,25.33,15206
2013-8-12,25.249,25.3,25.249,25.3,17
2013-8-13,26.47,26.47,26.47,26.47,3928
2013-8-14,26.93,26.93,26.47,26.47,11956
2013-8-21,26.57,26.57,26.47,26.47,10071
2013-8-27,26.7,26.7,26.7,26.7,120495
2013-9-4,26.41,26.41,26.41,26.41,1
2013-9-18,26.47,26.47,26.47,26.47,35
2013-9-30,27.5,27.5,27.5,27.5,220
2013-10-4,26.83,26.83,26.83,26.83,400
2013-10-9,25.5,25.5,25.5,25.5,600
2013-10-11,24,24,24,24,800
2013-10-21,27.55,27.55,24.55,24.55,1165
2013-10-24,24.8,24.9,24.8,24.9,2
2013-10-25,25.5,27.57,25.5,27.57,29646
2013-10-29,27.19,27.365,27.19,27.365,30807
2013-11-5,27.6,27.6,27.6,27.6,370
2013-11-29,27.6,27.6,27.6,27.6,230
2013-12-3,27.6,27.6,27.6,27.6,960
2013-12-11,27.5,27.5,27.5,27.5,10
2013-12-17,27.7,27.7,27.7,27.7,55
2013-12-18,27,27,27,27,1
2013-12-19,27,27.92,27,27.92,10970
2013-12-20,27.72,27.72,27.72,27.72,21110
2013-12-23,25,25,25,25,1
2013-12-24,22,26.4,17.7,26.4,17118
2013-12-25,27.5,27.8,27.5,27.8,103
2013-12-26,20.001,27.8,20.001,27.8,964
2013-12-30,28,28,28,28,500
2014-1-14,22.1,26.986,22.1,26.986,12007
2014-1-15,25.49,26.75,25.49,26.75,24
2014-1-17,26.5,26.5,26.5,26.5,12
2014-1-22,26,26,26,26,1
2014-1-28,26.876,26.876,26,26,130
2014-1-29,26.5,26.5,26.5,26.5,191
2014-1-30,27.5,28.01,27.45,28.01,198
2014-1-31,28.01,28.01,28.01,28.01,300
2014-2-27,27,28,27,28,201
2014-3-11,28,28,28,28,22500
2014-3-14,28,28,28,28,14
2014-3-21,28.1,28.1,28.1,28.1,3
2014-3-25,28.15,28.15,28.15,28.15,20
2014-3-31,28.41,29,28.41,28.41,177
2014-4-2,28.48,28.48,28.48,28.48,705
2014-4-16,28.48,28.55,28.48,28.55,9
2014-4-17,28.45,28.9,28.45,28.9,91
2014-4-28,29,29,29,29,10
2014-4-30,28.5,28.5,28.5,28.5,5
2014-5-13,29,29,29,29,2
2014-5-14,29,29,29,29,5
2014-5-16,28.7,28.7,28.7,28.7,10
2014-5-20,28.9,28.9,28.9,28.9,5
2014-5-27,28,28,28,28,1
2014-6-2,28.5,28.5,28.5,28.5,5
2014-6-4,29,29,29,29,1
2014-6-6,29,29,28.8,28.8,2
2014-6-26,27.15,27.15,27.15,27.15,5
2014-6-27,28.1,28.1,28.1,28.1,17
2014-6-30,28.72,28.72,28.72,28.72,178
2014-7-23,23,28,23,28,5
2014-7-25,27.25,27.25,27.25,27.25,3
2014-7-28,28.82,28.82,28.82,28.82,2
2014-8-12,28.5,28.5,28.5,28.5,57840
2014-8-21,27.6,28,27.6,28,6
2014-8-25,27,27,27,27,3
2014-8-27,26.47,28.15,26.47,28.15,138170
2014-8-28,26.47,29,26.47,29,4050
2014-8-29,29,29,29,29,200
2014-9-5,27,27,27,27,1
2014-9-11,27,27,27,27,10
2014-9-18,28,29,28,29,20
2014-9-19,27.5,27.5,27.5,27.5,10
2014-9-22,28.006,30,28,30,21
2014-9-23,28,28,28,28,6
2014-9-24,28,28,28,28,10
2014-9-25,27.979,27.979,27.979,27.979,10
2014-9-26,28.5,28.5,28.5,28.5,10
2014-9-29,22.007,28.5,22.007,28.5,178
2014-9-30,28.5,28.5,28.5,28.5,176
2014-10-1,28.5,28.5,28.5,28.5,176
2014-10-2,28.5,28.5,28.5,28.5,176
2014-10-13,28,28,28,28,10
2014-10-14,23.5,23.5,23.5,23.5,1
2014-10-15,27.9,27.9,27.9,27.9,1
2014-10-17,20.8,28.5,20.8,28.5,10
2014-10-20,28.5,28.5,28.5,28.5,208
2014-10-21,28.5,28.5,28.5,28.5,2
2014-10-23,28,28,28,28,2
2014-11-12,28.4,28.4,28.4,28.4,4023
2014-11-13,28.5,28.6,27.6,27.6,21
2014-11-14,28.5,28.5,28.5,28.5,1890
2014-11-18,29,29,28.4,28.7,174218
2014-11-19,28.4,28.4,28.4,28.4,14000
2014-11-20,28.4,28.4,28.4,28.4,5580
2014-12-5,28.7,28.7,28.7,28.7,31359
2014-12-18,28.3,29,28.3,29,8900
2014-12-19,29.7,29.7,29.7,29.7,40690
2014-12-22,28.3,29.4,28.3,29.4,55878
2014-12-23,28.3,28.3,28.2,28.3,17678
2014-12-25,28.3,28.3,28.3,28.3,1000
2014-12-26,29,29,29,29,24220
2014-12-30,29,29,28.9,29,198
2015-1-22,28.9,28.9,28.9,28.9,23348
