Date,Open,High,Low,Close,Volume
2018-1-3,773.5,781.5,762,780,3264
2018-1-4,785,790,770,789,3187
2018-1-5,800,820,776,776.5,2962
2018-1-9,762,783.5,762,770,15136
2018-1-10,773,780,765.5,780,7516
2018-1-11,765,783.5,765,770.5,4518
2018-1-12,782.5,782.5,770,779,4666
2018-1-15,755,784.5,746,779.5,4572
2018-1-16,780,780,772,778,4618
2018-1-17,752,785.5,649.5,761.5,4685
2018-1-18,763.5,765,751,765,5348
2018-1-19,767,773,767,767,4556
2018-1-22,769,770,749.5,749.5,4572
2018-1-23,769.5,770,767,769,4627
2018-1-24,765.5,765.5,753,764,4606
2018-1-25,769,770,750,750,4681
2018-1-26,753,754,735,735,4812
2018-1-29,725.5,739.5,720,722,4123
2018-1-30,724,754,724,754,4877
2018-1-31,759,760,751,751,6522
2018-2-1,758.5,759.5,757.5,758,4615
2018-2-2,757.5,762,757.5,762,4696
2018-2-5,763,763,739.5,759,4659
2018-2-6,759,760,748,760,4689
2018-2-7,759,775,748,775,4635
2018-2-8,758.5,759.5,755.5,759,4660
2018-2-9,760.5,762.5,740,749.5,4642
2018-2-12,746,768.5,746,766.5,4481
2018-2-13,759,760,750,759,4465
2018-2-14,760,760.5,746.5,754.5,4473
2018-2-15,754,754.5,744.5,754.5,4418
2018-2-16,754.5,754.5,746.5,749.5,4934
2018-2-19,736,748.5,730,730,4915
2018-2-20,748,748,745,747,4767
2018-2-21,747,751,737.5,751,5185
2018-2-22,747.5,748,738,748,6466
2018-2-26,747,748,745.5,748,4115
2018-2-27,747.5,749,742.5,748,18578
2018-2-28,748,751,737.5,751,18322
2018-3-1,748.5,749,746,748.5,18359
2018-3-2,748.5,751,746,748,18185
2018-3-5,748,751,737,737.5,17629
2018-3-6,741,748,733,737.5,18607
2018-3-7,737.5,738,736,737.5,18404
2018-3-9,736.5,737.5,736.5,736.5,3451
2018-3-12,739.5,739.5,720.5,725,18673
2018-3-13,736,751.5,702,751.5,18687
2018-3-14,739.5,743,729.5,731,18292
2018-3-15,740,740,736.5,739,18409
2018-3-16,738,764.5,726.5,764.5,18410
2018-3-19,734,740,731,735,4367
2018-3-20,739,740,737.5,739.5,4348
2018-3-21,738,765,735,765,4622
2018-3-22,701.5,736.5,701.5,729.5,4740
2018-3-23,727,735,726,730.5,4596
2018-3-26,730,731.5,720,720,4719
2018-3-27,720,729,715.5,720.5,4308
2018-3-28,725,728.5,718,718,4634
2018-3-29,717,725,715,724,4626
2018-3-30,723,742,720.5,742,4483
2018-4-2,720.5,720.5,711,712.5,4413
2018-4-3,706.5,712,700,703.5,4444
2018-4-4,703,705.5,683,686,4500
2018-4-5,686.5,695,645,693.5,7099
2018-4-6,702.5,725,700,710,4382
2018-4-9,714.5,715,514.5,525,5905
2018-4-10,560,647.5,560,573,6024
2018-4-11,544,626,544,600,5250
2018-4-12,649.5,649.5,615.5,639.5,5217
2018-4-13,640,644,566,577.5,5949
2018-4-16,576.5,576.5,560,562,5512
2018-4-17,570,572.5,565.5,572.5,5439
2018-4-18,574,577.5,565.5,566,5725
2018-4-19,574.5,574.5,566,567,5355
2018-4-20,576,576,565,572.5,5309
2018-4-23,565.5,577,555,555,5484
2018-4-24,562.5,571.5,559,562,5502
2018-4-25,561.5,562.5,555,555,5851
2018-4-26,562,599,557,590,5609
2018-4-27,600,638,600,617.5,5149
2018-4-28,622,650,622,642,3389
2018-4-30,649,660.5,638,650,2978
2018-5-2,675,700,656,700,2677
2018-5-3,700,701,679,680,3738
2018-5-4,705,705,672,689,3302
2018-5-7,686,691,685,685,3230
2018-5-8,690,704,688,704,3344
2018-5-10,725,738,720,730,2804
2018-5-11,734,743,724,735,16476
2018-5-14,736,746,730,738,16229
2018-5-15,740,765,735,743,18246
2018-5-16,742,750,735,743,17104
2018-5-17,743,750,740,743,17348
2018-5-18,742,770,740,770,18311
2018-5-21,745,757,745,749,17063
2018-5-22,748,759,748,752,18579
2018-5-23,755,758,750,755,17350
2018-5-24,753,755,725,748,17656
2018-5-25,744,746,737,745,18532
2018-5-28,742,753,742,750,18476
2018-5-29,750,761,749,751,18308
2018-5-30,750,761,749,760,18650
2018-5-31,754,767,683,743,57763
2018-6-1,741,748,700,737,51429
2018-6-4,725,742,692,705,7259
2018-6-5,696,703,687,699,3934
2018-6-6,700,702,683,702,3570
2018-6-7,656,688,656,679,3258
2018-6-8,681,704,680,700,4382
2018-6-9,682,696,682,689,2578
2018-6-11,684,690,682,690,2062
2018-6-13,686,720,683,703,3158
2018-6-14,701,724,701,724,3319
2018-6-15,715,765,706,755,4738
2018-6-18,752,754,717,720,2989
2018-6-19,717,725,715,723,2848
2018-6-20,727,728,705,717,3148
2018-6-21,720,747,719,733,3185
2018-6-22,749,750,724,750,3203
2018-6-25,750,750,743,747,5517
2018-6-26,751,785,740,741,4034
2018-6-27,750,750,734,744,3610
2018-6-28,745,750,740,740,2946
2018-6-29,746,750,718,718,3278
2018-7-2,730,740,703,707,3297
2018-7-3,715,728,694,707,2941
2018-7-4,705,711,688,703,3235
2018-7-5,703,704,692,703,2746
2018-7-6,706,709,694,700,2887
2018-7-9,694,700,680,698,3781
2018-7-10,688,730,683,724,4085
2018-7-11,723,723,711,711,2884
2018-7-12,716,721,713,716,2821
2018-7-13,718,718,701,705,2877
2018-7-16,722,722,693,700,2888
2018-7-17,695,720,694,707,2873
2018-7-18,708,715,704,704,2863
2018-7-19,701,706,693,693,196797
2018-7-20,696,698,688,688,2932
2018-7-23,696,696,665,667,3077
2018-7-24,674,676,656,675,3283
2018-7-25,669,670,652,658,3097
2018-7-26,660,693,655,693,3468
2018-7-27,694,740,693,714,4032
2018-7-30,716,774,716,748,2933
2018-7-31,750,750,728,728,2905
2018-8-1,727,786,674,678,5180
2018-8-2,677,679,604,612,19569
2018-8-3,644,681,610,670,8737
2018-8-6,668,741,668,716,5785
2018-8-7,722,751,722,726,3089
2018-8-8,707,740,691,720,2913
2018-8-9,744,744,723,725,2784
2018-8-10,732,732,680,680,3488
2018-8-13,683,760,630,655,5281
2018-8-14,666,673,638,639,3252
2018-8-15,650,650,613.4,617.6,6611
2018-8-16,622.2,628.8,607,615.6,5021
2018-8-17,617.6,644.6,615,644.6,3812
2018-8-20,650,656,610,615,6526
2018-8-21,618,622.8,610.2,617.8,3537
2018-8-22,617.4,622.6,613,621.8,3397
2018-8-23,621.4,639.4,619,627.4,4235
2018-8-24,629.8,646.2,627.6,635.8,5901
2018-8-27,639.4,730,638.8,724.2,5222
2018-8-28,727,741,727,740,4014
2018-8-29,740,785,740,785,6109
2018-8-30,786,799.8,745.8,760,5991
