Date,Open,High,Low,Close,Volume
2015-8-5,5.474,5.474,4.95,5.07,152
2015-8-6,4.998,4.9995,4.998,4.9995,24
2015-8-7,4.5005,4.5005,4.5,4.5005,45
2015-8-10,4.997,5.9995,4.101,4.3465,2095
2015-8-11,4.3465,4.3775,4.3,4.3775,53
2015-8-12,4.3775,6,4.3775,6,11
2015-8-13,4.3875,5,4.322,5,476
2015-8-14,5.5,5.5,4.21,4.58,711
2015-8-17,4.5995,4.6,4.37,4.479,369
2015-8-18,4.3705,4.376,4.261,4.261,415
2015-8-19,4.32,4.32,4.2305,4.32,5
2015-8-20,4.33,4.33,4.21,4.21,131
2015-8-21,4.25,4.25,4.13,4.13,24
2015-8-24,4.1995,4.1995,4.06,4.06,574
2015-8-25,4.08,4.11,4.08,4.11,45
2015-8-26,4.12,4.12,4.12,4.12,50
2015-8-27,4.12,4.12,4.12,4.12,138
2015-8-28,4.1205,4.17,4.11,4.17,475
2015-8-31,4.08,4.22,4.08,4.22,1080
2015-9-1,4.19,4.22,4.11,4.22,432
2015-9-2,4.02,4.22,4,4.22,420
2015-9-3,4.15,4.25,4.15,4.25,514
2015-9-4,4.2,4.25,4.2,4.25,259
2015-9-7,4.22,4.25,4.13,4.2,369
2015-9-8,4.18,4.22,4.1,4.22,367
2015-9-9,4.23,4.23,4.09,4.19,419
2015-9-10,4.15,4.15,4.15,4.15,289
2015-9-11,4.09,4.11,4.0005,4.11,239
2015-9-14,4.1,4.13,4.1,4.1,582
2015-9-15,4.13,4.13,4.05,4.05,115
2015-9-16,4.1,4.1,4.0005,4.09,223
2015-9-17,4.001,4.1,4.0005,4.1,139
2015-9-18,4,4.02,3.91,3.91,55
2015-9-21,3.935,4.05,3.935,4,29
2015-9-22,4,4,4,4,1
2015-9-23,3.94,3.94,3.928,3.928,263
2015-9-25,3.928,5,3.928,3.96,312
2015-9-29,3.93,3.93,3.93,3.93,1
2015-9-30,3.95,4,3.94,3.94,58
