Date,Open,High,Low,Close,Volume
2006-6-28,107.88,115,103.2,108.06,53065
2006-6-29,109.99,110,106.9,108.92,26071
2006-6-30,110,112.63,110,111.71,113235
2006-7-3,112.5,116.5,112,113.3,66981
2006-7-4,114.16,114.9,108.5,114.46,48539
2006-7-5,114,114,107,109.88,35198
2006-7-6,108.56,114.35,108.01,114,73640
2006-7-7,114.55,116,112.5,114.15,61041
2006-7-10,111.23,116,111.23,114.57,31412
2006-7-11,114.5,116.25,113.1,113.5,32542
2006-7-12,113.54,119.3,113.5,118.95,106265
2006-7-13,118.01,122.99,113.6,116.5,173180
2006-7-14,116.01,119.9,113.65,114.62,75714
2006-7-17,115,117.8,114.9,116.73,51541
2006-7-18,115.41,116.48,111.29,115.09,71721
2006-7-19,114.99,118.5,114.2,118.5,48592
2006-7-20,119.75,124.5,119.1,122,141508
2006-7-21,115.75,121.5,115.75,118.85,28991
2006-7-24,124.12,124.12,118,119.93,29159
2006-7-25,121,122.46,118.8,119.1,64088
2006-7-26,118.95,120.4,115.95,116.81,105878
2006-7-27,118.13,118.49,116,117.56,156953
2006-7-28,117.97,117.97,114,115.3,124922
2006-7-31,116,117.81,115.16,115.75,49938
2006-8-1,116.25,116.5,113.34,113.51,149213
2006-8-2,113.96,114.72,113.25,113.98,58901
2006-8-3,114.89,115.5,113.22,114.38,76081
2006-8-4,114.88,117.02,114.02,115.54,96535
2006-8-7,115.3,116,114.25,114.81,114333
2006-8-8,114.95,115.5,112,113.15,79651
2006-8-9,113.01,113.5,110.87,111.59,227088
2006-8-10,111.95,112.62,110.11,111.25,82885
2006-8-11,111.25,112.5,111.05,111.92,61915
2006-8-14,112,113.4,110.98,111,76476
2006-8-15,111.93,111.93,108.6,110.76,109080
2006-8-16,111.16,112.98,110.3,112.47,138844
2006-8-17,112.5,115.88,111.37,114,233565
2006-8-18,114,114.87,109.2,110.68,110823
2006-8-21,111.06,114.47,111,113.48,111698
2006-8-22,114.07,114.87,113.41,114.22,57673
2006-8-23,117.19,117.19,112.66,113.65,27805
2006-8-24,115.58,115.58,112.7,113.79,35561
2006-8-25,113.96,114.5,113.63,113.99,35864
2006-8-28,114.44,114.44,113.3,113.57,10061
2006-8-29,113.52,113.7,111.79,112.15,59137
2006-8-30,112.08,113.7,111.95,112.18,45379
2006-8-31,112.5,113.01,111.51,111.9,39820
2006-9-1,112.23,112.52,111.15,112.18,65550
2006-9-4,112.95,112.95,111.35,112.46,27461
2006-9-5,111.75,112.5,111.5,112.35,63641
2006-9-6,110.66,112.39,110.1,110.77,75017
2006-9-7,110.46,110.46,108,109.03,63729
2006-9-8,109.01,109.95,108.8,109.6,31534
2006-9-11,109.5,109.56,104.81,105.48,55574
2006-9-12,106.51,107.69,105.11,105.8,45040
2006-9-13,105,106.58,104.4,106.36,33413
2006-9-14,106.95,108.25,106.44,106.98,38472
2006-9-15,106.42,107,104.7,105.42,31751
2006-9-18,106,106.5,105.21,105.71,42384
2006-9-19,106.21,106.9,106,106.46,48307
2006-9-20,105,107,104.01,106.34,43902
2006-9-21,105.01,107.78,105.01,106.25,21172
2006-9-22,111.41,111.41,102,103.19,123452
2006-9-25,102.97,102.97,92.2,96.03,224949
2006-9-26,97.89,99.82,97.19,98.94,105413
2006-9-27,99.95,105.03,99.02,103.1,119611
2006-9-28,106.03,110.77,105.9,106.41,330708
2006-9-29,106.35,107.01,103.2,105.5,270592
2006-10-2,106,107.64,105.05,107.38,114723
2006-10-3,105.75,108.55,104.06,107.48,150297
2006-10-4,106.01,110.7,105.01,109.89,121012
2006-10-5,111.5,113.3,109.22,111.5,246114
2006-10-6,110.99,113.05,109.51,110.03,63408
2006-10-9,111.11,113.67,109.64,112.9,159522
2006-10-10,112.85,113.75,112,112.92,243216
2006-10-11,112.89,112.89,110.53,112.78,76614
2006-10-12,112.3,112.8,111.5,112.64,42154
2006-10-13,113.05,114.2,112.75,113.3,100549
2006-10-16,113.89,114.01,112.96,113.2,64638
2006-10-17,113.97,114.25,113.02,113.36,77128
2006-10-18,113.36,113.95,113.01,113.75,40165
2006-10-19,113.65,113.65,112.51,112.9,46266
2006-10-20,113.9,113.9,110.37,111.05,122066
2006-10-23,111.11,111.99,109.7,111.78,106776
2006-10-24,112.2,112.2,110.07,110.86,44133
2006-10-25,111,112.12,110.4,112.12,46670
2006-10-26,113,113.76,112.3,112.67,77305
2006-10-27,113.2,113.2,111.11,112.36,38435
2006-10-30,112.75,112.75,108.5,109.05,60503
2006-10-31,108.73,111,108,110.75,36531
2006-11-1,110.85,112.8,110.6,112.35,40623
2006-11-2,110.98,112.5,110.23,110.98,21844
2006-11-3,111.01,112.75,110.45,112.29,30763
2006-11-7,113.75,115.2,112.8,113,117422
2006-11-8,112.93,113.4,111.95,112.7,46657
2006-11-9,115.87,115.87,113.25,113.89,134354
2006-11-10,113.48,114.42,112.7,113,129851
2006-11-13,113.01,113.51,112.32,112.4,53867
2006-11-14,113.04,113.04,110.59,111,130305
2006-11-15,111.1,113.3,110.6,112.73,117346
2006-11-16,112,113,111,112.25,161024
2006-11-17,111,111.35,109.07,110.89,93736
2006-11-20,110.83,111.24,107.73,108.41,136587
2006-11-21,108.28,110.02,108.28,109.65,115273
2006-11-22,110.67,110.69,108.5,108.68,52334
2006-11-23,108.68,109.37,108.5,109,17155
2006-11-24,106.27,110.95,106.27,109.6,168936
2006-11-27,109.6,110.7,108.5,109.29,104394
2006-11-28,109.19,109.5,105.26,107.01,402256
2006-11-29,107.85,108.5,107.5,108.22,124375
2006-11-30,108.72,108.9,107.83,108.1,100196
2006-12-1,109.35,110.9,107.93,110,273242
2006-12-4,111,111.68,109.82,111,124857
2006-12-5,110.62,112.65,110.56,111.17,151730
2006-12-6,111,112.35,111,111.88,53734
2006-12-7,111.48,112.2,111,111.17,41309
2006-12-8,111.25,111.5,110.81,111.24,29961
2006-12-11,111.11,115.5,109.85,113.49,400240
2006-12-12,113.36,114,111.85,111.87,123595
2006-12-13,111.77,112.1,110,111.26,165765
2006-12-14,111.55,115.02,110.75,113.6,389295
2006-12-15,113.89,114.43,113,113.97,118835
2006-12-18,114.03,115.01,112.5,112.58,137553
2006-12-19,111.98,112.41,109.34,111.2,221307
2006-12-20,111.21,112.68,111.21,112.42,55496
2006-12-21,113,114.22,111.5,113.7,162373
2006-12-22,113.6,115,112.99,114.7,176187
2006-12-25,114.11,114.7,113.16,113.84,56397
2006-12-26,114.03,114.67,112.5,113.49,102282
2006-12-27,113.01,119.15,112.5,117.37,359826
2006-12-28,117.87,120.49,117.03,119.25,245602
2006-12-29,118.99,120.34,118.34,119.9,653614
2007-1-9,112.36,116.8,112.36,114.68,163755
2007-1-10,114.01,120,113,116.2,171107
2007-1-11,116.09,117.39,113.52,116.96,117268
2007-1-12,115.04,117.2,115.04,117.01,77102
2007-1-15,117.9,124.5,117.8,123.91,368350
2007-1-16,123.78,126.9,121.51,122.54,722061
2007-1-17,122.95,125.28,120.1,122.5,249879
2007-1-18,125.02,126.97,122.6,123.98,195973
2007-1-19,126.85,126.85,120.66,123.16,232281
2007-1-22,125.01,127.01,124.21,125.2,279534
2007-1-23,124.95,125.9,122.8,123.9,103472
2007-1-24,125.07,125.87,121,122.1,86143
2007-1-25,123.94,123.94,121.17,121.75,136717
2007-1-26,119.84,122,118.25,121.15,243664
2007-1-29,122.01,122.01,117.67,118.2,175670
2007-1-30,117.49,118.48,114.84,118,173215
2007-1-31,118.5,120.12,117.5,118.33,258425
2007-2-1,119.11,119.97,118.1,118.9,107856
2007-2-2,117.88,119.06,92.7,117.58,66521
2007-2-5,118.3,118.5,117.21,117.94,57539
2007-2-6,117.58,119.1,117.3,118.88,147982
2007-2-7,118.92,119.03,115.62,116.38,58365
2007-2-8,115.85,116.19,113.9,114.38,78710
2007-2-9,117.35,117.35,113.68,115.29,87185
2007-2-12,114.51,114.99,112,113.55,72355
2007-2-13,116.21,116.21,112.18,114.44,61171
2007-2-14,115,115,113.51,114.13,16028
