Date,Open,High,Low,Close,Volume
2017-2-6,50,50,50,50,3
2017-2-7,30,30,17.991,17.991,1061
2017-2-8,10.805,14,10.789,10.789,575
2017-2-9,9.71,10.45,6.51,7.95,2405
2017-2-10,7.31,8,7.027,7.579,748
2017-2-13,7.742,7.742,6.8,6.85,895
2017-2-14,6.55,6.935,6.179,6.25,818
2017-2-15,6.47,6.47,6.15,6.313,750
2017-2-16,6.369,6.585,6.002,6.3,1677
2017-2-17,6.4,6.89,6.111,6.151,497
2017-2-20,6.153,6.245,5.873,6.041,202
2017-2-21,5.947,6.06,5.872,5.959,119
2017-2-22,5.937,5.959,5.551,5.678,46
2017-2-24,5.86,5.898,5.523,5.889,23
2017-2-27,5.898,5.9,5.83,5.896,12
2017-2-28,5.5,6,5.151,5.693,61
2017-3-1,5.507,5.697,5.307,5.695,91
2017-3-2,5.698,5.709,5.69,5.709,127
2017-3-3,5.697,6.9,5.697,5.815,1020
2017-3-6,5.799,5.839,5.799,5.807,101
2017-3-7,5.799,5.799,5.337,5.798,114
2017-3-9,5.798,5.799,5.274,5.686,106
2017-3-10,5.687,5.687,5.687,5.687,2
2017-3-13,5.77,5.77,5.76,5.76,9
2017-3-14,5.7,5.749,5.7,5.748,21
2017-3-16,5.798,5.798,5.316,5.633,30
2017-3-17,5.539,5.539,5.424,5.499,84
2017-3-21,5.729,5.747,5.479,5.73,30
2017-3-22,5.498,5.628,5.39,5.628,29
2017-3-23,5.501,5.501,5.4,5.4,10
2017-3-24,5.459,5.459,5.36,5.458,20
2017-3-27,5.371,5.371,4.921,4.921,164
2017-3-28,5.02,5.02,4.53,4.63,161
2017-3-29,4.69,4.74,4.69,4.74,2
2017-3-30,4.79,6.632,4.74,6.632,3638
2017-3-31,6.925,7.948,6.3,7.94,9302
2017-4-3,7.2,7.55,6.152,7.499,4556
2017-4-4,7.799,7.8,6.5,6.65,1079
2017-4-5,6.67,7.43,6.104,7.27,1890
2017-4-6,6.861,7.247,6.602,6.8,944
2017-4-7,6.8,7.325,6.21,6.33,3482
2017-4-10,6.067,6.37,5.95,5.95,264
2017-4-11,5.899,6.184,5.532,5.77,414
2017-4-12,5.88,5.896,5.29,5.494,437
2017-4-13,5.665,5.665,5.311,5.488,31
2017-4-14,5.599,5.75,5.341,5.499,259
2017-4-17,5.151,5.894,5.151,5.367,518
2017-4-18,5.4,6.4,5.32,5.772,512
2017-4-19,5.517,6.154,5.403,5.494,893
2017-4-20,5.795,6.89,5.4,5.45,1876
2017-4-21,5.501,5.9,5.401,5.88,648
2017-4-24,5.85,8.223,5.85,7.96,10004
2017-4-25,8,8.93,7.25,7.4,6439
2017-4-26,7.02,8.499,7.02,8.218,1684
2017-4-27,7.45,8.475,7.45,8.1,953
2017-4-28,8,8.75,7.77,8.195,423
2017-5-2,8.06,8.28,7.1,7.17,2478
2017-5-3,7.18,7.63,6.71,6.99,1052
2017-5-4,7.28,7.28,6.77,7.11,93
2017-5-5,6.93,7.2,6.76,7.1,182
2017-5-10,7.03,7.23,6.66,7.03,429
2017-5-11,7.16,7.16,6.93,7.11,14
2017-5-12,6.88,7.15,6.72,7.09,118
2017-5-15,7.16,7.16,6.51,6.84,317
2017-5-16,6.83,7.08,6.5,6.7,126
2017-5-17,6.71,7.04,6.37,7.03,439
2017-5-18,6.7,7.3,6.68,7.06,489
2017-5-19,7.22,8.88,7,7.1,4057
2017-5-22,6.97,8,6.91,7.69,1100
2017-5-23,8.21,8.21,7.53,7.9,437
2017-5-24,7.74,7.96,7.36,7.57,394
2017-5-25,7.46,7.71,7,7.6,273
2017-5-26,7.25,7.55,6.98,7.3,675
2017-5-29,7.49,7.5,6.45,7.1,422
2017-5-30,7.23,7.28,7.15,7.18,54
2017-5-31,6.95,7.28,6.6,6.9,458
2017-6-1,6.66,6.8,6.5,6.69,521
2017-6-2,6.79,6.79,6.47,6.71,54
2017-6-5,6.54,6.98,6.54,6.75,173
2017-6-6,6.6,6.9,6.55,6.7,91
2017-6-7,6.75,6.87,6.16,6.66,341
2017-6-8,6.65,6.78,6.5,6.77,206
2017-6-9,6.6,7.14,6.47,6.65,400
2017-6-13,6.44,6.7,6.35,6.55,432
2017-6-14,6.43,6.65,6,6.32,533
2017-6-15,6.1,6.59,6.01,6.39,175
2017-6-16,6.44,6.54,6.16,6.49,341
2017-6-19,6.37,6.59,6.11,6.25,310
2017-6-20,6.3,6.44,6.21,6.4,53
2017-6-21,6.31,6.39,6.31,6.39,31
2017-6-22,6.17,6.44,6.17,6.35,13
2017-6-23,6.3,6.38,6.02,6.15,186
2017-6-26,6.01,6.21,6,6.05,183
2017-6-27,6.03,6.57,6.03,6.24,287
2017-6-28,6.34,6.5,6.17,6.39,77
2017-6-29,6.21,6.22,6.1,6.2,19
2017-6-30,6.25,6.25,6,6.1,94
2017-7-3,6.07,6.2,6.07,6.07,22
2017-7-4,6.11,6.28,6,6.22,234
2017-7-5,6.29,6.7,6,6.13,217
2017-7-6,6.02,6.2,6,6.14,70
2017-7-7,6.2,6.45,6.05,6.09,592
2017-7-10,6.08,6.12,5.99,5.99,166
2017-7-11,6,6.7,5.94,6.16,296
2017-7-12,6.27,6.36,6,6.1,157
2017-7-13,6.1,6.3,6.1,6.11,16
2017-7-14,6.29,6.29,6.29,6.29,6
2017-7-17,6.1,6.1,6.02,6.1,170
2017-7-18,6.08,6.2,6.08,6.08,18
2017-7-19,6.05,6.27,6.05,6.07,187
2017-7-20,6.23,6.23,6,6.17,115
2017-7-21,6.09,6.09,5.62,5.98,338
2017-7-24,6.15,6.18,5.98,5.98,162
2017-7-25,5.96,6.09,5.95,5.97,81
2017-7-26,5.97,6,5.77,5.85,795
2017-7-27,5.91,6.02,5.8,5.85,77
2017-7-28,5.89,6.1,5.76,6.09,222
2017-7-31,6.1,6.1,5.96,6.1,25
2017-8-1,6.1,6.99,5.98,6,1010
2017-8-2,6.18,6.18,5.91,6.01,225
2017-8-3,6.01,6.03,5.87,6.03,161
2017-8-4,5.96,6.04,5.93,6.04,16
2017-8-7,6.04,6.05,5.96,5.96,31
2017-8-8,5.91,6.04,5.87,6.03,43
2017-8-9,5.9,6.03,5.89,5.99,25
2017-8-10,6.05,6.29,5.93,6,159
2017-8-11,5.96,6.08,5.89,5.97,193
2017-8-14,5.9,5.99,5.84,5.98,144
2017-8-15,5.87,6.05,5.87,6,151
2017-8-16,6.04,6.05,5.92,6,30
2017-8-18,5.96,6.19,5.96,6.14,55
2017-8-21,6.13,6.14,6.04,6.05,5
2017-8-22,6,6.07,5.95,5.98,133
2017-8-23,6,6.13,5.95,5.95,27
2017-8-24,5.95,6.08,5.72,6.08,61
2017-8-25,5.98,6.5,5.5,6,870
2017-8-28,5.95,6.04,5.95,6.04,26
2017-8-29,6,6,5.91,5.99,25
2017-8-30,5.9,5.9,5.5,5.64,1467
2017-8-31,5.69,5.76,5.56,5.76,184
2017-9-1,5.59,5.59,5.33,5.44,525
2017-9-4,5.48,5.5,5.4,5.48,227
2017-9-5,5.34,5.48,4.92,5.1,1076
2017-9-6,5.01,5.29,5.01,5.2,138
2017-9-7,5.03,5.03,4.87,4.99,1404
2017-9-8,5.41,5.49,4.7,4.99,807
2017-9-11,5.12,5.24,4.97,5.2,106
2017-9-12,5.21,5.22,4.98,5.2,239
2017-9-13,5.28,5.28,5.03,5.22,104
2017-9-14,5.15,5.19,5.01,5.18,51
2017-9-15,5.15,5.23,5.1,5.18,349
2017-9-18,5.1,5.49,5.06,5.17,701
2017-9-19,5.49,5.49,4.96,5.1,273
2017-9-20,5.1,5.17,5.02,5.17,93
2017-9-21,5.19,5.2,5.05,5.15,66
2017-9-22,5.08,5.08,4.95,5,223
2017-9-25,5,5,4.98,5,540
2017-9-26,5.03,5.16,5,5.09,98
2017-9-27,5.18,5.27,5.01,5.25,170
2017-9-28,5.25,5.25,5.04,5.17,22
2017-9-29,5.21,5.21,5.15,5.15,36
2017-10-2,5.11,5.34,4.9,5.34,1977
2017-10-3,5.39,5.39,5,5.07,1502
2017-10-4,5.08,5.09,5.01,5.09,141
2017-10-5,5.13,5.2,5.04,5.15,81
2017-10-6,5.38,5.38,5.06,5.2,63
2017-10-9,5.04,5.09,4.96,5.02,1365
2017-10-10,5.09,5.5,5.09,5.14,844
2017-10-11,5.18,5.24,5.05,5.17,411
2017-10-12,5.1,5.16,5.01,5.16,343
2017-10-13,5.07,5.15,5,5.05,223
2017-10-16,5.11,5.27,5.06,5.15,313
2017-10-17,5.27,5.3,5.08,5.2,467
2017-10-18,5.2,5.21,5.04,5.16,591
2017-10-19,5.22,5.22,5.09,5.2,388
2017-10-20,5.21,5.25,5.05,5.2,298
2017-10-23,5.15,5.38,5.15,5.27,696
2017-10-24,5.33,5.34,5.2,5.25,155
2017-10-25,5.33,5.35,5.21,5.21,163
2017-10-26,5.29,5.31,5.2,5.28,190
2017-10-27,5.3,5.3,5.2,5.26,75
2017-10-30,5.25,5.4,5.2,5.33,1569
2017-10-31,5.28,5.37,5.28,5.36,1087
2017-11-1,5.4,5.41,5.3,5.35,238
2017-11-2,5.5,5.5,5.2,5.22,276
2017-11-3,5.43,5.43,5.29,5.29,22
2017-11-7,5.3,5.36,5.29,5.31,54
2017-11-8,5.4,5.4,5.1,5.15,1028
2017-11-9,5.24,5.39,5.15,5.32,850
2017-11-10,5.21,5.29,5.2,5.29,102
2017-11-13,5.25,5.32,5.25,5.3,177
2017-11-14,5.16,5.25,5.1,5.2,721
2017-11-15,5.2,5.2,5.1,5.1,533
2017-11-16,5.11,5.15,5.06,5.15,102
2017-11-17,5.08,5.1,5,5.04,129
2017-11-20,5.06,5.09,5.06,5.09,6
2017-11-21,5.16,5.25,5.15,5.23,77
2017-11-22,5.24,5.24,4.98,5,706
2017-11-23,5.08,5.09,5.02,5.05,117
2017-11-24,5.06,5.08,5,5.08,38
2017-11-27,5.09,5.2,5,5.06,255
2017-11-28,5.03,5.05,5.01,5.02,98
2017-11-29,5.04,5.04,5.03,5.03,7
2017-11-30,5.04,5.04,4.92,5,240
2017-12-1,4.92,5.12,4.92,5.12,169
2017-12-4,5.13,5.13,5.02,5.02,2
2017-12-5,5,5.05,4.99,5,233
2017-12-6,4.99,5,4.95,4.99,68
2017-12-7,4.96,4.97,4.8,4.94,733
2017-12-8,4.92,5.04,4.8,5,232
2017-12-11,4.87,5.02,4.85,5,152
2017-12-12,4.99,5.09,4.87,5.05,119
2017-12-13,5.04,5.07,4.69,4.8,2206
2017-12-14,4.81,5,4.7,4.73,1255
2017-12-15,4.77,4.87,4.65,4.87,539
2017-12-18,4.81,4.85,4.69,4.75,158
2017-12-19,4.71,4.75,4.69,4.75,107
2017-12-20,4.77,4.99,4.69,4.82,1489
2017-12-21,4.88,4.88,4.71,4.76,42
2017-12-22,4.8,5.06,4.74,4.99,1895
2017-12-25,4.99,4.99,4.85,4.94,252
2017-12-26,4.88,4.88,4.71,4.73,273
2017-12-27,4.79,5.04,4.75,4.76,166
2017-12-28,4.78,4.88,4.78,4.79,45
2017-12-29,4.79,5.03,4.79,4.99,628
2018-1-3,5,5.01,4.96,5.01,24
2018-1-4,5,5.15,4.88,5.04,254
2018-1-5,5.03,5.08,5.02,5.02,14
2018-1-9,5.01,5.05,5,5,216
2018-1-10,5.06,5.1,5.06,5.07,52
2018-1-11,5.01,5.01,3.5,4.98,1423
2018-1-12,5.01,5.02,4.56,4.74,1541
2018-1-15,4.74,4.99,4.6,4.81,170
2018-1-16,4.81,4.92,4.77,4.83,122
2018-1-17,4.8,4.9,4.76,4.9,98
2018-1-18,4.91,4.93,4.86,4.86,10
2018-1-19,4.93,4.96,4.78,4.9,166
2018-1-22,4.95,4.95,4.82,4.89,3
2018-1-23,4.9,4.9,4.53,4.84,577
2018-1-24,4.85,4.85,4.71,4.77,14
2018-1-25,4.8,4.8,4.7,4.72,107
2018-1-26,4.72,4.76,4.71,4.76,32
2018-1-29,4.79,4.79,4.49,4.6,931
2018-1-30,4.58,4.65,4.45,4.6,272
2018-1-31,4.52,4.52,4.47,4.5,175
2018-2-1,4.5,4.73,4.48,4.58,248
2018-2-2,4.58,4.59,4.57,4.59,7
2018-2-5,4.59,4.61,4.48,4.54,136
2018-2-6,4.47,4.65,4.42,4.52,136
2018-2-7,4.58,4.59,4.43,4.48,547
2018-2-8,4.47,4.64,4.39,4.52,177
2018-2-9,4.52,4.52,4.39,4.49,302
2018-2-12,4.5,4.5,4.4,4.45,12
2018-2-13,4.4,4.45,4.35,4.45,221
2018-2-14,4.45,4.49,4.42,4.42,59
2018-2-15,4.48,4.52,4.45,4.52,53
2018-2-16,4.85,4.95,4.43,4.47,104
2018-2-19,4.45,4.5,4.35,4.44,303
2018-2-20,4.44,4.44,4.39,4.39,24
2018-2-21,4.5,4.78,4.34,4.35,1210
2018-2-22,4.48,4.5,4.33,4.39,111
2018-2-26,4.39,4.48,4.39,4.4,80
2018-2-27,4.46,4.64,4.4,4.44,162
2018-2-28,4.44,4.44,4.41,4.41,4
2018-3-1,4.43,4.49,4.37,4.4,169
2018-3-2,4.43,4.63,4.3,4.38,370
2018-3-5,4.37,4.59,4.3,4.31,860
2018-3-6,4.37,4.49,4.3,4.38,379
2018-3-7,4.3,4.45,4.3,4.41,171
2018-3-9,4.41,4.42,4.41,4.42,4
2018-3-12,4.37,4.4,4.35,4.4,53
2018-3-13,4.43,4.43,4.36,4.41,19
2018-3-14,4.4,4.43,4.39,4.39,21
2018-3-15,4.4,4.41,4.39,4.39,8
2018-3-16,4.4,4.42,4.25,4.33,525
2018-3-19,4.32,4.39,4.28,4.37,281
2018-3-20,4.36,4.36,4.34,4.36,52
2018-3-21,4.36,4.37,4.35,4.37,69
2018-3-22,4.37,4.54,4.36,4.47,366
2018-3-23,4.46,4.52,4.27,4.27,245
2018-3-26,4.34,4.35,4.25,4.25,160
2018-3-27,4.3,4.3,4.26,4.27,184
2018-3-28,4.3,4.3,3.95,4,2049
2018-3-29,4.01,4.06,3.95,3.98,196
2018-3-30,3.98,4.12,3.98,4.1,139
2018-4-2,4.18,4.25,3.91,3.97,435
2018-4-3,3.93,4.09,3.91,4.02,405
2018-4-4,4.13,4.13,3.93,3.99,56
2018-4-5,4.04,4.19,3.94,4,59
2018-4-6,4,4.08,3.89,3.97,745
2018-4-9,3.92,4.07,3.7,3.77,591
2018-4-10,3.88,3.89,3.66,3.72,232
2018-4-11,3.77,3.77,3.71,3.71,43
2018-4-12,3.73,3.76,3.71,3.71,24
2018-4-13,3.7,3.89,3.7,3.76,174
2018-4-16,3.79,3.79,3.75,3.75,4
2018-4-17,3.74,3.79,3.74,3.75,16
2018-4-18,3.76,3.76,3.69,3.7,228
2018-4-19,3.7,4.04,3.65,3.9,774
2018-4-20,3.95,3.95,3.79,3.79,29
2018-4-23,3.83,3.94,3.79,3.8,100
2018-4-24,3.81,3.95,3.79,3.81,142
2018-4-25,3.89,3.97,3.8,3.8,191
2018-4-26,3.82,3.83,3.81,3.81,14
2018-4-27,3.82,3.93,3.75,3.8,295
2018-4-28,3.89,3.89,3.8,3.8,249
2018-4-30,3.8,3.88,3.8,3.88,12
2018-5-2,3.89,4.09,3.89,3.91,178
2018-5-3,3.87,3.94,3.87,3.93,18
2018-5-4,3.91,3.91,3.91,3.91,10
2018-5-7,3.91,3.99,3.8,3.8,177
2018-5-8,3.81,3.9,3.79,3.9,152
2018-5-10,3.93,3.93,3.75,3.85,75
2018-5-11,3.89,3.89,3.7,3.87,221
2018-5-14,3.87,3.87,3.87,3.87,1
2018-5-15,3.85,3.88,3.8,3.86,50
2018-5-16,3.88,3.88,3.83,3.83,4
2018-5-17,3.86,3.87,3.77,3.87,70
2018-5-18,3.79,3.88,3.79,3.88,30
2018-5-21,3.8,3.87,3.79,3.87,13
2018-5-22,3.83,3.83,3.83,3.83,1
2018-5-23,3.81,3.81,3.7,3.79,44
2018-5-24,3.8,3.84,3.66,3.79,1367
2018-5-25,3.75,3.79,3.75,3.79,14
2018-5-28,3.79,3.8,3.79,3.8,3
2018-5-29,3.79,3.83,3.79,3.8,118
2018-5-31,3.84,3.84,3.71,3.78,13
2018-6-1,3.74,3.89,3.7,3.74,189
2018-6-4,3.84,3.84,3.6,3.7,865
2018-6-5,3.72,3.74,3.41,3.53,2151
2018-6-6,3.59,3.59,3.42,3.51,276
2018-6-7,3.52,3.52,3.4,3.43,244
2018-6-8,3.45,3.45,3.25,3.36,515
2018-6-9,3.4,3.4,3.3,3.35,54
2018-6-11,3.34,3.34,3.18,3.26,163
2018-6-13,3.21,3.26,3,3.12,552
2018-6-14,3.18,3.19,3.12,3.12,40
2018-6-15,3.09,3.11,3,3.11,235
2018-6-18,3.1,3.17,3.1,3.11,167
2018-6-19,3.15,3.24,3.1,3.14,216
2018-6-20,3.18,3.19,3,3.16,779
2018-6-21,3.16,3.16,3.03,3.1,263
2018-6-22,3.09,3.23,3.05,3.14,617
2018-6-25,3.17,3.36,3.17,3.22,417
2018-6-26,3.34,3.34,3.24,3.28,197
2018-6-27,3.23,3.34,3.2,3.26,279
2018-6-28,3.36,3.36,3.28,3.33,54
2018-6-29,3.27,3.33,3.27,3.33,22
2018-7-2,3.33,3.4,3.33,3.34,72
2018-7-3,3.37,3.65,3.37,3.43,320
2018-7-4,3.47,3.47,3.3,3.43,133
2018-7-5,3.55,3.55,3.35,3.35,88
2018-7-6,3.4,3.4,3.4,3.4,3
2018-7-9,3.4,3.4,3.4,3.4,14
2018-7-10,3.36,3.45,3.35,3.45,85
2018-7-11,3.35,3.95,3.35,3.53,1115
2018-7-12,3.53,4.29,3.53,4.15,3255
2018-7-13,4.4,4.41,3.9,3.9,3105
2018-7-16,3.98,4.27,3.98,4.19,1060
2018-7-17,4.34,5.24,3.98,4.75,6390
2018-7-18,4.75,5.59,4.55,5.2,5762
2018-7-19,5.17,5.45,4.52,4.81,1911
2018-7-20,4.71,5.42,4.29,4.38,4515
2018-7-23,3.95,4.79,3.95,4.66,1054
2018-7-24,4.66,4.99,4.58,4.9,1541
2018-7-25,4.99,5.47,4.48,4.8,4691
2018-7-26,4.86,4.94,4.6,4.6,303
2018-7-27,4.59,4.83,4.46,4.58,614
2018-7-30,4.38,4.5,4.21,4.41,830
2018-7-31,4.34,4.57,4.2,4.48,550
2018-8-1,4.43,4.48,4.19,4.41,457
2018-8-2,4.39,4.47,4.28,4.28,105
2018-8-3,4.37,4.37,4.12,4.26,409
2018-8-6,4.28,4.28,4.09,4.11,321
2018-8-7,4.12,4.25,4.01,4.2,173
2018-8-8,4.2,4.2,3.93,3.95,431
2018-8-9,3.98,3.98,3.89,3.91,123
2018-8-10,3.98,4.03,3.8,3.85,115
2018-8-13,3.81,3.94,3.81,3.94,264
2018-8-14,3.99,4.19,3.99,4.16,308
2018-8-15,4.14,4.4,4.1,4.3,347
2018-8-16,4.3,4.46,4.21,4.46,197
2018-8-17,4.37,4.48,4.18,4.18,110
2018-8-20,4.44,4.44,4.25,4.36,136
2018-8-21,4.44,4.6,4.31,4.6,1140
2018-8-22,4.2,5.1,4.19,4.55,312
2018-8-23,4.43,5,4.43,4.87,866
2018-8-24,4.69,5,4.61,4.85,268
2018-8-27,4.65,4.86,4.54,4.63,386
2018-8-28,4.61,4.63,4.59,4.59,95
2018-8-29,4.46,4.57,4.45,4.47,207
2018-8-30,4.5,4.61,4.45,4.57,99
2018-8-31,4.6,4.6,4.4,4.59,91
2018-9-3,4.63,4.87,4.6,4.75,333
2018-9-4,4.88,4.98,4.66,4.79,155
2018-9-5,4.96,4.96,4.68,4.89,116
2018-9-6,4.98,5.21,4.73,4.93,372
2018-9-7,5.08,5.15,4.78,4.91,219
2018-9-10,5.38,5.38,4.78,4.97,90
2018-9-11,4.99,5.12,4.7,4.96,475
2018-9-12,4.77,5.2,4.62,4.8,493
2018-9-13,4.68,4.78,4.67,4.77,144
2018-9-14,4.79,4.85,4.58,4.64,38
2018-9-17,4.6,4.75,4.5,4.5,87
2018-9-18,4.5,4.5,4.31,4.38,231
2018-9-19,4.32,4.41,4.2,4.34,241
2018-9-20,4.27,4.38,3.72,4.33,659
2018-9-21,4.26,4.43,4.26,4.43,91
2018-9-24,4.28,4.42,4.27,4.41,214
2018-9-25,4.44,4.45,4.34,4.42,15
2018-9-26,4.33,4.38,4.24,4.38,42
2018-9-27,4.26,4.45,4.2,4.41,77
2018-9-28,4.47,4.47,4.28,4.42,32
2018-10-1,4.45,4.45,4.45,4.45,1
2018-10-2,4.31,4.45,4.31,4.45,15
2018-10-3,4.3,4.45,4.2,4.32,194
2018-10-4,4.32,4.32,4.32,4.32,55
2018-10-5,4.23,4.33,4.2,4.33,14
2018-10-8,4.27,4.32,4.22,4.32,32
2018-10-9,4.31,4.45,4.31,4.45,156
2018-10-10,4.43,4.46,4.43,4.46,150
2018-10-11,4.36,4.5,4,4.45,813
2018-10-12,4.37,4.44,4.37,4.44,2
2018-10-15,4.29,4.4,4.11,4.36,221
2018-10-16,4.28,4.34,4.27,4.34,7
2018-10-17,4.39,4.43,4.3,4.36,7
2018-10-18,4.36,4.36,4.22,4.33,34
2018-10-19,4.25,4.3,4.22,4.22,41
2018-10-22,4.23,4.23,4.06,4.16,281
2018-10-23,4.23,4.24,3.95,4.22,221
2018-10-24,4.09,4.32,3.98,4.3,144
2018-10-25,4.24,4.24,4.06,4.17,104
2018-10-26,4.1,4.1,3.92,3.92,387
2018-10-29,3.92,4.07,3.92,4,7
2018-10-30,3.98,4.03,3.97,4.03,13
2018-10-31,3.97,4.07,3.94,4.03,89
2018-11-1,3.985,4.02,3.985,4.02,6
2018-11-2,3.98,4.055,3.97,3.97,86
