Date,Open,High,Low,Close,Volume
2006-6-28,34.475,36.95,34.101,36.818,415970
2006-6-29,37.295,38.2,36.33,38.1,387945
2006-6-30,39.05,40.3,38.8,39.567,564606
2006-7-3,38.261,40.6,38.261,40.24,233367
2006-7-4,40.2,40.789,39.617,40.399,201716
2006-7-5,40.3,40.38,38.37,38.694,344642
2006-7-6,38.75,40.7,38.75,40.504,247935
2006-7-7,40.501,41.3,39.751,40.106,280712
2006-7-10,39.8,41.05,39.224,40.867,228490
2006-7-11,40.625,41.26,39.72,39.891,268941
2006-7-12,40.19,40.81,39.86,40.089,377468
2006-7-13,39.895,40.16,37.27,37.699,510252
2006-7-14,37.375,39.287,36.311,38.723,564044
2006-7-17,38.821,38.99,37.125,37.902,346169
2006-7-18,37.4,39.05,36.8,38.816,283035
2006-7-19,38.715,39.66,37.92,39.431,336984
2006-7-20,39.9,40.49,39.15,39.389,340731
2006-7-21,39,39.8,38.6,39.148,193053
2006-7-24,38.995,39.6,38.756,39.5,190031
2006-7-25,40,40.178,39.2,39.443,237011
2006-7-26,39.51,40.2,39.3,39.455,188870
2006-7-27,39.599,40.836,39.57,40.733,432358
2006-7-28,40.53,40.75,39.651,39.975,293655
2006-7-31,40.475,40.587,39.125,39.265,251646
2006-8-1,39.603,40.29,38.741,39.167,331724
2006-8-2,39.155,40.65,39.101,40.65,269628
2006-8-3,40.825,40.97,39.551,40.698,486102
2006-8-4,41.005,42.299,40.7,42.072,406121
2006-8-7,41.811,41.988,40.952,41.838,269829
2006-8-8,42.1,42.485,41.3,41.8,309346
2006-8-9,41.99,42.45,41.609,42.359,301697
2006-8-10,42.17,42.194,41.449,41.888,239936
2006-8-11,41.825,42.823,41.825,42.697,262578
2006-8-14,42.785,43.29,41.8,41.999,298288
2006-8-15,41.944,41.944,40.1,41.402,358800
2006-8-16,42.558,42.558,40.75,41.099,226870
2006-8-17,41,41.1,39.81,40.164,241622
2006-8-18,40,40.12,38.02,38.642,355413
2006-8-21,39,39.65,38.43,39.31,255987
2006-8-22,39.473,40.45,39.33,40.365,210906
2006-8-23,40.002,41.088,39.59,40.7,265052
2006-8-24,40.3,40.89,39.86,40.189,356050
2006-8-25,40.37,40.9,40.269,40.794,112385
2006-8-28,40.535,40.9,40.418,40.651,58390
2006-8-29,40.651,40.9,39.27,39.58,275724
2006-8-30,39.8,40.3,39.122,39.387,515322
2006-8-31,39.735,39.95,38.83,39.055,355482
2006-9-1,39.7,39.7,38.866,39.015,175192
2006-9-4,39.419,39.421,38.6,39.05,130631
2006-9-5,39,39.35,38.625,39.255,362942
2006-9-6,39.201,39.249,37.515,37.615,774582
2006-9-7,37.4,37.45,36.015,36.299,466091
2006-9-8,36,36.699,35.95,36.299,321435
2006-9-11,35.8,35.9,33.9,34.254,370770
2006-9-12,34.6,35.073,33.915,34.252,540355
2006-9-13,34,35.33,33.8,34.859,462185
2006-9-14,35.203,36.17,35.07,35.131,473624
2006-9-15,34.705,35.55,34.08,34.198,331480
2006-9-18,34.567,35.14,34.232,35.021,264012
2006-9-19,35.22,35.753,35.12,35.545,372364
2006-9-20,34.7,34.83,34,34.551,355798
2006-9-21,34.2,35,33.822,34.255,511872
2006-9-22,34.433,34.6,32.91,33.065,456210
2006-9-25,32.9,33.088,31.83,31.992,360862
2006-9-26,32.5,33.39,32.45,33.217,466748
2006-9-27,33.4,35.19,33.4,34.722,628208
2006-9-28,35.4,35.783,35.111,35.38,469593
2006-9-29,35.21,35.546,34.58,34.895,360188
2006-10-2,35.4,35.8,34.721,35.306,271324
2006-10-3,34.601,34.787,33.725,33.84,279776
2006-10-4,33.355,33.787,32.722,33.198,791337
2006-10-5,33.705,35.19,33.517,34.841,582562
2006-10-6,34.515,34.8,33.85,34.333,417105
2006-10-9,34.123,35.65,34.025,35.446,380238
2006-10-10,35.4,35.99,34.571,34.95,531970
2006-10-11,34.515,35.297,34.16,35.151,462245
2006-10-12,34.801,35.1,34.345,34.968,368024
2006-10-13,35.286,35.888,35.25,35.743,407509
2006-10-16,36.093,36.44,35.552,35.854,461008
2006-10-17,36.706,36.9,35.79,36.069,553304
2006-10-18,35.725,36.686,35.651,36.526,572296
2006-10-19,36.116,36.49,35.722,36.217,614625
2006-10-20,36.59,36.65,35.3,35.464,488442
2006-10-23,35.4,35.5,34.12,34.704,472504
2006-10-24,34.796,34.93,33.932,34.212,362719
2006-10-25,34.488,34.985,34.1,34.754,397466
2006-10-26,35.45,35.55,34.6,34.815,578343
2006-10-27,34.527,34.796,33.85,34.207,467837
