Date,Open,High,Low,Close,Volume
2006-6-28,25.376,26.7,25.376,26.572,83057
2006-6-29,27.386,27.84,26.431,27.752,161632
2006-6-30,28.775,29,28.01,28.45,146640
2006-7-3,28.995,29.286,27.8,28.356,159310
2006-7-4,29.255,29.255,28.051,28.41,94935
2006-7-5,28.4,28.41,26.82,27.126,103116
2006-7-6,27.297,28.449,27.104,28.2,92269
2006-7-7,28.84,28.84,27.51,28,104364
2006-7-10,27.5,28.9,27.5,28.459,77821
2006-7-11,28.9,28.968,28.33,28.519,150973
2006-7-12,28.95,29.2,28.7,28.735,132893
2006-7-13,28.985,28.985,26.89,27.695,132110
2006-7-14,27.45,27.96,26.797,27.45,251823
2006-7-17,27.425,27.425,26.203,26.554,110207
2006-7-18,26.585,27.199,25.999,26.843,86125
2006-7-19,26.906,27.298,26.311,27.15,90241
2006-7-20,27.5,27.95,27.055,27.429,148810
2006-7-21,27.4,27.675,26.9,27.395,65241
2006-7-24,27.11,27.8,27.11,27.8,39862
2006-7-25,28,28.198,27.6,27.632,83712
2006-7-26,27.603,28.094,27.6,27.766,47632
2006-7-27,27.85,28.75,27.85,28.698,150484
2006-7-28,28.7,28.7,28.1,28.494,99791
2006-7-31,28.639,28.8,28.352,28.46,55239
2006-8-1,28.455,29.095,28.36,28.45,96547
2006-8-2,28.445,29.07,28.445,29.069,79507
2006-8-3,29.08,29.45,28.7,28.97,80109
2006-8-4,29.017,29.7,28.85,29.44,91846
2006-8-7,29.267,29.4,28.901,29.081,56902
2006-8-8,29.2,29.6,28.611,28.828,91281
2006-8-9,29,29.219,28.61,29.124,122102
2006-8-10,29.1,29.15,28.65,28.975,134662
2006-8-11,29.099,29.549,29.099,29.449,71832
2006-8-14,29.47,29.75,28.9,29.006,127123
2006-8-15,29.2,29.2,27.95,28.654,135221
2006-8-16,28.75,28.75,28.112,28.205,84240
2006-8-17,28.16,28.5,27.86,27.905,57116
2006-8-18,28,28.49,27,27,94069
2006-8-21,27.369,27.399,26.821,27.054,59685
2006-8-22,27.2,27.447,27.1,27.447,100836
2006-8-23,27.106,28.1,27.103,27.639,133947
