Date,Open,High,Low,Close,Volume
2008-12-18,0.27,0.27,0.27,0.27,0
2008-12-24,0.27,0.27,0.162,0.162,0
2008-12-25,0.13,0.13,0.13,0.13,1
2008-12-26,0.078,0.078,0.078,0.078,1301
2008-12-30,0.047,0.047,0.047,0.047,104
2008-12-31,0.047,0.047,0.047,0.047,1
2009-1-11,0.028,0.028,0.028,0.028,1
2009-1-12,0.035,0.035,0.021,0.021,5
2009-1-13,0.019,0.02,0.016,0.016,8
2009-1-15,0.024,0.024,0.024,0.024,3
2009-1-16,0.032,0.034,0.032,0.034,206
2009-1-19,0.044,0.048,0.044,0.048,206
2009-1-20,0.048,0.05,0.048,0.048,522
2009-1-21,0.048,0.048,0.032,0.032,341
2009-1-23,0.034,0.034,0.034,0.034,1
2009-1-27,0.04,0.04,0.04,0.04,0
2009-1-29,0.03,0.04,0.03,0.04,154
2009-2-4,0.04,0.04,0.04,0.04,250
2009-2-27,0.043,0.043,0.043,0.043,66
2009-3-12,0.035,0.04,0.035,0.04,6
2009-3-13,0.035,0.04,0.035,0.04,6
2009-3-16,0.035,0.04,0.035,0.04,6
2009-3-17,0.031,0.04,0.031,0.04,7
2009-3-18,0.035,0.041,0.035,0.041,7
2009-3-19,0.035,0.04,0.035,0.04,6
2009-3-20,0.035,0.04,0.024,0.04,28
2009-3-23,0.038,0.038,0.037,0.037,202
2009-3-25,0.022,0.05,0.022,0.05,1003
2009-3-26,0.05,0.05,0.04,0.04,342
2009-4-10,0.056,0.056,0.04,0.04,270
2009-4-13,0.039,0.055,0.039,0.043,2765
2009-4-14,0.046,0.051,0.046,0.046,205
2009-4-15,0.046,0.048,0.042,0.044,1155
2009-4-16,0.049,0.049,0.042,0.047,85
2009-4-17,0.028,0.046,0.028,0.045,240
2009-4-22,0.034,0.045,0.034,0.045,7
2009-4-23,0.044,0.044,0.043,0.044,10
2009-4-24,0.041,0.042,0.039,0.042,4
2009-4-27,0.037,0.041,0.037,0.04,2
2009-4-28,0.031,0.047,0.031,0.039,446
2009-4-29,0.03,0.044,0.03,0.044,0
2009-4-30,0.041,0.049,0.041,0.049,601
2009-5-4,0.042,0.049,0.042,0.049,6
2009-5-5,0.058,0.059,0.045,0.059,10
2009-5-6,0.042,0.048,0.04,0.044,4105
2009-5-7,0.044,0.047,0.043,0.046,1264
2009-5-8,0.042,0.047,0.042,0.047,737
2009-5-12,0.041,0.046,0.041,0.045,1531
2009-5-13,0.047,0.047,0.038,0.045,536
2009-5-14,0.043,0.044,0.04,0.044,1077
2009-5-15,0.04,0.044,0.04,0.044,381
2009-5-19,0.044,0.045,0.044,0.045,250
2009-5-20,0.045,0.045,0.04,0.045,24
2009-5-21,0.045,0.048,0.042,0.047,2997
2009-5-22,0.046,0.055,0.043,0.049,3244
2009-5-25,0.051,0.065,0.049,0.065,312
2009-5-26,0.085,0.09,0.056,0.079,212
2009-5-27,0.097,0.097,0.043,0.057,16702
2009-5-28,0.056,0.07,0.052,0.059,4790
2009-5-29,0.071,0.071,0.053,0.059,2886
2009-6-1,0.055,0.06,0.051,0.058,2133
2009-6-2,0.059,0.059,0.051,0.054,3444
2009-6-3,0.051,0.055,0.049,0.05,1359
2009-6-4,0.053,0.053,0.048,0.052,83
2009-6-5,0.05,0.057,0.05,0.054,1165
2009-6-8,0.053,0.058,0.048,0.05,2471
2009-6-9,0.05,0.05,0.047,0.049,5905
2009-6-10,0.054,0.054,0.045,0.048,5518
2009-6-11,0.045,0.048,0.045,0.046,2412
2009-6-15,0.048,0.048,0.04,0.043,1494
2009-6-16,0.048,0.059,0.045,0.053,8675
2009-6-17,0.058,0.059,0.052,0.055,2834
2009-6-18,0.058,0.059,0.051,0.056,3689
2009-6-19,0.059,0.059,0.052,0.053,121
2009-6-22,0.057,0.057,0.048,0.055,2479
2009-6-23,0.047,0.059,0.047,0.056,1094
2009-6-24,0.058,0.058,0.058,0.058,1001
2009-6-25,0.059,0.063,0.058,0.058,721
2009-6-26,0.065,0.065,0.058,0.059,524
2009-6-29,0.058,0.061,0.058,0.06,458
2009-6-30,0.064,0.065,0.052,0.053,432
2009-7-1,0.058,0.059,0.055,0.058,9878
2009-7-2,0.061,0.061,0.06,0.06,1
2009-7-3,0.064,0.081,0.055,0.062,4100
2009-7-6,0.06,0.062,0.059,0.062,455
2009-7-7,0.065,0.065,0.065,0.065,0
2009-7-8,0.068,0.068,0.068,0.068,0
2009-7-9,0.059,0.066,0.054,0.065,45
2009-7-10,0.064,0.064,0.056,0.062,316
2009-7-13,0.055,0.06,0.055,0.06,500
2009-7-15,0.058,0.063,0.058,0.059,125
2009-7-16,0.059,0.059,0.059,0.059,119
2009-7-17,0.059,0.059,0.058,0.058,149
2009-7-21,0.066,0.079,0.059,0.075,507
2009-7-22,0.073,0.073,0.073,0.073,0
2009-7-28,0.074,0.074,0.065,0.074,1
2009-7-29,0.06,0.074,0.06,0.074,0
2009-8-3,0.074,0.1,0.074,0.075,15
2009-8-4,0.074,0.075,0.074,0.075,200
2009-8-5,0.074,0.074,0.07,0.07,113
2009-8-7,0.075,0.075,0.071,0.071,2301
2009-8-10,0.075,0.099,0.075,0.084,104
2009-8-11,0.101,0.101,0.075,0.078,505
2009-8-12,0.071,0.071,0.071,0.071,87
2009-8-13,0.089,0.098,0.076,0.076,5
2009-8-14,0.08,0.106,0.08,0.106,407
2009-8-17,0.106,0.106,0.106,0.106,1
2009-8-18,0.13,0.13,0.129,0.129,0
2009-8-19,0.136,0.163,0.085,0.138,2957
2009-8-20,0.138,0.149,0.138,0.149,30
2009-8-21,0.111,0.135,0.101,0.103,101
2009-8-24,0.149,0.149,0.102,0.129,983
