Date,Open,High,Low,Close,Volume
2006-6-23,545.32,549,545.32,549,13
2006-6-26,548.9,548.9,540,540,7
2006-6-27,540,540,522.01,522.01,293
2006-6-28,522.1,532,512,515,853
2006-6-29,511.24,512,510.01,510.01,8
2006-6-30,520.01,534.3,520,520.01,133
2006-7-3,535,548.9,521.5,532.1,465
2006-7-4,554.36,554.36,527,533,119
2006-7-5,538,538,455,475,258
2006-7-6,529.98,530,515,525,552
2006-7-7,528.9,528.9,511,520,104
2006-7-10,529.96,529.96,506,525,60
2006-7-11,534.9,534.9,512,520,94
2006-7-12,503.46,527,503.46,524.99,169
2006-7-13,520,545,515,515,251
2006-7-14,488.04,525,488,524.9,740
2006-7-17,514.45,514.45,491.04,512,46
2006-7-18,508.2,508.2,490,493.1,460
2006-7-19,500,500,483,484,509
2006-7-20,490.01,496.98,480.01,493.99,784
2006-7-21,487,487,480,480,132
2006-7-24,484.99,493.9,484.99,490,629
2006-7-25,499,499,481.15,488.98,691
2006-7-26,489.99,489.99,481.2,489.6,316
2006-7-27,489,508,489,504.5,3036
2006-7-28,500,507.99,496.2,505.5,1143
2006-7-31,507.9,515,498.58,501.99,1872
2006-8-1,502,502,494,494.01,877
2006-8-2,493,498,493,496.5,489
2006-8-3,498.44,501.9,493.5,498,1950
2006-8-4,497.98,501.9,495,501,3013
2006-8-7,500,500.95,496.51,498.98,576
2006-8-8,498.01,499,495,498,312
2006-8-9,497.97,503,497.97,501,1326
2006-8-10,500,500.79,498,499,650
2006-8-11,498.15,501,498,499,1717
2006-8-14,499.88,502.2,499,500,462
2006-8-15,499.5,500,492.02,499.1,406
2006-8-16,499.1,507.49,498,505,388
2006-8-17,505,510,500,500.03,1778
2006-8-18,502,504.5,499,500.01,694
2006-8-21,503.8,503.99,498,500,477
2006-8-22,502.5,503.3,500.5,503,93
2006-8-23,515.58,515.58,501,503,713
2006-8-24,501,506,500.63,502.5,525
2006-8-25,504.37,505.5,501.1,505,710
2006-8-28,507,511,507,507.03,142
2006-8-29,509,513.98,506.5,506.77,949
2006-8-30,506.3,518,505.5,513,2599
2006-8-31,510.04,519,509.1,512.49,1638
2006-9-1,513,518,510,512,1361
2006-9-4,513,513,508.5,510,1060
2006-9-5,510.9,534,508.11,514,1325
2006-9-6,514.01,524.99,509.1,513.4,2968
2006-9-7,513,513,507,511.5,825
2006-9-8,508.01,515,507.5,511.33,1352
2006-9-11,507.09,514.8,507,511.99,2372
2006-9-12,511,511.99,507.1,511.48,490
2006-9-13,508.15,512,508.15,511.69,205
2006-9-14,510.5,526.98,510.5,526.98,2245
2006-9-15,525,561,525,558.2,2228
2006-9-18,561,578.99,555.65,563.8,908
2006-9-19,563.8,569,558.02,562,1318
2006-9-20,558,560.88,541.55,544,986
2006-9-21,547,550,537,539.5,1045
2006-9-22,539.5,542,511,516,1648
2006-9-25,517,518.99,507,513.98,593
2006-9-26,520,533.99,518.01,522.25,803
2006-9-27,532,532,520.02,525,727
2006-9-28,529,543.99,525,539,489
2006-9-29,538,557,530,544.99,3980
2006-10-2,555,560,550.55,555,614
2006-10-3,550,557,548,555,877
2006-10-4,541.05,554.98,541.05,550.8,584
2006-10-5,555,565,550,562,761
2006-10-6,563,571,530,570.91,1812
2006-10-9,575,577,568,575,651
2006-10-10,576,590,576,590,977
2006-10-11,592.69,618,592,613.31,5252
2006-10-12,614.84,617,609,614,1803
2006-10-13,615,615.77,606.1,615.35,522
2006-10-16,613.37,614.5,600,610.25,832
2006-10-17,611,616,610.25,612.9,475
2006-10-18,601.6,615.89,601.6,615,1228
2006-10-19,615.98,620,605,619,1096
2006-10-20,618,625,615,621,303
2006-10-23,621,669,615,640,4257
2006-10-24,639,644,633,639.9,1182
2006-10-25,640,640,631.6,636.5,267
2006-10-26,640,661.13,636.02,658,2905
2006-10-27,661.01,674.1,650,673,1424
2006-10-30,685.83,685.83,662,670,747
2006-10-31,663,681,660,680,626
2006-11-1,682,685,677,677,574
2006-11-2,677,679,665,679,1750
2006-11-3,670,678,668,671,447
2006-11-7,671.5,683,670,680,469
2006-11-8,676,682,672.5,678,1273
2006-11-9,683.29,683.3,675.75,679.99,486
2006-11-10,680,680,675,679,294
2006-11-13,679,679,665.01,665.01,1382
2006-11-14,665,674.95,665,673,642
2006-11-15,670,681,670,679.99,440
2006-11-16,679.9,688,675.6,687.98,833
2006-11-17,675,683.66,675,680,273
2006-11-20,679.99,679.99,669,673.85,423
2006-11-21,673,691,672.5,691,1036
2006-11-22,685.02,694,683.02,690,488
2006-11-23,690,692.47,681.12,691.99,391
2006-11-24,691.99,692.44,685.11,691.69,37
2006-11-27,691.5,693.5,688,690,713
2006-11-28,690,692.7,685,692.7,538
2006-11-29,695,700,690.9,699.9,482
2006-11-30,701.95,702,690.02,699,364
2006-12-1,700,703.9,698,702.5,653
2006-12-4,700,701,696.01,698.1,82
2006-12-5,698,713,691,711,731
2006-12-6,711,723,705.1,715,1532
2006-12-7,719.99,723,712,723,558
2006-12-8,725,736.98,715,736,1209
2006-12-11,729,738.68,728,735,1096
2006-12-12,726,745,724,740,1910
2006-12-13,746.99,747,730.01,734.11,488
2006-12-14,721,740.99,721,735.5,350
2006-12-15,742,744,735.5,736.1,150
2006-12-18,737,749,727,743,195
2006-12-19,738,746.79,735,745,2149
2006-12-20,748,748,740,743.21,261
2006-12-21,743.3,770,743.3,767.98,927
2006-12-22,765,770,755,766.45,311
2006-12-25,767.69,769.9,746,764.5,580
2006-12-26,767,775,744,775,239
2006-12-27,770,788.98,770,785,512
2006-12-28,785,807.7,785,806,980
2006-12-29,809.9,814.9,801,814.9,616
2007-1-9,770,800,770,778,585
2007-1-10,789.97,789.97,722.1,754.86,1945
2007-1-11,754.43,778.98,724.2,770,580
2007-1-12,780,780,760,768.01,67
2007-1-15,779.89,779.9,745.01,760,1355
2007-1-16,758,760,730.02,740,907
2007-1-17,731.1,755,726.06,743,800
2007-1-18,754.9,760,745,745,368
2007-1-19,735.97,749.7,735,740,233
2007-1-22,747,759.8,738,745,195
2007-1-23,748,760,745,758,257
2007-1-24,758.5,782,751.5,751.5,612
2007-1-25,758,776.89,750.01,768.5,437
2007-1-26,768.5,777,754.02,776.97,225
2007-1-29,756.09,787,756.09,757.19,129
2007-1-30,760,769.5,750,761.5,207
2007-1-31,755.51,768.5,755.51,765.5,53
2007-2-1,767,773.16,760,767.8,74
2007-2-2,770,770.99,760,760,370
2007-2-5,765,805,759,805,1564
2007-2-6,805,890,805,885,4746
2007-2-7,893,905,850,895,2087
2007-2-8,895,895,871,880,1176
2007-2-9,882,898,852,897,377
2007-2-12,897,899.98,850.01,884.02,356
2007-2-13,818.1,875.12,818,865,757
2007-2-14,908,908,843,843.1,798
2007-2-15,840,853,827.1,850,5099
2007-2-16,854.99,854.99,840.02,844.99,20
2007-2-19,845,848.05,825.01,840,102
2007-2-20,826.01,841,825,826.01,2253
2007-2-21,830,845,830,845,899
2007-2-22,850,863.98,849,863,1109
2007-2-26,863,904.99,862.91,890,2093
2007-2-27,881.5,881.5,858,858,668
2007-2-28,864.5,864.5,810,830,2132
2007-3-1,840,850,780.05,780.05,1773
2007-3-2,799,820,782,804,414
2007-3-5,772.02,788,711.1,772,420
2007-3-6,772,850,772,795,646
2007-3-7,799.59,799.59,760.01,780,244
2007-3-9,799.59,799.59,772,792.97,636
2007-3-12,799,817,786.21,800,1404
2007-3-13,803,803,785,790,87
2007-3-14,772.9,789.99,753.51,773,862
2007-3-15,781,798.5,781,792,924
2007-3-16,790,795,778,780.01,319
2007-3-19,786.73,798.99,786.73,794.99,413
2007-3-20,800,829,795.5,829,1110
2007-3-21,830,830,805.01,814.99,1593
2007-3-22,816,844.9,813.5,832.5,1434
2007-3-23,821.1,840,821.09,837.15,744
2007-3-26,840.07,865,832.13,847,1014
2007-3-27,850.5,860,840.1,845.15,772
2007-3-28,854,854,842,853.95,901
2007-3-29,805,861,805,850,661
2007-3-30,857,864.2,840,850,806
2007-4-2,849,849,801,824.98,616
2007-4-3,824.9,830,801.51,811.4,656
2007-4-4,811.4,816,810,814.49,553
2007-4-5,828,828,810.01,814.3,1271
2007-4-6,812,812,801.54,809.99,270
2007-4-9,809.5,815.78,805.1,806.04,510
2007-4-10,806.04,807.47,802,803,181
2007-4-11,803,808.98,801.17,802,308
2007-4-12,801.18,808,800.01,802,383
2007-4-13,802,807.99,770,802,1172
2007-4-16,807.5,807.51,777.79,784.79,1243
2007-4-17,787,793.94,775,785,622
2007-4-18,779.99,779.99,773,776,349
2007-4-19,774.13,775,760,770,1319
2007-4-20,774,790,770,778,937
2007-4-23,784.8,793.7,774,780,518
2007-4-24,782,789,780,789,580
2007-4-25,789,835,782,830,2383
2007-4-26,830,839,820,830.05,2396
2007-4-27,825,830,789,815.98,975
2007-4-28,815,826.8,815,826,467
2007-5-2,823,835.9,819,830,1258
2007-5-3,834,834,822,829.37,1507
2007-5-4,824.1,832.95,824,824,648
2007-5-7,829,830,816,829,789
2007-5-8,815.07,829.8,815.07,829.8,172
2007-5-10,829,835,825,834,1024
2007-5-11,833,834.99,810,827,434
2007-5-14,828.5,828.5,800,817,513
2007-5-15,817,817,806,807,288
2007-5-16,807,815,807,814.5,44
2007-5-17,815,820,806,808,166
2007-5-18,808,814,808,814,215
2007-5-21,811,822.89,810.5,822.37,125
2007-5-22,823.37,826.9,818.1,825,1982
2007-5-23,822,822.01,807,811,410
2007-5-24,812,820,801,820,479
2007-5-25,805.01,819,805.01,817,170
2007-5-28,817,820,812,817,113
2007-5-29,810,817.99,800,805,219
2007-5-30,785,804,720,800,106
2007-5-31,803,817,801,817,66
2007-6-1,817.5,817.5,800.03,812.85,191
2007-6-4,812,817.37,810,811.37,176
2007-6-5,814.37,817,813.25,813.25,558
2007-6-6,815,821.59,810,815,230
2007-6-7,815.37,815.37,811.1,811.21,260
2007-6-8,811,815,806,815,204
2007-6-9,815,847.95,815,840,1950
2007-6-13,840,840,815,825,1301
2007-6-14,841,845,830,831.01,1952
2007-6-15,829.75,884.99,825.1,870,2697
2007-6-18,869,882,860.48,880,3854
2007-6-19,879,880,855.01,856.11,550
2007-6-20,868,870,857,863,2267
2007-6-21,859.9,860,850,855,252
2007-6-22,859.88,862,851.02,862,355
2007-6-25,858.99,870,853.77,860.01,543
2007-6-26,853.01,873.5,853,873.5,375
2007-6-27,874.95,874.95,852,869,383
2007-6-28,868.99,875,860,867,814
2007-6-29,867,872.37,865,871,693
2007-7-2,867.01,870.01,867,869.95,1287
2007-7-3,871.5,919.99,868,908,4674
2007-7-4,941.7,941.7,902,912,1470
2007-7-5,912,920,901,901,642
2007-7-6,901.51,915,895,913,394
2007-7-9,908,954,908,954,2538
2007-7-10,951,963,942.51,954.37,1782
2007-7-11,906.5,959.98,906.5,941.01,728
2007-7-12,949.98,961,940,945.21,1593
2007-7-13,960,978,935,939.37,347
2007-7-16,939.37,950,910.1,931.22,629
2007-7-17,928,936,901.11,925,360
2007-7-18,911,928.98,825,918.99,536
2007-7-19,918.37,918.37,907.02,914,1009
2007-7-20,914,914,901,913,530
2007-7-23,905,913,904,906,158
2007-7-24,903.02,909.99,895,895,243
2007-7-25,895,908,895,904,1115
2007-7-26,910,919,890,890,696
2007-7-27,889.1,897.99,862.5,878,899
2007-7-30,905.45,905.45,863,891,324
2007-7-31,900,969.99,900,962,4954
2007-8-1,952.5,960,905,960,6501
2007-8-2,970.01,975,951.11,970,1053
2007-8-3,961,1020,951.02,1017.9,2088
2007-8-6,1005,1022,986,1017.99,2757
2007-8-7,1011.5,1039,1000,1018,2627
2007-8-8,1032,1038.7,1007,1034.99,878
2007-8-9,1012.5,1040,1011.11,1025.03,1333
2007-8-10,1000.55,1025,981,999.99,2124
2007-8-13,1010,1021,1004,1017.99,2586
2007-8-14,1024,1030,1013,1024,589
2007-8-15,1015.5,1032,1015.5,1025,1049
2007-8-16,1011,1025,986,1003.1,1138
2007-8-17,1000,1017,970,1005,666
2007-8-20,1005,1018.49,992,1010.15,283
2007-8-21,1002,1011.99,980,990,1463
2007-8-22,996,1013.48,990,1010,2246
2007-8-23,1014.49,1048,1007.55,1048,3376
2007-8-24,1037,1056,1020,1044.7,2023
2007-8-27,1046,1060,1033.73,1041.82,1309
2007-8-28,1038.51,1040,1022.34,1030,1318
2007-8-29,1012.03,1033,1012.03,1022,947
2007-8-30,1034.97,1043,1022,1035.69,1156
2007-8-31,1032,1058,1030,1044.5,615
2007-9-3,1059,1100,1030,1073.64,1500
2007-9-4,1073,1080,1067.5,1072,773
2007-9-5,1073.9,1078,1070,1078,468
2007-9-6,1075,1096,1060,1072.1,358
2007-9-7,1072.1,1078,1070,1075.5,244
2007-9-10,1075,1078,1064,1073.3,428
2007-9-11,1081,1098,1069.03,1088,774
