Date,Open,High,Low,Close,Volume
2009-7-16,35,35,35,35,40
2009-8-3,49,49,49,49,20
2009-8-12,58.6,58.6,36,36,20
2009-8-14,50.4,50.4,50.4,50.4,30
2009-8-18,54.999,54.999,54.999,54.999,10
2009-9-11,50,50,50,50,250
2009-9-15,40.01,40.01,40.01,40.01,300
2009-9-16,38.01,38.01,33.33,33.67,580
2009-9-22,42,43.989,34,34,30
2009-9-28,30.01,42.999,30.01,34,100
2009-9-30,32.01,32.01,31.28,31.28,20
2009-10-1,35.99,41.91,34,34,40
2009-10-5,37.999,37.999,37.999,37.999,10
2009-10-7,38,38,38,38,10
2009-10-8,44,45.98,44,45.98,40
2009-10-9,44.988,44.988,44.988,44.988,100
2009-10-12,46.01,46.01,46.01,46.01,20
2009-10-16,48.4,48.4,43.003,44.003,410
2009-11-16,59.928,59.928,33.001,33.001,30
2009-11-17,30.349,42.42,30.349,42.42,20
2009-11-24,42.4,42.4,42.4,42.4,10
2009-12-11,40.01,40.01,40.01,40.01,40
2009-12-18,40.01,40.01,40.01,40.01,50
2009-12-24,40,40,40,40,10
2009-12-25,54.83,54.83,38.215,45.5,40
2010-1-19,40.01,59.444,40.01,47,140
2010-1-21,47.001,47.001,47.001,47.001,10
2010-1-27,42.25,43,42,42,320
2010-1-28,40.111,47.4,40.022,40.022,270
2010-1-29,48.4,48.4,41.777,41.777,20
2010-2-1,48,48,42.222,42.85,30
2010-2-2,43.997,44.033,40.3,44.033,90
2010-2-3,41.007,42.433,41.007,41.9,60
2010-2-4,42.32,42.32,42.32,42.32,10
2010-2-5,40.01,40.01,40.01,40.01,10
2010-2-8,42,42,41.03,41.03,20
2010-2-10,41.01,41.01,41.01,41.01,10
2010-2-11,47.569,47.569,47.569,47.569,10
2010-2-15,43.1,44.99,43.1,44.99,20
2010-2-16,45.79,46.499,45,45,160
2010-2-17,44.99,45,44.99,45,20
2010-2-25,43,44.98,43,44.98,20
2010-3-2,54.999,54.999,54.999,54.999,10
2010-3-3,45.502,45.502,45,45.5,180
2010-3-4,45.021,45.021,45.021,45.021,10
2010-3-9,44,44,44,44,10
2010-3-11,47.999,48,47.999,47.999,120
2010-3-12,48,49.999,46,47,70
2010-3-15,48.5,48.5,46.006,46.006,20
2010-3-17,46.011,46.011,46.011,46.011,10
2010-3-18,49.999,49.999,48.999,49,60
2010-3-19,50,50,50,50,10
2010-3-24,47,47,47,47,70
2010-4-1,45.511,49.998,45.511,48,30
2010-4-2,49,65,49,65,190
2010-4-6,69.98,69.98,69.98,69.98,20
2010-4-16,65.01,75,65.01,71,200
2010-4-20,66.5,66.5,66.5,66.5,10
2010-4-23,56,69.998,56,69.998,60
2010-4-27,65,65,65,65,10
2010-4-28,65,65,65,65,80
2010-5-6,65,65,65,65,10
2010-5-19,59.9,59.9,53,56.39,180
2010-5-20,58,58,58,58,10
2010-5-24,58,58,58,58,20
2010-5-28,54.312,76,54.31,76,180
2010-6-1,65,65,60,60,140
2010-6-2,64,65,64,65,80
