Date,Open,High,Low,Close,Volume
2011-12-9,87.09,87.09,87.09,87.09,1
2012-3-20,121,121,121,121,2
2012-3-21,151,169.4,151,169.4,242
2012-3-22,227,227,101.64,101.64,1410
2012-3-23,100,100,93,98.9,150
2012-3-26,98.9,98.9,59.34,59.34,1080
2012-3-27,50,61.5,42,51,409
2012-3-28,56.95,58,40,51.9,342
2012-3-29,50,50,42,43,74
2012-3-30,42,42,31,35.5,1361
2012-4-2,33.03,47.49,33.03,46.29,976
2012-4-3,49.55,59.9,40.55,53.3,1004
2012-4-4,50,58.8,41,44.66,859
2012-4-5,42.15,46.97,38.1,42,582
2012-4-6,44.44,44.44,40.4,40.41,210
2012-4-9,40.4,41,35.5,36.62,336
2012-4-10,38,39.8,35.02,36.99,162
2012-4-11,36.5,49.75,36.5,41.6,823
2012-4-12,39.1,40.29,37.5,39.64,191
2012-4-13,36.72,41.69,36.72,40.69,20
2012-4-16,37.38,39.48,36.27,38,27
2012-4-17,35,36.99,34.8,36.99,16
2012-4-18,34.55,36,32,35.5,106
2012-4-19,37,37,32.6,33,132
2012-4-20,32.05,33,32,32,145
2012-4-23,31.99,31.99,30.59,30.59,6
2012-4-24,30,36.93,29.56,31,158
2012-4-25,32.98,35,32.47,35,117
2012-4-26,33.34,34.99,32,34.99,77
2012-4-27,32,32,31,31,264
2012-4-28,32.01,32.01,30.77,31,238
2012-5-2,30.11,32,26.26,27.99,121
2012-5-3,27.7,29.8,27.2,29.8,20
2012-5-4,26.05,29.79,19,20.02,2730
2012-5-5,23.77,25.98,17.01,22,706
2012-5-7,25,25,17.88,23.69,173
2012-5-8,21.51,24,20.01,22.98,25
2012-5-10,23.89,23.89,20.4,23.68,90
2012-5-11,23.5,25,21.21,24,106
2012-5-12,22,24.96,22,22.5,138
2012-5-14,23.99,31.5,21.1,31.5,2711
2012-5-15,32,42.5,25.11,36.51,2560
2012-5-16,38.3,38.45,35,36.54,203
2012-5-17,35.02,35.02,25.56,31.5,137
2012-5-18,34,34,25,27.05,264
2012-5-21,26,30,26,28.5,76
2012-5-22,30,39.62,27,37.99,622
2012-5-23,35.1,42,30,31.28,901
2012-5-24,31.31,33.89,28,29.96,275
2012-5-25,29.98,32.9,28,28.17,168
2012-5-28,28.32,30.89,27,29.98,141
2012-5-29,27.5,32,27.05,30,356
2012-5-30,31,31,27.51,29.36,41
2012-5-31,28.1,30.8,25.15,28.99,189
2012-6-1,26.05,29.65,26.05,28.77,74
2012-6-4,28.2,28.74,25.13,28.74,17
2012-6-5,26.8,28.79,26.8,28.79,6
2012-6-6,27.5,28.44,25.75,28.44,81
2012-6-7,29.1,29.1,27.1,27.27,92
2012-6-8,27.03,27.03,25,26.98,194
2012-6-9,27.4,28.64,27.4,28,64
2012-6-13,27.98,34.88,27.81,27.81,1530
2012-6-14,27.9,30.29,27.9,30.29,21
2012-6-15,31.48,31.48,25.61,28.86,335
2012-6-18,29,29.3,27.5,29,16
2012-6-19,29.5,29.5,27.55,27.55,279
2012-6-20,26.22,28.9,25,25.74,612
2012-6-21,25.02,26.62,23.3,26.62,462
2012-6-22,26.99,26.99,24.06,24.06,27
2012-6-25,26.7,26.7,24.36,25.55,8
2012-6-26,27.4,27.4,24,25.52,13
2012-6-27,27.29,27.29,23,25.5,35
2012-6-28,24,25.1,22.6,25.1,68
2012-6-29,25.99,26.4,25.5,26.4,59
2012-7-2,26.3,26.94,24.04,25.93,62
2012-7-3,24.22,26.07,24.21,25.74,13
2012-7-4,24.97,26.6,24.97,26.6,7
2012-7-5,26.59,27.1,23.18,25.99,216
2012-7-6,26.68,26.68,22,25.29,100
2012-7-9,22.81,25.27,22.81,24.98,20
2012-7-10,23.98,26.28,23.9,24.49,45
2012-7-11,24,25,24,25,2
2012-7-12,26,26,22.95,25.6,4
2012-7-13,25.55,25.59,25.55,25.59,10
2012-7-16,24.99,24.99,24.98,24.98,2
2012-7-17,25.74,25.74,23.79,25.5,72
2012-7-18,25.62,25.62,23.55,24.99,32
2012-7-19,25.48,25.48,23,23.5,86
2012-7-20,23.49,23.5,23.49,23.5,72
2012-7-23,24,24,21.99,23.91,173
2012-7-24,22,23.84,21.82,23.84,5
2012-7-25,23.19,24.49,21.82,24.26,132
2012-7-26,24.39,24.39,21,22.1,302
2012-7-27,20.6,22.44,20.05,21.3,486
2012-7-30,20.7,22.49,19.14,19.56,445
2012-7-31,20.8,28.67,19.8,28.67,2537
2012-8-1,30,40.14,29.1,34,2044
2012-8-2,33.14,36.94,30,33,608
2012-8-3,33.92,34.97,30.1,33.99,25
2012-8-6,33,34.33,31.15,33.98,98
2012-8-7,30.94,33.98,30.94,33.98,7
2012-8-8,33.95,33.95,33.95,33.95,1
2012-8-9,32.94,32.94,32.01,32.01,3
2012-8-10,32.94,32.94,30.47,32.9,14
2012-8-13,30,32.8,30,32.74,29
2012-8-14,30.05,32.64,30.04,32.64,10
2012-8-16,32.77,32.77,32.77,32.77,1
2012-8-17,29.07,32.48,29.07,31.99,58
2012-8-20,31.98,31.99,27,29,208
2012-8-21,26.77,28.99,25,28.76,83
2012-8-22,28.75,28.75,26.4,28.64,22
2012-8-23,27.5,28.47,26.06,26.06,30
2012-8-24,28.63,32,26.73,31.69,13
2012-8-27,29,31.22,27.61,31.17,106
2012-8-28,31.66,31.66,22.64,24.2,1133
2012-8-29,23.57,26.75,21.57,23.56,554
2012-8-30,23,25.75,22.8,24.99,145
2012-8-31,23.21,25.74,23.2,24.99,31
2012-9-3,25,25.3,25,25.13,125
2012-9-4,24.25,25,24.24,25,29
2012-9-6,22.81,22.81,22.81,22.81,1
2012-9-7,24,29.41,23.01,27.49,923
2012-9-10,28.47,28.47,25.14,26.49,9
2012-9-11,26.58,28.76,22.35,27.66,369
2012-9-12,24.52,26.88,24.52,26.17,68
