Date,Open,High,Low,Close,Volume
2005-9-23,0.18,0.25,0.18,0.25,6
2005-9-27,0.55,0.55,0.29,0.3,4
2005-9-28,0.46,1.2,0.46,0.77,7
2005-9-29,0.86,0.86,0.72,0.72,2
2005-10-3,0.72,0.72,0.56,0.72,7
2005-10-5,0.93,0.93,0.79,0.79,8
2005-10-7,0.21,0.6,0.21,0.6,4
2005-10-27,0.87,0.87,0.87,0.87,0
2005-11-2,0.4,0.4,0.23,0.26,40
2005-11-3,0.26,0.26,0.25,0.25,5
2005-11-7,0.24,0.25,0.24,0.24,9
2005-11-8,0.26,0.26,0.23,0.23,11
2005-11-9,0.24,0.25,0.23,0.25,14
2005-11-10,0.26,0.32,0.26,0.32,3
2005-11-11,0.24,0.24,0.24,0.24,0
2005-11-14,0.28,0.28,0.25,0.25,2
2005-11-15,0.34,0.34,0.25,0.25,1
2005-11-16,0.23,0.28,0.23,0.27,1
2005-11-21,0.25,0.25,0.25,0.25,9
2005-11-22,0.24,0.24,0.24,0.24,0
2005-11-28,0.24,0.24,0.22,0.22,0
2005-11-29,0.2,0.2,0.2,0.2,0
2005-11-30,0.2,0.24,0.2,0.24,4
2005-12-5,0.21,0.21,0.2,0.2,3
2005-12-13,0.27,0.36,0.26,0.36,44
2005-12-14,0.78,0.78,0.215,0.338,4
2005-12-15,0.35,0.35,0.25,0.25,0
2005-12-16,0.25,0.3,0.25,0.3,1
2005-12-19,0.321,1.108,0.205,0.52,21
2005-12-20,0.6,0.7,0.289,0.551,14
2005-12-21,0.519,0.54,0.301,0.42,3
2005-12-22,0.46,0.48,0.3,0.48,6
2005-12-23,0.468,0.548,0.36,0.383,4
2005-12-26,0.548,0.548,0.548,0.548,0
2005-12-27,0.449,0.449,0.38,0.38,1
2005-12-28,0.42,0.46,0.38,0.46,1
2005-12-29,0.41,0.41,0.39,0.39,0
2006-1-10,0.42,0.44,0.42,0.44,0
2006-1-11,0.447,0.9,0.445,0.447,33
2006-1-12,0.49,0.72,0.49,0.527,33
2006-1-13,0.6,0.69,0.369,0.49,90
2006-1-16,0.468,0.535,0.379,0.444,32
2006-1-17,0.435,0.435,0.369,0.397,5
2006-1-18,0.391,0.391,0.38,0.38,4
2006-1-19,0.477,0.477,0.3,0.43,3
2006-1-20,0.39,0.42,0.3,0.383,33
2006-1-23,0.399,0.399,0.399,0.399,1
2006-1-25,0.37,0.4,0.31,0.39,3
2006-1-26,0.38,0.38,0.33,0.359,1
2006-1-27,0.5,0.5,0.34,0.35,1
2006-1-30,0.353,0.353,0.349,0.349,0
2006-1-31,0.384,0.4,0.384,0.4,4
2006-2-1,0.351,0.399,0.35,0.399,0
2006-2-2,0.34,0.34,0.3,0.3,14
2006-2-3,0.293,0.3,0.292,0.3,3
2006-2-6,0.33,0.33,0.32,0.32,0
2006-2-7,0.336,0.374,0.305,0.355,1
2006-2-8,0.355,0.357,0.355,0.357,0
2006-2-9,0.34,0.34,0.285,0.285,4
2006-2-10,0.295,0.349,0.295,0.33,0
2006-2-14,0.335,0.335,0.335,0.335,0
2006-2-15,0.377,0.377,0.283,0.283,3
2006-2-17,0.3,0.3,0.3,0.3,0
2006-2-20,0.377,0.377,0.352,0.37,4
2006-2-21,0.35,0.35,0.35,0.35,0
2006-2-22,0.38,0.4,0.32,0.389,10
2006-2-26,0.37,0.395,0.3,0.39,24
2006-2-27,0.375,0.393,0.37,0.383,0
2006-2-28,0.37,0.37,0.323,0.34,3
2006-3-1,0.35,0.355,0.3,0.355,21
2006-3-2,0.34,0.367,0.3,0.348,1
2006-3-3,0.35,0.398,0.337,0.398,17
2006-3-6,0.389,0.389,0.353,0.387,3
2006-3-7,0.37,0.41,0.33,0.37,16
2006-3-9,0.369,0.37,0.369,0.37,0
2006-3-10,0.38,0.385,0.343,0.36,0
2006-3-13,0.354,0.354,0.34,0.34,0
2006-3-14,0.364,0.385,0.36,0.373,2
2006-3-15,0.37,0.38,0.34,0.374,2
2006-3-16,0.305,0.35,0.3,0.35,31
2006-3-17,0.35,0.35,0.3,0.328,20
2006-3-20,0.327,0.327,0.308,0.315,0
2006-3-21,0.315,0.315,0.3,0.311,0
2006-3-22,0.32,0.323,0.301,0.323,5
2006-3-23,0.318,0.319,0.306,0.306,1
2006-3-24,0.307,0.328,0.296,0.315,1
2006-3-27,0.311,0.327,0.31,0.311,3
2006-3-28,0.321,0.322,0.321,0.322,6
2006-3-29,0.315,0.315,0.2,0.291,19
2006-3-30,0.319,0.319,0.235,0.306,9
2006-3-31,0.291,0.304,0.291,0.304,0
2006-4-4,0.304,0.31,0.298,0.31,4
2006-4-5,0.295,0.295,0.27,0.27,0
2006-4-6,0.299,0.3,0.281,0.281,4
2006-4-7,0.282,0.282,0.282,0.282,0
2006-4-10,0.295,0.295,0.284,0.284,1
2006-4-11,0.284,0.284,0.24,0.24,4
2006-4-12,0.24,0.249,0.211,0.212,16
2006-4-13,0.229,0.299,0.229,0.27,34
2006-4-14,0.27,0.27,0.246,0.251,0
2006-4-18,0.248,0.248,0.235,0.235,11
2006-4-19,0.267,0.27,0.234,0.245,13
2006-4-20,0.243,0.259,0.236,0.255,4
2006-4-25,0.266,0.269,0.25,0.266,10
2006-4-26,0.235,0.264,0.235,0.242,4
2006-4-27,0.235,0.252,0.2,0.252,1
2006-4-28,0.256,0.286,0.24,0.272,14
2006-5-2,0.272,0.272,0.235,0.244,2
2006-5-4,0.21,0.255,0.21,0.255,0
2006-5-6,0.257,0.257,0.221,0.221,1
2006-5-10,0.222,0.223,0.221,0.221,6
2006-5-11,0.23,0.254,0.221,0.254,0
2006-5-12,0.23,0.248,0.224,0.236,0
2006-5-15,0.237,0.246,0.236,0.236,0
2006-5-16,0.242,0.243,0.242,0.243,14
2006-5-19,0.225,0.225,0.2,0.22,2
2006-5-22,0.197,0.197,0.191,0.191,1
2006-5-23,0.197,0.197,0.1,0.185,5
2006-5-24,0.177,0.178,0.17,0.178,44
2006-5-25,0.178,0.178,0.178,0.178,0
2006-5-26,0.222,0.222,0.175,0.175,1
2006-5-31,0.16,0.17,0.16,0.17,0
2006-6-1,0.203,0.203,0.199,0.203,1
2006-6-2,0.238,0.238,0.181,0.181,0
2006-6-5,0.233,0.233,0.199,0.2,0
2006-6-7,0.181,0.181,0.15,0.15,1
2006-6-8,0.2,0.2,0.2,0.2,0
