Date,Open,High,Low,Close,Volume
2006-6-26,100.46,101.85,93.11,94.99,282126
2006-6-27,95.92,99,94.12,96.87,363219
2006-6-28,95.94,97.8,95,96.8,183904
2006-6-29,97.53,99.75,94.81,98.97,326171
2006-6-30,103.53,106.5,102.41,104.11,607650
2006-7-3,105.3,117.77,105.1,116.69,809712
2006-7-4,118.2,123.99,115.12,120,1199837
2006-7-5,120,121,108.7,110.32,652444
2006-7-6,110.58,118.2,110,117.79,910930
2006-7-7,118,119.55,114.13,116.95,507152
2006-7-10,115,118.49,112.35,116.35,270980
2006-7-11,116.82,120.7,115.51,118.43,500878
2006-7-12,120,123,119.1,121.5,666803
2006-7-13,120.5,122.9,115.1,116.38,630081
2006-7-14,115.5,119.25,113.5,116.63,444298
2006-7-17,116.99,117.59,114.11,115.09,199583
2006-7-18,113.91,116.96,110.3,115.64,385597
2006-7-19,115.62,119.65,114,118.81,273360
2006-7-20,122.17,127.25,121.12,123.84,761614
2006-7-21,122.83,125.1,122.38,124.09,349261
2006-7-24,123.68,127,123.23,126.48,284175
2006-7-25,128.5,136.43,128.16,133.18,1094670
2006-7-26,134.03,138,133.45,134.67,464838
2006-7-27,138.13,139.75,136.1,138.29,511861
2006-7-28,137.35,137.8,131.7,135.17,347610
2006-7-31,136.62,138.19,132.1,133.89,275487
2006-8-1,134.52,136.05,132.1,133.2,236112
2006-8-2,134.22,135.18,130.3,135.12,285788
2006-8-3,136.13,138.5,134.56,138.46,436206
2006-8-4,139,146.92,137.51,146.49,447208
2006-8-7,146,146.7,143.68,145.98,207514
2006-8-8,147,147,140.13,142.73,311050
2006-8-9,143.77,146.65,140.5,146.17,268219
2006-8-10,144.37,146,143.05,145.39,202783
2006-8-11,146,150.5,145.5,149.99,285524
2006-8-14,150.5,155.55,149,152.4,406153
2006-8-15,151.98,156.35,146.14,155.48,416787
2006-8-16,157.06,160,155,159.03,466034
2006-8-17,160.12,161,155.3,158.71,297989
2006-8-18,152.44,154.9,142.32,144.08,501910
2006-8-21,144.99,148,144.69,146.4,215949
2006-8-22,146.9,147.91,144.4,147.4,217041
2006-8-23,147.55,152.98,145.5,151.01,240680
2006-8-24,148,151,147.11,148.19,189087
2006-8-25,149.2,151.95,148.6,149.37,239876
2006-8-28,148,148.5,143.5,144.27,262627
2006-8-29,145,145.74,140.5,141.31,368476
2006-8-30,140.68,144.1,139.7,140.85,264237
2006-8-31,142,143.5,139.89,140.63,167019
2006-9-1,141,141.6,136.22,136.68,235161
2006-9-4,138.51,138.97,135.05,137.95,146189
2006-9-5,137.3,143.75,136.33,142.18,302582
2006-9-6,141.5,142.89,136.65,137.23,203140
2006-9-7,134.44,134.79,127.33,128.22,483366
2006-9-8,126.5,129.5,124.82,127.97,267164
2006-9-11,126,126.5,118.94,119.52,331219
2006-9-12,121.17,123.95,118.7,122.48,433361
2006-9-13,122,124.89,119.51,124.33,359359
2006-9-14,128.4,131.56,125.25,125.76,596689
2006-9-15,124,128.08,121.1,122.69,423435
2006-9-18,126.97,126.97,121.31,124.25,376219
2006-9-19,125.45,127,123,124.81,469323
2006-9-20,121.4,122.18,118.78,121.51,333638
2006-9-21,120,122.33,116.95,120,278332
2006-9-22,121,121,113.81,114.2,410763
2006-9-25,112.39,114,106.48,106.99,386540
2006-9-26,110.55,111.29,108.59,110.2,490327
2006-9-27,111.21,114.7,110.55,113.49,600113
2006-9-28,117,120,115.13,116.44,506716
2006-9-29,116.35,116.38,112.17,113.16,419160
2006-10-2,115,115.91,113.19,115.28,290309
2006-10-3,113,113.39,110.73,111.31,343481
2006-10-4,108,113.59,107.3,112.52,456842
2006-10-5,115.55,118.3,113.63,117.03,494288
2006-10-6,117.24,117.6,115.5,116.56,242845
2006-10-9,117.95,122.98,115.13,122.7,672470
2006-10-10,121.99,126.1,120.57,121.61,947085
2006-10-11,121,125.64,119.51,124.65,712792
2006-10-12,123.5,127.48,122.9,124.85,623844
2006-10-13,126.05,127.89,126,127.16,429970
2006-10-16,131.8,131.8,126.5,127.54,448681
2006-10-17,130.6,130.9,125,126.02,371830
2006-10-18,125.18,128.59,125.14,127.99,440723
2006-10-19,127,128.28,126.2,127.66,374532
2006-10-20,129.38,129.45,123.04,124.7,452870
2006-10-23,124.7,124.89,120.3,122.6,468274
2006-10-24,123.51,123.75,120.22,122.21,261345
2006-10-25,123,126.1,121.87,125.08,328484
2006-10-26,128.26,128.9,124.5,125.35,484940
2006-10-27,125.88,125.91,123.15,124.18,413592
2006-10-30,123.5,124.49,120.66,120.87,375367
2006-10-31,120.5,124.23,119.47,123.75,283985
2006-11-1,124.11,125.7,123.34,125.07,513560
2006-11-2,124.45,124.5,121.9,122.26,200623
2006-11-3,121.5,123.74,121.35,123.42,239490
2006-11-7,125.06,125.9,124.2,125.14,405909
2006-11-8,124.13,124.4,121.92,123.03,258857
2006-11-9,124.26,128.85,124.06,128.19,1025058
2006-11-10,128.98,130.6,126.8,130.04,745132
2006-11-13,127.85,132.7,127.85,129.94,825259
2006-11-14,130,130.66,128.05,129.25,331544
2006-11-15,128.88,130.46,128.7,129.87,229876
2006-11-16,130.22,132.59,129.8,132.23,549270
2006-11-17,128,129.99,125.5,128.04,607696
2006-11-20,127.31,128.45,125.2,125.91,208934
2006-11-21,126.18,130.02,126.18,129.61,336690
2006-11-22,131.85,132.28,127,128.08,655099
2006-11-23,128.5,129.9,127.5,128.52,249302
2006-11-24,128,130.5,126.35,129.8,336853
2006-11-27,131,131.48,128.8,129.35,305097
2006-11-28,129.05,129.8,127.77,129.1,272916
2006-11-29,132.7,133,130.12,131.9,567320
2006-11-30,133.6,134.4,128.4,128.89,1239336
2006-12-1,129,129.2,126.6,127.68,651822
2006-12-4,128.4,129.4,126.8,127.04,371956
2006-12-5,127.5,129.5,127.41,128.76,706347
2006-12-6,129.95,129.98,128.35,129.42,415668
2006-12-7,129.8,131.47,128,129.49,492042
2006-12-8,129.24,130.49,128.1,129.43,416840
2006-12-11,129.46,129.75,126.12,127,500457
2006-12-12,126.95,127.1,125.7,126.09,280550
2006-12-13,125.79,125.93,121.6,123.78,740561
2006-12-14,124.5,124.9,123.25,123.93,353042
2006-12-15,124.78,126.01,124.17,125.55,421613
2006-12-18,126.54,127.45,124.19,124.57,352011
2006-12-19,123.9,123.9,119,120.82,510558
2006-12-20,122.5,123.68,122.02,122.71,274714
2006-12-21,122.95,122.95,120.7,122.15,268851
2006-12-22,122.3,125.4,121.51,123.53,493114
2006-12-25,123.01,123.99,122.2,122.65,123015
2006-12-26,123,123.33,121.6,122.63,139562
2006-12-27,122.04,122.91,121.5,121.93,402466
2006-12-28,122.01,123.7,121.45,122.19,397653
2006-12-29,123.75,123.75,120.9,122.02,1710562
2007-1-9,119,119,110.63,111.66,593428
2007-1-10,111.5,112.7,108.1,110.19,400618
2007-1-11,108,112.8,107.5,112.08,569327
2007-1-12,110.01,111.9,109.75,111.28,263835
2007-1-15,113,116.44,112.9,115.96,388794
2007-1-16,115.4,116.99,112.05,112.79,328339
2007-1-17,111,113.39,109.32,110.55,202844
2007-1-18,112.06,117.7,112.06,113.69,584283
2007-1-19,112.25,115.99,112.25,115.98,192239
2007-1-22,118.87,118.9,115.75,118.15,308980
2007-1-23,116.5,117.4,114.89,115.22,236451
2007-1-24,117.9,118.49,114.51,115.05,420162
2007-1-25,116,117.01,115.45,116.12,249195
2007-1-26,112.06,117.4,112.06,116.94,186522
2007-1-29,117.98,118,114.11,114.42,143132
2007-1-30,113.28,114.47,112.5,114.46,229200
2007-1-31,116.2,116.52,114.37,114.65,252287
2007-2-1,116.93,118.69,116.51,117.29,350633
2007-2-2,117.21,117.8,115.8,116.27,226504
2007-2-5,118.25,118.6,116,118.17,326137
2007-2-6,117.95,122.05,117.8,119.42,645720
2007-2-7,119.95,120.8,117.22,119.28,327412
2007-2-8,117,117.85,114.55,115.15,467563
2007-2-9,117,117.4,114.9,115.3,326638
2007-2-12,114.5,114.7,110,110.79,397394
2007-2-13,110.5,112.8,108.26,112.49,420632
2007-2-14,113.51,113.9,111.12,112.41,149974
2007-2-15,112.69,113.6,111.08,111.75,200847
2007-2-16,112,112.35,110.52,112.06,152649
2007-2-19,113.4,113.89,112.22,112.48,198572
2007-2-20,112.2,113,109.8,110.12,199186
2007-2-21,110.28,112.2,109.65,111.55,258884
2007-2-22,112.99,119.21,112.37,118.18,757218
2007-2-26,119.5,122.9,118.75,122.14,749429
2007-2-27,121.2,121.54,116.6,118.4,771627
2007-2-28,115.05,118,111.35,115.06,548081
2007-3-1,115,117,108.6,111.13,543187
2007-3-2,110.76,112.5,108.2,110.11,666499
2007-3-5,105.85,105.85,100.1,103.79,525002
