Date,Open,High,Low,Close,Volume
2006-6-27,63.85,65.5,62.5,65.5,22859
2006-6-28,65,68.5,63.21,65.51,38653
2006-6-29,65.88,68.5,64.12,67.56,23336
2006-6-30,68.26,79.49,68.26,70.12,34676
2006-7-3,70.99,76.47,70.99,74.58,70408
2006-7-4,76.25,76.5,72.5,74.25,79265
2006-7-5,74.15,75,66.1,67.74,53946
2006-7-6,67.59,70.1,67.54,69.52,66023
2006-7-7,69.88,71.43,68.1,69.4,50278
2006-7-10,69,69.86,68.4,69.63,7333
2006-7-11,69.73,70.45,68.7,69.4,32641
2006-7-12,70.09,71.45,69.68,70.88,57245
2006-7-13,73.24,73.24,68.72,69.48,81777
2006-7-14,67.35,71.14,67.35,70.17,12962
2006-7-17,68.53,70.52,68.34,69.48,5053
2006-7-18,68.13,69.69,67,69,5527
2006-7-19,68.4,72,68.01,71,14381
2006-7-20,72.05,74,71.7,71.91,33599
2006-7-21,71.75,72.17,70.05,71.24,11517
2006-7-24,71.3,72.6,70.1,72.05,15188
2006-7-25,74.03,75.9,73,73.98,68318
2006-7-26,73.03,75.7,72.5,74.43,37216
2006-7-27,75,75.7,73.75,75.43,57281
2006-7-28,75.93,75.93,74,74.9,16103
2006-7-31,75.5,75.5,73.52,73.87,35213
2006-8-1,74,75.19,73.01,73.92,58181
2006-8-2,73.9,74.7,73.17,74.5,22971
2006-8-3,74.6,75.9,74,74.71,36223
2006-8-4,75.3,78,74.85,77.38,96246
2006-8-7,77.95,77.95,76,77.89,11242
2006-8-8,78.15,78.21,76,76.36,14905
2006-8-9,76.5,78.4,75.66,77.9,29976
2006-8-10,78,78,76.8,76.99,18170
2006-8-11,77,78.99,76.7,78,35886
2006-8-14,78.49,80.8,78,78.25,53726
2006-8-15,78.52,80.44,77.22,79.81,90504
2006-8-16,81,89.5,80.32,88.29,328197
2006-8-17,89.05,90.2,85.5,88.97,67678
2006-8-18,89,90.98,82.23,85,85470
2006-8-21,85.11,87.38,83,86.1,34785
2006-8-22,86.5,87.4,84.25,86.2,90041
2006-8-23,86.1,87.8,85.2,87.4,43660
2006-8-24,86.35,89.3,85.75,86.31,27142
2006-8-25,86.76,88,86.09,87.01,8163
